G c dxdt d2xdt2 m1 W d2 Fg Fc d1
1.00000000e+00 1.00000000e+00 4.37086107e+00 2.66619636e+00 3.35535115e+00 7.05432695e+00 2.36562951e+00 6.14796290e+00 1.40657935e+00 1.23521796e+00
1.00000000e+00 1.00000000e+00 9.55642876e+00 5.87710853e+00 3.22280919e+00 8.17013257e+00 1.29405297e+00 8.24889096e+00 8.63177153e-01 9.12225871e-01
1.00000000e+00 1.00000000e+00 7.58794548e+00 8.85651252e+00 9.15629122e+00 3.25421109e+00 1.20388398e-01 7.84144837e+00 1.03340863e+00 7.88319729e-02
1.00000000e+00 1.00000000e+00 6.38792636e+00 7.59002398e+00 3.24591580e+00 6.62386690e+00 8.06589295e-01 2.38509914e+00 3.73376117e-01 4.96002074e-01
1.00000000e+00 1.00000000e+00 2.40416776e+00 8.25905033e+00 3.44754754e+00 6.14571385e+00 6.47520040e-01 2.34324523e+00 9.74659615e-01 2.43083390e-01
1.00000000e+00 1.00000000e+00 2.40395068e+00 6.92905030e+00 7.83458436e+00 8.49547339e+00 4.69482235e-01 3.41356931e+00 1.41998309e+00 1.76236857e-01
1.00000000e+00 1.00000000e+00 1.52275251e+00 7.23048908e+00 5.04765858e+00 9.15478354e+00 7.52508983e-01 4.24967254e+00 2.79078347e+00 2.07484391e-01
1.00000000e+00 1.00000000e+00 8.79558531e+00 8.64276086e+00 7.99039501e+00 1.10941094e+00 4.81939978e-02 4.67610023e+00 5.31641735e-01 3.31281774e-02
1.00000000e+00 1.00000000e+00 6.41003511e+00 3.24701208e+00 1.58829542e+00 7.06617927e+00 4.11046277e+00 7.11727495e+00 1.11033323e+00 2.53103956e+00
1.00000000e+00 1.00000000e+00 7.37265320e+00 5.40482467e+00 5.38814074e+00 1.46652219e+00 1.51073869e-01 1.51012389e+00 2.04827740e-01 9.79380296e-02
1.00000000e+00 1.00000000e+00 1.18526045e+00 2.99088498e+00 1.30252240e+00 5.93972799e+00 4.57407097e+00 1.31205434e+00 1.10697555e+00 1.04555315e+00
1.00000000e+00 1.00000000e+00 9.72918867e+00 9.88901207e+00 1.56387883e+00 3.58869456e+00 6.96148262e-01 4.52719507e+00 4.65320925e-01 4.93325421e-01
1.00000000e+00 1.00000000e+00 8.49198377e+00 9.49653406e+00 9.15793708e+00 3.76098940e+00 1.29736022e-01 7.27447323e+00 8.56628254e-01 8.81938542e-02
1.00000000e+00 1.00000000e+00 2.91105200e+00 1.35484130e+00 2.25320834e+00 4.17662653e+00 4.10447032e+00 2.74091809e+00 9.41555867e-01 1.72887232e+00
1.00000000e+00 1.00000000e+00 2.63642470e+00 7.35017655e+00 5.79178614e+00 6.59163204e+00 4.64519471e-01 6.77354033e+00 2.56921441e+00 1.84537709e-01
1.00000000e+00 1.00000000e+00 2.65064059e+00 9.32723486e+00 4.69986042e+00 4.00644969e+00 2.74184611e-01 3.33845324e+00 1.25948922e+00 1.09277422e-01
1.00000000e+00 1.00000000e+00 3.73818019e+00 2.62517811e+00 4.12608994e+00 7.59429146e+00 2.10334761e+00 8.97477498e+00 2.40084066e+00 1.01609063e+00
1.00000000e+00 1.00000000e+00 5.72280788e+00 6.11150707e+00 9.09850011e+00 4.64074647e+00 2.50375007e-01 9.06120950e+00 1.58335029e+00 1.47369780e-01
1.00000000e+00 1.00000000e+00 4.88750517e+00 9.23939468e+00 1.19641057e+00 1.61517880e+00 4.38347062e-01 3.67558484e+00 7.52037023e-01 2.41060173e-01
1.00000000e+00 1.00000000e+00 3.62106226e+00 1.30551381e+00 6.97410718e+00 8.05383858e+00 2.65371384e+00 3.06994379e+00 8.47801988e-01 1.26088237e+00
1.00000000e+00 1.00000000e+00 6.50667605e+00 7.27678241e+00 9.67054991e+00 3.57182492e+00 1.52272283e-01 4.70173575e+00 7.22601788e-01 9.43006533e-02
1.00000000e+00 1.00000000e+00 2.25544475e+00 3.67614107e+00 6.04151365e+00 4.89490192e+00 6.61191587e-01 3.16478427e+00 1.40317526e+00 2.38397293e-01
1.00000000e+00 1.00000000e+00 3.62930184e+00 9.31956576e+00 9.43140216e+00 7.16899495e+00 2.44685136e-01 7.05145459e+00 1.94292316e+00 1.16398097e-01
1.00000000e+00 1.00000000e+00 4.29725659e+00 9.73952421e+00 1.47032091e+00 3.99210541e+00 8.36321727e-01 8.43458216e+00 1.96278300e+00 4.33141848e-01
