G	c	dxdt	d2xdt2	m1	W	d2	Fg	Fc	d1
1.000000000000000000e+00	1.000000000000000000e+00	4.413470895509473024e+00	2.618080842220442239e+00	3.192251310177776968e+00	7.013814158775041996e+00	2.361597812433348764e+00	6.105396305820531389e+00	1.399655375227638832e+00	1.232998836158399891e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.581302405423370416e+00	5.948052507481055962e+00	3.193925193009365504e+00	8.101024434014451714e+00	1.311004698763126530e+00	8.256691702032675551e+00	8.821490700747516289e-01	9.072024237320804874e-01
1.000000000000000000e+00	1.000000000000000000e+00	7.697153741531128190e+00	8.790541708001299526e+00	9.108442213679879274e+00	3.251976406755908933e+00	1.263320001732186060e-01	7.900035464298067467e+00	1.055385400389077466e+00	7.885789365984620380e-02
1.000000000000000000e+00	1.000000000000000000e+00	6.390302812965427570e+00	7.636314554936087795e+00	3.265187041287970882e+00	6.716712688216457394e+00	8.023218351503587087e-01	2.402218315279166294e+00	3.572139580286826654e-01	4.999931651331733784e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.435410982937713964e+00	8.304702001951977053e+00	3.628973753871715058e+00	6.150163803012961061e+00	6.600817748249651062e-01	2.282720635051481040e+00	9.781783972132187532e-01	2.389304540441568592e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.325422789274885993e+00	6.874855848739398034e+00	7.872969005082477878e+00	8.477522973844276777e+00	4.743052716972433469e-01	3.394812967951768456e+00	1.413911090096200418e+00	1.760238622585643675e-01
1.000000000000000000e+00	1.000000000000000000e+00	1.478103088678812460e+00	7.340827242370245642e+00	5.198728766137040047e+00	9.195605035690242346e+00	7.424106427460136493e-01	4.219631129845087258e+00	2.780962293758078907e+00	2.036079027240831896e-01
1.000000000000000000e+00	1.000000000000000000e+00	8.730593275439343159e+00	8.655641149951934565e+00	8.021800490613211210e+00	1.100840504991064783e+00	6.832228315281144160e-02	4.678983815254933454e+00	5.356551274675309671e-01	3.432629499804819989e-02
1.000000000000000000e+00	1.000000000000000000e+00	6.478991367740534635e+00	3.283389144324035502e+00	1.553515296894438347e+00	7.167302905381991884e+00	4.113272570079966606e+00	7.189743959426055042e+00	1.126409402363451662e+00	2.527895484117758329e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.234501840136117856e+00	5.319868561718740452e+00	5.407351453468003832e+00	1.466310391183128115e+00	1.512774060020400657e-01	1.502014321664048913e+00	2.111916660879110119e-01	9.370587147546506623e-02
