G c dx1dt d2x1dt2 d2 d1 m1 Fg W Fc
1.00000000e+00 1.00000000e+00 4.37086107e+00 2.66619636e+00 3.35535115e+00 -2.92549204e+01 7.05432695e+00 -1.63986712e+02 7.26120460e+00 -1.26062490e+00
1.00000000e+00 1.00000000e+00 9.55642876e+00 5.87710853e+00 3.22280919e+00 -6.16263689e+01 8.17013257e+00 -9.18173596e+02 1.26098864e+01 -1.38519482e+00
1.00000000e+00 1.00000000e+00 7.58794548e+00 8.85651252e+00 9.15629122e+00 -1.31512115e+02 3.25421109e+00 -4.13956424e+02 1.01612305e+01 -1.88139369e+00
1.00000000e+00 1.00000000e+00 6.38792636e+00 7.59002398e+00 3.24591580e+00 -3.99066691e+01 6.62386690e+00 -6.18106022e+02 9.08389768e+00 -1.39543070e+00
1.00000000e+00 1.00000000e+00 2.40416776e+00 8.25905033e+00 3.44754754e+00 -1.37116076e+01 6.14571385e+00 -2.01874081e+02 4.51156095e+00 -1.43084956e+00
1.00000000e+00 1.00000000e+00 2.40395068e+00 6.92905030e+00 7.83458436e+00 -3.05272004e+01 8.49547339e+00 -2.29367729e+02 9.16835441e+00 -1.56682414e+00
1.00000000e+00 1.00000000e+00 1.52275251e+00 7.23048908e+00 5.04765858e+00 -1.07462141e+01 9.15478354e+00 -1.40922803e+02 4.49519704e+00 -1.60612358e+00
1.00000000e+00 1.00000000e+00 8.79558531e+00 8.64276086e+00 7.99039501e+00 -1.34605372e+02 1.10941094e+00 -1.61524753e+02 4.05370430e+00 -1.99813490e+00
1.00000000e+00 1.00000000e+00 6.41003511e+00 3.24701208e+00 1.58829542e+00 -2.27220302e+01 7.06617927e+00 -3.28234635e+02 5.47307506e+00 -1.06966200e+00
1.00000000e+00 1.00000000e+00 7.37265320e+00 5.40482467e+00 5.38814074e+00 -7.67898202e+01 1.46652219e+00 -1.12962675e+02 4.80235807e+00 -1.88166215e+00
1.00000000e+00 1.00000000e+00 1.18526045e+00 2.99088498e+00 1.30252240e+00 -2.57771594e+00 5.93972799e+00 -3.51573492e+01 9.86485040e-01 -1.24756106e+00
1.00000000e+00 1.00000000e+00 9.72918867e+00 9.88901207e+00 1.56387883e+00 -3.08343421e+01 3.58869456e+00 -6.99714687e+02 5.94359392e+00 -1.39553187e+00
1.00000000e+00 1.00000000e+00 8.49198377e+00 9.49653406e+00 9.15793708e+00 -1.48168608e+02 3.76098940e+00 -5.77864191e+02 1.16604820e+01 -1.86338234e+00
1.00000000e+00 1.00000000e+00 2.91105200e+00 1.35484130e+00 2.25320834e+00 -1.51624639e+01 4.17662653e+00 -3.80787340e+01 3.46568659e+00 -1.04466971e+00
1.00000000e+00 1.00000000e+00 2.63642470e+00 7.35017655e+00 5.79178614e+00 -2.54648072e+01 6.59163204e+00 -2.13019128e+02 7.34423487e+00 -1.53332116e+00
1.00000000e+00 1.00000000e+00 2.65064059e+00 9.32723486e+00 4.69986042e+00 -2.07837870e+01 4.00644969e+00 -1.65254132e+02 5.47023757e+00 -1.60797696e+00
1.00000000e+00 1.00000000e+00 3.73818019e+00 2.62517811e+00 4.12608994e+00 -2.95699894e+01 7.59429146e+00 -1.42875747e+02 7.68225728e+00 -1.30705149e+00
1.00000000e+00 1.00000000e+00 5.72280788e+00 6.11150707e+00 9.09850011e+00 -9.69122338e+01 4.64074647e+00 -3.02095991e+02 1.20950298e+01 -1.77470662e+00
