G	c	dx1dt	d2x1dt2	d2	d1	m1	Fg	W	Fc
1.000000000000000000e+00	1.000000000000000000e+00	4.378052084685815970e+00	2.662581271827733964e+00	3.354334360974172924e+00	-2.924963966606829402e+01	7.049701256083812595e+00	-1.638521435132169017e+02	7.273187855190581530e+00	-1.259833479896433017e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.558123811140269765e+00	5.877576770973427678e+00	3.216568736883539170e+00	-6.171581077183211761e+01	8.167950623133343413e+00	-9.184087923227793908e+02	1.262009793107099043e+01	-1.383285994753791437e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.584662896265608190e+00	8.856583887742051076e+00	9.157798690047318502e+00	-1.315039159975788721e+02	3.255684809600001284e+00	-4.140001667042689633e+02	1.015658863167235637e+01	-1.883745195844808373e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.390393854369505355e+00	7.592693332529112382e+00	3.234460360652151145e+00	-3.985684827037146505e+01	6.623556873765195974e+00	-6.178350543134461077e+02	9.083023214024311898e+00	-1.395696505655317665e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.401683021391407546e+00	8.257555811833711346e+00	3.447039786690181185e+00	-1.378313259690503756e+01	6.148680742024144941e+00	-2.016299891027089188e+02	4.517313362878391025e+00	-1.430403679792349170e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.400191288184522431e+00	6.918834344516331392e+00	7.834672846024584025e+00	-3.061480705013090287e+01	8.488222231174635368e+00	-2.293745292514987000e+02	9.177510000399500711e+00	-1.566984860490524101e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.516504742564638075e+00	7.228081491482592824e+00	5.052046086424184956e+00	-1.065592528265065830e+01	9.150764723862826244e+00	-1.414685903865741636e+02	4.503246513537972007e+00	-1.610024082785389998e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.786103871217935790e+00	8.647176995767145158e+00	7.995771012788043919e+00	-1.346403433367289324e+02	1.108783004298755426e+00	-1.606009310494036981e+02	4.053156696545173965e+00	-1.997345773208462516e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.407924722421504349e+00	3.245357730555896048e+00	1.585514884040788885e+00	-2.265709356138944841e+01	7.076453246438779487e+00	-3.276957225624677221e+02	5.462324740108700283e+00	-1.067269318051189630e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.373508634322802457e+00	5.403454000758466158e+00	5.387309101894929064e+00	-7.679862350093280554e+01	1.465906080000937584e+00	-1.127395994491937188e+02	4.793794520071377185e+00	-1.881478428689087101e+00
