G	c	dx1dt	d2x1dt2	d1	m1	Fc	d2	W	Fg
1.000000000000000000e+00	1.000000000000000000e+00	4.367630060707198503e+00	2.666657170490672524e+00	3.355357278727786330e+00	7.061364269700170837e+00	4.589318120373707011e+00	1.466141544974637512e+01	6.158977576974193902e+00	1.884792524866147190e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.543491694207203224e+00	5.873057596304701811e+00	3.214281364471144986e+00	8.175331062402117155e+00	1.211488477992975810e+01	3.080896298892935903e+01	8.258865286458794586e+00	1.468015253267450362e+02
1.000000000000000000e+00	1.000000000000000000e+00	7.585714413959994573e+00	8.866237678781697440e+00	9.159012753539743201e+00	3.244498455833112693e+00	1.349931249018269330e+00	6.944781369015449002e+01	7.840397210543536666e+00	2.343675296170767908e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.392870362082718749e+00	7.595810005890075267e+00	3.250518666415554314e+00	6.629730371681221257e+00	6.514357080459866722e+00	2.073025757820435544e+01	2.375392051991081832e+00	2.953208671395288576e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.407077579151609026e+00	8.254934867798072062e+00	3.444228328647738646e+00	6.135761258457383960e+00	2.147032248477275473e+00	8.282513830780768416e+00	2.330482818078352558e+00	1.034963501648229744e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.406268156274103287e+00	6.921625653332867500e+00	7.841022144743726052e+00	8.500335236255562421e+00	1.306355927281084517e+00	1.883949637225785168e+01	3.410224676123519316e+00	7.729362871486784137e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.521237099737947185e+00	7.228343523086719458e+00	5.038455293276454583e+00	9.152792584280366128e+00	1.384503689874510668e+00	7.696312473504625551e+00	4.248593643255595964e+00	1.058645925578603020e+01
1.000000000000000000e+00	1.000000000000000000e+00	8.788662800460762980e+00	8.645178065892459074e+00	7.982141487429536220e+00	1.113214016580328813e+00	6.106358666021789450e-01	7.029698725508275459e+01	4.683184668801013473e+00	6.232031584263451052e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.412824042084229959e+00	3.248348382521085487e+00	1.589049663219026742e+00	7.058966226851910442e+00	1.425357679985405923e+01	1.018815502974522857e+01	7.122001841128161814e+00	8.236046463081927982e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.368137809067765609e+00	5.411796043075199236e+00	5.388280908659081270e+00	1.472862160087173855e+00	1.006955878536603288e+00	3.968858941694725928e+01	1.511362553618170068e+00	2.076110653270954121e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.197081456363088936e+00	2.995279426441700643e+00	1.298565730897716985e+00	5.931797531704026127e+00	2.701493872999265911e+00	1.515688690705389030e+00	1.307207401890828846e+00	2.674993397387373850e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.732276431286885909e+00	9.894405933497216310e+00	1.568349128360095435e+00	3.585075962609598044e+00	1.115782277354389684e+01	1.519888836366821039e+01	4.521961753799867090e+00	1.249490666434263488e+02
1.000000000000000000e+00	1.000000000000000000e+00	8.488841121977911186e+00	9.498352407500171068e+00	9.160868493405002866e+00	3.755586339065330126e+00	1.748761721340549968e+00	7.776059011716392888e+01	7.275857450272216198e+00	3.009667625880813091e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.907742994135368075e+00	1.347112414785463175e+00	2.257946684918249236e+00	4.167129927480702989e+00	2.705800224326934789e+00	6.590713729915117725e+00	2.744714890367551785e+00	2.500521602713384972e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.635921657235913873e+00	7.349087848591874028e+00	5.791106223512725748e+00	6.592143753211830770e+00	1.500104557550452800e+00	1.523473779192640976e+01	6.775674886819657239e+00	1.861271827866100637e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.649344331596733770e+00	9.333132304328348283e+00	4.703187658261631654e+00	4.016226728454690864e+00	1.137791717786905688e+00	1.244692383807788261e+01	3.332817838813358691e+00	8.801263811782792601e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.744224839472378719e+00	2.624891479924102988e+00	4.123629214320209790e+00	7.608728419204352278e+00	3.440499949002054692e+00	1.545264324771279441e+01	8.978319132676270797e+00	2.027270191534321597e+01
1.000000000000000000e+00	1.000000000000000000e+00	5.723816821909508690e+00	6.114305840075203058e+00	9.109840581122687908e+00	4.641272410750683974e+00	1.458065894568920440e+00	5.205997648157087809e+01	9.063529414849165633e+00	2.020934873209210991e+01
1.000000000000000000e+00	1.000000000000000000e+00	4.883545352969510311e+00	9.237621433478361510e+00	1.191923975401164570e+00	1.621223814977468702e+00	3.296777987303464830e+00	5.861268247990283342e+00	3.669752975863871836e+00	2.792610679508670657e+01
