G	c	dx1dt	d2x1dt2	m1	Fc	d2	d1	W	Fg
1.000000000000000000e+00	1.000000000000000000e+00	4.367630060707198503e+00	2.666657170490672524e+00	3.355357278727786330e+00	3.594480542936295109e+01	7.046510438920880581e+00	9.145752678857590467e+00	6.158977576974193902e+00	1.471094021922420891e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.543491694207203224e+00	5.873057596304701811e+00	3.214281364471144986e+00	7.588191108262331852e+01	8.172540729210112431e+00	9.128120613931788085e+00	8.258865286458794586e+00	4.318338469272418934e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.585714413959994573e+00	8.866237678781697440e+00	9.159012753539743201e+00	3.241494327725564517e+02	3.256439049751909121e+00	3.739259778493716269e+00	7.840397210543536666e+00	7.940212261219286027e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.392870362082718749e+00	7.595810005890075267e+00	3.250518666415554314e+00	9.868021415307073596e+01	6.618770731215303904e+00	7.851929384560728309e+00	2.375392051991081832e+00	9.739267424511894866e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.407077579151609026e+00	8.254934867798072062e+00	3.444228328647738646e+00	1.136665950685295172e+02	6.151782065343351036e+00	1.052068354861952670e+01	2.330482818078352558e+00	2.656163020177793599e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.406268156274103287e+00	6.921625653332867500e+00	7.841022144743726052e+00	2.172559428787579350e+02	8.499834268303112950e+00	1.454826078926759081e+01	3.410224676123519316e+00	2.846133367139561110e-01
1.000000000000000000e+00	1.000000000000000000e+00	1.521237099737947185e+00	7.228343523086719458e+00	5.038455293276454583e+00	1.459426952249176281e+02	9.160066038077991024e+00	2.667043984877228979e+01	4.248593643255595964e+00	1.189007502699176849e-01
1.000000000000000000e+00	1.000000000000000000e+00	8.788662800460762980e+00	8.645178065892459074e+00	7.982141487429536220e+00	2.763231406494565476e+02	1.109458890075406545e+00	1.256775582563465887e+00	4.683184668801013473e+00	1.643614617048029558e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.412824042084229959e+00	3.248348382521085487e+00	1.589049663219026742e+00	2.046413942259578889e+01	7.058516506795751155e+00	8.374448250337410471e+00	7.122001841128161814e+00	2.722347963595533660e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.368137809067765609e+00	5.411796043075199236e+00	5.388280908659081270e+00	1.166326045449261812e+02	1.471815779731958429e+00	1.685723792269395283e+00	1.511362553618170068e+00	3.284361911487489127e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.197081456363088936e+00	2.995279426441700643e+00	1.298565730897716985e+00	1.540167751847736177e+01	5.938264368110973024e+00	3.799275982147241848e+01	1.307207401890828846e+00	2.317646395705402762e-02
1.000000000000000000e+00	1.000000000000000000e+00	9.732276431286885909e+00	9.894405933497216310e+00	1.568349128360095435e+00	6.177823174607368628e+01	3.581171158319891745e+00	3.994878077735284361e+00	4.521961753799867090e+00	5.507021959555506996e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.488841121977911186e+00	9.498352407500171068e+00	9.160868493405002866e+00	3.477512598584875150e+02	3.768308496684009690e+00	4.260444245450534240e+00	7.275857450272216198e+00	7.243307661340367964e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.907742994135368075e+00	1.347112414785463175e+00	2.257946684918249236e+00	1.199409300492696850e+01	4.187991411088814786e+00	6.371620494709533844e+00	2.744714890367551785e+00	6.265783914329485782e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.635921657235913873e+00	7.349087848591874028e+00	5.791106223512725748e+00	1.702942885626503084e+02	6.591408748392055372e+00	1.060920687493118564e+01	6.775674886819657239e+00	8.338631515038322783e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.649344331596733770e+00	9.333132304328348283e+00	4.703187658261631654e+00	1.755700779737965718e+02	4.018137823408485687e+00	6.430433357042812936e+00	3.332817838813358691e+00	6.884365005347596878e-01
1.000000000000000000e+00	1.000000000000000000e+00	3.744224839472378719e+00	2.624891479924102988e+00	4.123629214320209790e+00	4.365656855023387095e+01	7.594785780908251738e+00	1.037637270987320903e+01	8.978319132676270797e+00	1.619086976117363408e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.723816821909508690e+00	6.114305840075203058e+00	9.109840581122687908e+00	2.224342014649447776e+02	4.638686919356229232e+00	5.620664799256868349e+00	9.063529414849165633e+00	4.611148091555643092e+00
1.000000000000000000e+00	1.000000000000000000e+00	4.883545352969510311e+00	9.237621433478361510e+00	1.191923975401164570e+00	4.435448280407540267e+01	1.611765891694545871e+00	2.034813146024235575e+00	3.669752975863871836e+00	4.413737637596045538e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.631293909096274586e+00	1.299784806297001660e+00	6.985731898782957749e+00	3.644786449810993645e+01	8.062700721684134209e+00	1.112531776496702562e+01	3.065671634535457990e+00	4.954730087173650488e-01
1.000000000000000000e+00	1.000000000000000000e+00	6.506942921925472412e+00	7.276096227761309265e+00	9.670742549086599027e+00	2.815436222822386867e+02	3.567601708280716544e+00	4.222777526168685291e+00	4.705485951704938330e+00	3.621921747057168517e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.259605947882365573e+00	3.677860349058638789e+00	6.033918558185230374e+00	8.879552904939883717e+01	4.898882208816970341e+00	8.791778721259612794e+00	3.163506919673173989e+00	4.067904602924979907e-01
1.000000000000000000e+00	1.000000000000000000e+00	3.626009930211931298e+00	9.315918067095587674e+00	9.438956217445598540e+00	3.516104055431353572e+02	7.165967986234007547e+00	9.901591975336573981e+00	7.060110592562381271e+00	1.294027323479180813e+00
1.000000000000000000e+00	1.000000000000000000e+00	4.299221883972791147e+00	9.738212911633668867e+00	1.471016093594487151e+00	5.734734798560020153e+01	3.989613596681267804e+00	5.188898186413575253e+00	8.437311785059446123e+00	3.482699695800799411e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.106313683398806980e+00	9.493172019666747730e+00	4.773839480684279657e+00	1.811252524121103136e+02	1.514848038379986495e+00	1.873691992551047569e+00	7.055178525269904632e+00	9.599319106654755629e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.056356284167488724e+00	5.274154483794854187e+00	3.348177825911215155e+00	7.039986180156884643e+01	4.363232137873843897e+00	4.985702608066881147e+00	8.419098440626349600e+00	6.811212520002936088e+00
