G	c	dx1dt	d2x1dt2	Fg	d1	Fc	d2	m1	W
1.000000000000000000e+00	1.000000000000000000e+00	4.378052084685815970e+00	2.662581271827733964e+00	3.354334360974172924e+00	7.054827020254156089e+00	-3.367509982743085994e-01	3.084616889671437434e+01	-1.381228216469287604e-02	-5.920568854218463128e-01
1.000000000000000000e+00	1.000000000000000000e+00	9.558123811140269765e+00	5.877576770973427678e+00	3.216568736883539170e+00	8.161662683018818143e+00	8.780431733089136159e+00	7.805511772336558352e+01	7.837399260003949375e-02	3.835542447698987889e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.584662896265608190e+00	8.856583887742051076e+00	9.157798690047318502e+00	3.254987511853019821e+00	4.484791635501387219e+01	2.468865263448492797e+01	3.335776513910571062e-01	6.512702031185364504e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.390393854369505355e+00	7.592693332529112382e+00	3.234460360652151145e+00	6.628584788698198338e+00	3.418758145262738690e+00	4.233831827644897317e+01	3.524940596171440704e-02	1.401259736877886519e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.401683021391407546e+00	8.257555811833711346e+00	3.447039786690181185e+00	6.138940639335847216e+00	-2.360093425741689011e+00	1.479833787073743423e+01	-5.950555275491471729e-02	-2.197240934341361029e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.400191288184522431e+00	6.918834344516331392e+00	7.834672846024584025e+00	8.487177293214353213e+00	-6.074370390409699283e+00	2.042205803395098229e+01	-1.817017798476574519e-01	-9.269432266493375039e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.516504742564638075e+00	7.228081491482592824e+00	5.052046086424184956e+00	9.163333630275937836e+00	-4.630502492132578141e+00	1.388901771420116305e+01	-2.097439505575695862e-01	-1.153122715558498790e+01
1.000000000000000000e+00	1.000000000000000000e+00	8.786103871217935790e+00	8.647176995767145158e+00	7.995771012788043919e+00	1.106099255398507619e+00	1.777390441359153783e+02	9.845008156610850492e+00	1.169057305157561677e+00	7.782497683275851230e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.407924722421504349e+00	3.245357730555896048e+00	1.585514884040788885e+00	7.072328582158869281e+00	1.513289232710745669e+00	4.534526097794277888e+01	3.562877616007494030e-02	1.519796243024339022e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.373508634322802457e+00	5.403454000758466158e+00	5.387309101894929064e+00	1.465688542822957796e+00	6.118018544974687245e+01	1.083318904015965956e+01	7.675521635065399861e-01	6.755146905260328793e+00
