G c dx1dt d2x1dt2 d2 d1 Fc Fg m1 W
1.00000000e+00 1.00000000e+00 4.37086107e+00 2.66619636e+00 3.35535115e+00 -7.67663648e-01 7.05432695e+00 1.61394445e+00 6.14796290e+00 -5.42032679e+01
1.00000000e+00 1.00000000e+00 9.55642876e+00 5.87710853e+00 3.22280919e+00 -3.37239912e-01 8.17013257e+00 4.73189654e+00 8.24889096e+00 -1.66526740e+02
1.00000000e+00 1.00000000e+00 7.58794548e+00 8.85651252e+00 9.15629122e+00 -1.20668912e+00 3.25421109e+00 7.42301914e+00 7.84144837e+00 -1.51139185e+02
1.00000000e+00 1.00000000e+00 6.38792636e+00 7.59002398e+00 3.24591580e+00 -5.08132940e-01 6.62386690e+00 2.96508570e+00 2.38509914e+00 -3.40694630e+01
1.00000000e+00 1.00000000e+00 2.40416776e+00 8.25905033e+00 3.44754754e+00 -1.43398792e+00 6.14571385e+00 2.55627496e+00 2.34324523e+00 -5.41731905e+00
1.00000000e+00 1.00000000e+00 2.40395068e+00 6.92905030e+00 7.83458436e+00 -3.25904538e+00 8.49547339e+00 3.53396326e+00 3.41356931e+00 1.97014867e+00
1.00000000e+00 1.00000000e+00 1.52275251e+00 7.23048908e+00 5.04765858e+00 -3.31482532e+00 9.15478354e+00 6.01199702e+00 4.24967254e+00 3.64259725e+01
1.00000000e+00 1.00000000e+00 8.79558531e+00 8.64276086e+00 7.99039501e+00 -9.08455177e-01 1.10941094e+00 1.07511874e+01 4.67610023e+00 -1.29096424e+02
1.00000000e+00 1.00000000e+00 6.41003511e+00 3.24701208e+00 1.58829542e+00 -2.47782640e-01 7.06617927e+00 2.57064643e+00 7.11727495e+00 -9.27790643e+01
1.00000000e+00 1.00000000e+00 7.37265320e+00 5.40482467e+00 5.38814074e+00 -7.30827912e-01 1.46652219e+00 8.89852443e+00 1.51012389e+00 -4.42005814e+01
1.00000000e+00 1.00000000e+00 1.18526045e+00 2.99088498e+00 1.30252240e+00 -1.09893349e+00 5.93972799e+00 5.01132725e+00 1.31205434e+00 1.23908432e+01
1.00000000e+00 1.00000000e+00 9.72918867e+00 9.88901207e+00 1.56387883e+00 -1.60740930e-01 3.58869456e+00 9.33349581e+00 4.52719507e+00 -9.66872272e+01
1.00000000e+00 1.00000000e+00 8.49198377e+00 9.49653406e+00 9.15793708e+00 -1.07842141e+00 3.76098940e+00 7.88516154e+00 7.27447323e+00 -1.61747122e+02
1.00000000e+00 1.00000000e+00 2.91105200e+00 1.35484130e+00 2.25320834e+00 -7.74018583e-01 4.17662653e+00 1.43474817e+00 2.74091809e+00 -1.47486097e+01
1.00000000e+00 1.00000000e+00 2.63642470e+00 7.35017655e+00 5.79178614e+00 -2.19683351e+00 6.59163204e+00 2.50021631e+00 6.77354033e+00 -2.82263404e+01
1.00000000e+00 1.00000000e+00 2.65064059e+00 9.32723486e+00 4.69986042e+00 -1.77310362e+00 4.00644969e+00 1.51150243e+00 3.33845324e+00 -1.40817281e+01
1.00000000e+00 1.00000000e+00 3.73818019e+00 2.62517811e+00 4.12608994e+00 -1.10376968e+00 7.59429146e+00 2.03154773e+00 8.97477498e+00 -6.65115575e+01
1.00000000e+00 1.00000000e+00 5.72280788e+00 6.11150707e+00 9.09850011e+00 -1.58986642e+00 4.64074647e+00 4.12528464e+00 9.06120950e+00 -1.15010419e+02
1.00000000e+00 1.00000000e+00 4.88750517e+00 9.23939468e+00 1.19641057e+00 -2.44789628e-01 1.61517880e+00 6.00500208e+00 3.67558484e+00 -3.72334789e+01
1.00000000e+00 1.00000000e+00 3.62106226e+00 1.30551381e+00 6.97410718e+00 -1.92598378e+00 8.05383858e+00 2.22416462e+00 3.06994379e+00 -2.06096577e+01
1.00000000e+00 1.00000000e+00 6.50667605e+00 7.27678241e+00 9.67054991e+00 -1.48625040e+00 3.57182492e+00 5.97219187e+00 4.70173575e+00 -8.34350320e+01
1.00000000e+00 1.00000000e+00 2.25544475e+00 3.67614107e+00 6.04151365e+00 -2.67863518e+00 4.89490192e+00 2.17026018e+00 3.16478427e+00 -4.13430750e+00
1.00000000e+00 1.00000000e+00 3.62930184e+00 9.31956576e+00 9.43140216e+00 -2.59868222e+00 7.16899495e+00 1.97530965e+00 7.05145459e+00 -4.92808456e+01
1.00000000e+00 1.00000000e+00 4.29725659e+00 9.73952421e+00 1.47032091e+00 -3.42153391e-01 3.99210541e+00 3.14922353e+00 8.43458216e+00 -7.28114267e+01
1.00000000e+00 1.00000000e+00 5.10462986e+00 9.49839840e+00 4.76913987e+00 -9.34277314e-01 1.50927091e+00 6.35353114e+00 7.05782918e+00 -7.86122498e+01
1.00000000e+00 1.00000000e+00 8.06658365e+00 5.26792795e+00 3.34142012e+00 -4.14229897e-01 4.36528942e+00 6.86261464e+00 8.41915403e+00 -1.47387698e+02
1.00000000e+00 1.00000000e+00 2.79706404e+00 8.75838386e+00 7.57738868e+00 -2.70905084e+00 9.50003724e+00 3.39643180e+00 4.57292946e+00 -1.45132113e+01
1.00000000e+00 1.00000000e+00 5.62810995e+00 8.60094459e+00 9.83167381e+00 -1.74688730e+00 6.77560958e+00 2.02922171e+00 2.40685274e+00 -3.28634230e+01
1.00000000e+00 1.00000000e+00 6.33173112e+00 3.87190426e+00 3.30877056e+00 -5.22569657e-01 7.04331234e+00 2.51107656e+00 7.64155853e+00 -9.98283144e+01
1.00000000e+00 1.00000000e+00 1.41805371e+00 8.46023927e+00 6.88757141e+00 -4.85705960e+00 6.69053938e+00 4.71811421e+00 4.24427055e+00 4.71310920e+01
1.00000000e+00 1.00000000e+00 6.46790367e+00 1.33306871e+00 2.78287869e+00 -4.30259762e-01 2.79092925e+00 6.66811528e+00 7.04143743e+00 -9.81671471e+01
