G	c	dx1dt	d2x1dt2	d2	d1	Fc	Fg	m1	W
1.000000000000000000e+00	1.000000000000000000e+00	4.630668374670845466e+00	2.574625547087629585e+00	3.238908053456513780e+00	-6.822433408488518536e-01	7.115005335759645888e+00	1.673148604109034654e+00	5.945612080075208361e+00	-5.016102931515200680e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.637558235577490251e+00	5.513217172579021330e+00	3.207783588915728235e+00	-3.216625677481188550e-01	8.047834477861059099e+00	4.825099025733136315e+00	8.040386208274844293e+00	-1.659075567525929387e+02
1.000000000000000000e+00	1.000000000000000000e+00	8.059048570149574431e+00	9.115341335622218821e+00	8.929741917078303004e+00	-1.153523794161175342e+00	3.869055358149981139e+00	7.477835597172284743e+00	7.961936699727104383e+00	-1.523206517874443762e+02
1.000000000000000000e+00	1.000000000000000000e+00	6.299504226086077630e+00	7.676644637920883696e+00	2.752559269549292420e+00	-4.221241567581989207e-01	6.177737173519789238e+00	3.028298456493994095e+00	2.340447833001434663e+00	-2.656800903017714433e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.333027701526352526e+00	8.637796498330953199e+00	3.662597143510819997e+00	-1.443507631850342143e+00	6.409781355656102519e+00	2.522163155366667464e+00	2.432457842048673324e+00	-5.774133227662844092e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.466572813651463747e+00	6.875149907533111282e+00	7.827479707611250781e+00	-3.259104875098266074e+00	8.465303002310792024e+00	3.479901408266518281e+00	3.007789080639637902e+00	2.752912060534842276e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.648578314464551386e+00	7.113876607268897700e+00	5.060794428087757701e+00	-3.428551480309864452e+00	9.367271253257225538e+00	6.390667200968152883e+00	4.224448044217919751e+00	3.696463339956669358e+01
1.000000000000000000e+00	1.000000000000000000e+00	8.857271360670480931e+00	9.028868412513643804e+00	7.717964006826719014e+00	-8.188689068364648493e-01	1.138901308803448531e+00	1.085374420108958482e+01	4.956650143175322043e+00	-1.294952441696207188e+02
1.000000000000000000e+00	1.000000000000000000e+00	6.062452560783338384e+00	3.778820330393321214e+00	1.537081127707655481e+00	-2.583127643659289818e-01	6.559420999065432412e+00	2.447519974970074230e+00	6.812538837789330337e+00	-9.140151266442300937e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.457224632018071730e+00	5.407424659895614383e+00	5.690891178964349706e+00	-8.035160162078864854e-01	1.492360357480438715e+00	8.838944573677656180e+00	1.514624815840805994e+00	-4.679501549241960134e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.084003297345974781e+00	2.781499620283050866e+00	1.302749156774452022e+00	-1.045470835252054975e+00	6.030552480943086380e+00	5.238175745321212773e+00	8.069563251456811637e-01	1.422243215397590888e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.571967314479833178e+00	1.011446751353516937e+01	1.571935957123157701e+00	-3.182822937152287590e-01	2.995392592114392016e+00	9.175387870684646785e+00	4.171655888759469910e+00	-1.020859658137221544e+02
1.000000000000000000e+00	1.000000000000000000e+00	8.500773915831361549e+00	9.425876261379302790e+00	9.215232021700815679e+00	-1.109446747189139604e+00	4.287182563409338343e+00	7.566872253371554891e+00	7.494437568928095317e+00	-1.657326329814395933e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.650849106248564180e+00	1.521530921538714942e+00	1.911864776143132660e+00	-7.083713700422787918e-01	4.260860707194503050e+00	1.132261058782978225e+00	2.656685318353708691e+00	-9.143020921140461610e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.329170267103882530e+00	7.278056918660660735e+00	5.964315791992559568e+00	-2.228469390583281307e+00	6.773518136082111063e+00	2.128890985148647275e+00	7.269777128712940240e+00	-3.208323582978422905e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.942854283053457198e+00	9.762277538648735487e+00	4.353322090103549868e+00	-1.824990664264116269e+00	3.690977281982645408e+00	1.232561044644596704e+00	3.456227994677004034e+00	-2.009946136926198434e+01
1.000000000000000000e+00	1.000000000000000000e+00	4.211009604157275987e+00	2.430609657019087155e+00	3.866678449166976783e+00	-1.133846824667318565e+00	7.781220056291729747e+00	1.777937772375093539e+00	9.119281327213407451e+00	-7.029241955289241162e+01
1.000000000000000000e+00	1.000000000000000000e+00	5.873197360440198800e+00	6.245170137670416288e+00	8.808830193009395515e+00	-1.735131916584172096e+00	4.935641303607710917e+00	4.422786652126894147e+00	8.768032417779471288e+00	-1.096678575944968657e+02
1.000000000000000000e+00	1.000000000000000000e+00	4.855906994886070471e+00	9.103458421299597703e+00	1.148034009701881519e+00	-1.930791864807023805e-01	1.683811800800107950e+00	5.995084351178348925e+00	3.570702393756036042e+00	-4.273509746569119727e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.440501344169355047e+00	1.227210567758151960e+00	6.876801129425117232e+00	-1.934865237783918168e+00	8.051301991768196942e+00	2.146147931007618137e+00	2.870412234222662118e+00	-2.354432890487560570e+01
1.000000000000000000e+00	1.000000000000000000e+00	5.728377282667018733e+00	7.162165920817662013e+00	9.670211698267241474e+00	-1.505932371103316347e+00	3.329958520011671919e+00	5.662195693965720089e+00	4.411565467543453245e+00	-8.791217365873575318e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.058293581054771781e+00	3.881590655363833520e+00	5.791588196791014553e+00	-2.698052918061324856e+00	4.836381459174974751e+00	2.139521483612639496e+00	3.345593833553924590e+00	-4.975976388961754537e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.823026330252778493e+00	9.575015612009522670e+00	9.709001898939245478e+00	-2.597664617563974154e+00	7.030404550406514907e+00	1.602190499487633257e+00	7.286903234112701355e+00	-5.061957649343120380e+01
1.000000000000000000e+00	1.000000000000000000e+00	4.552223512199548239e+00	9.894663608560229306e+00	1.700581390253669056e+00	-2.949269010854750905e-01	4.146926766473291615e+00	3.069885249507591674e+00	8.543231665662148089e+00	-7.428751096673798315e+01
1.000000000000000000e+00	1.000000000000000000e+00	5.278443996235493429e+00	9.468361957822613917e+00	4.721152987487058361e+00	-9.380401509813497407e-01	1.279236037425720784e+00	6.796914522548428650e+00	6.832307236911176140e+00	-7.291329438301562504e+01
1.000000000000000000e+00	1.000000000000000000e+00	8.109446960223309020e+00	5.306920117250342628e+00	3.209351404253443452e+00	-5.126407280850414638e-01	4.518122737112850729e+00	7.005177137395241616e+00	8.509227493558480404e+00	-1.510692627551985652e+02
1.000000000000000000e+00	1.000000000000000000e+00	3.149912527435496212e+00	9.008092105115256487e+00	7.417438170378416018e+00	-2.667456025363376337e+00	9.272950048434340786e+00	3.351374269958722785e+00	4.052016479590642817e+00	-1.482696217343114675e+01
1.000000000000000000e+00	1.000000000000000000e+00	5.539202702132611122e+00	8.859439844831756616e+00	9.746048180611646572e+00	-1.710853706666209062e+00	6.704598936467063730e+00	2.179154985248770604e+00	2.767170868099217529e+00	-3.182380322283972873e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.625400005785182067e+00	3.123583143092368619e+00	2.922187249165882239e+00	-5.077154121341925785e-01	7.210056320125529439e+00	2.399066772227813615e+00	7.288010711144489839e+00	-1.028378867086636177e+02
1.000000000000000000e+00	1.000000000000000000e+00	1.313979759316675544e+00	8.384518553039310262e+00	6.622640550577372665e+00	-4.779347679901733592e+00	6.500043586419518959e+00	4.546155783900379888e+00	3.939116464754302882e+00	4.862508699667770884e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.229453219069121417e+00	1.270689380785350542e+00	3.020342944133569407e+00	-4.280641755220523925e-01	2.967009162283912982e+00	7.034104532942695442e+00	7.072836979299007787e+00	-9.939469986824978776e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.262555640241854071e+00	6.552586722397911956e+00	6.171297458850847129e+00	-2.321511487021948650e+00	4.914683029300545236e+00	1.634574221851063047e+00	3.491397804428013618e+00	-9.652238798933023389e+00
