G c dx1dt d2x1dt2 d2 d1 Fc Fg W m1
1.00000000e+00 1.00000000e+00 4.37086107e+00 2.66619636e+00 3.35535115e+00 1.46657737e+01 7.05432695e+00 1.61394445e+00 4.60553767e+01 3.25117517e+00
1.00000000e+00 1.00000000e+00 9.55642876e+00 5.87710853e+00 3.22280919e+00 3.07985464e+01 8.17013257e+00 8.54935749e-01 1.53597592e+02 1.53563071e+00
1.00000000e+00 1.00000000e+00 7.58794548e+00 8.85651252e+00 9.15629122e+00 6.94774386e+01 3.25421109e+00 4.28865903e-01 5.52190887e+02 4.15860869e-01
1.00000000e+00 1.00000000e+00 6.38792636e+00 7.59002398e+00 3.24591580e+00 2.07346711e+01 6.62386690e+00 1.03693539e+00 8.77247622e+01 1.00932518e+00
1.00000000e+00 1.00000000e+00 2.40416776e+00 8.25905033e+00 3.44754754e+00 8.28848265e+00 6.14571385e+00 2.55627496e+00 1.85771319e+01 1.05363068e+00
1.00000000e+00 1.00000000e+00 2.40395068e+00 6.92905030e+00 7.83458436e+00 1.88339544e+01 8.49547339e+00 3.53396326e+00 3.78932467e+01 1.73608736e+00
1.00000000e+00 1.00000000e+00 1.52275251e+00 7.23048908e+00 5.04765858e+00 7.68633477e+00 9.15478354e+00 6.01199702e+00 1.15941955e+01 2.09761475e+00
1.00000000e+00 1.00000000e+00 8.79558531e+00 8.64276086e+00 7.99039501e+00 7.02802010e+01 1.10941094e+00 1.26132702e-01 1.62714265e+03 1.42957056e-01
1.00000000e+00 1.00000000e+00 6.41003511e+00 3.24701208e+00 1.58829542e+00 1.01810294e+01 7.06617927e+00 1.10236202e+00 4.15819928e+01 2.51571017e+00
1.00000000e+00 1.00000000e+00 7.37265320e+00 5.40482467e+00 5.38814074e+00 3.97248931e+01 1.46652219e+00 1.98913763e-01 5.97530306e+02 3.08138757e-01
1.00000000e+00 1.00000000e+00 1.18526045e+00 2.99088498e+00 1.30252240e+00 1.54382829e+00 5.93972799e+00 5.01132725e+00 2.17598720e+00 3.66147656e+00
1.00000000e+00 1.00000000e+00 9.72918867e+00 9.88901207e+00 1.56387883e+00 1.52152722e+01 3.58869456e+00 3.68858564e-01 1.39809290e+02 4.00197016e-01
1.00000000e+00 1.00000000e+00 8.49198377e+00 9.49653406e+00 9.15793708e+00 7.77690530e+01 3.76098940e+00 4.42887021e-01 6.10440822e+02 4.42674811e-01
1.00000000e+00 1.00000000e+00 2.91105200e+00 1.35484130e+00 2.25320834e+00 6.55920664e+00 4.17662653e+00 1.43474817e+00 1.99725190e+01 4.14172102e+00
1.00000000e+00 1.00000000e+00 2.63642470e+00 7.35017655e+00 5.79178614e+00 1.52696081e+01 6.59163204e+00 2.50021631e+00 3.54245670e+01 1.23695646e+00
1.00000000e+00 1.00000000e+00 2.65064059e+00 9.32723486e+00 4.69986042e+00 1.24576408e+01 4.00644969e+00 1.51150243e+00 3.60430832e+01 5.91595709e-01
1.00000000e+00 1.00000000e+00 3.73818019e+00 2.62517811e+00 4.12608994e+00 1.54240676e+01 7.59429146e+00 2.03154773e+00 4.23073308e+01 3.66673757e+00
1.00000000e+00 1.00000000e+00 5.72280788e+00 6.11150707e+00 9.09850011e+00 5.20689682e+01 4.64074647e+00 8.10921241e-01 2.52623589e+02 8.92033281e-01
1.00000000e+00 1.00000000e+00 4.88750517e+00 9.23939468e+00 1.19641057e+00 5.84746285e+00 1.61517880e+00 3.30471017e-01 5.37753041e+01 2.10581958e-01
1.00000000e+00 1.00000000e+00 3.62106226e+00 1.30551381e+00 6.97410718e+00 2.52536763e+01 8.05383858e+00 2.22416462e+00 6.62690461e+01 7.87276484e+00
1.00000000e+00 1.00000000e+00 6.50667605e+00 7.27678241e+00 9.67054991e+00 6.29231355e+01 3.57182492e+00 5.48947710e-01 4.07147488e+02 5.66290484e-01
1.00000000e+00 1.00000000e+00 2.25544475e+00 3.67614107e+00 6.04151365e+00 1.36263002e+01 4.89490192e+00 2.17026018e+00 3.19311723e+01 1.92189635e+00
1.00000000e+00 1.00000000e+00 3.62930184e+00 9.31956576e+00 9.43140216e+00 3.42294052e+01 7.16899495e+00 1.97530965e+00 9.44267971e+01 9.81194279e-01
1.00000000e+00 1.00000000e+00 4.29725659e+00 9.73952421e+00 1.47032091e+00 6.31834623e+00 3.99210541e+00 9.28989305e-01 2.68033194e+01 5.05270547e-01
1.00000000e+00 1.00000000e+00 5.10462986e+00 9.49839840e+00 4.76913987e+00 2.43446938e+01 1.50927091e+00 2.95667061e-01 2.47264691e+02 1.90025506e-01
1.00000000e+00 1.00000000e+00 8.06658365e+00 5.26792795e+00 3.34142012e+00 2.69538449e+01 4.36528942e+00 5.41157150e-01 1.80904650e+02 9.31380729e-01
1.00000000e+00 1.00000000e+00 2.79706404e+00 8.75838386e+00 7.57738868e+00 2.11944414e+01 9.50003724e+00 3.39643180e+00 4.50156235e+01 1.47247132e+00
1.00000000e+00 1.00000000e+00 5.62810995e+00 8.60094459e+00 9.83167381e+00 5.53337412e+01 6.77560958e+00 1.20388721e+00 2.11055012e+02 9.27746564e-01
1.00000000e+00 1.00000000e+00 6.33173112e+00 3.87190426e+00 3.30877056e+00 2.09502455e+01 7.04331234e+00 1.11238336e+00 8.49801459e+01 2.10637845e+00
1.00000000e+00 1.00000000e+00 1.41805371e+00 8.46023927e+00 6.88757141e+00 9.76694623e+00 6.69053938e+00 4.71811421e+00 1.50975256e+01 1.34850248e+00
1.00000000e+00 1.00000000e+00 6.46790367e+00 1.33306871e+00 2.78287869e+00 1.79993913e+01 2.79092925e+00 4.31504456e-01 1.39560681e+02 2.41730503e+00
1.00000000e+00 1.00000000e+00 2.53471711e+00 6.36642891e+00 6.08797229e+00 1.54312876e+01 4.76500478e+00 1.87989608e+00 3.97902345e+01 1.04374068e+00
1.00000000e+00 1.00000000e+00 1.58546434e+00 3.07007954e+00 5.17539238e+00 8.20540005e+00 7.75845819e+00 4.89349272e+00 1.31482184e+01 4.12104988e+00
1.00000000e+00 1.00000000e+00 9.53996984e+00 2.08510197e+00 9.74804797e+00 9.29960836e+01 1.91235608e+00 2.00457246e-01 1.42805931e+03 1.01329017e+00
1.00000000e+00 1.00000000e+00 9.69068830e+00 1.69257881e+00 6.47674545e+00 6.27641214e+01 3.50067498e+00 3.61241109e-01 5.86267577e+02 2.28167578e+00
1.00000000e+00 1.00000000e+00 8.27557613e+00 7.26659898e+00 4.14555735e+00 3.43068755e+01 3.48687198e+00 4.21344922e-01 2.79149001e+02 5.37833023e-01
1.00000000e+00 1.00000000e+00 3.74152392e+00 4.05887467e+00 2.02686206e+00 7.58355290e+00 4.88817035e+00 1.30646508e+00 2.57095890e+01 1.52619529e+00
1.00000000e+00 1.00000000e+00 1.87904903e+00 7.52290094e+00 2.36122146e+00 4.43685088e+00 9.82331867e+00 5.22781393e+00 7.45328503e+00 2.00070860e+00
1.00000000e+00 1.00000000e+00 7.15809724e+00 1.58820707e+00 3.02785237e+00 2.16736617e+01 1.60752292e+00 2.24574055e-01 2.92074250e+02 1.15356304e+00
1.00000000e+00 1.00000000e+00 4.96137244e+00 3.83761304e+00 3.25869995e+00 1.61676241e+01 5.66830895e+00 1.14248809e+00 6.22433746e+01 1.77474825e+00
1.00000000e+00 1.00000000e+00 2.09834411e+00 5.85542163e+00 8.65554452e+00 1.81623109e+01 2.61428214e+00 1.24587865e+00 5.42192815e+01 6.59245573e-01
1.00000000e+00 1.00000000e+00 5.45659219e+00 8.11650848e+00 6.05100509e+00 3.30178671e+01 9.73608891e+00 1.78428011e+00 1.02724564e+02 1.41937497e+00
1.00000000e+00 1.00000000e+00 1.30949669e+00 3.86877253e+00 5.71051820e+00 7.47790468e+00 2.01973154e+00 1.54237239e+00 1.67270791e+01 9.20732328e-01
1.00000000e+00 1.00000000e+00 9.18388362e+00 6.63302239e+00 2.03291985e+00 1.86700993e+01 4.63240902e+00 5.04406329e-01 1.33811921e+02 7.74430576e-01
1.00000000e+00 1.00000000e+00 3.32901983e+00 8.97379973e+00 8.74125724e+00 2.90998187e+01 7.64096486e+00 2.29525964e+00 7.40042665e+01 1.10724830e+00
1.00000000e+00 1.00000000e+00 6.96270056e+00 6.54276869e+00 7.50532873e+00 5.22573565e+01 7.34098985e+00 1.05433083e+00 2.21408865e+02 1.28314496e+00
1.00000000e+00 1.00000000e+00 3.80539968e+00 3.09663527e+00 1.60901526e+00 6.12294615e+00 4.80455773e+00 1.26256323e+00 2.12187740e+01 1.95926237e+00
1.00000000e+00 1.00000000e+00 5.68061219e+00 1.21960703e+00 7.37051588e+00 4.18690423e+01 4.11871751e+00 7.25048177e-01 2.18511580e+02 3.97157900e+00
1.00000000e+00 1.00000000e+00 5.92039251e+00 8.83088987e+00 5.89184396e+00 3.48820289e+01 4.57851141e+00 7.73345922e-01 1.75445903e+02 6.06038283e-01
1.00000000e+00 1.00000000e+00 2.66369010e+00 1.19142470e+00 1.73552811e+00 4.62290905e+00 3.37848637e+00 1.26834813e+00 1.46721088e+01 3.90023349e+00
1.00000000e+00 1.00000000e+00 9.72626165e+00 8.87231505e+00 5.12470577e+00 4.98442292e+01 2.84799645e+00 2.92815118e-01 5.53457724e+02 3.54001357e-01
1.00000000e+00 1.00000000e+00 7.97619541e+00 5.76043421e+00 5.36226658e+00 4.27704861e+01 5.34735728e+00 6.70414528e-01 2.46080352e+02 1.04467330e+00
1.00000000e+00 1.00000000e+00 9.45549047e+00 9.45160929e+00 2.49197086e+00 2.35628067e+01 3.41680380e+00 3.61356591e-01 2.19528176e+02 3.99737260e-01
1.00000000e+00 1.00000000e+00 9.05344615e+00 8.18904912e+00 9.51128332e+00 8.61098914e+01 3.58715498e+00 3.96219840e-01 7.42223110e+02 4.86427028e-01
1.00000000e+00 1.00000000e+00 6.38109981e+00 9.98140699e+00 8.64977834e+00 5.51950989e+01 6.91080457e+00 1.08301151e+00 2.27613617e+02 8.00870668e-01
1.00000000e+00 1.00000000e+00 9.29686812e+00 4.15640634e+00 7.02120104e+00 6.52751800e+01 9.71683599e+00 1.04517305e+00 2.87037545e+02 2.58925816e+00
1.00000000e+00 1.00000000e+00 1.79643252e+00 7.90469460e+00 5.16066005e+00 9.27077753e+00 6.43273481e+00 3.58083854e+00 1.69006487e+01 1.26678814e+00
1.00000000e+00 1.00000000e+00 2.76384576e+00 4.61737822e+00 4.70588987e+00 1.30063538e+01 1.69281520e+00 6.12485410e-01 6.58818088e+01 4.99266142e-01
1.00000000e+00 1.00000000e+00 1.40704560e+00 5.31888058e+00 6.85876120e+00 9.65058978e+00 1.68025252e+00 1.19417063e+00 2.54546083e+01 5.40418817e-01
1.00000000e+00 1.00000000e+00 3.92797298e+00 6.64754917e+00 5.90888682e+00 2.32099478e+01 9.56280899e+00 2.43454042e+00 5.97972696e+01 1.80477784e+00
1.00000000e+00 1.00000000e+00 4.49809561e+00 8.86309403e+00 1.56045795e+00 7.01908906e+00 3.67561711e+00 8.17149619e-01 3.25671413e+01 5.06907263e-01
1.00000000e+00 1.00000000e+00 3.44214129e+00 9.85675122e+00 5.61252384e+00 1.93191000e+01 1.82860287e+00 5.31239924e-01 1.14478447e+02 2.39413854e-01
1.00000000e+00 1.00000000e+00 8.45863758e+00 7.91446072e+00 8.25763256e+00 6.98483211e+01 6.39140128e+00 7.55606470e-01 3.72928405e+02 9.03031552e-01
1.00000000e+00 1.00000000e+00 4.21077994e+00 4.75990104e+00 5.13315890e+00 2.16146025e+01 6.61283900e+00 1.57045467e+00 6.82990004e+01 1.71921509e+00
1.00000000e+00 1.00000000e+00 3.52841059e+00 4.79221302e+00 1.46760920e+00 5.17832783e+00 6.83654338e+00 1.93757025e+00 1.43168337e+01 1.83091060e+00
1.00000000e+00 1.00000000e+00 5.88426475e+00 7.63824071e+00 8.07650379e+00 4.75242866e+01 3.40661825e+00 5.78936944e-01 2.91736182e+02 5.21789682e-01
1.00000000e+00 1.00000000e+00 2.26831802e+00 3.14899431e+00 2.81227404e+00 6.37913189e+00 1.13599616e+00 5.00809915e-01 3.53756252e+01 5.19786926e-01
