G	c	dx1dt	d2x1dt2	d2	d1	Fc	Fg	W	m1
1.000000000000000000e+00	1.000000000000000000e+00	4.406341697401902735e+00	2.629507601707815390e+00	3.270063735470019051e+00	1.503924943984696583e+01	6.997045264162454536e+00	1.616117888186562990e+00	4.579754189631207595e+01	3.267467353446924960e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.654157138837906160e+00	5.886592858311041176e+00	3.286432455805948560e+00	3.062331322685010448e+01	8.191291825551784811e+00	8.451159506322192261e-01	1.535055130428372081e+02	1.534189228624166956e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.659658825923981063e+00	8.833420342447865892e+00	9.151783655107367466e+00	6.979471691508054221e+01	3.208749703489732319e+00	4.238250417130657310e-01	5.545741815761175530e+02	4.466041547470830375e-01
1.000000000000000000e+00	1.000000000000000000e+00	6.335300585273550666e+00	7.629252498140875360e+00	3.225673283575222872e+00	2.064094588101960781e+01	6.596198856014907186e+00	1.035926023110913530e+00	9.146264025367973716e+01	9.993109154827566343e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.299029838520810110e+00	8.272141390580983966e+00	3.457784497327653916e+00	8.321476196976570705e+00	5.948926814055038648e+00	2.533876743027525968e+00	1.895569399966567303e+01	1.019880923147786111e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.531660294436747449e+00	6.932193909937208076e+00	7.869475694776650876e+00	1.932421757488758374e+01	8.608726540045044118e+00	3.544922132690644823e+00	3.628765424665612471e+01	1.697687039902656903e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.645557346751476135e+00	7.317182515357750994e+00	4.997720735780680990e+00	7.373662412364522467e+00	9.184587253729171508e+00	6.005145359334379762e+00	1.055802698760512648e+01	2.076828313396209769e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.805785000922524475e+00	8.679605982218385307e+00	7.945350054551051144e+00	7.034114410265628692e+01	1.067871539734344788e+00	8.628856124409464701e-02	1.626795016037540108e+03	1.573279065301826929e-01
1.000000000000000000e+00	1.000000000000000000e+00	6.341272360595547219e+00	3.208606730488732683e+00	1.624164337005810310e+00	1.031236370450837647e+01	7.005297435296921726e+00	1.102020347880848350e+00	3.962610282966596742e+01	2.504538999207616801e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.424785996190913728e+00	5.400047927468626163e+00	5.293867211592433897e+00	3.988081454698158979e+01	1.439690862193073739e+00	1.882994376721213448e-01	5.952918532455771583e+02	3.162506441273290614e-01
