G	c	dx1dt	d2x1dt2	d2	d1	Fg	Fc	m1	W
1.000000000000000000e+00	1.000000000000000000e+00	3.952143590132434881e+00	2.612360102665674422e+00	3.235142319452129378e+00	1.050233769693077468e+00	7.235008124706164168e+00	-1.653898742140982980e+00	-3.700091947303346895e+00	2.349718172833605934e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.229140359614216749e+00	5.848000256545464737e+00	3.165653481485017018e+00	8.796122952751941337e-01	8.096689531489932534e+00	-7.679270587684534632e-01	-2.677176452537683105e+00	2.623085857772100127e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.363820221101960328e+00	8.952795988018591444e+00	8.633674887372098539e+00	2.689366831044223360e+00	3.323105576564882035e+00	-4.158694246899969915e-01	-1.233183011126758544e+00	2.809920727574886712e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.473254016221284601e+00	7.374022416823373227e+00	3.195827832938762381e+00	1.047155586693271800e+00	6.447869109365242046e+00	-1.078247543133876718e+00	-1.701804156731739903e+00	2.003693854307407562e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.476375044090802557e+00	8.466665876488541187e+00	3.940055168533529883e+00	1.320936117727252057e+00	6.599030362663791394e+00	-2.521998908191358968e+00	-7.861357446275417660e-01	2.023373030825209895e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.220124225155339026e+00	7.002853364693620186e+00	7.587222662755573666e+00	2.751888882490284072e+00	8.805173994631612544e+00	-3.464456600468500458e+00	-1.466152154487468939e+00	6.112993782413673216e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.198755325182708109e-01	7.135805516392279557e+00	4.886566165198334311e+00	2.003229081469620088e+00	9.447906134498019526e+00	-6.084112609739527500e+00	-1.467540611416830787e+00	3.818391250403924175e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.195471830313785233e+00	8.444701206804547056e+00	7.663618795659109750e+00	2.310836984398058291e+00	1.324353324435228352e+00	-1.404784781075391897e-01	-6.985335970713535403e-01	8.481117398446732736e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.332702763062607154e+00	3.195584882191926823e+00	1.757302662026860807e+00	3.401381130392958085e-01	7.206854845438442680e+00	-1.120016274295581260e+00	-3.538635607535119298e+00	1.134675525433281251e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.070567834354136494e+00	5.177597225329845898e+00	5.720322566973536915e+00	1.699327051135832933e+00	1.129712125121332678e+00	-1.665451735915247922e-01	-1.149970249328978289e+00	6.497713121829635341e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.259660966762102596e+00	3.007140158062891810e+00	1.628387590422970543e+00	6.028024289721333195e-01	6.111142857603264034e+00	-4.966096654367349927e+00	-2.247186485010947532e+00	5.423385263631175235e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.784514691616191584e+00	9.912777505632599073e+00	1.219324850808201299e+00	3.387634553856280206e-01	3.619622589445775418e+00	-4.083255972348919238e-01	-1.072750757471680361e+00	4.336523615645307750e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.404662533543591607e+00	9.569329978898222677e+00	9.295920868793443148e+00	2.451807261951207906e+00	4.102942604823939021e+00	-5.497179318842855267e-01	-9.584846316917892128e-01	3.453916984095621956e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.951246787487658008e+00	1.846135380551249483e+00	2.649041743859833264e+00	6.455412410930135847e-01	4.395169688176545186e+00	-1.360905990149615663e+00	-4.426571050144638697e+00	1.095261465129839529e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.323855781134206211e+00	7.313336019825685597e+00	5.932495244050514316e+00	2.009378993133532187e+00	6.740602845710884417e+00	-2.580366823580197089e+00	-1.157109242182386977e+00	3.665645294692878764e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.856284745254030977e+00	9.606671579869253463e+00	4.831940998119223174e+00	1.617684308420839878e+00	3.550582633131939669e+00	-1.492094737606333377e+00	-6.717632543845544202e-01	1.836711519837914963e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.468412553563031686e+00	2.689039632340123109e+00	3.995877641585862339e+00	1.199829515777019351e+00	7.570201794093834202e+00	-2.040993135140724668e+00	-3.881422717626530350e+00	3.179245799121722982e+01
1.000000000000000000e+00	1.000000000000000000e+00	5.558931375831709154e+00	6.045237562141494436e+00	9.159268597320723515e+00	2.641048206419766231e+00	4.489742457385586860e+00	-7.992957064563618319e-01	-1.646878421219190258e+00	3.983866408705807771e+01
1.000000000000000000e+00	1.000000000000000000e+00	5.063080964787278759e+00	9.206249601131281324e+00	1.537736478734977652e+00	2.411677502241209026e-01	1.683486374665706720e+00	-2.122980541326603687e-01	-4.950417844470714757e-01	4.365432886903903409e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.946872155889003864e+00	1.289150786189628306e+00	7.064719957715944076e+00	2.276344520339938171e+00	7.941362639871957008e+00	-2.006725573529852813e+00	-8.156732381766126139e+00	5.329258195609551763e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.935811146738298127e+00	7.354601976546248032e+00	9.325922998864584201e+00	2.784445600065923898e+00	3.497135015785728385e+00	-6.658470361226332956e-01	-1.014819644372763063e+00	3.556376238723844097e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.541160064351817294e+00	3.409298528613204482e+00	5.915608489458200836e+00	2.147082465770661752e+00	5.019148063115419944e+00	-2.099845503732822305e+00	-1.750916334127685436e+00	2.854270186588441405e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.541602900473366677e+00	8.911969921265178840e+00	9.765263171106315809e+00	2.895340649900847385e+00	7.052028657684388691e+00	-1.986491749299746035e+00	-1.016816622765420508e+00	6.468703864632344391e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.880229234087694046e+00	9.921522125220338495e+00	1.559976882664556364e+00	4.269782865472058764e-01	4.025016442640622749e+00	-8.539980713765006337e-01	-6.237974588581658431e-01	7.214028028485587996e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.484859608162264699e+00	9.748218538013304624e+00	4.802010835354439955e+00	1.389736010504514452e+00	1.098013560102915953e+00	-2.271591354764824211e-01	-6.233272799686121468e-01	7.827011935713048985e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.437515160474536202e+00	5.475332363401542501e+00	3.188466084022279823e+00	9.665830453136928790e-01	4.139984334895147278e+00	-4.402667107237006050e-01	-1.807192042485264549e+00	1.722519938902634351e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.615216911545638734e+00	8.801490533778725478e+00	7.905540204483696876e+00	2.586155330055096790e+00	9.677607746381694298e+00	-3.376037871026259740e+00	-1.266924133390507912e+00	6.913926350386765307e+01
1.000000000000000000e+00	1.000000000000000000e+00	5.877397935081086544e+00	8.814354094752502533e+00	1.029063696362676694e+01	2.963620103521524829e+00	6.442634991071546580e+00	-1.267551046091976330e+00	-1.245184671338010585e+00	6.584122788123067949e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.241838677148932035e+00	4.070350099289288259e+00	3.657515068004128178e+00	9.156337064332704667e-01	7.380491216374694297e+00	-1.045994773971895997e+00	-3.015623590493768269e+00	2.240052155152977775e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.824322427898841914e+00	8.679324509717938341e+00	7.285845822045155629e+00	2.774136134768995898e+00	6.954278856444441104e+00	-4.709669541695547856e+00	-8.343689588351548281e-01	3.382014602271155468e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.328573338211426424e+00	1.093980737021253979e+00	2.683846146753329442e+00	8.895980282746211998e-01	2.718327782923530833e+00	-4.482397860939298373e-01	-5.247612970523277021e+00	7.258287119549008182e+00
