G c dx1dt d2x1dt2 d2 d1 Fc W Fg m1
1.00000000e+00 1.00000000e+00 4.37086107e+00 2.66619636e+00 3.35535115e+00 2.60521886e+00 7.05432695e+00 9.55592131e+00 -3.06665319e+00 -4.24666994e+01
1.00000000e+00 1.00000000e+00 9.55642876e+00 5.87710853e+00 3.22280919e+00 2.88250579e+00 8.17013257e+00 1.08837265e+01 -2.82384853e+00 -5.28105863e+01
1.00000000e+00 1.00000000e+00 7.58794548e+00 8.85651252e+00 9.15629122e+00 8.93046870e+00 3.25421109e+00 3.33063131e+01 -7.73864737e+00 -2.15399072e+01
1.00000000e+00 1.00000000e+00 6.38792636e+00 7.59002398e+00 3.24591580e+00 2.98241202e+00 6.62386690e+00 1.01799960e+01 -3.32260247e+00 -3.31315451e+01
1.00000000e+00 1.00000000e+00 2.40416776e+00 8.25905033e+00 3.44754754e+00 3.20538894e+00 6.14571385e+00 1.06701533e+01 -3.57096069e+00 -2.96263884e+01
1.00000000e+00 1.00000000e+00 2.40395068e+00 6.92905030e+00 7.83458436e+00 7.54594452e+00 8.49547339e+00 2.86165124e+01 -2.77528014e+00 -1.36424092e+02
1.00000000e+00 1.00000000e+00 1.52275251e+00 7.23048908e+00 5.04765858e+00 4.77105212e+00 9.15478354e+00 1.90254721e+01 -2.65439245e+00 -1.04132299e+02
1.00000000e+00 1.00000000e+00 8.79558531e+00 8.64276086e+00 7.99039501e+00 7.75898748e+00 1.10941094e+00 6.85039162e+01 -2.46425668e+01 -4.76405054e+00
1.00000000e+00 1.00000000e+00 6.41003511e+00 3.24701208e+00 1.58829542e+00 9.72344522e-01 7.06617927e+00 3.85104935e+00 -2.94805820e+00 -2.26167424e+01
1.00000000e+00 1.00000000e+00 7.37265320e+00 5.40482467e+00 5.38814074e+00 5.01810099e+00 1.46652219e+00 3.46615992e+01 -1.79330210e+01 -4.56535519e+00
1.00000000e+00 1.00000000e+00 1.18526045e+00 2.99088498e+00 1.30252240e+00 6.33824001e-01 5.93972799e+00 2.62442116e+00 -3.15428073e+00 -1.52337745e+01
1.00000000e+00 1.00000000e+00 9.72918867e+00 9.88901207e+00 1.56387883e+00 1.36163416e+00 3.58869456e+00 4.96623241e+00 -6.40216361e+00 -4.79590631e+00
1.00000000e+00 1.00000000e+00 8.49198377e+00 9.49653406e+00 9.15793708e+00 8.94733393e+00 3.76098940e+00 3.09811366e+01 -6.47444739e+00 -2.76307083e+01
1.00000000e+00 1.00000000e+00 2.91105200e+00 1.35484130e+00 2.25320834e+00 7.77020689e-01 4.17662653e+00 3.77897022e+00 -3.59113949e+00 -1.91173136e+01
1.00000000e+00 1.00000000e+00 2.63642470e+00 7.35017655e+00 5.79178614e+00 5.51968383e+00 6.59163204e+00 1.86155947e+01 -3.36045891e+00 -5.74726015e+01
1.00000000e+00 1.00000000e+00 2.65064059e+00 9.32723486e+00 4.69986042e+00 4.48543460e+00 4.00644969e+00 1.52386309e+01 -5.90341457e+00 -1.62545163e+01
