G	c	dx1dt	d2x1dt2	dx2dt	Fc	m1	Fg	d1	d2	W
1.000000000000000000e+00	1.000000000000000000e+00	4.580469866391284839e+00	2.721625477773165436e+00	3.093289846347807792e+00	7.010264325491320392e+00	6.397203344679464720e+00	1.246364295763135388e+01	4.495857268591943345e+00	-1.198795427820210513e+01	-4.567365759153336313e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.588347898455239715e+00	5.892626849651580123e+00	3.285017546173973901e+00	8.120793251110955069e+00	8.207793719082296491e+00	1.013410250642515109e+01	5.302099642530605728e+00	-8.112859154535465578e+00	-4.485221119515197863e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.536679337700704195e+00	9.152460123667857772e+00	9.372679070244213761e+00	3.276676882791895729e+00	7.760468174716275591e+00	3.186429542648766766e+00	8.599129805825329598e+00	-7.927789858343014195e+00	-1.317073513162604215e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.314816861448338869e+00	7.474600770823538909e+00	3.419750645992614579e+00	6.926530035670254826e+00	2.322595580637288659e+00	1.049231514894987249e+01	3.936472994435851636e+00	-1.024608160228948961e+01	-1.611191087846671310e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.231498052246176478e+00	7.708060406769464024e+00	3.124479276933497918e+00	5.903540274914068853e+00	2.093032424096289201e+00	8.948973056673168003e+00	8.384457929639056672e+00	-2.525141483913572316e+01	-6.246098115489131519e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.754450774949904091e+00	6.827836803827810108e+00	7.875130733296354713e+00	8.888172455988685883e+00	3.807631464496440188e+00	1.390293631742803449e+01	1.885718254852660092e+00	-4.122589295185800751e+00	-1.391774069879256714e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.526165737831344238e+00	6.778084698864883961e+00	4.860664391936308171e+00	9.268795246074098770e+00	4.560047462763908932e+00	1.337068281572158845e+01	7.463290675246962991e+00	-2.370924935641984277e+01	-3.070470274996391247e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.452114355688072678e+00	8.758383256567093156e+00	8.269528303543550507e+00	1.117173908670420213e+00	4.345734715837354933e+00	1.377396262183270048e+00	8.636454092193822873e+00	1.031853571032580952e+01	4.551955521132102334e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.306129547529747192e+00	2.781404336045111059e+00	1.543759787834284358e+00	7.394565135449347792e+00	7.336228132306327865e+00	9.511388065548342041e+00	2.142834208845774135e+00	-3.389100126161380899e+00	-6.713005157996194683e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.407383723470233328e+00	5.129901562224316258e+00	4.968629582173926806e+00	1.146574900633618777e+00	1.007641566789313714e+00	1.854890238107366196e+00	4.886972737021141988e+00	-8.063524725015366101e+00	-9.198059602768280385e-01
1.000000000000000000e+00	1.000000000000000000e+00	1.428220429349306819e+00	2.890098828815205412e+00	1.241838702659415095e+00	6.081029413959542218e+00	1.580395296112547143e+00	-1.162481050567020446e+01	2.487819471847354524e+00	-7.746804784101079200e+00	1.562825044795938867e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.565569232860399396e+00	1.031847395395713995e+01	1.690455118273161306e+00	3.705165921187339340e+00	4.337545838525467268e+00	3.837846600639177819e+00	7.470078322858871189e+00	-1.074237700874085100e+01	-1.496315570678666607e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.346453125891429181e+00	9.198101319371485118e+00	9.225302902654842541e+00	3.507790926932223829e+00	7.372491209398683409e+00	3.370115738798501681e+00	6.054662660049232592e+00	-1.887538110187613194e+00	-5.371223502844608078e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.917393095608926679e+00	1.358291842663839732e+00	2.111910377781094805e+00	4.301306884843443257e+00	2.215421152126028304e+00	-3.391291318623439111e+01	7.005273073608758949e+00	-2.012721988944303320e+01	3.988724708966015164e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.872786949814296165e+00	7.511501551345888039e+00	5.630202354421752098e+00	6.668313904860945662e+00	6.447076354940636023e+00	7.571098322991334229e+00	2.326733492195215636e+00	-5.628488943625736596e+00	-1.131083875331272104e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.280234466784369030e+00	9.740037859737959991e+00	4.427227661189468755e+00	3.958070862724288652e+00	3.466103272232030630e+00	5.031011460332107887e+00	2.889746314599342725e+00	-6.746028879908575249e+00	-7.735941762160583934e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.874936960368039252e+00	2.841527777130658183e+00	4.017106447647138978e+00	7.827829227698082093e+00	8.783884462012526484e+00	1.097709447693153528e+01	1.925095153586040109e+00	-1.065021226169001967e+00	-7.366978716866508137e+01
1.000000000000000000e+00	1.000000000000000000e+00	5.597225390047014137e+00	6.415785807203881141e+00	8.862262056051635639e+00	4.485990448917594797e+00	8.832447800226795209e+00	4.909836440018266579e+00	3.931278180241710718e+00	-1.345886473408782091e+00	-9.427283206683210892e+01
1.000000000000000000e+00	1.000000000000000000e+00	4.799708701221201856e+00	9.479808419058226576e+00	1.464234408731928117e+00	1.688346319521287331e+00	4.055744137298413321e+00	2.387826345151950136e+00	5.809655656245801936e+00	-6.700804890578401896e+00	-2.150237336026157298e-01
1.000000000000000000e+00	1.000000000000000000e+00	4.162719578967790213e+00	9.691868396744345304e-01	6.725318847161944724e+00	8.018198599064785270e+00	3.672092771985226101e+00	-8.093258565131467464e+00	8.699551492103049455e+00	-2.841817608084956959e+01	1.261387765491271074e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.453508442584093174e+00	7.376833569854563066e+00	9.704310519465321860e+00	3.405445686074942468e+00	4.956929054917186939e+00	3.938146217777014790e+00	6.897104001854619248e+00	-1.381854986851913480e+01	-6.917069683591703821e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.459676538094231368e+00	3.912202722644079866e+00	6.056506011557861946e+00	5.031017099924495639e+00	2.867413440467057484e+00	8.405406357312008581e+00	4.595853825691368577e+00	-1.357588472088402298e+01	-3.216489151466290330e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.823851030844221732e+00	9.053507755849986793e+00	9.692484465759715562e+00	7.112767370469513573e+00	7.531744486599265542e+00	7.524063156397537533e+00	9.816484148259247533e+00	-2.541967837501183780e+01	-5.984402754750548503e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.977923888660215290e+00	9.578259485511502191e+00	1.771076514244276368e+00	3.593408561417623215e+00	8.009330151372996198e+00	4.418170741360348153e+00	7.633499987671849674e+00	-1.365083194082351703e+01	-2.593818124734648123e+00
