G	c	dx1dt	d2x1dt2	dx2dt	d1	d2	m1	Fc	Fg	W
1.000000000000000000e+00	1.000000000000000000e+00	4.044044947708267834e+00	3.500812690073312972e+00	3.660221555041661023e+00	5.217871826252043377e+00	7.120845727824995919e+00	-1.736332318724464230e+01	6.529526564730078420e+00	8.889574178986235253e+00	-8.692178734849900223e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.891946478907930995e+00	5.612661271680080333e+00	2.860819438272832915e+00	-4.669929699800306366e+00	8.122233047182218613e+00	1.436723343484938198e+01	7.488916693431562521e+00	6.437631377635647745e+00	-7.211328539009913108e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.845665836991143394e+00	8.847757012879812422e+00	9.027505063213434156e+00	8.413851663453627339e+00	3.418049295859705072e+00	-6.552124997517674387e+01	7.194278166192106028e+00	3.799331419278549049e+01	-3.295405412245967725e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.543506028776565842e+00	8.028556404009874470e+00	3.586460358348809940e+00	-3.411986553874444272e-01	6.867047080884191246e+00	-2.927551682505795227e+01	1.603536843472733509e+00	4.862356146127990719e+00	-2.235930389321895362e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.884174763705523725e+00	8.550099487394598796e+00	3.056159205248085708e+00	1.094728930956261514e+01	5.235276364485001999e+00	-1.556345491881311318e+02	2.457025498712237965e+00	-3.142870630191103132e+00	-6.106039449346577497e-01
1.000000000000000000e+00	1.000000000000000000e+00	1.981375525694326178e+00	7.346572047996087207e+00	8.324056186200873952e+00	1.412627541204526693e+01	7.799936787970518814e+00	-6.987124687321791043e+02	2.926935397470161515e+00	2.464292039144209134e+00	-4.440397308096259987e-01
1.000000000000000000e+00	1.000000000000000000e+00	1.739592117009637340e+00	7.731411750747779976e+00	5.135001997026148679e+00	-1.041206556852277743e+01	9.566939642345351658e+00	3.218294123782108045e+02	4.914387002073529409e+00	2.441877401090727595e+00	-2.712448675487840744e-01
1.000000000000000000e+00	1.000000000000000000e+00	9.971941373821042731e+00	7.671370094771461368e+00	8.201111303570186806e+00	7.400532518621544043e+00	1.934588127368221055e+00	-2.826196557554721522e+01	5.076243757327661754e+00	7.032591464248405089e+01	-4.541528878514697887e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.916964566423042804e+00	2.460188404193319300e+00	2.383692263092755947e+00	3.108868468357219417e+00	6.542484973761147238e+00	-3.863928896778942601e+01	7.226281485049954156e+00	4.692280391889979363e+00	-7.691421825626711950e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.762274814739684281e+00	6.056364593874497437e+00	5.585024544689163761e+00	1.081412310040247959e+01	1.606677508174554125e+00	-9.813230938089557043e+00	1.675683689900632656e+00	1.273783277136350733e+01	-8.028446137028824481e+00
