G c dx1dt d2x1dt2 dx2dt Fc Fg d1 m1 W d2
1.00000000e+00 1.00000000e+00 4.37086107e+00 2.66619636e+00 3.35535115e+00 7.05432695e+00 6.16669661e+01 1.10012705e+01 6.14796290e+00 4.24698388e+00 9.77768064e+01
1.00000000e+00 1.00000000e+00 9.55642876e+00 5.87710853e+00 3.22280919e+00 8.17013257e+00 1.56154580e+02 1.04808500e+01 8.24889096e+00 5.01977775e+00 6.07703822e+02
1.00000000e+00 1.00000000e+00 7.58794548e+00 8.85651252e+00 9.15629122e+00 3.25421109e+00 4.93855526e+01 1.56895704e+01 7.84144837e+00 5.67399594e+00 2.53384582e+02
1.00000000e+00 1.00000000e+00 6.38792636e+00 7.59002398e+00 3.24591580e+00 6.62386690e+00 8.46255479e+01 5.46366419e+00 2.38509914e+00 1.35927300e+00 2.94904958e+02
1.00000000e+00 1.00000000e+00 2.40416776e+00 8.25905033e+00 3.44754754e+00 6.14571385e+00 2.95506542e+01 2.00712729e+00 2.34324523e+00 1.35036557e+00 4.04118967e+01
1.00000000e+00 1.00000000e+00 2.40395068e+00 6.92905030e+00 7.83458436e+00 8.49547339e+00 4.08453981e+01 5.43622967e+00 3.41356931e+00 2.46384056e+00 2.56220894e+01
1.00000000e+00 1.00000000e+00 1.52275251e+00 7.23048908e+00 5.04765858e+00 9.15478354e+00 2.78809392e+01 2.12608986e+00 4.24967254e+00 2.88575726e+00 1.19751752e+01
1.00000000e+00 1.00000000e+00 8.79558531e+00 8.64276086e+00 7.99039501e+00 1.10941094e+00 1.95158372e+01 1.62633682e+01 4.67610023e+00 3.34882660e+00 3.49968744e+02
1.00000000e+00 1.00000000e+00 6.41003511e+00 3.24701208e+00 1.58829542e+00 7.06617927e+00 9.05889144e+01 6.27101417e+00 7.11727495e+00 3.04774735e+00 7.08835357e+02
1.00000000e+00 1.00000000e+00 7.37265320e+00 5.40482467e+00 5.38814074e+00 1.46652219e+00 2.16243191e+01 1.46997897e+01 1.51012389e+00 1.06230894e+00 2.59937873e+02
1.00000000e+00 1.00000000e+00 1.18526045e+00 2.99088498e+00 1.30252240e+00 5.93972799e+00 1.40802493e+01 1.03235551e+00 1.31205434e+00 4.05783434e-01 5.46277285e+01
1.00000000e+00 1.00000000e+00 9.72918867e+00 9.88901207e+00 1.56387883e+00 3.58869456e+00 6.98301729e+01 3.07720773e+00 4.52719507e+00 -1.18091881e+00 -3.07235752e+03
1.00000000e+00 1.00000000e+00 8.49198377e+00 9.49653406e+00 9.15793708e+00 3.76098940e+00 6.38765218e+01 1.63784076e+01 7.27447323e+00 5.24992883e+00 3.19466385e+02
1.00000000e+00 1.00000000e+00 2.91105200e+00 1.35484130e+00 2.25320834e+00 4.17662653e+00 2.43167540e+01 9.68261984e+00 2.74091809e+00 1.87282727e+00 4.44040457e+01
1.00000000e+00 1.00000000e+00 2.63642470e+00 7.35017655e+00 5.79178614e+00 6.59163204e+00 3.47566831e+01 4.15489559e+00 6.77354033e+00 4.70910864e+00 3.39670029e+01
