G	c	dx1dt	d2x1dt2	dx2dt	Fc	Fg	d1	m1	W	d2
1.000000000000000000e+00	1.000000000000000000e+00	4.044044947708267834e+00	3.500812690073312972e+00	3.660221555041661023e+00	6.845367831226997879e+00	6.238210921163375389e+01	1.231248880980053784e+01	6.529526564730078420e+00	4.141994965860659406e+00	1.227775418172063837e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.891946478907930995e+00	5.612661271680080333e+00	2.860819438272832915e+00	7.234385275968090667e+00	1.556396124237195124e+02	1.201199675342949114e+01	7.488916693431562521e+00	4.396617003945708646e+00	5.931625471226333275e+02
1.000000000000000000e+00	1.000000000000000000e+00	6.845665836991143394e+00	8.847757012879812422e+00	9.027505063213434156e+00	3.972670543799747822e+00	5.114697648922503248e+01	1.446672900406822748e+01	7.194278166192106028e+00	5.702150251602227549e+00	2.822987438793262527e+02
1.000000000000000000e+00	1.000000000000000000e+00	6.543506028776565842e+00	8.028556404009874470e+00	3.586460358348809940e+00	6.322058735866860957e+00	8.723997704213959992e+01	5.229493446989518901e+00	1.603536843472733509e+00	1.794589710992497977e+00	3.534304713608484008e+02
1.000000000000000000e+00	1.000000000000000000e+00	1.884174763705523725e+00	8.550099487394598796e+00	3.056159205248085708e+00	6.679102432370832787e+00	1.976254447176413009e+01	3.837778196355810856e+00	2.457025498712237965e+00	7.627067788170088791e-01	4.788740272177663826e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.981375525694326178e+00	7.346572047996087207e+00	8.324056186200873952e+00	8.229098783959704733e+00	3.336768690183037478e+01	3.610252527414930412e+00	2.926935397470161515e+00	2.505937228957793472e+00	7.951478106719790162e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.739592117009637340e+00	7.731411750747779976e+00	5.135001997026148679e+00	8.507918833275285309e+00	3.231202779103742273e+01	3.805274744829161726e+00	4.914387002073529409e+00	3.104533142929626344e+00	2.703855756478110806e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.971941373821042731e+00	7.671370094771461368e+00	8.201111303570186806e+00	1.745766198378484901e+00	2.838731380734598275e+01	1.539170684125478061e+01	5.076243757327661754e+00	3.615999307680370478e+00	3.541856219309964331e+02
1.000000000000000000e+00	1.000000000000000000e+00	5.916964566423042804e+00	2.460188404193319300e+00	2.383692263092755947e+00	7.114197849733863599e+00	8.495867913707297703e+01	5.000001521699715568e+00	7.226281485049954156e+00	2.803538575142296541e+00	6.848451019118668910e+02
1.000000000000000000e+00	1.000000000000000000e+00	7.762274814739684281e+00	6.056364593874497437e+00	5.585024544689163761e+00	2.487977026678890979e+00	2.313112835941042889e+01	1.465235700447655454e+01	1.675683689900632656e+00	7.015770856713023917e-01	1.663317027629741460e+02
1.000000000000000000e+00	1.000000000000000000e+00	1.016010849256991921e+00	2.555991319386894833e+00	1.341953537278725905e+00	5.687181615364872656e+00	1.877740534639162107e+01	-6.276869064205976567e-01	8.964804995498891760e-01	2.136563790499722559e-01	1.026320893428233774e+02
1.000000000000000000e+00	1.000000000000000000e+00	9.472242843644504973e+00	9.514808710225180377e+00	1.518276358590739283e+00	3.347837084831347454e+00	7.121272705011126902e+01	2.581222829522222817e-01	4.111760370012047971e+00	-7.911772583067706588e-01	-3.074446346738982811e+03
1.000000000000000000e+00	1.000000000000000000e+00	9.071845569844160906e+00	8.793995096593491212e+00	9.083584199133092341e+00	4.304920405744740997e+00	6.242872236660002727e+01	1.649139980145898932e+01	7.661765685696043882e+00	4.690435103851360310e+00	3.739504105983962745e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.454511391601565951e+00	1.129562482235565657e+00	2.425649166372812360e+00	4.724326223933761781e+00	2.058822373380778004e+01	1.047662371164957307e+01	3.238437966786718469e+00	1.474872452444834003e+00	7.135469259349484616e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.011782961877429887e+00	7.155846583297945429e+00	6.544565584791991242e+00	6.674689668455694225e+00	4.631078655843219849e+01	5.961009991757511450e+00	7.156058985412754758e+00	4.558965151519413617e+00	1.292866267235190776e+02
