G	c	dx1dt	d2x1dt2	dx2dt	Fc	W	d1	Fg	m1	d2
1.000000000000000000e+00	1.000000000000000000e+00	4.274057688439908631e+00	2.611094311556829251e+00	3.350343768445537496e+00	7.936019777009828857e+00	6.114899208603327807e+00	3.764887178854469330e+00	4.816020740790786014e+00	1.019089336358640985e+01	4.489777909346111429e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.011099864100127377e+01	5.225592582543468367e+00	3.325133408221590425e+00	7.608268426055445843e+00	8.262695094418162967e+00	5.702222030147694021e+00	6.449933228786446371e+00	5.775994475728952970e+00	3.978410034028988296e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.210762335894376207e+00	8.521581114766087595e+00	9.684951509325685493e+00	2.918548524325168092e+00	8.688455708585152593e+00	8.283623999220798950e+00	2.452469538479071787e+00	1.225933204762510664e+00	1.952701181532227936e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.645314033811166254e+00	6.610268590306091596e+00	3.894978992056649325e+00	6.235876078749359230e+00	2.642343899457986645e+00	3.614822019418171273e+00	6.297821206310477038e+00	9.552247956496559667e+00	2.044575456394720270e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.738190870439986657e+00	7.746739856275169700e+00	3.232337643288422768e+00	6.313615798732968187e+00	2.400518244415093871e+00	8.332130005324284383e+00	5.337022066211594584e+00	1.836696871787669494e+01	-3.051915823558344787e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.846539086634405802e+00	7.165963601204835776e+00	7.057331946667476430e+00	8.525858370553796917e+00	3.772646766045276046e+00	2.424685780423147197e+00	6.055417878969476142e+00	5.835738752852661193e+00	-1.831087753988893119e-01
1.000000000000000000e+00	1.000000000000000000e+00	7.943470291937145822e-01	7.203923409775318198e+00	4.944180326335097853e+00	9.263087948039283148e+00	4.608789263358152866e+00	8.107507664130087832e+00	8.412479716565547605e+00	2.077729263054535735e+01	1.361958029886052746e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.109213904142084317e+00	8.518374182706939024e+00	7.869319942756648700e+00	6.327052423209391652e-01	5.191380391965561891e+00	8.815843215565946522e+00	5.687712121401987675e-01	8.268118451853362361e-02	-1.025314975559185271e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.894953594703003397e+00	2.805796575560456585e+00	1.745440452103221851e+00	7.870009671766516668e+00	6.704989247247697293e+00	3.014659098803286419e+00	4.768764927765333894e+00	4.013367773991051379e+00	1.960700345389335020e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.858675097405887655e+00	4.418811495770598619e+00	5.848092059181949409e+00	1.220730527250678765e+00	1.248382842922245883e+00	4.849873552638519492e+00	1.442821645619602577e+00	2.547290312764676212e-01	-3.027221485125676459e+00
