G c dx1dt d2x1dt2 dx2dt m1 d1 W Fg Fc d2
1.00000000e+00 1.00000000e+00 4.37086107e+00 2.66619636e+00 3.35535115e+00 7.05432695e+00 6.14796290e+00 2.29485020e+00 4.54271968e+00 4.83056821e-01 4.22263774e+00
1.00000000e+00 1.00000000e+00 9.55642876e+00 5.87710853e+00 3.22280919e+00 8.17013257e+00 8.24889096e+00 1.98090449e+00 5.26092093e+00 2.19128546e-01 1.76728046e+00
1.00000000e+00 1.00000000e+00 7.58794548e+00 8.85651252e+00 9.15629122e+00 3.25421109e+00 7.84144837e+00 8.30002555e-01 8.69092654e+00 6.03097618e-01 9.46621695e+00
1.00000000e+00 1.00000000e+00 6.38792636e+00 7.59002398e+00 3.24591580e+00 6.62386690e+00 2.38509914e+00 5.55437447e+00 4.06003947e+00 1.61512265e-01 1.38813387e+00
1.00000000e+00 1.00000000e+00 2.40416776e+00 8.25905033e+00 3.44754754e+00 6.14571385e+00 2.34324523e+00 5.24547220e+00 8.82684716e+00 3.47802865e-01 1.43909814e+00
1.00000000e+00 1.00000000e+00 2.40395068e+00 6.92905030e+00 7.83458436e+00 8.49547339e+00 3.41356931e+00 4.97747233e+00 1.79320988e+00 6.09256008e-02 8.85845960e+00
1.00000000e+00 1.00000000e+00 1.52275251e+00 7.23048908e+00 5.04765858e+00 9.15478354e+00 4.24967254e+00 4.30846540e+00 7.99118593e+00 2.41449036e-01 3.52380826e+00
1.00000000e+00 1.00000000e+00 8.79558531e+00 8.64276086e+00 7.99039501e+00 1.10941094e+00 4.67610023e+00 4.74502636e-01 8.62792870e+00 1.79966471e+00 7.38727051e+00
1.00000000e+00 1.00000000e+00 6.41003511e+00 3.24701208e+00 1.58829542e+00 7.06617927e+00 7.11727495e+00 1.98564179e+00 2.63635888e+00 2.29808437e-01 7.76924222e-01
1.00000000e+00 1.00000000e+00 7.37265320e+00 5.40482467e+00 5.38814074e+00 1.46652219e+00 1.51012389e+00 1.94225415e+00 4.87311879e+00 1.22960818e+00 5.37150831e+00
1.00000000e+00 1.00000000e+00 1.18526045e+00 2.99088498e+00 1.30252240e+00 5.93972799e+00 1.31205434e+00 9.05408841e+00 2.48949797e+00 2.80269284e-01 5.67245020e-01
1.00000000e+00 1.00000000e+00 9.72918867e+00 9.88901207e+00 1.56387883e+00 3.58869456e+00 4.52719507e+00 1.58539427e+00 7.35943716e+00 4.14748853e-01 2.47316616e-01
1.00000000e+00 1.00000000e+00 8.49198377e+00 9.49653406e+00 9.15793708e+00 3.76098940e+00 7.27447323e+00 1.03402385e+00 5.81812991e+00 3.25796317e-01 8.83141271e+00
1.00000000e+00 1.00000000e+00 2.91105200e+00 1.35484130e+00 2.25320834e+00 4.17662653e+00 2.74091809e+00 3.04761135e+00 6.71791012e+00 2.37437939e+00 3.74726384e+00
