G	c	dx1dt	d2x1dt2	dx2dt	m1	d1	W	Fg	Fc	d2
1.000000000000000000e+00	1.000000000000000000e+00	4.452656382238261656e+00	2.664088322750513438e+00	3.389877457967348295e+00	6.981188217226667270e+00	6.158653752023089289e+00	2.264065783838472790e+00	4.535494366482524242e+00	4.805097855883046498e-01	4.213415466077377047e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.485383514591990917e+00	5.948400114944314865e+00	3.224481346882574595e+00	8.124744218393567863e+00	8.320384830818403188e+00	1.987837165504620751e+00	5.228470817156718020e+00	2.334766685322507418e-01	1.812265298856683193e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.643229948689745257e+00	8.859164637376689910e+00	9.243154309308454941e+00	3.276433363788353592e+00	7.860193153619027484e+00	8.010360708177487465e-01	8.756166704180115445e+00	6.109103865742894213e-01	9.538825749898437678e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.432434066077546753e+00	7.498425987179970775e+00	3.331237819768116282e+00	6.624381811606296466e+00	2.419066281362563409e+00	5.534644437385783711e+00	3.982560413948153411e+00	1.601766537000938462e-01	1.292723112622041093e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.441967278359393756e+00	8.282976859606513642e+00	3.471458852011360285e+00	6.128999415058649092e+00	2.429509499643398129e+00	5.255349113629566027e+00	8.956369415039187487e+00	3.540107504165382890e-01	1.609719058058284968e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.464405057866025484e+00	6.884332282889741528e+00	7.851880284584092706e+00	8.446134401035044093e+00	3.431477069120689727e+00	4.909694484476435861e+00	1.841343553581567205e+00	5.221246545410868772e-02	8.904933662216487633e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.517740744614537007e+00	7.162797399685957522e+00	5.051299066068876797e+00	9.240144341024709718e+00	4.242991580585736777e+00	4.354292690995238857e+00	7.893642984651603633e+00	2.432186895514505953e-01	3.572143330244080150e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.694430658261644851e+00	8.596355293057886371e+00	7.843790633004779522e+00	1.064047979084964624e+00	4.631515610262209037e+00	4.757202965057058530e-01	8.615630530762173223e+00	1.793032462155658147e+00	7.232633792221195179e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.406122407886449821e+00	3.277192435227424649e+00	1.511292703226221112e+00	7.079798933211677081e+00	7.227423814795234769e+00	1.949565051466728427e+00	2.627112146992265806e+00	2.178680452609110529e-01	8.508494781958401143e-01
1.000000000000000000e+00	1.000000000000000000e+00	7.319006706351058433e+00	5.474851518244049586e+00	5.393699690462210761e+00	1.440112004656184830e+00	1.538804673215483643e+00	1.913870654331987442e+00	4.894618397437549895e+00	1.235155801270628073e+00	5.418625243256449231e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.145649968264480290e+00	3.017751124996571388e+00	1.336537193002937274e+00	5.941691924313821538e+00	1.260656846121022134e+00	9.081757634684009872e+00	2.435218893202797830e+00	2.866941233443699444e-01	7.183614331750822757e-01
1.000000000000000000e+00	1.000000000000000000e+00	9.661945078424874822e+00	9.924172506283674977e+00	1.579873387628299319e+00	3.613466693334983049e+00	4.463402177276798888e+00	1.602165035337454801e+00	7.361194128111741897e+00	4.179819000213022551e-01	2.183561838581677683e-01
1.000000000000000000e+00	1.000000000000000000e+00	8.466148391361256742e+00	9.522850305279291661e+00	9.108658274410968758e+00	3.686812266473371569e+00	7.342726958398586135e+00	1.072718233839892621e+00	5.811485081316411616e+00	3.245025184505965221e-01	8.739519974418943349e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.878760882234203677e+00	1.360478288662248847e+00	2.304968648384976060e+00	4.176268367864613751e+00	2.684409181271497857e+00	3.028561247475126006e+00	6.677443045946295896e+00	2.365424700753281151e+00	3.683787629987805623e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.507743274590986893e+00	7.388947886667840415e+00	5.873641533468950016e+00	6.656090652120536078e+00	6.874517710769204371e+00	1.954563934173365825e+00	2.720282490897404148e+00	1.060665982360647630e-01	4.516823241377051268e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.688538763383698793e+00	9.192674613609522538e+00	4.751652937162440082e+00	4.101806400699343769e+00	3.188310147473860656e+00	2.412085430122426821e+00	2.956120040465838539e+00	1.486602237477753219e-01	2.264093921919965613e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.858350869303925013e+00	2.631358127999273488e+00	4.180732166572483699e+00	7.587253315516383267e+00	9.052262999295763279e+00	1.711763219344173415e+00	1.280398351173740901e+00	1.361336218497714856e-01	6.605166610895559565e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.755619310063215366e+00	6.053376262890108883e+00	9.067621610143202560e+00	4.643002830230361866e+00	9.087730406706938879e+00	1.055764347394296587e+00	3.924825120540398338e+00	2.825280178961640520e-01	1.366891335963309118e+01
1.000000000000000000e+00	1.000000000000000000e+00	4.876522298478088935e+00	9.304088761290337573e+00	1.255819903001482274e+00	1.734886558843357740e+00	3.682044616439901663e+00	8.588556891275022087e-01	6.081454804164901695e+00	8.166641829189986712e-01	1.367067209766882618e-01
1.000000000000000000e+00	1.000000000000000000e+00	3.618099215910633770e+00	1.297327331181592935e+00	6.982155464145801460e+00	8.115276292207948217e+00	3.060386660451662966e+00	5.243710835793010006e+00	8.709423725273763850e+00	1.647289660659768895e+00	3.721941771735411209e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.483890994061328961e+00	7.278504100350894568e+00	9.698796223692911056e+00	3.538408988795435750e+00	4.804722819841467540e+00	1.502339792635543292e+00	7.005220298469293283e+00	5.339184558056885299e-01	1.268285591617001273e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.260318078729293578e+00	3.592411577538945799e+00	6.061691522958636114e+00	4.861394021954644984e+00	3.203297397661438062e+00	3.091887827198476213e+00	4.982398344658977685e+00	5.415866214785524102e-01	9.993612183089414458e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.627298847601177378e+00	9.376133646034000790e+00	9.424694065377645202e+00	7.220776563539136994e+00	7.002257559964455425e+00	2.052825788018580955e+00	9.539411604551014889e+00	2.688163725410767646e-01	9.698418359519333620e+00
1.000000000000000000e+00	1.000000000000000000e+00	4.251736450276077051e+00	9.774423450372236033e+00	1.422834570131543463e+00	3.937374174415039452e+00	8.340954030193735491e+00	9.004527806750197705e-01	7.440199072354337417e+00	3.884154416658933684e-01	1.626807923845008663e-01
1.000000000000000000e+00	1.000000000000000000e+00	5.195712979397054454e+00	9.529382278121268257e+00	4.764604569656087030e+00	1.568153642701318073e+00	7.067486466833799774e+00	4.586410324668914740e-01	9.344303701389300443e+00	1.305696781943177065e+00	2.383716378934555014e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.986094267755419196e+00	5.222698222479455588e+00	3.395905657998333549e+00	4.383386332099828309e+00	8.419095685914243177e+00	1.005204227190858779e+00	5.812223624651418064e+00	4.991376922507087532e-01	2.159852839299737148e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.835942362617899892e+00	8.715345070509343373e+00	7.553011924419374523e+00	9.528063408635279785e+00	4.490143039808136116e+00	4.146325818046515899e+00	3.401036036286001707e+00	8.956355942897936684e-02	6.716082518260746426e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.622632821729227182e+00	8.613383775899082551e+00	9.881001332838504680e+00	6.761711615362188788e+00	2.403835483525281536e+00	5.664974033246772400e+00	1.398859123514631042e+00	5.126018196590006321e-02	1.125709838288162778e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.434610011019979758e+00	3.833268231781142621e+00	3.349469033998048406e+00	7.009217558795572067e+00	7.610296609538543144e+00	1.852575218843248495e+00	7.589967842682288968e+00	5.495379169992455903e-01	2.845722598168359152e+00
