G c dx1dt d2x1dt2 dx2dt d1 d2 Fg Fc W m1
1.00000000e+00 1.00000000e+00 4.37086107e+00 2.66619636e+00 3.35535115e+00 7.05432695e+00 -5.58280224e+00 6.14796290e+00 4.74138356e+00 0.00000000e+00 0.00000000e+00
1.00000000e+00 1.00000000e+00 9.55642876e+00 5.87710853e+00 3.22280919e+00 8.17013257e+00 -5.29656858e+00 8.24889096e+00 7.38571381e+00 0.00000000e+00 0.00000000e+00
1.00000000e+00 1.00000000e+00 7.58794548e+00 8.85651252e+00 9.15629122e+00 3.25421109e+00 -1.03785116e+01 7.84144837e+00 6.80803973e+00 0.00000000e+00 0.00000000e+00
1.00000000e+00 1.00000000e+00 6.38792636e+00 7.59002398e+00 3.24591580e+00 6.62386690e+00 -5.73015361e+00 2.38509914e+00 2.01172302e+00 0.00000000e+00 0.00000000e+00
1.00000000e+00 1.00000000e+00 2.40416776e+00 8.25905033e+00 3.44754754e+00 6.14571385e+00 -5.92970386e+00 2.34324523e+00 1.36858561e+00 0.00000000e+00 0.00000000e+00
1.00000000e+00 1.00000000e+00 2.40395068e+00 6.92905030e+00 7.83458436e+00 8.49547339e+00 -5.23162694e+00 3.41356931e+00 1.99358622e+00 0.00000000e+00 0.00000000e+00
1.00000000e+00 1.00000000e+00 1.52275251e+00 7.23048908e+00 5.04765858e+00 9.15478354e+00 -5.11813306e+00 4.24967254e+00 1.45888906e+00 0.00000000e+00 0.00000000e+00
1.00000000e+00 1.00000000e+00 8.79558531e+00 8.64276086e+00 7.99039501e+00 1.10941094e+00 4.98281866e+00 4.67610023e+00 4.14445850e+00 0.00000000e+00 0.00000000e+00
1.00000000e+00 1.00000000e+00 6.41003511e+00 3.24701208e+00 1.58829542e+00 7.06617927e+00 -5.57909927e+00 7.11727495e+00 6.00694173e+00 0.00000000e+00 0.00000000e+00
1.00000000e+00 1.00000000e+00 7.37265320e+00 5.40482467e+00 5.38814074e+00 1.46652219e+00 1.09959378e+01 1.51012389e+00 1.30529615e+00 0.00000000e+00 0.00000000e+00
1.00000000e+00 1.00000000e+00 1.18526045e+00 2.99088498e+00 1.30252240e+00 5.93972799e+00 -6.03059704e+00 1.31205434e+00 2.05078787e-01 0.00000000e+00 0.00000000e+00
1.00000000e+00 1.00000000e+00 9.72918867e+00 9.88901207e+00 1.56387883e+00 3.58869456e+00 -9.03558091e+00 4.52719507e+00 4.06187414e+00 0.00000000e+00 0.00000000e+00
1.00000000e+00 1.00000000e+00 8.49198377e+00 9.49653406e+00 9.15793708e+00 3.76098940e+00 -8.54290072e+00 7.27447323e+00 6.41784498e+00 0.00000000e+00 0.00000000e+00
1.00000000e+00 1.00000000e+00 2.91105200e+00 1.35484130e+00 2.25320834e+00 4.17662653e+00 -7.67541233e+00 2.74091809e+00 1.79936222e+00 0.00000000e+00 0.00000000e+00
1.00000000e+00 1.00000000e+00 2.63642470e+00 7.35017655e+00 5.79178614e+00 6.59163204e+00 -5.74229989e+00 6.77354033e+00 4.20432593e+00 0.00000000e+00 0.00000000e+00
1.00000000e+00 1.00000000e+00 2.65064059e+00 9.32723486e+00 4.69986042e+00 4.00644969e+00 -7.98714208e+00 3.33845324e+00 2.07896402e+00 0.00000000e+00 0.00000000e+00
1.00000000e+00 1.00000000e+00 3.73818019e+00 2.62517811e+00 4.12608994e+00 7.59429146e+00 -5.43002918e+00 8.97477498e+00 6.57393432e+00 0.00000000e+00 0.00000000e+00
1.00000000e+00 1.00000000e+00 5.72280788e+00 6.11150707e+00 9.09850011e+00 4.64074647e+00 -7.02944644e+00 9.06120950e+00 7.47785921e+00 0.00000000e+00 0.00000000e+00
1.00000000e+00 1.00000000e+00 4.88750517e+00 9.23939468e+00 1.19641057e+00 1.61517880e+00 1.67888756e+01 3.67558484e+00 2.92354782e+00 0.00000000e+00 0.00000000e+00
1.00000000e+00 1.00000000e+00 3.62106226e+00 1.30551381e+00 6.97410718e+00 8.05383858e+00 -5.32147560e+00 3.06994379e+00 2.22214180e+00 0.00000000e+00 0.00000000e+00
1.00000000e+00 1.00000000e+00 6.50667605e+00 7.27678241e+00 9.67054991e+00 3.57182492e+00 -9.08962537e+00 4.70173575e+00 3.97913396e+00 0.00000000e+00 0.00000000e+00
1.00000000e+00 1.00000000e+00 2.25544475e+00 3.67614107e+00 6.04151365e+00 4.89490192e+00 -6.76347877e+00 3.16478427e+00 1.76160901e+00 0.00000000e+00 0.00000000e+00
1.00000000e+00 1.00000000e+00 3.62930184e+00 9.31956576e+00 9.43140216e+00 7.16899495e+00 -5.54768965e+00 7.05145459e+00 5.10853143e+00 0.00000000e+00 0.00000000e+00
1.00000000e+00 1.00000000e+00 4.29725659e+00 9.73952421e+00 1.47032091e+00 3.99210541e+00 -8.01585174e+00 8.43458216e+00 6.47179917e+00 0.00000000e+00 0.00000000e+00
1.00000000e+00 1.00000000e+00 5.10462986e+00 9.49839840e+00 4.76913987e+00 1.50927091e+00 1.23022737e+01 7.05782918e+00 5.67519628e+00 0.00000000e+00 0.00000000e+00
1.00000000e+00 1.00000000e+00 8.06658365e+00 5.26792795e+00 3.34142012e+00 4.36528942e+00 -7.38224994e+00 8.41915403e+00 7.37544650e+00 0.00000000e+00 0.00000000e+00
1.00000000e+00 1.00000000e+00 2.79706404e+00 8.75838386e+00 7.57738868e+00 9.50003724e+00 -5.06666137e+00 4.57292946e+00 2.93802608e+00 0.00000000e+00 0.00000000e+00
1.00000000e+00 1.00000000e+00 5.62810995e+00 8.60094459e+00 9.83167381e+00 6.77560958e+00 -5.67517882e+00 2.40685274e+00 1.97920424e+00 0.00000000e+00 0.00000000e+00
1.00000000e+00 1.00000000e+00 6.33173112e+00 3.87190426e+00 3.30877056e+00 7.04331234e+00 -5.58625908e+00 7.64155853e+00 6.43469134e+00 0.00000000e+00 0.00000000e+00
1.00000000e+00 1.00000000e+00 1.41805371e+00 8.46023927e+00 6.88757141e+00 6.69053938e+00 -5.70556078e+00 4.24427055e+00 1.25124532e+00 0.00000000e+00 0.00000000e+00
1.00000000e+00 1.00000000e+00 6.46790367e+00 1.33306871e+00 2.78287869e+00 2.79092925e+00 -1.41146847e+01 7.04143743e+00 5.95276360e+00 0.00000000e+00 0.00000000e+00
1.00000000e+00 1.00000000e+00 2.53471711e+00 6.36642891e+00 6.08797229e+00 4.76500478e+00 -6.89330422e+00 3.43579548e+00 2.08030083e+00 0.00000000e+00 0.00000000e+00
1.00000000e+00 1.00000000e+00 1.58546434e+00 3.07007954e+00 5.17539238e+00 7.75845819e+00 -5.38926076e+00 1.73106671e+00 6.39230919e-01 0.00000000e+00 0.00000000e+00
1.00000000e+00 1.00000000e+00 9.53996984e+00 2.08510197e+00 9.74804797e+00 1.91235608e+00 8.72784346e+01 9.93323616e+00 8.89201314e+00 0.00000000e+00 0.00000000e+00
1.00000000e+00 1.00000000e+00 9.69068830e+00 1.69257881e+00 6.47674545e+00 3.50067498e+00 -9.33093447e+00 2.40581357e+00 2.15755323e+00 0.00000000e+00 0.00000000e+00
1.00000000e+00 1.00000000e+00 8.27557613e+00 7.26659898e+00 4.14555735e+00 3.48687198e+00 -9.38042288e+00 9.89578895e+00 8.70000647e+00 0.00000000e+00 0.00000000e+00
1.00000000e+00 1.00000000e+00 3.74152392e+00 4.05887467e+00 2.02686206e+00 4.88817035e+00 -6.76991972e+00 9.79551939e+00 7.17746333e+00 0.00000000e+00 0.00000000e+00
1.00000000e+00 1.00000000e+00 1.87904903e+00 7.52290094e+00 2.36122146e+00 9.82331867e+00 -5.02258394e+00 8.14436294e+00 3.81006254e+00 0.00000000e+00 0.00000000e+00
1.00000000e+00 1.00000000e+00 7.15809724e+00 1.58820707e+00 3.02785237e+00 1.60752292e+00 1.63833559e+01 6.93480666e+00 5.96600078e+00 0.00000000e+00 0.00000000e+00
