G c dx1dt d2x1dt2 dx2dt d1 Fc d2 W m1 Fg
1.00000000e+00 1.00000000e+00 7.58794548e+00 8.85651252e+00 9.15629122e+00 8.56764495e-01 3.25421109e+00 7.84144837e+00 3.46974052e+01 4.54271968e+00 1.11137860e+01
1.00000000e+00 1.00000000e+00 2.40416776e+00 8.25905033e+00 3.44754754e+00 2.91094940e-01 6.14571385e+00 2.34324523e+00 1.74699770e+01 5.26092093e+00 1.01000876e+01
1.00000000e+00 1.00000000e+00 2.40395068e+00 6.92905030e+00 7.83458436e+00 3.46937975e-01 8.49547339e+00 3.41356931e+00 1.22264135e+01 8.69092654e+00 6.15925424e+00
1.00000000e+00 1.00000000e+00 1.52275251e+00 7.23048908e+00 5.04765858e+00 2.10601592e-01 9.15478354e+00 4.24967254e+00 1.46683997e+01 4.06003947e+00 2.95199779e+00
1.00000000e+00 1.00000000e+00 6.41003511e+00 3.24701208e+00 1.58829542e+00 1.97413343e+00 7.06617927e+00 7.11727495e+00 -6.01036502e+01 8.82684716e+00 3.85564803e+01
1.00000000e+00 1.00000000e+00 1.18526045e+00 2.99088498e+00 1.30252240e+00 3.96290883e-01 5.93972799e+00 1.31205434e+00 2.07529895e+01 1.79320988e+00 1.62681501e+00
1.00000000e+00 1.00000000e+00 8.49198377e+00 9.49653406e+00 9.15793708e+00 8.94219272e-01 3.76098940e+00 7.27447323e+00 5.21236385e+01 7.99118593e+00 2.34566837e+01
1.00000000e+00 1.00000000e+00 2.63642470e+00 7.35017655e+00 5.79178614e+00 3.58688623e-01 6.59163204e+00 6.77354033e+00 2.29774670e+01 8.62792870e+00 9.62245567e+00
1.00000000e+00 1.00000000e+00 2.65064059e+00 9.32723486e+00 4.69986042e+00 2.84182893e-01 4.00644969e+00 3.33845324e+00 1.27816243e+01 2.63635888e+00 4.62276769e+00
1.00000000e+00 1.00000000e+00 3.73818019e+00 2.62517811e+00 4.12608994e+00 1.42397203e+00 7.59429146e+00 8.97477498e+00 8.65760112e+01 4.87311879e+00 3.86336782e+00
1.00000000e+00 1.00000000e+00 5.72280788e+00 6.11150707e+00 9.09850011e+00 9.36398799e-01 4.64074647e+00 9.06120950e+00 3.11303903e+01 2.48949797e+00 3.18990833e+00
1.00000000e+00 1.00000000e+00 3.62106226e+00 1.30551381e+00 6.97410718e+00 2.77366830e+00 8.05383858e+00 3.06994379e+00 1.76350579e+01 7.35943716e+00 1.66284662e+00
1.00000000e+00 1.00000000e+00 6.50667605e+00 7.27678241e+00 9.67054991e+00 8.94169386e-01 3.57182492e+00 4.70173575e+00 1.84142878e+01 5.81812991e+00 9.49531907e+00
1.00000000e+00 1.00000000e+00 2.25544475e+00 3.67614107e+00 6.04151365e+00 6.13535962e-01 4.89490192e+00 3.16478427e+00 9.48728835e+00 6.71791012e+00 3.07320502e+00
1.00000000e+00 1.00000000e+00 3.62930184e+00 9.31956576e+00 9.43140216e+00 3.89428213e-01 7.16899495e+00 7.05145459e+00 2.14301994e+01 2.76838270e+00 3.30938561e+00
1.00000000e+00 1.00000000e+00 8.06658365e+00 5.26792795e+00 3.34142012e+00 1.53126309e+00 4.36528942e+00 8.41915403e+00 -4.46585665e+01 2.90571276e+00 1.23177053e+01
1.00000000e+00 1.00000000e+00 2.79706404e+00 8.75838386e+00 7.57738868e+00 3.19358467e-01 9.50003724e+00 4.57292946e+00 1.86836829e+01 1.37347593e+00 1.48015303e+00
1.00000000e+00 1.00000000e+00 6.33173112e+00 3.87190426e+00 3.30877056e+00 1.63530157e+00 7.04331234e+00 7.64155853e+00 -5.70594857e+01 3.89860782e+00 9.62872349e+00
1.00000000e+00 1.00000000e+00 1.41805371e+00 8.46023927e+00 6.88757141e+00 1.67613902e-01 6.69053938e+00 4.24427055e+00 8.83092495e+00 6.03770195e+00 3.50557795e+00
1.00000000e+00 1.00000000e+00 2.53471711e+00 6.36642891e+00 6.08797229e+00 3.98137975e-01 4.76500478e+00 3.43579548e+00 1.08397783e+01 8.72141423e+00 7.70581153e+00
1.00000000e+00 1.00000000e+00 7.15809724e+00 1.58820707e+00 3.02785237e+00 4.50703021e+00 1.60752292e+00 6.93480666e+00 -2.01216031e+01 7.00234703e+00 8.76379877e+00
1.00000000e+00 1.00000000e+00 2.09834411e+00 5.85542163e+00 8.65554452e+00 3.58359183e-01 2.61428214e+00 8.79491391e+00 8.68979537e+00 4.91856691e+00 2.32732920e+00
1.00000000e+00 1.00000000e+00 5.45659219e+00 8.11650848e+00 6.05100509e+00 6.72283187e-01 9.73608891e+00 3.60495569e+00 5.46435264e+01 9.57808103e+00 2.33679426e+01
1.00000000e+00 1.00000000e+00 1.30949669e+00 3.86877253e+00 5.71051820e+00 3.38478595e-01 2.01973154e+00 5.20913091e+00 4.94393259e+00 7.47320681e+00 2.20997737e+00
1.00000000e+00 1.00000000e+00 3.32901983e+00 8.97379973e+00 8.74125724e+00 3.70971042e-01 7.64096486e+00 4.70071428e+00 1.69099390e+01 9.37148683e+00 1.06759394e+01
1.00000000e+00 1.00000000e+00 5.68061219e+00 1.21960703e+00 7.37051588e+00 4.65773977e+00 4.11871751e+00 6.07808635e+00 2.96166584e+01 5.74829176e+00 1.80108714e+00
1.00000000e+00 1.00000000e+00 2.66369010e+00 1.19142470e+00 1.73552811e+00 2.23571838e+00 3.37848637e+00 2.81375540e+00 -1.85360129e+01 3.33013847e+00 2.02983006e+00
1.00000000e+00 1.00000000e+00 7.97619541e+00 5.76043421e+00 5.36226658e+00 1.38465177e+00 5.34735728e+00 7.20178888e+00 -4.75783661e+01 1.47544018e+00 4.21408174e+00
1.00000000e+00 1.00000000e+00 9.05344615e+00 8.18904912e+00 9.51128332e+00 1.10555524e+00 3.58715498e+00 6.00571623e+00 5.18970319e+01 7.53476366e+00 1.95774742e+01
1.00000000e+00 1.00000000e+00 6.38109981e+00 9.98140699e+00 8.64977834e+00 6.39298629e-01 6.91080457e+00 8.01565031e+00 4.67042019e+01 2.09172698e+00 5.13412062e+00
1.00000000e+00 1.00000000e+00 1.79643252e+00 7.90469460e+00 5.16066005e+00 2.27261470e-01 6.43273481e+00 8.36542382e+00 2.04977469e+01 3.72497615e+00 3.41659101e+00
1.00000000e+00 1.00000000e+00 2.76384576e+00 4.61737822e+00 4.70588987e+00 5.98574695e-01 1.69281520e+00 1.36124973e+00 4.14108189e+00 5.79223817e+00 5.23591576e+00
1.00000000e+00 1.00000000e+00 1.40704560e+00 5.31888058e+00 6.85876120e+00 2.64537919e-01 1.68025252e+00 9.00922039e+00 5.79020130e+00 6.07974929e+00 2.21129735e+00
1.00000000e+00 1.00000000e+00 3.92797298e+00 6.64754917e+00 5.90888682e+00 5.90890398e-01 9.56280899e+00 9.92766473e+00 5.74976759e+01 6.40524877e+00 9.43493962e+00
1.00000000e+00 1.00000000e+00 3.44214129e+00 9.85675122e+00 5.61252384e+00 3.49216614e-01 1.82860287e+00 2.89286701e+00 7.57983126e+00 2.49629797e+00 5.03013289e+00
1.00000000e+00 1.00000000e+00 4.21077994e+00 4.75990104e+00 5.13315890e+00 8.84636026e-01 6.61283900e+00 3.27723707e+00 3.04168473e+01 4.41763664e+00 5.74969090e+00
