G	c	dx1dt	d2x1dt2	dx2dt	d1	Fc	d2	W	m1	Fg
1.000000000000000000e+00	1.000000000000000000e+00	7.665345683095018181e+00	8.879256520328839386e+00	9.281856392895653229e+00	8.490186518582653052e-01	3.260201334031606724e+00	7.845992816177098206e+00	3.462674692754965378e+01	4.657907491655570276e+00	1.113782955937424468e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.382026482163695391e+00	8.232060034332212339e+00	3.507482834043774478e+00	2.972419446142112731e-01	6.121283665043351974e+00	2.325067518807928835e+00	1.749264660632519508e+01	5.194314689359418757e+00	1.004618619774330135e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.381132708693500355e+00	6.979212788722644056e+00	7.786074087314053926e+00	3.383082696504352005e-01	8.480861670268659225e+00	3.395494143116146724e+00	1.239461128046094274e+01	8.746672279644844394e+00	6.084694690626218261e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.509601606339204594e+00	7.252558091211548152e+00	5.084072567785106855e+00	2.133398978121230638e-01	9.226693288877216403e+00	4.254054335273914411e+00	1.464610931629119861e+01	4.005931733356227653e+00	3.020567115585217621e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.357903114075099005e+00	3.202767258569948261e+00	1.595843656842090397e+00	1.972921328476487268e+00	7.140240526089411510e+00	7.119484483323008206e+00	-6.022872560462010227e+01	8.793179050496883420e+00	3.853626101823451933e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.105972732903041322e+00	2.927562560049422835e+00	1.327495102721375719e+00	3.988915108203497373e-01	5.953210031332266894e+00	1.353557728148288897e+00	2.055117030822458801e+01	1.836111879839721128e+00	1.619584390777021099e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.540936879338429932e+00	9.417174529154770823e+00	9.166696558419253904e+00	8.886563505381397388e-01	3.689241459168435711e+00	7.267895109339032267e+00	5.196366446011636953e+01	8.047076694299903465e+00	2.348194853092386225e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.550711220942802004e+00	7.360390167976871290e+00	5.867660237710571991e+00	3.545856173291049296e-01	6.620438162957070993e+00	6.754462659576368821e+00	2.309069102031172704e+01	8.558780862249383503e+00	9.646408307230935009e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.662140981771371262e+00	9.358345581701041027e+00	4.721903704931291301e+00	2.853446157058813215e-01	4.089592844447792253e+00	3.328594625296186660e+00	1.273962667238946445e+01	2.695671966487196425e+00	4.493715135988578524e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.779414272690192256e+00	2.660554570121345552e+00	4.122129991209569688e+00	1.426417153757162382e+00	7.667565093331455195e+00	8.935807568192496220e+00	8.649643387878498402e+01	4.929957488175000790e+00	3.979502321270655951e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.655312538973169545e+00	6.105095436292557132e+00	9.164969877178524627e+00	9.363479553614645345e-01	4.680033076137886994e+00	9.041585170938825300e+00	3.103660792515767497e+01	2.438480701298967990e+00	3.200849753475299764e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.578075297125419940e+00	1.242637316954939619e+00	6.988985842991016106e+00	2.794303372140924946e+00	8.129928181410431165e+00	3.180693715949245881e+00	1.764619779926048793e+01	7.446390982089027055e+00	1.644549245903147661e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.563100015793030373e+00	7.239715337681677632e+00	9.678297679998607350e+00	8.821813602805247401e-01	3.574680602270466689e+00	4.651971492528667262e+00	1.838292230359981261e+01	5.738888343863989938e+00	9.534219753980814005e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.280229105420193747e+00	3.738764979371934416e+00	6.061541665736306150e+00	6.127590890172520677e-01	4.928501001371511592e+00	3.149590396599665443e+00	9.451511598977997863e+00	6.683927418479828297e+00	3.094562194051817094e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.600592389703843210e+00	9.293228821436072096e+00	9.425431879586426476e+00	3.703871286988129619e-01	7.132578256006732786e+00	7.030326580412625148e+00	2.160694324843893099e+01	2.794436665315713775e+00	3.378642984837572971e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.122499261881118926e+00	5.275721921722156260e+00	3.342008607451059099e+00	1.535765316828966887e+00	4.380923561717332326e+00	8.405676876503015649e+00	-4.445710641245896966e+01	2.859285485371889202e+00	1.236627934401123774e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.853179023705342043e+00	8.699928080106900552e+00	7.539969945287589681e+00	3.058638612083567354e-01	9.571157950130066538e+00	4.554868474074258877e+00	1.847279104469753364e+01	1.387825607772522618e+00	1.544966696521059779e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.344244539363356417e+00	3.890195726160748269e+00	3.260861942033910221e+00	1.631933985283684940e+00	7.011782342346804420e+00	7.656784233601218403e+00	-5.701657532182508703e+01	3.911720457550777130e+00	9.750703469751712760e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.376187998494408760e+00	8.435366592112044870e+00	6.823883690530302637e+00	1.631118827282866945e-01	6.644458228861377158e+00	4.151022413052192661e+00	8.729166140134777763e+00	6.027526584991783842e+00	3.585359586419412548e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.515487951005940914e+00	6.423312078782143608e+00	5.999193129035367278e+00	4.015367885360346945e-01	4.770219751035635447e+00	3.492347763699086727e+00	1.080726063960821470e+01	8.766690254953582340e+00	7.691321378843052337e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.171416851809315318e+00	1.630245743062603836e+00	2.971744965571712083e+00	4.500341379078625081e+00	1.595398089848687251e+00	6.969298547692585721e+00	-2.008109166245737853e+01	6.989926003742263916e+00	8.662413071884902394e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.089572719680761193e+00	5.828482695701956651e+00	8.644429960471510910e+00	3.511559185612704304e-01	2.649006967217662822e+00	8.727145726630102018e+00	8.661931833318352147e+00	4.931160918200840015e+00	2.477913119909161299e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.500262315742993735e+00	8.109624975910083577e+00	6.057581815839352402e+00	6.896572081910196106e-01	9.711842720400323259e+00	3.481233137776413855e+00	5.467371364071616568e+01	9.640440059009776519e+00	2.334647877833177887e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.238348156301866787e+00	3.838822346259777252e+00	5.693215203996178531e+00	3.419218844733056262e-01	2.111655946108048187e+00	5.155855571575803431e+00	5.032082915987181160e+00	7.516213904440614435e+00	2.167260942888491471e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.259522862811183419e+00	8.896661220998048236e+00	8.591013065864702369e+00	3.641822649626795250e-01	7.571976279720305847e+00	4.687482772062958603e+00	1.694852472157154111e+01	9.414239972054796013e+00	1.051913195537198042e+01
1.000000000000000000e+00	1.000000000000000000e+00	5.689024356566063645e+00	1.173009676400495804e+00	7.470941263720052739e+00	4.654704654973900624e+00	4.185783483452799381e+00	6.218778032470773098e+00	2.953193127454681743e+01	5.685785452118204297e+00	1.831647561003703295e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.640828773778960858e+00	1.202196738554510702e+00	1.804822615637997618e+00	2.255627355947466661e+00	3.337572327728132393e+00	2.843376752706248567e+00	-1.861842984798418854e+01	3.358683047570893976e+00	2.043272892612781000e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.947031894894553083e+00	5.778110302677854193e+00	5.390696652370936981e+00	1.381806249099887474e+00	5.251284863629965827e+00	7.103229167012050205e+00	-4.776694872978782058e+01	1.427656773649765842e+00	4.077283425468962719e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.971215286828751800e+00	8.197121894278065923e+00	9.632940974271699375e+00	1.097214917024368797e+00	3.599879624076341322e+00	5.968112425035539736e+00	5.178517947039934910e+01	7.465064790392635707e+00	1.961839989052086608e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.382008871158352470e+00	9.965009432189159355e+00	8.587443133011417373e+00	6.310101002189290043e-01	6.897184837486743270e+00	8.012748875789624137e+00	4.696120728324023474e+01	2.087826720241367617e+00	5.089139336115596990e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.793978923336188691e+00	7.955401718122938171e+00	5.281050701248795498e+00	2.206169791641164335e-01	6.373378530483226001e+00	8.379256040334247757e+00	2.039400475419065373e+01	3.675789623156124009e+00	3.659497042901815878e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.794238529738321208e+00	4.620831378478261087e+00	4.644329579227875371e+00	5.913812071508992574e-01	1.602873388363800888e+00	1.289562402966395904e+00	3.984764819199202890e+00	5.835241539060228355e+00	5.184508668977443335e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.410250367552353223e+00	5.357098617933224283e+00	6.873987641939955040e+00	2.490540392457543661e-01	1.679805276816389581e+00	9.001859981551310952e+00	5.832107680195174559e+00	6.124053595546445905e+00	2.172004149916332505e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.921805673433706563e+00	6.551154095306887193e+00	5.827642878349619693e+00	5.772874531403704434e-01	9.615009385001592079e+00	9.888535103724565900e+00	5.748321955494657232e+01	6.301760906928852712e+00	9.355956890566911710e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.496882621127414659e+00	9.643590003357198626e+00	5.613461013230408803e+00	3.391817462268680305e-01	1.859893758527346064e+00	2.832684032526468609e+00	7.554211095192392200e+00	2.451244843875769241e+00	5.145511169280947428e+00
1.000000000000000000e+00	1.000000000000000000e+00	4.149738165674452084e+00	4.775323382800856997e+00	5.157788173936062925e+00	8.917941004090186308e-01	6.615872405986220173e+00	3.291391650074717568e+00	3.060141395712220103e+01	4.338235756986906111e+00	5.716033321184903926e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.909211771203133345e+00	7.560812410822004281e+00	8.066637811049156781e+00	7.657561028795677460e-01	3.432233219757830245e+00	1.967779362787081432e+00	1.111411003758142613e+01	6.529584655667328263e+00	1.209352107714338409e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.710717450461329836e+00	3.090924160233768703e+00	5.720003057151815895e+00	8.962744047696504790e-01	6.488610985750930205e+00	7.134211938503066008e+00	2.516936493348829629e+01	9.753127746906338658e+00	5.007646768508343449e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.010707528803481692e+00	1.362421371462856357e+00	2.850246502538271276e+00	7.766603338430146941e-01	3.739686381162208306e+00	6.379495147768371233e+00	1.260151618710509958e+01	7.535501678153254446e+00	1.155955720839493717e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.282753174591181988e+00	1.247132038085902783e+00	8.867151663987979049e+00	7.199235338993332789e+00	3.363858467710155953e+00	6.401231762041162732e+00	4.768798651702453384e+01	9.271355558173945965e+00	3.429413528215186524e+00
