G c dx1dt d2x1dt2 dx2dt Fc Fg d2 d1 m1 W
1.00000000e+00 1.00000000e+00 4.37086107e+00 2.66619636e+00 3.35535115e+00 7.05432695e+00 3.08334830e+01 -7.46680809e-01 6.14796290e+00 4.54271968e+00 -1.85121844e+00
1.00000000e+00 1.00000000e+00 9.55642876e+00 5.87710853e+00 3.22280919e+00 8.17013257e+00 7.80772899e+01 -1.28176480e-01 8.24889096e+00 5.26092093e+00 -2.63456638e-01
1.00000000e+00 1.00000000e+00 7.58794548e+00 8.85651252e+00 9.15629122e+00 3.25421109e+00 2.46927763e+01 -3.13860640e-01 7.84144837e+00 8.69092654e+00 -3.18512327e+00
1.00000000e+00 1.00000000e+00 6.38792636e+00 7.59002398e+00 3.24591580e+00 6.62386690e+00 4.23127739e+01 -1.58745874e-01 2.38509914e+00 4.06003947e+00 -8.77129093e-01
1.00000000e+00 1.00000000e+00 2.40416776e+00 8.25905033e+00 3.44754754e+00 6.14571385e+00 1.47753271e+01 -5.94553784e-01 2.34324523e+00 8.82684716e+00 -7.72127954e+00
1.00000000e+00 1.00000000e+00 2.40395068e+00 6.92905030e+00 7.83458436e+00 8.49547339e+00 2.04226991e+01 -1.61072126e+00 3.41356931e+00 1.79320988e+00 -6.62916379e+00
1.00000000e+00 1.00000000e+00 1.52275251e+00 7.23048908e+00 5.04765858e+00 9.15478354e+00 1.39404696e+01 -2.67089101e+00 4.24967254e+00 7.99118593e+00 -2.53513977e+01
1.00000000e+00 1.00000000e+00 8.79558531e+00 8.64276086e+00 7.99039501e+00 1.10941094e+00 9.75791860e+00 -2.37190352e-01 4.67610023e+00 8.62792870e+00 -3.49693859e+00
1.00000000e+00 1.00000000e+00 6.41003511e+00 3.24701208e+00 1.58829542e+00 7.06617927e+00 4.52944572e+01 -1.80832835e-01 7.11727495e+00 2.63635888e+00 -1.06389645e-01
1.00000000e+00 1.00000000e+00 7.37265320e+00 5.40482467e+00 5.38814074e+00 1.46652219e+00 1.08121595e+01 -3.12872240e-01 1.51012389e+00 4.87311879e+00 -5.44001859e+00
1.00000000e+00 1.00000000e+00 1.18526045e+00 2.99088498e+00 1.30252240e+00 5.93972799e+00 7.04012466e+00 -4.70146031e+00 1.31205434e+00 2.48949797e+00 -1.16192456e+01
1.00000000e+00 1.00000000e+00 9.72918867e+00 9.88901207e+00 1.56387883e+00 3.58869456e+00 3.49150865e+01 -3.62331681e-02 4.52719507e+00 7.35943716e+00 -9.21138223e-02
1.00000000e+00 1.00000000e+00 8.49198377e+00 9.49653406e+00 9.15793708e+00 3.76098940e+00 3.19382609e+01 -2.57433875e-01 7.27447323e+00 5.81812991e+00 -1.88558109e+00
1.00000000e+00 1.00000000e+00 2.91105200e+00 1.35484130e+00 2.25320834e+00 4.17662653e+00 1.21583770e+01 -1.74048552e+00 2.74091809e+00 6.71791012e+00 -9.61191446e+00
1.00000000e+00 1.00000000e+00 2.63642470e+00 7.35017655e+00 5.79178614e+00 6.59163204e+00 1.73783416e+01 -9.63049732e-01 6.77354033e+00 2.76838270e+00 -2.27966818e+00
1.00000000e+00 1.00000000e+00 2.65064059e+00 9.32723486e+00 4.69986042e+00 4.00644969e+00 1.06196582e+01 -6.10533535e-01 3.33845324e+00 2.90571276e+00 -2.49747912e+00
1.00000000e+00 1.00000000e+00 3.73818019e+00 2.62517811e+00 4.12608994e+00 7.59429146e+00 2.83888298e+01 -1.14801586e+00 8.97477498e+00 1.37347593e+00 -7.24909953e-01
1.00000000e+00 1.00000000e+00 5.72280788e+00 6.11150707e+00 9.09850011e+00 4.64074647e+00 2.65581005e+01 -6.30450803e-01 9.06120950e+00 3.89860782e+00 -2.46799562e+00
1.00000000e+00 1.00000000e+00 4.88750517e+00 9.23939468e+00 1.19641057e+00 1.61517880e+00 7.89419475e+00 -6.66186364e-02 3.67558484e+00 6.03770195e+00 -1.30924583e-01
1.00000000e+00 1.00000000e+00 3.62106226e+00 1.30551381e+00 6.97410718e+00 8.05383858e+00 2.91634510e+01 -4.07624056e+00 3.06994379e+00 8.72141423e+00 -8.07615999e+01
1.00000000e+00 1.00000000e+00 6.50667605e+00 7.27678241e+00 9.67054991e+00 3.57182492e+00 2.32407077e+01 -4.82672159e-01 4.70173575e+00 7.00234703e+00 -6.95166496e+00
1.00000000e+00 1.00000000e+00 2.25544475e+00 3.67614107e+00 6.04151365e+00 4.89490192e+00 1.10401808e+01 -2.61809852e+00 3.16478427e+00 4.91856691e+00 -2.45825097e+01
1.00000000e+00 1.00000000e+00 3.62930184e+00 9.31956576e+00 9.43140216e+00 7.16899495e+00 2.60184465e+01 -7.69786229e-01 7.05145459e+00 9.57808103e+00 -9.86157302e+00
1.00000000e+00 1.00000000e+00 4.29725659e+00 9.73952421e+00 1.47032091e+00 3.99210541e+00 1.71551013e+01 -9.15696689e-02 8.43458216e+00 7.47320681e+00 -1.19290870e-01
1.00000000e+00 1.00000000e+00 5.10462986e+00 9.49839840e+00 4.76913987e+00 1.50927091e+00 7.70426933e+00 -2.44650256e-01 7.05782918e+00 9.37148683e+00 -1.54925565e+00
1.00000000e+00 1.00000000e+00 8.06658365e+00 5.26792795e+00 3.34142012e+00 4.36528942e+00 3.52129723e+01 -1.79519549e-01 8.41915403e+00 5.74829176e+00 -4.09555893e-01
1.00000000e+00 1.00000000e+00 2.79706404e+00 8.75838386e+00 7.57738868e+00 9.50003724e+00 2.65722125e+01 -9.62857531e-01 4.57292946e+00 3.33013847e+00 -5.31311709e+00
1.00000000e+00 1.00000000e+00 5.62810995e+00 8.60094459e+00 9.83167381e+00 6.77560958e+00 3.81338756e+01 -4.93978037e-01 2.40685274e+00 1.47544018e+00 -2.97719436e+00
1.00000000e+00 1.00000000e+00 6.33173112e+00 3.87190426e+00 3.30877056e+00 7.04331234e+00 4.45963599e+01 -3.20555918e-01 7.64155853e+00 7.53476366e+00 -1.04582289e+00
1.00000000e+00 1.00000000e+00 1.41805371e+00 8.46023927e+00 6.88757141e+00 6.69053938e+00 9.48754422e+00 -3.89476607e+00 4.24427055e+00 2.09172698e+00 -1.32205472e+01
1.00000000e+00 1.00000000e+00 6.46790367e+00 1.33306871e+00 2.78287869e+00 2.79092925e+00 1.80514615e+01 -7.63573559e-01 7.04143743e+00 3.72497615e+00 -1.12410617e+00
1.00000000e+00 1.00000000e+00 2.53471711e+00 6.36642891e+00 6.08797229e+00 4.76500478e+00 1.20779392e+01 -1.24617327e+00 3.43579548e+00 5.79223817e+00 -1.27899901e+01
1.00000000e+00 1.00000000e+00 1.58546434e+00 3.07007954e+00 5.17539238e+00 7.75845819e+00 1.23007588e+01 -5.75868344e+00 1.73106671e+00 6.07974929e+00 -1.04673887e+02
1.00000000e+00 1.00000000e+00 9.53996984e+00 2.08510197e+00 9.74804797e+00 1.91235608e+00 1.82438193e+01 -1.09487368e+00 9.93323616e+00 6.40524877e+00 -6.88219409e+00
1.00000000e+00 1.00000000e+00 9.69068830e+00 1.69257881e+00 6.47674545e+00 3.50067498e+00 3.39239501e+01 -8.80610279e-01 2.40581357e+00 2.49629797e+00 -5.91800098e+00
1.00000000e+00 1.00000000e+00 8.27557613e+00 7.26659898e+00 4.14555735e+00 3.48687198e+00 2.88558745e+01 -1.56824655e-01 9.89578895e+00 4.41763664e+00 -2.90226346e-01
1.00000000e+00 1.00000000e+00 3.74152392e+00 4.05887467e+00 2.02686206e+00 4.88817035e+00 1.82892063e+01 -3.64297766e-01 9.79551939e+00 6.55474804e+00 -4.94093609e-01
1.00000000e+00 1.00000000e+00 1.87904903e+00 7.52290094e+00 2.36122146e+00 9.82331867e+00 1.84584974e+01 -7.14115199e-01 8.14436294e+00 9.72836978e+00 -2.01413209e+00
1.00000000e+00 1.00000000e+00 7.15809724e+00 1.58820707e+00 3.02785237e+00 1.60752292e+00 1.15068054e+01 -6.19171596e-01 6.93480666e+00 7.54868024e+00 -2.04071517e+00
1.00000000e+00 1.00000000e+00 4.96137244e+00 3.83761304e+00 3.25869995e+00 5.66830895e+00 2.81225918e+01 -4.28713848e-01 6.20026345e+00 9.30343381e+00 -2.09625936e+00
1.00000000e+00 1.00000000e+00 2.09834411e+00 5.85542163e+00 8.65554452e+00 2.61428214e+00 5.48566354e+00 -2.69170704e+00 8.79491391e+00 7.85990852e+00 -2.08213116e+01
