G	c	dx1dt	d2x1dt2	dx2dt	Fc	Fg	d2	d1	m1	W
1.000000000000000000e+00	1.000000000000000000e+00	4.452656382238261656e+00	2.664088322750513438e+00	3.389877457967348295e+00	6.981188217226667270e+00	3.089059744319525791e+01	-7.684888504451904412e-01	6.140789255783986711e+00	4.522958572934016708e+00	-1.869987874560914420e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.485383514591990917e+00	5.948400114944314865e+00	3.224481346882574595e+00	8.124744218393567863e+00	7.845923631688499711e+01	-1.232652913668442346e-01	8.216672902784335264e+00	5.372240460248278282e+00	-1.719022126773483428e-01
1.000000000000000000e+00	1.000000000000000000e+00	7.643229948689745257e+00	8.859164637376689910e+00	9.243154309308454941e+00	3.276433363788353592e+00	2.479291779264287854e+01	-3.343808371105582711e-01	7.906221991973692909e+00	8.751541698929226953e+00	-3.037347772365172727e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.432434066077546753e+00	7.498425987179970775e+00	3.331237819768116282e+00	6.624381811606296466e+00	4.249423879743451238e+01	-1.727228604956384528e-01	2.308174148307375884e+00	4.049677164955165942e+00	-1.071311783954338015e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.441967278359393756e+00	8.282976859606513642e+00	3.471458852011360285e+00	6.128999415058649092e+00	1.523618239176602174e+01	-5.875568625494208552e-01	2.471841251952464180e+00	8.875010875277093092e+00	-7.374026987854227499e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.464405057866025484e+00	6.884332282889741528e+00	7.851880284584092706e+00	8.446134401035044093e+00	2.051836890151291826e+01	-1.658735880660270334e+00	3.461358772457051813e+00	1.725609249219623109e+00	-6.534578454878640308e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.517740744614537007e+00	7.162797399685957522e+00	5.051299066068876797e+00	9.240144341024709718e+00	1.390477747030522337e+01	-2.638426419601369588e+00	4.152827138894720882e+00	8.004915740405987634e+00	-2.525302478833468811e+01
1.000000000000000000e+00	1.000000000000000000e+00	8.694430658261644851e+00	8.596355293057886371e+00	7.843790633004779522e+00	1.064047979084964624e+00	9.519731248243878952e+00	-2.363277470171648298e-01	4.663890006816315825e+00	8.576472580018950964e+00	-3.811659642466685316e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.406122407886449821e+00	3.277192435227424649e+00	1.511292703226221112e+00	7.079798933211677081e+00	4.588291273822861172e+01	-2.063900196811293275e-01	7.108094341767912994e+00	2.543719665608840330e+00	4.406514198729283294e-02
1.000000000000000000e+00	1.000000000000000000e+00	7.319006706351058433e+00	5.474851518244049586e+00	5.393699690462210761e+00	1.440112004656184830e+00	1.096538273798125651e+01	-3.329794412098440182e-01	1.531469750517730821e+00	4.916159863314892853e+00	-5.344124865427525073e+00
