G	c	dx1dt	d2x1dt2	dx2dt	d2	d1	m1	W	Fg	Fc
1.000000000000000000e+00	1.000000000000000000e+00	4.256723838941596227e+00	2.994950062148534986e+00	3.417243199832698419e+00	7.128941689480967625e+00	5.292451887959618517e+00	6.506520711776773602e+00	6.347506135638435687e+00	7.034865460189182329e+01	6.248927005012978952e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.541700703518724680e+00	5.937060428596975470e+00	3.098064941807734396e+00	8.287595259850260021e+00	7.162767323919944751e+00	8.303814237193808623e+00	5.942730506082996911e+00	1.377442558517072655e+02	1.487178857176442648e+02
1.000000000000000000e+00	1.000000000000000000e+00	7.365882421722969475e+00	9.061127772255176183e+00	9.783433349891586417e+00	3.323296033999824761e+00	2.913429401207439984e+00	7.736648978004457611e+00	2.927094455669223549e+01	-1.557954404982627317e+01	5.224576057516767946e+01
1.000000000000000000e+00	1.000000000000000000e+00	5.904339526759135204e+00	7.921042526421287810e+00	2.790862770531892689e+00	6.703533663737334614e+00	5.554288720733538298e+00	3.050498983207182935e+00	2.739571913529304403e+00	1.457000039032415941e+02	1.424748593245427060e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.614958841768991515e+00	8.222412197703784287e+00	3.716896815110960706e+00	6.102722890087723506e+00	3.654658671698865824e+00	2.311594819449448668e+00	3.349790455959257507e+00	1.496366775971853826e+02	1.449916439107614110e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.396986717555205981e+00	6.928821323607067484e+00	7.803810516646141338e+00	8.427339471972501883e+00	4.664860392156211510e+00	3.483002601122695108e+00	4.158303760184109521e+00	2.467264914590444675e+02	2.527863159990690463e+02
1.000000000000000000e+00	1.000000000000000000e+00	1.535628235335769531e+00	6.792795778723885292e+00	5.264396384954900476e+00	9.632019932063203171e+00	3.124345907417694246e+00	4.297453260851638035e+00	5.922176083675046776e+00	1.922318231786574643e+02	1.947635369222861073e+02
1.000000000000000000e+00	1.000000000000000000e+00	8.528549124260562664e+00	8.987547936518316405e+00	8.020475233010506244e+00	1.238662833054799073e+00	1.188377090509611600e+00	4.640723771062702063e+00	-2.291289704430147012e+01	-2.204681738795042634e+01	-3.564807741170946542e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.359834989199528721e+00	3.206485213674664880e+00	1.071401178909737295e+00	6.911003531007877676e+00	5.741036835238716662e+00	7.239467613716947803e+00	6.553498250235894496e+00	7.219606466478026618e+01	7.753587418662519326e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.669408420625745570e+00	5.125072885471559481e+00	5.414495711861305516e+00	1.391433954643778614e+00	1.270898877326214205e+00	1.279990365852261780e+00	-1.316870102139743182e+01	-2.142251960020255197e+01	-1.722329663187582938e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.185482716421350391e+00	3.196644550074780433e+00	1.395163524992113047e+00	6.225624167975436940e+00	5.591437262784508810e-01	1.474521377416795342e+00	8.500828456718982906e+00	1.601172656422333418e+01	1.980198179800433778e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.737086245789555505e+00	9.282688956793842650e+00	9.587098805874537666e-01	3.389431807589735612e+00	2.959915488164188702e+00	4.048311930606142361e+00	1.284463381829805506e+01	-4.541392717481639352e+01	1.010983492827045467e+02
1.000000000000000000e+00	1.000000000000000000e+00	8.548144128093376537e+00	9.377128092010581284e+00	9.694654942277324494e+00	3.359850788043372116e+00	3.478909523125375713e+00	6.920947314514973137e+00	1.872901362925327717e+01	-1.857240585352306539e+01	8.869427326820755297e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.576467895190656776e+00	1.607495089424989976e+00	2.339127334503075861e+00	3.795403331400760472e+00	2.680299140957917992e+00	3.238149414692800043e+00	7.624135181974909692e+00	1.381722577194768675e+01	6.206829990193940105e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.805537831979848296e+00	7.228420808194019109e+00	5.977310246840620955e+00	6.123652338348605007e+00	4.454194657102192423e+00	6.431422971875955241e+00	9.983432319028345603e+00	1.661247065132353669e+02	1.648814942659901135e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.310964588553119814e+00	9.127539278653173938e+00	4.378078062849082741e+00	3.654901067914756219e+00	2.581047684741300863e+00	2.804663552035797203e+00	1.089349829573100514e+01	5.837288646995427399e+01	6.208784286533188634e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.483905697588538963e+00	2.509421412451001476e+00	4.316757405061971475e+00	7.274667926774416316e+00	5.668386555637892954e+00	8.639401994002458451e+00	8.411413872546569692e+00	8.064415760503720776e+01	8.000175348127726238e+01
1.000000000000000000e+00	1.000000000000000000e+00	5.438874154191892352e+00	5.552429593118671569e+00	9.399293308575694894e+00	5.015686969766795400e+00	3.615495160938675401e+00	9.535109564687124006e+00	1.690117168762714073e+01	3.988043534601465723e+01	4.281455561998071602e+01
1.000000000000000000e+00	1.000000000000000000e+00	4.840086586979965411e+00	9.438410577462455819e+00	1.266416339805974900e+00	1.602679529240932599e+00	1.208032417639617551e+00	3.187575962557925191e+00	-4.784253645079765249e+01	-1.203553842405044882e+01	-5.304020953470448774e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.525683113382248823e+00	1.271332100470759174e+00	6.971519855975433444e+00	7.955514484133121123e+00	5.683804399508563421e+00	2.809630287118507930e+00	2.603707967474587104e+00	5.528170142797121400e+01	4.067973685710739318e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.506344535708175059e+00	7.201033199050121958e+00	9.423845797925737955e+00	3.181138079473649238e+00	2.810745292295482756e+00	4.304600825260941122e+00	1.442639607459346784e+01	4.874517201463390847e+00	2.757549858631825046e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.010468447865703112e+00	3.601408802136394804e+00	5.981822687027420038e+00	4.856162073827998249e+00	2.856824398855682734e+00	3.090125897236467800e+00	7.798665188423820283e+00	3.617518138473043621e+01	3.767908079161149004e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.901404407568087596e+00	9.323482165586868931e+00	9.290039732331758060e+00	6.698754497622830151e+00	5.365812410928512577e+00	6.932705434147114154e+00	7.451341192847124262e+00	2.656575857750844420e+02	2.617063728031370715e+02
1.000000000000000000e+00	1.000000000000000000e+00	4.522957334985918010e+00	9.921282903180628665e+00	1.628238939460558976e+00	3.892115718078946518e+00	3.142545429221243580e+00	8.303649377688834932e+00	2.198174549461587546e+01	5.731338377602111933e+01	5.504531675708518890e+01
1.000000000000000000e+00	1.000000000000000000e+00	5.057593238167235050e+00	9.483916520579789733e+00	4.534503934676647141e+00	2.068065070256274840e+00	1.048733744182916094e+00	7.563342385328070350e+00	-7.242948769879384940e+01	-8.063319899769355814e+00	-1.454132687855125639e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.937130226205812988e+00	4.889178140619494961e+00	3.497310346155884098e+00	4.544960319162104412e+00	3.889981385895628918e+00	8.092588990646159886e+00	1.606080459778556602e+01	3.048507041628273129e+00	3.243634098303402880e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.640280951809191645e+00	8.918468150937700401e+00	7.345759383986386837e+00	9.443251429675031616e+00	5.722786750869566674e+00	4.545098884377321014e+00	4.055805070658859535e+00	4.309583704959955526e+02	4.360495488395587813e+02
1.000000000000000000e+00	1.000000000000000000e+00	5.544179922921322223e+00	8.739625632076295503e+00	9.759242840830820498e+00	6.964569838626649911e+00	5.835136579237071075e+00	2.499069907431858084e+00	2.443380211570814975e+00	1.856695836691997386e+02	1.927838167963750209e+02
1.000000000000000000e+00	1.000000000000000000e+00	5.952803128716993797e+00	3.929073195059131329e+00	3.478849684519082608e+00	6.902146888694874249e+00	5.672464273762207299e+00	7.374601090767357370e+00	6.729349519702010340e+00	9.226014827035143639e+01	9.195753146897861541e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.158369146345948009e+00	8.759326012783189341e+00	6.693265398038757752e+00	6.473820918971901150e+00	1.749339191827057993e+00	4.376792063901276286e+00	1.262860898123439668e+01	1.047361787123513750e+02	1.016972719508315066e+02
1.000000000000000000e+00	1.000000000000000000e+00	6.700665536067627492e+00	1.341518775412845255e+00	2.962480480146183925e+00	3.252183923293031853e+00	2.382379757866347258e+00	6.932550083252574602e+00	4.201492124894101465e+01	-3.802598032481651291e+00	8.435373640425604336e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.616392231432020044e+00	6.675566823797496774e+00	6.240644341977053422e+00	4.455826702714094090e+00	2.925757331238819869e+00	3.537737579159894619e+00	7.764086338239969187e+00	6.278112168515359315e+01	7.043491677222760927e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.027724263805245730e+00	3.461506244031673063e+00	5.100587619922216653e+00	7.662608630179096991e+00	2.850481055576361555e+00	1.701653395168244653e+00	4.059831421298014220e+00	5.998089776976967613e+01	5.300665312139490482e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.459003010099502617e+00	2.247076833767452708e+00	1.006879606985400954e+01	1.995189732573760644e+00	1.490869786105703865e+00	9.374779322032001261e+00	-5.068138368581984992e+02	-1.641513925937893603e+01	-2.051084334797265996e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.592857235728482479e+00	1.484535248673581886e+00	6.498220351563767316e+00	3.247265617696502460e+00	3.365086090144352227e+00	2.761526152237701037e+00	7.470843171323379828e+00	-9.851825734752575059e+00	2.574630722003887229e+01
1.000000000000000000e+00	1.000000000000000000e+00	8.165192379389633714e+00	7.230219913927847131e+00	4.449876693749621026e+00	3.662970423527649899e+00	2.729850659730104656e+00	1.045967287896472619e+01	3.000060215868020208e+01	-1.139372700483005829e+01	4.789984063923658653e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.655153080070339122e+00	4.403472123246043424e+00	2.522006477769043187e+00	4.805184786668141861e+00	3.286382979033443785e+00	9.747380848967212685e+00	1.856436496207696152e+01	4.034978051332508642e+01	3.908358944740249541e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.700455278415621274e+00	7.106324086540091400e+00	2.294602452156535577e+00	1.000301846274503248e+01	4.574204222352153515e+00	7.899808037699594720e+00	8.572633812886763849e+00	3.074998179745866764e+02	3.058600061952721489e+02
1.000000000000000000e+00	1.000000000000000000e+00	7.231430837390201205e+00	1.479182104926108909e+00	3.205913203877393869e+00	1.766130538048285237e+00	1.131236956489843681e+00	7.344965301683244796e+00	-8.260586656611620526e+01	-9.584319714948946967e+00	-1.161246663263731094e+01
1.000000000000000000e+00	1.000000000000000000e+00	4.969248450198977096e+00	3.742214699964207636e+00	3.082678554324346454e+00	5.602533155145246191e+00	4.769248373873644198e+00	6.715104309442447850e+00	8.657812612466655011e+00	5.478532242219002057e+01	5.368367523504280570e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.960353368135464347e+00	5.614756563836769132e+00	8.370402456519478562e+00	3.077304021356614072e+00	1.133818217568760778e+00	8.748942919339263824e+00	1.095588765964342031e+02	1.027782373662789439e+01	8.366202651522616662e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.795172414857467480e+00	8.359306557310670627e+00	5.997042084138278106e+00	9.556003285453364526e+00	8.261816511783187877e+00	3.545398594073690735e+00	2.699154911328599749e+00	4.473822174667335503e+02	4.512620550450152450e+02
1.000000000000000000e+00	1.000000000000000000e+00	1.822741329126777998e+00	3.973586576390850222e+00	5.334328003687859976e+00	2.384828653168634904e+00	6.834543703507618417e-01	5.187367330705150437e+00	4.467981886423002834e+03	5.695660759883272029e+00	3.752942147440555765e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.499577434274744547e+00	6.435235970870122557e+00	1.774062678215061917e+00	4.950426757370181008e+00	4.373905147093241297e+00	6.118450691953505327e+00	1.201956858599849376e+01	4.508765758839237137e+00	6.882810636687234762e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.480056810396012335e+00	9.142227864088591005e+00	8.904541475993918098e+00	8.120287371608919003e+00	5.721432391383765470e+00	4.621426905275543007e+00	4.862204532735218798e+00	2.828038048391614439e+02	2.849633107290675866e+02
1.000000000000000000e+00	1.000000000000000000e+00	7.168847216504430797e+00	6.498703980688568471e+00	7.363519186270297112e+00	7.388101384340173716e+00	6.302831687795857007e+00	5.314438045917093234e+00	4.445607419913084613e+00	1.578869315851606530e+02	1.598912129120320458e+02
1.000000000000000000e+00	1.000000000000000000e+00	4.307774398879715250e+00	2.849020717225085875e+00	1.805175819989067065e+00	4.591112204134335073e+00	3.340308912116155327e+00	3.926620092646868176e+00	7.190688441827626676e+00	3.200636561471136332e+01	3.642620722075151463e+01
1.000000000000000000e+00	1.000000000000000000e+00	5.886366343014567626e+00	1.021303222464656768e+00	7.453178299357279712e+00	4.680841490395120985e+00	3.373160223387856149e+00	5.794835655462224899e+00	1.370295842251524476e+01	-1.998252061032542493e+00	1.234888427878981432e+01
1.000000000000000000e+00	1.000000000000000000e+00	5.762032177752737461e+00	8.952180872119710031e+00	6.402915343401615722e+00	4.487918174845431984e+00	3.692341055673539874e+00	8.790441784628772126e+00	1.634467820949976158e+01	4.876840609388011671e+01	5.341804834830472259e+01
