G c dx1dt d2x1dt2 dx2dt d2x2dt2 Fc Fg d2 d1 W m1
1.00000000e+00 1.00000000e+00 4.37086107e+00 2.66619636e+00 3.35535115e+00 7.05432695e+00 6.14796290e+00 6.77117118e+00 1.36973231e+00 4.54271968e+00 2.14108830e+01 3.60562355e+01
1.00000000e+00 1.00000000e+00 9.55642876e+00 5.87710853e+00 3.22280919e+00 8.17013257e+00 8.24889096e+00 1.39912633e+00 1.50998194e+00 5.26092093e+00 2.26722661e+01 5.92824347e+02
1.00000000e+00 1.00000000e+00 7.58794548e+00 8.85651252e+00 9.15629122e+00 3.25421109e+00 7.84144837e+00 -1.52599397e+01 2.55755371e+00 8.69092654e+00 2.63054210e+01 -6.77740977e+01
1.00000000e+00 1.00000000e+00 6.38792636e+00 7.59002398e+00 3.24591580e+00 6.62386690e+00 2.38509914e+00 8.21324525e-01 1.22788402e+00 4.06003947e+00 1.95073013e+01 1.50630112e+02
1.00000000e+00 1.00000000e+00 2.40416776e+00 8.25905033e+00 3.44754754e+00 6.14571385e+00 2.34324523e+00 -2.58085935e+00 6.33352817e-01 8.82684716e+00 4.56083071e+00 -3.85348592e+01
1.00000000e+00 1.00000000e+00 2.40395068e+00 6.92905030e+00 7.83458436e+00 8.49547339e+00 3.41356931e+00 -1.64154549e+00 5.71608264e-01 1.79320988e+00 6.36490867e+01 -1.79284389e+01
1.00000000e+00 1.00000000e+00 1.52275251e+00 7.23048908e+00 5.04765858e+00 9.15478354e+00 4.24967254e+00 -2.02850758e+00 4.42940543e-01 7.99118593e+00 7.68410879e+00 -5.09858175e+01
1.00000000e+00 1.00000000e+00 8.79558531e+00 8.64276086e+00 7.99039501e+00 1.10941094e+00 4.67610023e+00 1.54679327e+01 8.15956560e+00 8.62792870e+00 2.51502578e+01 4.58831079e+01
1.00000000e+00 1.00000000e+00 6.41003511e+00 3.24701208e+00 1.58829542e+00 7.06617927e+00 7.11727495e+00 7.81483858e-01 1.52309390e+00 2.63635888e+00 1.94517796e+01 3.07814210e+02
1.00000000e+00 1.00000000e+00 7.37265320e+00 5.40482467e+00 5.38814074e+00 1.46652219e+00 1.51012389e+00 1.36671017e+00 5.39734397e+00 4.87311879e+00 2.62555986e+01 7.93956946e+01
1.00000000e+00 1.00000000e+00 1.18526045e+00 2.99088498e+00 1.30252240e+00 5.93972799e+00 1.31205434e+00 -4.85801269e+00 8.68246335e-01 2.48949797e+00 8.09476405e+00 -1.59385475e+00
1.00000000e+00 1.00000000e+00 9.72918867e+00 9.88901207e+00 1.56387883e+00 3.58869456e+00 4.52719507e+00 2.89026980e-01 2.91331091e+00 7.35943716e+00 6.66504500e+00 2.24306596e+03
1.00000000e+00 1.00000000e+00 8.49198377e+00 9.49653406e+00 9.15793708e+00 3.76098940e+00 7.27447323e+00 -3.33452645e+01 2.46851533e+00 5.81812991e+00 4.38402915e+01 -2.15570807e+01
1.00000000e+00 1.00000000e+00 2.91105200e+00 1.35484130e+00 2.25320834e+00 4.17662653e+00 2.74091809e+00 3.12934511e+00 2.17317408e+00 6.71791012e+00 9.13289731e+00 3.42575849e+01
1.00000000e+00 1.00000000e+00 2.63642470e+00 7.35017655e+00 5.79178614e+00 6.59163204e+00 6.77354033e+00 -4.14436379e+00 6.72067701e-01 2.76838270e+00 2.78044063e+01 -2.38577425e+01
1.00000000e+00 1.00000000e+00 2.65064059e+00 9.32723486e+00 4.69986042e+00 4.00644969e+00 3.33845324e+00 -2.55223378e+00 8.76019201e-01 2.90571276e+00 1.70304786e+01 -2.01492259e+01
1.00000000e+00 1.00000000e+00 3.73818019e+00 2.62517811e+00 4.12608994e+00 7.59429146e+00 8.97477498e+00 -3.18207425e+01 1.25408861e+00 1.37347593e+00 8.58330169e+01 -2.89617326e+00
1.00000000e+00 1.00000000e+00 5.72280788e+00 6.11150707e+00 9.09850011e+00 4.64074647e+00 9.06120950e+00 -8.14088984e+00 1.56041690e+00 3.89860782e+00 5.07002382e+01 -4.96664370e+01
1.00000000e+00 1.00000000e+00 4.88750517e+00 9.23939468e+00 1.19641057e+00 1.61517880e+00 3.67558484e+00 3.97127775e-01 3.24244837e+00 6.03770195e+00 3.11331814e+00 5.46241994e+02
1.00000000e+00 1.00000000e+00 3.62106226e+00 1.30551381e+00 6.97410718e+00 8.05383858e+00 3.06994379e+00 -2.12842531e+00 1.98157089e+00 8.72141423e+00 3.82856031e+01 -9.11013705e+01
1.00000000e+00 1.00000000e+00 6.50667605e+00 7.27678241e+00 9.67054991e+00 3.57182492e+00 4.70173575e+00 -4.79036905e+00 2.09651388e+00 7.00234703e+00 3.10253508e+01 -8.94379950e+01
1.00000000e+00 1.00000000e+00 2.25544475e+00 3.67614107e+00 6.04151365e+00 4.89490192e+00 3.16478427e+00 -1.68337202e+00 1.00482301e+00 4.91856691e+00 1.81243315e+01 -4.17123616e+01
1.00000000e+00 1.00000000e+00 3.62930184e+00 9.31956576e+00 9.43140216e+00 7.16899495e+00 7.05145459e+00 -3.82074883e+00 7.20852015e-01 9.57808103e+00 1.52659348e+01 -1.28310387e+02
1.00000000e+00 1.00000000e+00 4.29725659e+00 9.73952421e+00 1.47032091e+00 3.99210541e+00 8.43458216e+00 1.46230689e+00 1.28178750e+00 7.47320681e+00 3.02026062e+00 3.70470242e+02
1.00000000e+00 1.00000000e+00 5.10462986e+00 9.49839840e+00 4.76913987e+00 1.50927091e+00 7.05782918e+00 3.34433971e+01 3.59274446e+00 9.37148683e+00 8.27839879e+00 2.01912640e+01
1.00000000e+00 1.00000000e+00 8.06658365e+00 5.26792795e+00 3.34142012e+00 4.36528942e+00 8.41915403e+00 1.98454723e+00 2.22754797e+00 5.74829176e+00 1.69571805e+01 3.93428173e+02
1.00000000e+00 1.00000000e+00 2.79706404e+00 8.75838386e+00 7.57738868e+00 9.50003724e+00 4.57292946e+00 -2.41621414e+00 5.22779271e-01 3.33013847e+00 3.39017560e+01 -3.52576839e+01
1.00000000e+00 1.00000000e+00 5.62810995e+00 8.60094459e+00 9.83167381e+00 6.77560958e+00 2.40685274e+00 -1.87645466e+00 1.06317520e+00 1.47544018e+00 1.44005912e+02 -2.13022569e+01
1.00000000e+00 1.00000000e+00 6.33173112e+00 3.87190426e+00 3.30877056e+00 7.04331234e+00 7.64155853e+00 2.78801343e+00 1.41551235e+00 7.53476366e+00 1.31343591e+01 2.61522571e+02
1.00000000e+00 1.00000000e+00 1.41805371e+00 8.46023927e+00 6.88757141e+00 6.69053938e+00 4.24427055e+00 -1.78155358e+00 4.48349021e-01 2.09172698e+00 2.96319156e+01 -1.41329183e+01
