G	c	dx1dt	d2x1dt2	dx2dt	d2x2dt2	Fc	Fg	d2	d1	W	m1
1.000000000000000000e+00	1.000000000000000000e+00	4.368810192862030206e+00	2.700982189449057991e+00	3.280749526426190332e+00	7.064951908544828463e+00	6.087867119079549028e+00	6.771145626845750165e+00	1.362820865917427682e+00	4.537281749503044637e+00	2.168334142567988110e+01	3.628760718766949367e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.625787250571052667e+00	5.878793255867136303e+00	3.176512999284300864e+00	8.241185785591632396e+00	8.262424578637828532e+00	1.399011566434807952e+00	1.548915928163729250e+00	5.287446321586919851e+00	2.271375595329956809e+01	5.928891234199003293e+02
1.000000000000000000e+00	1.000000000000000000e+00	7.590525684356630443e+00	8.944028527010070562e+00	9.178957974553304311e+00	3.272840339423132683e+00	7.784901463983708858e+00	-1.525970897063794318e+01	2.578753852284373593e+00	8.733740450173119285e+00	2.623878308850952479e+01	-6.653875607319308472e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.298812076367537927e+00	7.675987333820215142e+00	3.246441010656107018e+00	6.657624683578344360e+00	2.346583167784840995e+00	8.210505113858356241e-01	1.224259805443356441e+00	4.003780344361742571e+00	1.941227046531858491e+01	1.501483135558559923e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.427445514021145723e+00	8.283141374496185705e+00	3.430498789817138849e+00	6.231446426494507307e+00	2.362526441459011473e+00	-2.580401279612639431e+00	6.501980688290123211e-01	8.927454092900978466e+00	4.336387282304384527e+00	-4.083479601206397547e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.360445206380347383e+00	6.946476231649425515e+00	7.784258512904956184e+00	8.513270773957534843e+00	3.281256826486515177e+00	-1.641375259714124235e+00	5.479649540363871196e-01	1.820613394834288634e+00	6.410468162595164188e+01	-1.835092329746278139e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.456896311481373107e+00	7.234156930255618789e+00	5.134726732598976717e+00	9.148143758936440051e+00	4.339134260676367205e+00	-2.028852551871795029e+00	4.477425420260893185e-01	8.019686791583390928e+00	7.688545448658536507e+00	-5.287423949510847621e+01
1.000000000000000000e+00	1.000000000000000000e+00	8.750438045007744137e+00	8.495054512148843884e+00	7.944124717829846638e+00	1.065101119283384579e+00	4.678477285280257192e+00	1.546788920610665485e+01	8.141568830144564117e+00	8.536746879701240687e+00	2.470379964991405330e+01	4.636573779022479158e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.439397115138578265e+00	3.169430562296456699e+00	1.602187498104066909e+00	7.175649228024079562e+00	7.046847764899460742e+00	7.814511558626769938e-01	1.490693349363842790e+00	2.679949041009694888e+00	1.931671873205254641e+01	3.058706746554237270e+02
1.000000000000000000e+00	1.000000000000000000e+00	7.440781247615286809e+00	5.410425405035935498e+00	5.361202309009680533e+00	1.495026198103336812e+00	1.454715064688146819e+00	1.366786205840358370e+00	5.412397578609906112e+00	4.900901374905634711e+00	2.630074281107630085e+01	7.824811322073806252e+01
