G c dx1dt d2x1dt2 dx2dt d2x2dt2 Fg Fc m1 d2 W d1
1.00000000e+00 1.00000000e+00 4.37086107e+00 2.66619636e+00 3.35535115e+00 7.05432695e+00 6.14796290e+00 4.54271968e+00 -3.65814825e-01 6.83431259e+00 1.80846001e+02 -4.63858166e-02
1.00000000e+00 1.00000000e+00 9.55642876e+00 5.87710853e+00 3.22280919e+00 8.17013257e+00 8.24889096e+00 5.26092093e+00 -1.30306964e+00 2.55147726e+00 3.17563747e+01 -3.37413928e-01
1.00000000e+00 1.00000000e+00 7.58794548e+00 8.85651252e+00 9.15629122e+00 3.25421109e+00 7.84144837e+00 8.69092654e+00 -1.51630215e-01 8.85155107e+00 -3.35813427e+02 3.65954145e-02
1.00000000e+00 1.00000000e+00 6.38792636e+00 7.59002398e+00 3.24591580e+00 6.62386690e+00 2.38509914e+00 4.06003947e+00 -1.73361078e+00 6.51804615e+00 3.16064798e+01 -1.16045994e+00
1.00000000e+00 1.00000000e+00 2.40416776e+00 8.25905033e+00 3.44754754e+00 6.14571385e+00 2.34324523e+00 8.82684716e+00 -3.06794587e+00 2.41483495e+00 -1.30384976e+01 1.95892522e+00
1.00000000e+00 1.00000000e+00 2.40395068e+00 6.92905030e+00 7.83458436e+00 8.49547339e+00 3.41356931e+00 1.79320988e+00 -1.03443280e+00 9.66104252e+00 -1.45984842e+01 5.36332946e+00
1.00000000e+00 1.00000000e+00 1.52275251e+00 7.23048908e+00 5.04765858e+00 9.15478354e+00 4.24967254e+00 7.99118593e+00 1.94435595e+00 5.66528917e+00 -1.04006223e+01 -5.34599447e+00
1.00000000e+00 1.00000000e+00 8.79558531e+00 8.64276086e+00 7.99039501e+00 1.10941094e+00 4.67610023e+00 8.62792870e+00 -5.24577845e-01 1.65608607e+00 8.45927077e+01 -8.20593686e-02
1.00000000e+00 1.00000000e+00 6.41003511e+00 3.24701208e+00 1.58829542e+00 7.06617927e+00 7.11727495e+00 2.63635888e+00 -1.17327047e+00 6.64149614e+00 6.28400202e+01 -1.96951381e-01
1.00000000e+00 1.00000000e+00 7.37265320e+00 5.40482467e+00 5.38814074e+00 1.46652219e+00 1.51012389e+00 4.87311879e+00 -8.53919911e-01 3.27879016e+00 1.83948469e+01 -8.20112662e-01
1.00000000e+00 1.00000000e+00 1.18526045e+00 2.99088498e+00 1.30252240e+00 5.93972799e+00 1.31205434e+00 2.48949797e+00 3.99290037e-01 8.23324107e+00 -1.09189109e+02 -3.92161707e-02
1.00000000e+00 1.00000000e+00 9.72918867e+00 9.88901207e+00 1.56387883e+00 3.58869456e+00 4.52719507e+00 7.35943716e+00 -4.49539581e-01 8.36039866e+00 4.50982979e+01 -1.30328043e-01
1.00000000e+00 1.00000000e+00 8.49198377e+00 9.49653406e+00 9.15793708e+00 3.76098940e+00 7.27447323e+00 5.81812991e+00 2.53915435e-01 9.81052620e+00 -9.10037364e+02 -2.50680086e-02
