G	c	dx1dt	d2x1dt2	dx2dt	d2x2dt2	Fg	m1	Fc	d1	d2	W
1.000000000000000000e+00	1.000000000000000000e+00	5.252380201078132416e+00	2.632427271683975167e+00	2.572489539789620139e+00	5.852929117502649881e+00	5.730772433752574280e+00	7.431379800667761160e-01	3.633475226329947105e+01	4.984221297463622413e+00	2.066294148861699043e+00	1.193915200862113668e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.994675304849749864e+00	5.891207168554923435e+00	3.666963541149435901e+00	7.963446044200393814e+00	8.214997292153910280e+00	4.424034105670152095e-01	9.663301053286564013e+01	5.691561656649930079e+00	1.736000037090012071e+01	5.333241288655370393e-01
1.000000000000000000e+00	1.000000000000000000e+00	7.252349040781338019e+00	9.721590326281543071e+00	8.746355247348317263e+00	3.390671073284750037e+00	7.958634259305783054e+00	9.838493876489254886e-01	5.475468111260844353e+02	8.762391667984221755e+00	8.667236934487152666e+01	4.481851743048435033e-01
1.000000000000000000e+00	1.000000000000000000e+00	6.000011974016973504e+00	7.852756924629576751e+00	2.797819777086399728e+00	6.978760001581680861e+00	2.640677398803701781e+00	2.359813156828005631e-01	2.775087994426628413e+01	4.775874109240825227e+00	1.445155465996158561e+01	2.140839994087067932e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.572036631583505706e+00	8.317545234840025614e+00	2.949631770553813759e+00	5.408231269664479868e+00	3.166844894785041831e+00	3.682587812021065887e-01	1.514963092605243311e+01	8.665529983993357277e+00	8.364990919735198815e+00	1.871742848093562728e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.434329674628374907e+00	7.295788489635621765e+00	8.470143094671362505e+00	7.767190817703647276e+00	4.108544572699583952e+00	4.927222627393625931e-01	4.493174675406437757e+01	2.955935558378924632e+00	9.394859038618875502e+00	1.895166438361814754e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.631035581770590159e+00	7.597267374696504483e+00	5.164732397241413864e+00	8.868995967121872326e+00	4.357652168786291469e+00	9.530226314508746244e-01	3.088541363121326810e+01	7.474282683136941330e+00	2.684860520222628555e+00	1.760248136908721150e+01
1.000000000000000000e+00	1.000000000000000000e+00	8.318973524665199903e+00	9.169034260273203785e+00	8.179524494845653138e+00	1.111220335234256007e+00	4.653498003968772778e+00	1.259850894801835874e+00	9.239905581211387471e+02	8.008634615447688176e+00	2.507023049255293472e+02	4.351249048005115250e-01
1.000000000000000000e+00	1.000000000000000000e+00	7.213707154948492573e+00	2.825930472969330420e+00	1.969041554931522775e+00	7.612270622971314182e+00	7.332966321123575604e+00	5.196354305259778261e-01	1.735155692299118968e+01	1.871050885765000338e+00	4.347810428961746076e+00	7.388920921648660656e-01
1.000000000000000000e+00	1.000000000000000000e+00	7.126909958889775965e+00	5.137499511757472881e+00	5.364745209569307782e+00	1.855052091484414856e+00	1.178822275446976597e+00	3.112614758169547358e-01	1.148815732520958903e+02	4.203329326957748968e+00	1.120776512865981260e+02	8.207062720896340924e-01
