G	c	dx1dt	d2x1dt2	dx2dt	d2x2dt2	W	Fg	d1	Fc	m1	d2
1.000000000000000000e+00	1.000000000000000000e+00	4.345045662699655864e+00	2.654209054682398428e+00	3.359308194072583298e+00	7.079414964411044231e+00	6.178494638128571026e+00	4.614497483093424002e+00	1.372667628888368352e+00	1.757848289074071646e+00	6.899564804082904956e+00	4.501980445458555469e-01
1.000000000000000000e+00	1.000000000000000000e+00	9.593603040617928457e+00	5.908427938709570171e+00	3.261274753980143881e+00	8.174067523532078994e+00	8.196905068580001341e+00	5.252738073087538595e+00	1.567960048565129938e+00	8.884697593190351572e-01	2.597489300517441979e+00	1.527266565106618901e-01
1.000000000000000000e+00	1.000000000000000000e+00	7.625601392003412471e+00	8.848468932944843601e+00	9.191482529656340716e+00	3.252267617976704273e+00	7.776353498999932334e+00	8.634155261917655366e+00	9.031229442903752069e-01	5.231589199329115480e+00	8.853078352359752046e+00	8.273586634983436383e-01
1.000000000000000000e+00	1.000000000000000000e+00	6.398287795119775190e+00	7.691460278875307033e+00	3.255277230663229382e+00	6.642557688934007665e+00	2.388014034642587102e+00	3.972883584954926217e+00	5.765124848112994638e-01	1.077985822890611400e+00	6.610594485279080779e+00	1.811253823003911301e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.404542547298883282e+00	8.263540560326573470e+00	3.454192842949770803e+00	6.120360377167310517e+00	2.346736863317396171e+00	8.784484812273202436e+00	2.577300293963298294e-01	6.292983917890448531e+00	2.462323444422481966e+00	2.576122513211571291e-02
1.000000000000000000e+00	1.000000000000000000e+00	2.353971838175537012e+00	7.059268344472013013e+00	7.874365479205836849e+00	8.539946370483171734e+00	3.405547599218369914e+00	1.770709064782641118e+00	1.897785780536250577e+00	2.932969525782865627e+00	9.637206433070737432e+00	7.102099060306115152e-01
1.000000000000000000e+00	1.000000000000000000e+00	1.399261908762952311e+00	7.250072033058011733e+00	5.000250440493375415e+00	9.096543276953100943e+00	4.233904537139117963e+00	8.036172561896428590e+00	5.523702365949235693e-01	1.330233572222557292e+01	5.590201262486921507e+00	1.113969142765070530e-01
1.000000000000000000e+00	1.000000000000000000e+00	8.735408514359917831e+00	8.630873666205525652e+00	8.084015485259438805e+00	1.087137254395618369e+00	4.769285295350038645e+00	8.566436887126297250e+00	5.409476926789431595e-01	3.891042464414822266e+00	1.633510234065791655e+00	2.617117194529662294e-01
1.000000000000000000e+00	1.000000000000000000e+00	6.388910643488626917e+00	3.196974388222201924e+00	1.475257998261768844e+00	7.099260737221435136e+00	7.140480310446581491e+00	2.721600511460393168e+00	2.680807680210754995e+00	3.148574954302296169e-01	6.663981402340095173e+00	8.366507771796871662e-01
1.000000000000000000e+00	1.000000000000000000e+00	7.432049106659058602e+00	5.324554531377150290e+00	5.468503380012596615e+00	1.405194990132433208e+00	1.617465715321025899e+00	4.799760207455497252e+00	3.135297503108073758e-01	1.873641295501300874e+00	3.311276543654855242e+00	2.323217482768341058e-01
1.000000000000000000e+00	1.000000000000000000e+00	1.179678840620538960e+00	2.935729501582681866e+00	1.300027412576123087e+00	5.854575132042141306e+00	1.381174203843947623e+00	2.617407503099896893e+00	5.388179998695434847e-01	1.386694699169114031e+00	8.307175163799769280e+00	2.465800871135191974e-01
1.000000000000000000e+00	1.000000000000000000e+00	9.701097394406897223e+00	9.840078201065431074e+00	1.619237793704127126e+00	3.592109191383432432e+00	4.619971349988984066e+00	7.454102220904407439e+00	6.147927206426092583e-01	5.714226663322653499e-01	8.300857771842148125e+00	4.779689513547630275e-01
1.000000000000000000e+00	1.000000000000000000e+00	8.443760884915374021e+00	9.518498512653774668e+00	9.178027080924996639e+00	3.669153751088829463e+00	7.215947802878273976e+00	5.825874545109051894e+00	1.271261138472241203e+00	3.169002946696209300e+00	9.786637117935988783e+00	1.086042883779684942e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.946600360837056787e+00	1.325569900923929900e+00	2.272315154361615352e+00	4.106317417522418189e+00	2.773227804856023937e+00	6.627514680200069286e+00	4.190883003181976596e-01	2.577382200658435263e+00	5.452764614831227874e+00	1.920548230831866654e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.709943186898110756e+00	7.360575593065892264e+00	5.822390140783213930e+00	6.632589320115219955e+00	6.750022288750923138e+00	2.765342035973179069e+00	2.431790179210574721e+00	2.978826166635171191e+00	5.021784194226484033e+00	6.313467819754837729e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.708197017070309798e+00	9.398553312935060688e+00	4.744533578572236898e+00	3.995363895180734204e+00	3.247849432404991799e+00	2.884489967173598401e+00	1.141064455389965371e+00	2.630446576361508804e+00	7.747128494224779338e+00	7.492801388203648161e-01
1.000000000000000000e+00	1.000000000000000000e+00	3.770986884631785774e+00	2.620293194640144652e+00	4.107933047616258548e+00	7.663879694689988753e+00	9.056261493274563534e+00	1.303566234095762111e+00	6.537577669679731862e+00	7.142904150629960647e-01	2.212178807905623490e+00	6.297248932809761390e-01
1.000000000000000000e+00	1.000000000000000000e+00	5.642943158818672700e+00	6.227173795348871721e+00	9.155638112074662160e+00	4.575525346491900791e+00	9.045212221129487418e+00	3.914573133139815919e+00	2.300458102132639571e+00	3.196285070242495863e+00	5.964201776745769124e+00	9.812226819458919058e-01
1.000000000000000000e+00	1.000000000000000000e+00	4.868471473374500924e+00	9.173982483879635552e+00	1.136529881166755018e+00	1.610092805723061460e+00	3.618114003874509432e+00	5.992515402022251081e+00	6.135683556393025651e-01	7.195929894113708425e-01	5.864640027213500417e+00	7.470217948292997567e-01
1.000000000000000000e+00	1.000000000000000000e+00	3.726456381646557681e+00	1.297136612675341860e+00	6.973812844316114479e+00	8.075469592024985488e+00	3.047362712343723246e+00	8.682193205521910429e+00	3.268818207127752173e-01	8.483184485561151789e+00	1.761235284006016588e+00	2.184873337010690558e-02
1.000000000000000000e+00	1.000000000000000000e+00	6.567399477224184601e+00	7.246779592098680389e+00	9.716709256155551699e+00	3.508460552369207619e+00	4.658365836840515861e+00	6.991172852665747506e+00	6.860448101564049495e-01	5.149385218575196710e+00	4.665038312820835031e+00	2.977691264425971207e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.172230325252923144e+00	3.728240391070931636e+00	6.096455053458181617e+00	4.950755065433147806e+00	3.126998903098987537e+00	4.887026374506557858e+00	6.563733066221529855e-01	6.628159677322917886e+00	8.691223477598263969e+00	3.823833748891477535e-01
1.000000000000000000e+00	1.000000000000000000e+00	3.626293109120901637e+00	9.194962663206332820e+00	9.456845314513040890e+00	7.196639915186946901e+00	7.039383968785225321e+00	9.692092451063848202e+00	7.434052573692196964e-01	1.246499668899432400e+01	8.665555857707596843e+00	2.848166816417743163e-01
1.000000000000000000e+00	1.000000000000000000e+00	4.316908599076862529e+00	9.659241458861918872e+00	1.448599150411121972e+00	3.904988658252869893e+00	8.528858761864260174e+00	7.443816538790357207e+00	1.119005423736017191e+00	1.311688279424447545e+00	1.983604220879758406e+00	1.674835840750029392e-01
1.000000000000000000e+00	1.000000000000000000e+00	5.063379489064411487e+00	9.492426529078166197e+00	4.818652948808580305e+00	1.507227804877244282e+00	7.021535228345361368e+00	9.395674357646040420e+00	7.555443005651880650e-01	4.416142900642025637e+00	1.838780635291659582e+00	3.083122004546837713e-01
1.000000000000000000e+00	1.000000000000000000e+00	7.941602393384615155e+00	5.354233508835794630e+00	3.304460048783061321e+00	4.386182707130630298e+00	8.509533638651605614e+00	5.756275386449063447e+00	1.457315436214670301e+00	1.170833365828909622e+00	3.354933019502143843e+00	3.717517970817160733e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.802412702662744337e+00	8.770947792968179613e+00	7.674095386004435859e+00	9.468095257012805632e+00	4.619165158059432841e+00	3.349490983728385274e+00	1.358496325515807124e+00	4.458892608499288812e+00	8.838019457251682809e+00	4.233311272995670116e-01
1.000000000000000000e+00	1.000000000000000000e+00	5.585474039082747311e+00	8.525755900131828824e+00	9.826998578088527836e+00	6.695498936809621604e+00	2.428437445623373492e+00	1.498980743908860935e+00	1.626447524851698301e+00	1.286696180190831429e+00	2.078816504970069534e+00	1.744849347664041150e-01
1.000000000000000000e+00	1.000000000000000000e+00	6.289307183167157866e+00	3.805304017903934355e+00	3.223757794222930073e+00	7.058386359690315359e+00	7.682308238409489398e+00	7.583116741154514173e+00	1.024130370803268297e+00	1.977557287551097831e+00	7.405562010760036173e+00	3.563983094662688256e-01
