G c dx1dt d2x1dt2 dx2dt d2x2dt2 d2 d1 Fg Fc m1 W
1.00000000e+00 1.00000000e+00 4.37086107e+00 2.66619636e+00 3.35535115e+00 7.05432695e+00 6.14796290e+00 -6.95603251e+00 4.54271968e+00 1.80247194e+01 8.32356162e+00 1.53826660e+01
1.00000000e+00 1.00000000e+00 9.55642876e+00 5.87710853e+00 3.22280919e+00 8.17013257e+00 8.24889096e+00 -1.23371893e+01 5.26092093e+00 2.85800501e+01 1.34655081e+01 3.81699647e+01
1.00000000e+00 1.00000000e+00 7.58794548e+00 8.85651252e+00 9.15629122e+00 3.25421109e+00 7.84144837e+00 -7.10698060e+00 8.69092654e+00 1.96148978e+01 7.44291002e+00 1.14560949e+02
1.00000000e+00 1.00000000e+00 6.38792636e+00 7.59002398e+00 3.24591580e+00 6.62386690e+00 2.38509914e+00 -3.16298263e+00 4.06003947e+00 1.83982584e+01 2.98331727e+00 6.82527476e+00
1.00000000e+00 1.00000000e+00 2.40416776e+00 8.25905033e+00 3.44754754e+00 6.14571385e+00 2.34324523e+00 -1.92543702e+00 8.82684716e+00 3.74013466e+01 5.99947275e+00 5.86781604e+00
1.00000000e+00 1.00000000e+00 2.40395068e+00 6.92905030e+00 7.83458436e+00 8.49547339e+00 3.41356931e+00 -1.60297391e+00 1.79320988e+00 1.03263282e+01 7.81310906e-01 1.27767561e+00
1.00000000e+00 1.00000000e+00 1.52275251e+00 7.23048908e+00 5.04765858e+00 9.15478354e+00 4.24967254e+00 -1.96980050e+00 7.99118593e+00 4.98092185e+01 6.72785666e+00 4.14827499e+00
1.00000000e+00 1.00000000e+00 8.79558531e+00 8.64276086e+00 7.99039501e+00 1.10941094e+00 4.67610023e+00 -4.90040352e+00 8.62792870e+00 6.62518537e+00 5.04919461e+00 2.31064710e+02
1.00000000e+00 1.00000000e+00 6.41003511e+00 3.24701208e+00 1.58829542e+00 7.06617927e+00 7.11727495e+00 -1.14078762e+01 2.63635888e+00 1.11031034e+01 1.18137286e+01 1.42793628e+01
1.00000000e+00 1.00000000e+00 7.37265320e+00 5.40482467e+00 5.38814074e+00 1.46652219e+00 1.51012389e+00 -1.74497289e+00 4.87311879e+00 4.69877695e+00 1.36577967e+00 2.81342638e+01
1.00000000e+00 1.00000000e+00 1.18526045e+00 2.99088498e+00 1.30252240e+00 5.93972799e+00 1.31205434e+00 -1.25021049e+00 2.48949797e+00 8.61820467e+00 2.50771627e+00 5.59168075e-01
1.00000000e+00 1.00000000e+00 9.72918867e+00 9.88901207e+00 1.56387883e+00 3.58869456e+00 4.52719507e+00 -7.80052629e+00 7.35943716e+00 1.84727196e+01 2.13044687e+01 6.45705078e+01
1.00000000e+00 1.00000000e+00 8.49198377e+00 9.49653406e+00 9.15793708e+00 3.76098940e+00 7.27447323e+00 -6.99999837e+00 5.81812991e+00 1.52593431e+01 4.62154631e+00 6.85191080e+01
1.00000000e+00 1.00000000e+00 2.91105200e+00 1.35484130e+00 2.25320834e+00 4.17662653e+00 2.74091809e+00 -3.09006694e+00 6.71791012e+00 1.06888585e+01 8.17201012e+00 1.68443041e+01
1.00000000e+00 1.00000000e+00 2.63642470e+00 7.35017655e+00 5.79178614e+00 6.59163204e+00 6.77354033e+00 -4.23765599e+00 2.76838270e+00 1.24447785e+01 3.23764577e+00 5.49877794e+00
1.00000000e+00 1.00000000e+00 2.65064059e+00 9.32723486e+00 4.69986042e+00 4.00644969e+00 3.33845324e+00 -2.40773783e+00 2.90571276e+00 8.10712951e+00 2.06401580e+00 4.60791433e+00
1.00000000e+00 1.00000000e+00 3.73818019e+00 2.62517811e+00 4.12608994e+00 7.59429146e+00 8.97477498e+00 -8.53208892e+00 1.37347593e+00 5.83629070e+00 2.98748636e+00 5.42199352e+00
1.00000000e+00 1.00000000e+00 5.72280788e+00 6.11150707e+00 9.09850011e+00 4.64074647e+00 9.06120950e+00 -6.99743385e+00 3.89860782e+00 1.20891424e+01 3.88262920e+00 3.25978494e+01
1.00000000e+00 1.00000000e+00 4.88750517e+00 9.23939468e+00 1.19641057e+00 1.61517880e+00 3.67558484e+00 -5.90555184e+00 6.03770195e+00 6.78623768e+00 1.85488881e+01 4.82500714e+01
1.00000000e+00 1.00000000e+00 3.62106226e+00 1.30551381e+00 6.97410718e+00 8.05383858e+00 3.06994379e+00 -2.09840110e+00 8.72141423e+00 2.57790307e+01 3.83909377e+00 1.63999930e+01
1.00000000e+00 1.00000000e+00 6.50667605e+00 7.27678241e+00 9.67054991e+00 3.57182492e+00 4.70173575e+00 -3.78219003e+00 7.00234703e+00 1.70398094e+01 3.40447913e+00 4.40159353e+01
1.00000000e+00 1.00000000e+00 2.25544475e+00 3.67614107e+00 6.04151365e+00 4.89490192e+00 3.16478427e+00 -1.72062959e+00 4.91856691e+00 1.47823107e+01 2.57654026e+00 5.84091853e+00
1.00000000e+00 1.00000000e+00 3.62930184e+00 9.31956576e+00 9.43140216e+00 7.16899495e+00 7.05145459e+00 -3.91890929e+00 9.57808103e+00 4.78149831e+01 7.16112009e+00 2.45507528e+01
1.00000000e+00 1.00000000e+00 4.29725659e+00 9.73952421e+00 1.47032091e+00 3.99210541e+00 8.43458216e+00 -1.25687305e+01 7.47320681e+00 2.08437864e+01 4.28704892e+01 4.85581631e+01
1.00000000e+00 1.00000000e+00 5.10462986e+00 9.49839840e+00 4.76913987e+00 1.50927091e+00 7.05782918e+00 -7.29763941e+00 9.37148683e+00 9.86353181e+00 1.38688222e+01 1.60394677e+02
1.00000000e+00 1.00000000e+00 8.06658365e+00 5.26792795e+00 3.34142012e+00 4.36528942e+00 8.41915403e+00 -1.19063443e+01 5.74829176e+00 1.64380455e+01 1.44835884e+01 6.82583095e+01
1.00000000e+00 1.00000000e+00 2.79706404e+00 8.75838386e+00 7.57738868e+00 9.50003724e+00 4.57292946e+00 -2.46582194e+00 3.33013847e+00 2.19212636e+01 2.00972775e+00 3.23538462e+00
1.00000000e+00 1.00000000e+00 5.62810995e+00 8.60094459e+00 9.83167381e+00 6.77560958e+00 2.40685274e+00 -1.75242190e+00 1.47544018e+00 6.91659746e+00 3.61196608e-01 2.13173299e+00
1.00000000e+00 1.00000000e+00 6.33173112e+00 3.87190426e+00 3.30877056e+00 7.04331234e+00 7.64155853e+00 -1.00377129e+01 7.53476366e+00 3.29490930e+01 1.74014295e+01 4.16840797e+01
1.00000000e+00 1.00000000e+00 1.41805371e+00 8.46023927e+00 6.88757141e+00 6.69053938e+00 4.24427055e+00 -1.44928371e+00 2.09172698e+00 9.66899494e+00 1.28896743e+00 1.36174067e+00
1.00000000e+00 1.00000000e+00 6.46790367e+00 1.33306871e+00 2.78287869e+00 2.79092925e+00 7.04143743e+00 -9.84637562e+00 3.72497615e+00 3.89778046e+00 9.42519937e+00 8.10633396e+01
1.00000000e+00 1.00000000e+00 2.53471711e+00 6.36642891e+00 6.08797229e+00 4.76500478e+00 3.43579548e+00 -2.01996597e+00 5.79223817e+00 1.85324084e+01 3.26889558e+00 7.88293175e+00
1.00000000e+00 1.00000000e+00 1.58546434e+00 3.07007954e+00 5.17539238e+00 7.75845819e+00 1.73106671e+00 -8.11892532e-01 6.07974929e+00 2.76949837e+01 2.03355627e+00 1.83151515e+00
1.00000000e+00 1.00000000e+00 9.53996984e+00 2.08510197e+00 9.74804797e+00 1.91235608e+00 9.93323616e+00 -9.82607693e+00 6.40524877e+00 6.24954298e+00 6.52693226e+00 3.11050935e+02
1.00000000e+00 1.00000000e+00 9.69068830e+00 1.69257881e+00 6.47674545e+00 3.50067498e+00 2.40581357e+00 -2.88406803e+00 2.49629797e+00 3.97256261e+00 9.27260085e-01 1.82855782e+01
1.00000000e+00 1.00000000e+00 8.27557613e+00 7.26659898e+00 4.14555735e+00 3.48687198e+00 9.89578895e+00 -1.31861323e+01 4.41763664e+00 1.04929003e+01 1.05452648e+01 7.61558211e+01
1.00000000e+00 1.00000000e+00 3.74152392e+00 4.05887467e+00 2.02686206e+00 4.88817035e+00 9.79551939e+00 -1.27072530e+01 6.55474804e+00 2.00835477e+01 3.16781111e+01 3.92028439e+01
1.00000000e+00 1.00000000e+00 1.87904903e+00 7.52290094e+00 2.36122146e+00 9.82331867e+00 8.14436294e+00 -7.21824577e+00 9.72836978e+00 6.53220599e+01 3.35552491e+01 1.10862713e+01
1.00000000e+00 1.00000000e+00 7.15809724e+00 1.58820707e+00 3.02785237e+00 1.60752292e+00 6.93480666e+00 -9.74676340e+00 7.54868024e+00 5.28076355e+00 1.72890325e+01 2.67822643e+02
1.00000000e+00 1.00000000e+00 4.96137244e+00 3.83761304e+00 3.25869995e+00 5.66830895e+00 6.20026345e+00 -7.48456090e+00 9.30343381e+00 3.26802797e+01 1.77014581e+01 4.07364104e+01
1.00000000e+00 1.00000000e+00 2.09834411e+00 5.85542163e+00 8.65554452e+00 2.61428214e+00 8.79491391e+00 -3.43220140e+00 7.85990852e+00 1.36563991e+01 7.98646678e+00 4.17423689e+01
1.00000000e+00 1.00000000e+00 5.45659219e+00 8.11650848e+00 6.05100509e+00 9.73608891e+00 3.60495569e+00 -3.41874548e+00 6.32545272e+00 4.23950560e+01 3.76846102e+00 9.28238223e+00
1.00000000e+00 1.00000000e+00 1.30949669e+00 3.86877253e+00 5.71051820e+00 2.01973154e+00 5.20913091e+00 -1.94339750e+00 2.72821032e+00 3.42054454e+00 2.48867164e+00 7.42164416e+00
1.00000000e+00 1.00000000e+00 9.18388362e+00 6.63302239e+00 2.03291985e+00 4.63240902e+00 6.57450972e+00 -1.07659071e+01 7.00017087e+00 2.18763308e+01 2.26387142e+01 6.76242633e+01
1.00000000e+00 1.00000000e+00 3.32901983e+00 8.97379973e+00 8.74125724e+00 7.64096486e+00 4.70071428e+00 -2.59294314e+00 6.61041609e+00 3.50681663e+01 3.55482930e+00 9.74977917e+00
1.00000000e+00 1.00000000e+00 6.96270056e+00 6.54276869e+00 7.50532873e+00 7.34098985e+00 4.84737809e+00 -4.66557559e+00 6.42222253e+00 3.17562343e+01 4.14784507e+00 2.19177677e+01
1.00000000e+00 1.00000000e+00 3.80539968e+00 3.09663527e+00 1.60901526e+00 4.80455773e+00 3.97256201e+00 -5.58405160e+00 5.40807281e+00 1.52921242e+01 1.33522069e+01 1.44563352e+01
1.00000000e+00 1.00000000e+00 5.68061219e+00 1.21960703e+00 7.37051588e+00 4.11871751e+00 6.07808635e+00 -5.29107541e+00 5.75790944e+00 8.06392492e+00 4.74825254e+00 7.09766006e+01
1.00000000e+00 1.00000000e+00 5.92039251e+00 8.83088987e+00 5.89184396e+00 4.57851141e+00 8.65517075e+00 -8.67608911e+00 4.00998274e+00 1.27302950e+01 5.89070003e+00 3.23625463e+01
1.00000000e+00 1.00000000e+00 2.66369010e+00 1.19142470e+00 1.73552811e+00 3.37848637e+00 2.81375540e+00 -3.40741107e+00 5.67381423e+00 6.33214778e+00 9.19877088e+00 1.90519409e+01
1.00000000e+00 1.00000000e+00 9.72626165e+00 8.87231505e+00 5.12470577e+00 2.84799645e+00 9.40989735e+00 -1.23255437e+01 2.77800315e+00 5.48794044e+00 5.10092201e+00 6.43512397e+01
1.00000000e+00 1.00000000e+00 7.97619541e+00 5.76043421e+00 5.36226658e+00 5.34735728e+00 7.20178888e+00 -8.61311828e+00 8.24656958e+00 2.92454086e+01 1.10755503e+01 6.67874923e+01
1.00000000e+00 1.00000000e+00 9.45549047e+00 9.45160929e+00 2.49197086e+00 3.41680380e+00 8.40945891e+00 -1.33108711e+01 2.67199259e+00 6.36428653e+00 9.01696415e+00 4.46008252e+01
1.00000000e+00 1.00000000e+00 9.05344615e+00 8.18904912e+00 9.51128332e+00 3.58715498e+00 6.00571623e+00 -5.85760526e+00 1.76469661e+00 4.36117375e+00 1.11428361e+00 1.94126779e+01
1.00000000e+00 1.00000000e+00 6.38109981e+00 9.98140699e+00 8.64977834e+00 6.91080457e+00 8.01565031e+00 -6.80581190e+00 4.92621424e+00 2.38277019e+01 4.56506619e+00 2.60464618e+01
1.00000000e+00 1.00000000e+00 9.29686812e+00 4.15640634e+00 7.02120104e+00 9.71683599e+00 1.14580358e+00 -1.30559377e+00 6.92476696e+00 4.23707674e+01 1.13006631e+00 6.02782787e+00
1.00000000e+00 1.00000000e+00 1.79643252e+00 7.90469460e+00 5.16066005e+00 6.43273481e+00 8.36542382e+00 -4.32017233e+00 4.93945142e+00 2.18208060e+01 8.00684490e+00 8.40147442e+00
1.00000000e+00 1.00000000e+00 2.76384576e+00 4.61737822e+00 4.70588987e+00 1.69281520e+00 1.36124973e+00 -1.00734068e+00 3.49078719e+00 3.79205004e+00 1.00976292e+00 6.04497211e+00
1.00000000e+00 1.00000000e+00 1.40704560e+00 5.31888058e+00 6.85876120e+00 1.68025252e+00 9.00922039e+00 -3.06718611e+00 6.02354066e+00 6.63937352e+00 7.91212927e+00 3.46371362e+01
1.00000000e+00 1.00000000e+00 3.92797298e+00 6.64754917e+00 5.90888682e+00 9.56280899e+00 9.92766473e+00 -7.92846489e+00 4.12302102e+00 2.66051680e+01 6.92718807e+00 1.24580678e+01
1.00000000e+00 1.00000000e+00 4.49809561e+00 8.86309403e+00 1.56045795e+00 3.67561711e+00 3.64660716e+00 -5.41475370e+00 9.39580921e+00 2.39532780e+01 2.19569038e+01 3.02267247e+01
1.00000000e+00 1.00000000e+00 3.44214129e+00 9.85675122e+00 5.61252384e+00 1.82860287e+00 2.89286701e+00 -2.19945339e+00 9.30380626e+00 1.18967143e+01 4.79546723e+00 3.62260890e+01
1.00000000e+00 1.00000000e+00 8.45863758e+00 7.91446072e+00 8.25763256e+00 6.39140128e+00 7.88827027e+00 -7.98312289e+00 5.52134638e+00 2.42374462e+01 5.27437764e+00 4.19619181e+01
1.00000000e+00 1.00000000e+00 4.21077994e+00 4.75990104e+00 5.13315890e+00 6.61283900e+00 3.27723707e+00 -2.95372740e+00 3.95095595e+00 1.68507831e+01 2.52246610e+00 6.39182232e+00
1.00000000e+00 1.00000000e+00 3.52841059e+00 4.79221302e+00 1.46760920e+00 6.83654338e+00 8.79006145e+00 -1.24158619e+01 7.63419173e+00 3.36981653e+01 4.57240350e+01 2.68201314e+01
1.00000000e+00 1.00000000e+00 5.88426475e+00 7.63824071e+00 8.07650379e+00 3.40661825e+00 1.92558333e+00 -1.62321180e+00 1.33041649e+00 3.10248618e+00 3.17195148e-01 3.23213811e+00
1.00000000e+00 1.00000000e+00 2.26831802e+00 3.14899431e+00 2.81227404e+00 1.13599616e+00 2.13359677e+00 -1.90516221e+00 5.27292105e+00 3.54141337e+00 4.00042356e+00 1.89981892e+01
1.00000000e+00 1.00000000e+00 8.21977283e+00 1.99426702e+00 3.32758751e+00 9.68513833e+00 9.81236400e+00 -1.39694962e+01 4.02691055e+00 1.94725634e+01 1.18745223e+01 3.35833727e+01
1.00000000e+00 1.00000000e+00 1.67095579e+00 4.19159942e+00 2.48235718e+00 3.25803741e+00 7.06455008e+00 -5.68440229e+00 9.28482297e+00 1.90792818e+01 2.64237143e+01 2.66688756e+01
1.00000000e+00 1.00000000e+00 9.88198243e+00 3.58515092e+00 3.97193558e+00 7.08423659e+00 8.62198502e+00 -1.23001023e+01 1.10802725e+00 4.79241779e+00 2.40522388e+00 1.09135879e+01
1.00000000e+00 1.00000000e+00 7.95020292e+00 3.66677308e+00 7.81076355e+00 7.35966883e+00 3.91896440e+00 -3.95363600e+00 5.97533388e+00 2.69857404e+01 2.99805782e+00 2.06114978e+01
1.00000000e+00 1.00000000e+00 2.78844113e+00 3.10246976e+00 5.67447274e+00 6.49006675e+00 7.08835375e+00 -4.67107605e+00 7.66597223e+00 2.92962673e+01 9.57606557e+00 1.98243548e+01
1.00000000e+00 1.00000000e+00 1.04969905e+00 1.37883871e+00 2.84393147e+00 3.81616655e+00 6.34817645e+00 -3.42285935e+00 5.36516189e+00 7.93127242e+00 1.19760250e+01 1.20922354e+01
1.00000000e+00 1.00000000e+00 8.33915286e+00 1.16086541e+00 8.90047070e+00 3.43986628e+00 6.42835108e+00 -6.21904557e+00 1.76862727e+00 1.94249052e+00 1.27738829e+00 4.31623669e+01
1.00000000e+00 1.00000000e+00 7.36171609e+00 9.88950151e+00 8.91623669e+00 6.37901454e+00 7.14279214e+00 -6.46066597e+00 9.75215251e+00 4.35116318e+01 7.81244382e+00 5.74662263e+01
1.00000000e+00 1.00000000e+00 7.56106451e+00 4.84995820e+00 8.83520583e+00 8.79486070e+00 6.17823256e+00 -5.69812695e+00 5.66209388e+00 3.22142059e+01 3.95935686e+00 2.32446976e+01
1.00000000e+00 1.00000000e+00 7.94143312e+00 4.45893982e+00 3.14916590e+00 9.52060356e+00 4.86156132e+00 -6.96225047e+00 6.52767620e+00 3.96417072e+01 1.00771757e+01 2.07495897e+01
1.00000000e+00 1.00000000e+00 1.66640187e+00 7.11682554e+00 5.06115410e+00 1.95315224e+00 3.48330425e+00 -1.72561469e+00 3.12948804e+00 4.15484425e+00 2.15384847e+00 6.84121127e+00
1.00000000e+00 1.00000000e+00 4.22619156e+00 2.96428499e+00 9.86490691e+00 2.39345751e+00 7.91723198e+00 -4.74906041e+00 5.35148277e+00 7.44593170e+00 4.29491438e+00 6.43460314e+01
1.00000000e+00 1.00000000e+00 2.04282154e+00 9.54965066e+00 7.94811229e+00 9.50262633e+00 3.03645187e+00 -1.24171161e+00 4.86234543e+00 3.22345876e+01 1.85758295e+00 2.27476392e+00
1.00000000e+00 1.00000000e+00 8.76793083e+00 8.07710513e+00 1.24450679e+00 7.62881706e+00 7.23118876e+00 -1.26647606e+01 1.67406258e+00 8.78776271e+00 9.72711646e+00 1.01097839e+01
1.00000000e+00 1.00000000e+00 6.60968314e+00 1.80469902e+00 1.58684132e+00 8.94694442e+00 3.09999540e+00 -4.99967699e+00 1.95544318e+00 8.27429558e+00 3.82008257e+00 4.73446671e+00
1.00000000e+00 1.00000000e+00 3.97808222e+00 4.75822698e+00 5.17538239e+00 2.82369371e+00 6.62797153e+00 -5.76101331e+00 8.53725268e+00 1.55467920e+01 1.09334274e+01 6.18044687e+01
1.00000000e+00 1.00000000e+00 1.57202515e+00 8.91206477e+00 9.18298185e+00 6.28827284e+00 7.72370440e+00 -2.25789859e+00 3.15837957e+00 1.37813022e+01 2.65647810e+00 4.39433868e+00
1.00000000e+00 1.00000000e+00 3.79884090e+00 9.50258820e+00 5.84831618e+00 7.31025635e+00 2.96842500e+00 -2.33780257e+00 2.75462444e+00 1.40432041e+01 1.39816245e+00 3.04653222e+00
1.00000000e+00 1.00000000e+00 3.92664990e+00 5.20661360e+00 5.48031257e+00 7.12100697e+00 1.53948971e+00 -1.28522616e+00 5.54420306e+00 2.58188700e+01 1.55743736e+00 3.59840467e+00
1.00000000e+00 1.00000000e+00 7.56645561e+00 6.52070250e+00 1.94926330e+00 4.67336522e+00 2.17876369e+00 -3.46490242e+00 7.91872418e+00 2.49176563e+01 8.85105091e+00 2.07432051e+01
1.00000000e+00 1.00000000e+00 6.73801724e+00 2.50330551e+00 6.91102094e+00 1.13855403e+00 6.45397271e+00 -6.37216759e+00 1.55751867e+00 9.75793851e-01 1.45451490e+00 5.40552264e+01
1.00000000e+00 1.00000000e+00 8.98491468e+00 9.92051764e+00 8.39892845e+00 6.24633451e+00 8.64501766e+00 -8.93642971e+00 6.19127128e+00 2.70554339e+01 6.37267597e+00 5.50243614e+01
1.00000000e+00 1.00000000e+00 5.24993433e+00 3.08504531e+00 4.42378007e+00 3.27791385e+00 1.40497139e+00 -1.52495871e+00 2.07289399e+00 3.99483313e+00 6.58341215e-01 3.96686021e+00
1.00000000e+00 1.00000000e+00 2.07634821e+00 9.48458597e+00 7.98050666e+00 5.05228822e+00 7.60736133e+00 -3.14124670e+00 1.32814946e+00 4.67890333e+00 1.26604904e+00 2.97751572e+00
1.00000000e+00 1.00000000e+00 7.41920309e+00 6.84681984e+00 9.68028989e+00 9.61822914e+00 4.07186781e+00 -3.53343977e+00 1.47469557e+00 9.60216350e+00 6.20308430e-01 3.42102768e+00
1.00000000e+00 1.00000000e+00 7.84706544e+00 6.46963115e+00 2.83389813e+00 4.59131786e+00 5.30675533e+00 -7.79750929e+00 8.50747697e+00 2.62766380e+01 1.59310944e+01 5.73506191e+01
1.00000000e+00 1.00000000e+00 6.05149478e+00 5.61419660e+00 5.70996668e+00 8.55821446e+00 9.35973595e+00 -9.63152299e+00 2.06175235e+00 1.16622337e+01 3.37960950e+00 1.03225625e+01
1.00000000e+00 1.00000000e+00 7.93870462e+00 3.07602831e+00 3.58424162e+00 2.69686545e+00 3.98774354e+00 -5.49469162e+00 1.40636228e+00 2.22807300e+00 1.56468584e+00 1.40511500e+01
1.00000000e+00 1.00000000e+00 5.44416037e+00 2.58875229e+00 8.13568977e+00 7.05214448e+00 5.18803241e+00 -4.15976320e+00 4.94109898e+00 1.94038654e+01 3.15087993e+00 1.77689780e+01
1.00000000e+00 1.00000000e+00 5.70459546e+00 2.98437588e+00 6.19834029e+00 9.79306259e+00 1.12314173e+00 -1.07655277e+00 8.59594125e+00 4.90318927e+01 1.55758798e+00 4.82767072e+00
1.00000000e+00 1.00000000e+00 4.84786917e+00 2.67794436e+00 6.71124176e+00 1.91703791e+00 1.73438848e+00 -1.45479847e+00 3.36167539e+00 3.63009697e+00 8.68758909e-01 1.30876176e+01
1.00000000e+00 1.00000000e+00 1.22877214e+00 8.01626026e+00 8.18122744e+00 1.07487948e+00 3.32732432e+00 -8.68974200e-01 4.79541356e+00 3.54436646e+00 1.95030590e+00 1.32632517e+01
1.00000000e+00 1.00000000e+00 1.97102284e+00 4.15112733e+00 4.56373425e+00 4.90224513e+00 1.25067017e+00 -7.54457873e-01 1.35930279e+00 4.19509701e+00 3.72510615e-01 5.42868776e-01
1.00000000e+00 1.00000000e+00 1.28286267e+00 1.52058409e+00 9.23581062e+00 1.83362935e+00 6.68237793e+00 -1.62997233e+00 5.04170663e+00 3.89364021e+00 3.64782156e+00 2.79821146e+01
1.00000000e+00 1.00000000e+00 6.72769370e+00 9.72192367e+00 5.79725981e+00 7.73545915e+00 4.83758521e+00 -5.19695207e+00 6.19851773e+00 3.34952930e+01 5.17241916e+00 1.86662362e+01
1.00000000e+00 1.00000000e+00 3.82920383e+00 8.95407296e+00 2.42159341e+00 9.23093797e+00 5.93330682e+00 -7.26942192e+00 6.13816348e+00 3.93317753e+01 1.50395220e+01 1.08819982e+01
1.00000000e+00 1.00000000e+00 5.57713622e+00 9.34977055e+00 7.26309206e+00 4.90618875e+00 2.57182467e+00 -2.23413731e+00 3.99184023e+00 1.36412042e+01 1.41349071e+00 8.37753413e+00
1.00000000e+00 1.00000000e+00 9.16809827e+00 9.95417040e+00 8.13935215e+00 3.32840478e+00 3.66338826e+00 -3.88113821e+00 3.83979863e+00 8.94334078e+00 1.72823008e+00 2.76853062e+01
