G	c	dx1dt	d2x1dt2	dx2dt	d2x2dt2	d2	d1	Fg	Fc	m1	W
1.000000000000000000e+00	1.000000000000000000e+00	4.365199139457232924e+00	2.671886586410185505e+00	3.356164478229948234e+00	7.052139095563060955e+00	6.149557923455543751e+00	-6.949141840226082500e+00	4.539877103092379684e+00	1.804214554084684963e+01	8.312385264700390408e+00	1.543458872422270822e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.558990987207220513e+00	5.876049048206354541e+00	3.219051738996618894e+00	8.170142286320738023e+00	8.238648325556333418e+00	-1.234394720155198577e+01	5.257968064005016373e+00	2.857646567225983958e+01	1.348115597598403070e+01	3.812486599466210180e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.589520177032698989e+00	8.853318809212328944e+00	9.159686730010035305e+00	3.254848284447012574e+00	7.832899986634311418e+00	-7.099612286478464540e+00	8.685525872437979800e+00	1.960051527633488533e+01	7.439807703030160368e+00	1.145960429453989065e+02
1.000000000000000000e+00	1.000000000000000000e+00	6.393110484036770735e+00	7.588460035143265614e+00	3.248730092345808451e+00	6.614817028598324100e+00	2.381630074807041364e+00	-3.163761901406950905e+00	4.042305032873931836e+00	1.839613691118108818e+01	2.981899420774374754e+00	6.853527740338509311e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.399887263376756064e+00	8.262273326255741068e+00	3.452029495315450003e+00	6.160385892730295687e+00	2.344373507720812544e+00	-1.923165583722765026e+00	8.835122024870853963e+00	3.739501946424357470e+01	5.993569693509814833e+00	5.891810739865060320e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.404134742324605334e+00	6.936905625443538170e+00	7.836417098006274173e+00	8.498287646996105948e+00	3.412266001632850987e+00	-1.605669422479190978e+00	1.787722215460613606e+00	1.036267272035659914e+01	7.764795244408976282e-01	1.316051354331773116e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.515364590278825752e+00	7.226994618547831983e+00	5.063866870185295355e+00	9.155920393814723113e+00	4.257723789313044627e+00	-1.964790787768483371e+00	7.988923319095138531e+00	4.978641115937784178e+01	6.745297193958841753e+00	4.145093578928173983e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.799382016507578896e+00	8.643311244065829513e+00	7.984719173165085948e+00	1.112741053597847030e+00	4.668025691929496901e+00	-4.898199494677109023e+00	8.619946899114850680e+00	6.627694039825180461e+00	5.056406516190156353e+00	2.310004981895388312e+02
1.000000000000000000e+00	1.000000000000000000e+00	6.412843401149317835e+00	3.248894415147467019e+00	1.578850064362233629e+00	7.070019577972002089e+00	7.113182410369832454e+00	-1.141229491662957152e+01	2.641691065202905531e+00	1.110276212649343641e+01	1.180184741875911492e+01	1.427687906166282339e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.375336649967596969e+00	5.399302803958046404e+00	5.385970232889911280e+00	1.465761321214995805e+00	1.518403750521126305e+00	-1.751296880492370533e+00	4.873905667023544552e+00	4.696591930951599991e+00	1.377315816327353115e+00	2.810020962233349096e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.185269212697951824e+00	2.990998563881107408e+00	1.293864515186638586e+00	5.936310844742738624e+00	1.312768540130596406e+00	-1.258136101796515582e+00	2.484964380966560693e+00	8.616183301693160601e+00	2.516867512808610652e+00	5.340237963952420008e-01
1.000000000000000000e+00	1.000000000000000000e+00	9.731433549041442532e+00	9.880858298058075917e+00	1.555637973415921582e+00	3.591939611616764783e+00	4.532014761450971818e+00	-7.799506259132119368e+00	7.357285317592912932e+00	1.847055950901708599e+01	2.130231201851391987e+01	6.452782234082687296e+01
1.000000000000000000e+00	1.000000000000000000e+00	8.500666948962734892e+00	9.486692557636958512e+00	9.152408169402649563e+00	3.763077397587175188e+00	7.285646265236402463e+00	-6.996891351847476237e+00	5.827336707800848004e+00	1.527559095883218276e+01	4.623898437680726836e+00	6.850270799853853987e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.909508981792487958e+00	1.356881567386562848e+00	2.248116334214782075e+00	4.172242290836678080e+00	2.737138973480741200e+00	-3.086533903870999573e+00	6.717509796532821653e+00	1.070019176983967313e+01	8.171895510501004267e+00	1.682380606952958857e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.637175090572816849e+00	7.348040995026840605e+00	5.786515071492047468e+00	6.599313812512714428e+00	6.772999369976015593e+00	-4.238296317874993946e+00	2.767385677027430990e+00	1.245257449275154649e+01	3.252773927995273873e+00	5.417092449948507138e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.644762138877613467e+00	9.328360177412056586e+00	4.702721844463183309e+00	4.008037714705738885e+00	3.336969344863224052e+00	-2.414017285910258881e+00	2.900548171339344172e+00	8.050666622762177482e+00	2.057908871828419972e+00	4.631971654940752359e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.733480893400627387e+00	2.625078557455822637e+00	4.123294940393868124e+00	7.598242246203957606e+00	8.964128413732796119e+00	-8.535790797046139744e+00	1.363081916021086526e+00	5.841869916718935407e+00	2.988606148135676488e+00	5.498276486228895088e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.723337275764564858e+00	6.106075204458422334e+00	9.097508893072104641e+00	4.648281460333716808e+00	9.059518784780649980e+00	-6.991179619543042456e+00	3.897729818965346205e+00	1.205833076312804941e+01	3.879345657367533118e+00	3.261867771873741617e+01
1.000000000000000000e+00	1.000000000000000000e+00	4.893479999448049789e+00	9.239142923269975327e+00	1.201348211771952501e+00	1.615297292406683072e+00	3.680383939834062534e+00	-5.908182101907337724e+00	6.039487620044583061e+00	6.798265771774476995e+00	1.853789779151830075e+01	4.824309959937230019e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.619675188993521697e+00	1.298653875389027101e+00	6.969875814054750762e+00	8.055554360207063169e+00	3.072888353071217438e+00	-2.097622718455087298e+00	8.727446748739231097e+00	2.580647126377927947e+01	3.855901935649570955e+00	1.639811209366316902e+01
