G	c	dx1dt	d2x1dt2	dx2dt	d2x2dt2	Fg	Fc	d1	d2	W	m1
1.000000000000000000e+00	1.000000000000000000e+00	4.754306154671096962e+00	2.954795102857464606e+00	1.599537611025468209e+00	5.632455322091463046e+00	5.741403792582970844e+00	4.765281264590969457e+00	7.181080240059012354e+00	6.822351147998304555e+00	3.049794277617410287e+01	3.184784143669447953e-01
1.000000000000000000e+00	1.000000000000000000e+00	9.193708014449132548e+00	4.978924504546673013e+00	3.890048901718493823e+00	8.535359980195131868e+00	6.803609187410531334e+00	5.869606370712850740e+00	7.766995017219983310e+00	3.400518681995665204e+00	1.034394130310877991e+01	9.007654959807251949e-01
1.000000000000000000e+00	1.000000000000000000e+00	7.545502408391375759e+00	9.162151647861989545e+00	9.653808685360397490e+00	3.800122262881023172e+00	7.293151370248018850e+00	9.179865734570178404e+00	4.980426276889972748e+00	9.679152655906824165e+00	3.704478813685127392e+01	8.724219041768773719e-01
1.000000000000000000e+00	1.000000000000000000e+00	7.146693247347147171e+00	7.186625451765987549e+00	2.507212040874460257e+00	7.027412625366961763e+00	2.688531431437466868e+00	4.400969807366182707e+00	3.787792857710078565e+00	7.203537226044636199e+00	2.616912409282640439e+01	4.009471998730279596e-02
1.000000000000000000e+00	1.000000000000000000e+00	1.641748283234871097e+00	7.683902744402566931e+00	3.074578064966484892e+00	4.871722255426336190e+00	2.497918722687129556e+00	8.977487716061641976e+00	3.042924275374839560e+00	2.866342694655994450e+00	9.975378285148895685e+00	1.070984484990161967e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.071062467390601736e+00	6.523587340739246621e+00	8.634407379664661875e+00	7.814464811788345067e+00	3.939343582393980636e+00	1.474283284118466097e+00	8.011505102811469214e+00	9.833681899070393584e+00	3.618787207156137242e+01	-1.616836671349604349e-02
1.000000000000000000e+00	1.000000000000000000e+00	1.907006926461922713e+00	8.080282737664202131e+00	4.409990278489807736e+00	9.415071340136073275e+00	4.437691327559587506e+00	7.424573869502955503e+00	3.341025457860816505e+00	6.291932239955387196e+00	2.217267501387242490e+01	2.527927376122509617e-01
1.000000000000000000e+00	1.000000000000000000e+00	9.496117376471465477e+00	8.828246442591471066e+00	8.254583225584521955e+00	2.075981971913712698e+00	5.077004987614191833e+00	7.974521282630821162e+00	3.818402025468727423e+00	5.622082234915097843e-01	2.719093452132154365e+00	9.666539726299681945e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.739627354595851827e+00	2.740522143331960869e+00	1.316620926159381977e+00	7.036105910930396057e+00	7.533820497828559226e+00	2.852495892783703191e+00	1.064026701184491230e+01	7.179918948352496777e+00	2.626683923557009592e+01	3.167425186260861003e-01
1.000000000000000000e+00	1.000000000000000000e+00	7.044291166229757373e+00	5.836158305483505337e+00	5.614606836469034690e+00	2.057402001150979043e+00	1.521276608608663983e+00	5.146484225469892593e+00	3.924420215876768481e+00	2.668988065836630508e+00	1.598745734910576743e+01	1.820993216203919740e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.475649932941291542e+00	3.452481343700120053e+00	1.330206870356937410e+00	5.379764741748747525e+00	1.327032767898320254e+00	3.089853150697166484e+00	2.550140971313489935e+00	7.736739850130213370e+00	3.462566975502325306e+01	1.258537876225343521e-02
1.000000000000000000e+00	1.000000000000000000e+00	9.953416716172428735e+00	9.676884434784422950e+00	1.407488083511695187e+00	3.700820740280154286e+00	2.942752857410152245e+00	7.667613387934624214e+00	3.444972620645098793e+00	8.738926894977566917e+00	3.368583665005002103e+01	6.854097173513953312e-01
1.000000000000000000e+00	1.000000000000000000e+00	8.681859350000953768e+00	1.003013728643115066e+01	9.372465319781220217e+00	3.612305559550969214e+00	6.916835300391520391e+00	6.394656944998794224e+00	7.397443019815910681e+00	1.031573522009908750e+01	3.880247300734470173e+01	4.328586424477720573e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.858512726646287305e+00	1.914911802053490320e+00	1.980964864944235071e+00	4.819513297843222688e+00	2.406800820746564984e+00	6.646289883334292270e+00	4.517749181978904183e+00	5.185157837291447080e+00	2.089161452258820617e+01	4.780297736877660020e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.665106857007771612e+00	7.823785782629857799e+00	4.806594921828363454e+00	6.299398366994702236e+00	6.714275506115187753e+00	3.191280781641936848e+00	8.814229725402954685e+00	5.446126645549616008e+00	1.837985068170990388e+01	2.563012266871781408e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.159473625552993603e+00	8.952416110459029852e+00	4.187604511070081692e+00	4.914279615844835192e+00	2.831702523545892802e+00	2.356287970363586837e+00	4.767586211554250220e+00	8.087503012966145377e+00	3.290647317672600991e+01	1.350064288570526072e-01
