G	c	dx1dt	d2x1dt2	dx2dt	d2x2dt2	W	Fg	d2	d1	Fc	m1
1.000000000000000000e+00	1.000000000000000000e+00	4.373592022685600433e+00	2.675611147559617375e+00	3.365195733443324233e+00	7.049306731756622924e+00	6.158028135257465507e+00	4.536529394589734920e+00	5.411697206224791223e+00	4.166172074864781472e+00	6.836778300866514613e+00	8.335888323810085598e-01
1.000000000000000000e+00	1.000000000000000000e+00	9.559819779210151580e+00	5.877911440640550822e+00	3.221443462572319838e+00	8.177107344915103937e+00	8.255375712946438682e+00	5.267902003112375553e+00	6.276300930081626817e+00	1.077934656310990214e+01	2.548767205776064415e+00	6.313987743337683145e-02
1.000000000000000000e+00	1.000000000000000000e+00	7.581236585907878300e+00	8.841473373777027689e+00	9.143155232859863091e+00	3.250777522832180910e+00	7.840355248070585148e+00	8.682367161394417110e+00	3.613841219447216702e+00	1.424869174135628747e+01	8.866185790569041103e+00	6.359948042847568539e-02
1.000000000000000000e+00	1.000000000000000000e+00	6.379792359908970312e+00	7.591911869239832633e+00	3.249615580798893344e+00	6.629977775253193428e+00	2.382894782751060703e+00	4.071655492226863515e+00	2.348210457609547941e+00	3.728812228421185093e+00	6.514948950628724589e+00	1.354711478411574632e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.400130490730375321e+00	8.257113476177220690e+00	3.452988573829296914e+00	6.144449247817163950e+00	2.348853431317468043e+00	8.824590911085904210e+00	1.069379932045521286e+00	3.814687238968579752e+00	2.412467594209704025e+00	2.045496578152882633e-02
1.000000000000000000e+00	1.000000000000000000e+00	2.400370213310085266e+00	6.928633471898766771e+00	7.825827872985522404e+00	8.496566886481696557e+00	3.424367723261525498e+00	1.794008761114281647e+00	7.597843278463176198e+00	4.730718480640844881e+00	9.656283930181439601e+00	5.606326537391019826e-01
1.000000000000000000e+00	1.000000000000000000e+00	1.526830248927960598e+00	7.228438393056968891e+00	5.048633064163622564e+00	9.152104111061541758e+00	4.254867622425461349e+00	7.980805892493511244e+00	2.120205703665709596e+00	5.802154266579941932e+00	5.672240536571023561e+00	7.179721857106623195e-02
1.000000000000000000e+00	1.000000000000000000e+00	8.792259236222520258e+00	8.647250584910212368e+00	7.992886522824621309e+00	1.103910975296034547e+00	4.687929925985145019e+00	8.627587810329838902e+00	2.162667573900686868e+00	9.048090509828901062e+00	1.654058251855242023e+00	1.172536070997353200e-02
1.000000000000000000e+00	1.000000000000000000e+00	6.405400287224565226e+00	3.253241077499511746e+00	1.587891746953643990e+00	7.056734226986692171e+00	7.112250950362235535e+00	2.637612374445747587e+00	1.079396818769038724e+01	6.484633620919407981e+00	6.637552766808325622e+00	8.510706233197530279e-01
1.000000000000000000e+00	1.000000000000000000e+00	7.369342849234466364e+00	5.406399338826175516e+00	5.383774378540814531e+00	1.460809324129306308e+00	1.505660732621778797e+00	4.872646089153040094e+00	1.241472284526308201e+00	2.820089682743612602e+00	3.282635839408188705e+00	6.705746009971072508e-02
1.000000000000000000e+00	1.000000000000000000e+00	1.191314833827371578e+00	2.988997339019431099e+00	1.308132051329933043e+00	5.937974549772476962e+00	1.305578239670098117e+00	2.486408805629983565e+00	2.109797139938359045e+00	1.313542058531590229e+00	8.225732254325366810e+00	1.098047502204894554e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.729259264772268878e+00	9.888782104691522079e+00	1.561651507606492073e+00	3.589841541540777392e+00	4.529601317244285497e+00	7.354244136288627942e+00	2.462867475821084895e+00	8.242562541943360799e+00	8.363799123568142591e+00	6.328718699639582224e-02
1.000000000000000000e+00	1.000000000000000000e+00	8.491013608065799190e+00	9.496643095719592864e+00	9.149736399544996956e+00	3.766458962549396716e+00	7.275429733387385411e+00	5.824332182984757189e+00	5.004644832733148974e+00	1.311389175174406674e+01	9.820216621754923381e+00	9.882185236709636889e-02
1.000000000000000000e+00	1.000000000000000000e+00	2.910456616251539952e+00	1.350377256712585794e+00	2.241891856060299837e+00	4.174213477519445270e+00	2.740090420146628958e+00	6.718079133500286737e+00	1.626587294241374382e+00	1.257212189128929181e+00	5.519908001703892175e+00	1.321483074676854663e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.643417729750074052e+00	7.353397220238094611e+00	5.798748111687483053e+00	6.586857655268589795e+00	6.777948319587530079e+00	2.776835545493351987e+00	9.780051813619135004e+00	1.050983040032260618e+01	5.098081946217983607e+00	1.612964283714205249e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.646585841136603001e+00	9.329794147097604906e+00	4.703265423592249306e+00	3.998639733225114234e+00	3.345165669712116596e+00	2.902824382822793758e+00	4.597970420375447453e+00	5.955878170197964394e+00	7.786013385778220552e+00	1.608277196500088879e-01
1.000000000000000000e+00	1.000000000000000000e+00	3.745300127336214313e+00	2.633747824535162874e+00	4.126575699271543662e+00	7.596890224593946250e+00	8.966464776338881393e+00	1.371090567874053701e+00	2.613381274245092811e+01	4.970084155224302691e+00	2.201536344776792387e+00	1.098533905599916816e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.723947151008893286e+00	6.118490776344041926e+00	9.096069066875619669e+00	4.648234221204042171e+00	9.057957824464409669e+00	3.903082317161201242e+00	9.287909384330447438e+00	1.468997974941202322e+01	5.928821176425579154e+00	1.535949355822164575e-01
1.000000000000000000e+00	1.000000000000000000e+00	4.886636930738381679e+00	9.235580163641998297e+00	1.193489625094213302e+00	1.622033921158680725e+00	3.680052119430257562e+00	6.028798016569496987e+00	2.440628890820072616e+00	7.024820505482575861e+00	5.918620106365500178e+00	5.540155213634823800e-02
1.000000000000000000e+00	1.000000000000000000e+00	3.634597906222856167e+00	1.310077257615969604e+00	6.968167337083897905e+00	8.057681712495694981e+00	3.067396041756753178e+00	8.714756951094219772e+00	1.415959989098605432e+00	-3.340570559792980454e+00	1.810175079959737143e+00	-1.465128988362134066e-01
1.000000000000000000e+00	1.000000000000000000e+00	6.500962602909805099e+00	7.271492108222212813e+00	9.668167562277940164e+00	3.575281594704617039e+00	4.697387963086131712e+00	7.008368030542018623e+00	2.694687205659217710e+00	8.254619860649885510e+00	4.757037479306749361e+00	5.331494723600536945e-02
1.000000000000000000e+00	1.000000000000000000e+00	2.253530493387425615e+00	3.680012648666501907e+00	6.029807267174340346e+00	4.904091794858275399e+00	3.170332190305779729e+00	4.912137469044318472e+00	2.574811646792768638e+00	4.224903589219946021e+00	8.683786056002436027e+00	3.595829207798493798e-01
1.000000000000000000e+00	1.000000000000000000e+00	3.622631541337138827e+00	9.316691754751460053e+00	9.427337872997981094e+00	7.170792631623955415e+00	7.044430750299156330e+00	9.568101387968463101e+00	2.948399921746831076e+00	1.138268644808326790e+01	8.699912597188085073e+00	6.005515738059188924e-02
1.000000000000000000e+00	1.000000000000000000e+00	4.302411608476164773e+00	9.733831692950284165e+00	1.468604021385557123e+00	3.995603152512712253e+00	8.432939470498331147e+00	7.483457887240987816e+00	4.522385113625141173e+00	1.513525613439295192e+01	1.891142458951462491e+00	1.422051640535998245e-02
1.000000000000000000e+00	1.000000000000000000e+00	5.113772272434384369e+00	9.499956335857499212e+00	4.772507415098722561e+00	1.507534386523945003e+00	7.059619286887226508e+00	9.363840094935392599e+00	3.008810893836886713e+00	1.354872040781747522e+01	1.799719481307355817e+00	1.069497561433995110e-02
1.000000000000000000e+00	1.000000000000000000e+00	8.075621788065570072e+00	5.253048916511689370e+00	3.341199659982228010e+00	4.357916167881770164e+00	8.416028462823163636e+00	5.749301872234851452e+00	5.864878267365516429e+00	1.334479429565787001e+01	3.366442978853183554e+00	7.035425344541425263e-02
1.000000000000000000e+00	1.000000000000000000e+00	2.803688428827614043e+00	8.748642910171319897e+00	7.581777968431921977e+00	9.496335309164278371e+00	4.577195268058329880e+00	3.330517483830435665e+00	5.494350728755073021e+00	6.663441133518041681e+00	8.869392038198922634e+00	2.087084071458110979e-01
1.000000000000000000e+00	1.000000000000000000e+00	5.627040366967531959e+00	8.599957175006828436e+00	9.839123263924044238e+00	6.775559998685835694e+00	2.403754096752821479e+00	1.460020566010292953e+00	6.530322551313290980e+00	3.863751772109528471e+00	2.166167655022605221e+00	1.060276839808391713e-01
1.000000000000000000e+00	1.000000000000000000e+00	6.329754322977696468e+00	3.872362896387803843e+00	3.314613406522834094e+00	7.043641394041995518e+00	7.649231206996105037e+00	7.533297110586207879e+00	4.057755889610796807e+00	8.328106666376193346e+00	7.482093781785086328e+00	2.353756368781257102e-01
1.000000000000000000e+00	1.000000000000000000e+00	1.409008822833359487e+00	8.458184692161516693e+00	6.890169401421000650e+00	6.700967088517618464e+00	4.243585616468531718e+00	2.094187055981571621e+00	8.123692735299652412e+00	6.804837001370587224e+00	1.916605413864137519e+00	6.695219263781057584e-02
1.000000000000000000e+00	1.000000000000000000e+00	6.478922446616445896e+00	1.324282059878606033e+00	2.782944191580707383e+00	2.791369233822048379e+00	7.045093803463547744e+00	3.726919955185356681e+00	7.562598403502526878e+00	6.710202544499750843e+00	6.602346153672079332e+00	1.396249672413456766e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.537255364263748536e+00	6.361878850298415600e+00	6.082556720387852778e+00	4.771386302135574908e+00	3.439859033606369465e+00	5.797195047468854057e+00	2.364225191879204768e+00	5.587027315422628426e+00	4.210254281133550158e+00	7.013072249100420208e-02
1.000000000000000000e+00	1.000000000000000000e+00	1.582801717226041127e+00	3.072255898416893505e+00	5.179478093207097622e+00	7.756102953550346513e+00	1.727648532297935358e+00	6.077623442741976412e+00	1.147188000546050191e+00	1.272543500800190408e+00	8.111681064284612219e+00	5.894041376188772219e-01
1.000000000000000000e+00	1.000000000000000000e+00	9.547157694226108049e+00	2.088338512600462771e+00	9.757322949711422666e+00	1.910668861417909259e+00	9.922050925749733352e+00	6.409157697906993079e+00	6.197780804596851212e+00	1.531969248617977719e+01	3.107370892695584086e+00	1.506362747275686031e-01
1.000000000000000000e+00	1.000000000000000000e+00	9.685423397870591700e+00	1.692488558270120569e+00	6.478634440338962186e+00	3.493480562710518100e+00	2.407778587801400860e+00	2.492516186375735909e+00	3.862157323821267862e+00	2.327384310100061082e+00	6.757115784377589307e+00	1.654523027477671882e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.277776894087255144e+00	7.273034626496686528e+00	4.156143786919860972e+00	3.482853479774175032e+00	9.896182700860791215e+00	4.409898561301528019e+00	8.959741401266086314e+00	1.740584885341039723e+01	3.122065383972369101e+00	5.527088310163160573e-02
1.000000000000000000e+00	1.000000000000000000e+00	3.740589597786282194e+00	4.061085451534687252e+00	2.018438384636462413e+00	4.891023098116018097e+00	9.798546945415395726e+00	6.547628468017400394e+00	5.984371029212832482e+00	1.369636642870721310e+01	7.420088467495136619e+00	1.999493923785951865e-01
