G	c	dx1dt	d2x1dt2	dx2dt	d2x2dt2	Fg	Fc	m1	d2	W	d1
1.000000000000000000e+00	1.000000000000000000e+00	5.252380201078132416e+00	2.632427271683975167e+00	2.572489539789620139e+00	5.852929117502649881e+00	5.730772433752574280e+00	1.721482688425708929e+01	5.369518784096483976e+00	4.984221297463622413e+00	4.510901475332585875e+01	9.410853700727243032e-01
1.000000000000000000e+00	1.000000000000000000e+00	8.994675304849749864e+00	5.891207168554923435e+00	3.666963541149435901e+00	7.963446044200393814e+00	8.214997292153910280e+00	1.228798018385369417e+01	4.503783757638320395e+00	5.691561656649930079e+00	2.461235234987899645e+01	1.438699844431362340e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.252349040781338019e+00	9.721590326281543071e+00	8.746355247348317263e+00	3.390671073284750037e+00	7.958634259305783054e+00	3.085134880115516065e+00	7.893906056150033379e+00	8.762391667984221755e+00	3.265118529115244428e+01	3.393890218516069091e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.000011974016973504e+00	7.852756924629576751e+00	2.797819777086399728e+00	6.978760001581680861e+00	2.640677398803701781e+00	2.518985450590655262e+00	1.078433761867314988e+00	4.775874109240825227e+00	7.904883507177533630e+00	1.075895814933258032e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.572036631583505706e+00	8.317545234840025614e+00	2.949631770553813759e+00	5.408231269664479868e+00	3.166844894785041831e+00	1.040300007233716739e+00	8.279337041612344628e-01	8.665529983993357277e+00	2.762468598485748572e+01	5.303634226889661463e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.434329674628374907e+00	7.295788489635621765e+00	8.470143094671362505e+00	7.767190817703647276e+00	4.108544572699583952e+00	4.128247797459779100e+00	1.469544278627294087e+00	2.955935558378924632e+00	2.550339179384666721e+01	1.246143255732871324e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.631035581770590159e+00	7.597267374696504483e+00	5.164732397241413864e+00	8.868995967121872326e+00	4.357652168786291469e+00	5.632456718852864697e+00	1.636303329913000759e+00	7.474282683136941330e+00	1.412980659980003395e+02	5.371415294864369194e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.318973524665199903e+00	9.169034260273203785e+00	8.179524494845653138e+00	1.111220335234256007e+00	4.653498003968772778e+00	-5.627749256914448273e-01	1.409455731120016786e+01	8.008634615447688176e+00	-3.821801428294424596e-02	1.172601497831554651e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.213707154948492573e+00	2.825930472969330420e+00	1.969041554931522775e+00	7.612270622971314182e+00	7.332966321123575604e+00	1.580422744458061857e+01	4.619632741384872787e+00	1.871050885765000338e+00	7.526144075236583575e+00	6.351196601815011222e-01
1.000000000000000000e+00	1.000000000000000000e+00	7.126909958889775965e+00	5.137499511757472881e+00	5.364745209569307782e+00	1.855052091484414856e+00	1.178822275446976597e+00	-2.951007978559899159e-01	3.957170383834319072e+00	4.203329326957748968e+00	8.515994426258707506e+00	1.042458148594343603e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.828020824758155083e+00	2.538290297361574410e+00	1.861693680433464504e+00	5.740608791589111526e+00	1.845860323939269243e+00	1.981381158217972116e+00	9.494605434558386348e-01	1.595603966449386846e+00	2.228386851198218999e+00	6.063494394244935970e-01
1.000000000000000000e+00	1.000000000000000000e+00	1.142817415764783817e+01	1.031555197377842070e+01	9.030458316716563072e-01	3.783660147696235487e+00	4.416365041328848662e+00	1.253834016124334649e+00	4.125200489228339151e+00	7.476894376180667656e+00	-8.836643342423043279e+00	1.998803340578677867e-01
1.000000000000000000e+00	1.000000000000000000e+00	8.019307313345253263e+00	9.895896863649646491e+00	8.558502721029334737e+00	3.304349940874462987e+00	7.541864615632919211e+00	2.858551968294821943e+00	6.796211709318870753e+00	6.286551999759048215e+00	1.230032546731124299e+01	2.047139584714790850e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.096361286816243119e+00	6.465164597075199193e-01	1.623315192884680513e+00	4.216872678695136045e+00	3.674118384254634773e+00	7.473692798726683684e+00	3.186966888347242843e+00	6.736638519583432405e+00	4.748053322949050425e+01	1.688086656066907665e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.565196744687734398e+00	7.567605712432913911e+00	6.024616790686194712e+00	6.557839967923939639e+00	7.074651134546206421e+00	6.703976998251542696e+00	3.550452642916292589e+00	2.008387116431991526e+00	3.517180976753466126e+01	1.972756401783648306e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.749816437686273041e+00	1.009062993275299291e+01	4.979486624955653085e+00	4.766651241189309829e+00	3.464116052642443044e+00	1.564378705434288808e+00	2.153543303963680433e+00	2.648038122639092773e+00	1.092384575832089411e+01	1.588765484199466282e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.586281612802257879e+00	2.494258897854792156e+00	3.865146607157690983e+00	7.861471356407803590e+00	8.692956727515497306e+00	2.737732901923815021e+01	6.748318189871922890e+00	1.835130302953716930e+00	2.765912149963006073e+01	3.241148493557600707e-01
1.000000000000000000e+00	1.000000000000000000e+00	5.857407391700071742e+00	6.286175292308112006e+00	8.970155753462224268e+00	4.223491587024232885e+00	9.018682967612877022e+00	7.101092942842934796e+00	6.824390949247395532e+00	3.711019523704608414e+00	2.520304389401440304e+01	2.658064878698891853e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.010293314295051204e+00	9.645775253538188210e+00	1.896594967934400522e+00	1.203461919286135995e+00	3.056783997794349617e+00	1.061979428333639008e+00	7.972086724093844445e+00	5.599695531037466978e+00	2.494413014932736594e+00	2.756578209932580847e-01
1.000000000000000000e+00	1.000000000000000000e+00	3.566723343583837469e+00	5.708666941940705453e-01	6.590663711266993019e+00	7.873523627992289775e+00	3.360375132131355969e+00	1.831134496605197981e+01	3.164080112580594850e+00	7.890924837347808030e+00	3.239967015579059080e+02	1.146383710667701283e+00
