G	c	dx1dt	d2x1dt2	d2	m2	Fc	Fg	d1	m1	W
1.000000000000000000e+00	1.000000000000000000e+00	7.832736179611927696e+00	8.303122771504961364e+00	8.777911306658252144e+00	3.469072147220399582e+00	7.765472546945729526e+00	1.263552907267859027e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.595700282721849383e+00	8.406127056017268728e+00	3.758021222005260675e+00	6.503955668777509302e+00	2.046458889011594451e+00	9.662237781322255614e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.354921779717851216e+00	7.076054822017627366e+00	7.729502274371689907e+00	8.681002167950911286e+00	3.486664731521864624e+00	7.923610038007491596e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.956474223971222060e+00	8.464934557803218240e+00	8.035940399986991167e+00	1.259507911925483503e+00	4.730455751267338194e+00	1.134150217279654349e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.650877411072991130e+00	3.288240885108636213e+00	1.666079401486695977e+00	7.031938241653636013e+00	7.031485457340955314e+00	1.020286930554612859e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.809237921934633953e+00	4.698787867317638423e+00	5.475941720487307762e+00	1.676232928141809131e+00	1.549613601392551221e+00	2.115217766763499796e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.451638921769363710e+00	3.188066291544515707e+00	9.824732802383078223e-01	6.017201844498823782e+00	1.004968342839743345e+00	6.171338343010852867e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.746386597612616498e+00	9.958662576330080896e+00	1.106950097562840796e+00	4.077022367827343174e+00	4.729231922242104424e+00	3.532968217045842607e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.558516542181687559e+00	1.342111130234163507e+00	2.092697490103597957e+00	4.149984832058348339e+00	2.475882577392358730e+00	5.500589052471913654e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.692585885381761468e+00	9.333047721957713705e+00	4.807753745833013959e+00	4.369900363089993078e+00	3.177451372391839168e+00	4.663952111481849983e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	4.956645169718346011e+00	9.376967354405868704e+00	9.979302988747491554e-01	1.851735344403169892e+00	3.848080775344761673e+00	1.855412882050996259e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.697738549108838590e+00	7.268721535761301311e+00	9.573778291983529698e+00	3.770853772191879560e+00	5.021830457838538209e+00	2.360686931895013885e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.620278458216720896e+00	3.153451471129026018e+00	6.621535140916692264e+00	4.350543412402647192e+00	3.586391701655498920e+00	2.560192083721830514e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.603661598563182356e+00	9.932141008159346640e+00	8.928235322058451828e+00	7.420456259624598871e+00	7.332158034635695820e+00	4.243194745833570636e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.670783605660595583e+00	9.833311692437854745e+00	4.563274934909006042e+00	1.474764147665439395e+00	6.971668609741904277e+00	1.112032072863206800e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.592507967426876725e+00	4.909546243081635453e+00	3.858541568285847490e+00	4.245152106488085941e+00	8.009441951466619969e+00	1.016594134611299616e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.910064239600262503e+00	8.662122228319223183e+00	7.565228561693844611e+00	9.098724880471465326e+00	4.946489415315123317e+00	8.157681769006789807e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.412932383371633627e+00	8.535112699753048204e+00	9.639182357882834395e+00	6.774097565570622592e+00	2.771277562485760626e+00	1.115150792105426660e+02	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.817791347227679211e+00	4.172804338113412115e+00	3.627443015200795706e+00	7.052392218665294976e+00	7.462901269467599796e+00	1.255976923319206229e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.363681498939417258e+00	7.858001282911571295e+00	6.902630348117773096e+00	6.337915347981000203e+00	4.489185654663895519e+00	6.110073804060380098e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.075238838303064881e+00	1.193891172734970807e+00	2.687910138218548184e+00	2.392223779070341116e+00	6.953121833714036804e+00	-5.550742091486836394e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.491217078410790098e+00	5.875372826023555817e+00	6.140422930491154396e+00	4.896695854486498689e+00	3.834937642962633397e+00	3.768128287025113110e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.700057581325427947e+00	1.613063309743442364e+00	6.297307798105906684e+00	3.736579603700318053e+00	2.268927298558742311e+00	1.020696722117510369e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.576989870951155837e+00	7.134814568112095579e+00	3.868131786711918263e+00	3.538367166459662982e+00	1.042184990739882799e+01	1.137853776320518939e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.335274431622700764e+00	4.081102005344101613e+00	1.995889118038806531e+00	5.199614214790056366e+00	1.000452404408070883e+01	6.642586425295087693e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.402896273402657101e+00	1.419502591117350665e+00	2.752197466127418224e+00	1.584145040828880191e+00	7.412717127556126329e+00	-1.616191231637937875e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	4.987802212904480115e+00	3.628146396874152302e+00	3.261615551086591402e+00	5.653600172366213705e+00	6.076954387283208803e+00	1.330564377424016698e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.461127957738021621e+00	6.805849772744728909e+00	2.129551108200426146e+00	4.384238917135813374e+00	6.682194314465743190e+00	1.741048832061414231e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.846356421338698262e+00	6.669580682619478118e+00	7.737921217709090804e+00	6.918750398285295589e+00	4.589677328740769724e+00	4.365416888621901848e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.446399269816980304e+00	3.250424833961604421e+00	1.916551351339730092e+00	5.306474441499279493e+00	4.196952127044947467e+00	1.166473732297382959e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.127410504915740574e+00	9.402270389842485088e+00	2.381344161036802465e+00	3.722960856132898844e+00	8.648485691768899031e+00	1.548502647707169189e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.705342348076785086e+00	8.029586494817973374e+00	9.647451964595783025e+00	3.210307188879636620e+00	6.643009271604682020e+00	2.112397897008183989e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.425624865265893604e+00	4.123257398540305374e+00	7.155490764480278543e+00	9.758986246891121041e+00	1.273962755305663386e+00	1.596893565763572269e+02	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.194419208819293310e+00	8.044472851493438270e+00	5.250041957329468545e+00	6.405659843325456571e+00	8.557937625648515123e+00	2.279986764109540331e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.254807916456115002e+00	4.711758695363568172e+00	6.728033469793554211e+00	1.606103488435223881e+00	8.884041446042216350e+00	2.234719093668079637e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	4.097506286705988821e+00	6.757470251043538489e+00	5.628577437073681189e+00	9.452118805857097072e+00	1.007160042643963394e+01	2.657589497139936441e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	4.087573150990104764e+00	8.949315230438426028e+00	1.697332033641254068e+00	3.778797820356160297e+00	3.545606071931979297e+00	4.115541117009541239e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.490732519465328920e+00	9.874085622382464678e+00	5.147136648855862973e+00	2.050021079644068767e+00	2.923670730749042157e+00	2.594335227602503835e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.638795379763443805e+00	7.872815970167128086e+00	8.184604394779448455e+00	6.500298123585571020e+00	7.934668479008124109e+00	2.875755047585005642e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.494038065286212635e+00	6.922528763084192072e+00	7.380239666622481209e+00	3.374003044761640702e+00	1.831916578240036841e+00	6.046720645825442375e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.164832281004320791e+00	1.871588302471635545e+00	2.963208687814212094e+00	9.642588953883931779e+00	9.829099115459111857e+00	4.708341166232091979e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.863874229785717818e+00	4.690688694962295457e+00	2.243200900570706757e+00	3.511562163997520969e+00	6.964770933705249689e+00	6.991339776827749652e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.091418237656769818e+00	3.588749198170356092e+00	4.270964576097134646e+00	7.209656069404657863e+00	8.521026493125395618e+00	1.103905478513584981e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.310067919035812878e+00	3.581067399309148858e+00	7.998380683197759744e+00	7.379340367786491939e+00	4.205215565594977001e+00	2.950134057947748190e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.883747233908910523e+00	3.107185037951240680e+00	5.523438841723250725e+00	6.480350985116989371e+00	7.134990703636407083e+00	8.037660900069711900e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.242835897450162985e+00	1.477787800954470931e+00	3.042798893645804803e+00	3.909605152966269870e+00	6.440450422975162681e+00	-2.327466521340961769e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.227937252900920484e+00	1.344615831971467834e+00	9.142486880372416636e+00	3.313119726379707863e+00	6.040899715113847712e+00	1.204390440952760821e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.897493466272960561e+00	9.825664937125720755e+00	8.872430372984855040e+00	6.601342938269635141e+00	7.255376351711809946e+00	3.675507397760743800e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.085347249797388614e+00	4.577453415890773591e+00	2.771706185148000490e+00	9.229450049321332727e+00	5.002584185949933371e+00	3.582207152377176129e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	4.203935916407025353e+00	3.431916783329933995e+00	9.808218264921491070e+00	2.282107364581762443e+00	7.811326306504493999e+00	3.376609700542071657e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.051475702897690656e+00	9.830302340781363668e+00	7.921421288342040512e+00	9.668006512300445721e+00	3.590795485068039472e+00	1.348999283995818814e+02	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.061008660965635286e+00	8.729834240360494491e+00	9.084700756995869320e-01	7.322231399025978860e+00	6.622555448067490858e+00	3.379173699454263868e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.815036756010534269e+00	1.621520328303354130e+00	1.686919017972744683e+00	8.521250025062466094e+00	3.308533877190117600e+00	1.813718246561112224e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
