G c dx1dt d2x1dt2 Fc m2 Fg m1 d2 d1 W
1.00000000e+00 1.00000000e+00 4.37086107e+00 2.66619636e+00 3.35535115e+00 7.05432695e+00 6.14796290e+00 -5.87121748e+00 3.33801489e-01 -6.35614581e-02 1.85673653e+00
1.00000000e+00 1.00000000e+00 9.55642876e+00 5.87710853e+00 3.22280919e+00 8.17013257e+00 8.24889096e+00 -1.27416027e+01 5.96574939e-02 -9.73563617e-03 5.05002189e-01
1.00000000e+00 1.00000000e+00 7.58794548e+00 8.85651252e+00 9.15629122e+00 3.25421109e+00 7.84144837e+00 4.67304512e-01 5.14172112e-02 9.73057646e-04 2.02337662e-01
1.00000000e+00 1.00000000e+00 6.38792636e+00 7.59002398e+00 3.24591580e+00 6.62386690e+00 2.38509914e+00 1.75664907e+00 7.33595157e-02 3.04557969e-03 -1.43867520e-01
1.00000000e+00 1.00000000e+00 2.40416776e+00 8.25905033e+00 3.44754754e+00 6.14571385e+00 2.34324523e+00 1.96856633e+00 2.58685534e-01 3.44655402e-02 -2.35801300e+00
1.00000000e+00 1.00000000e+00 2.40395068e+00 6.92905030e+00 7.83458436e+00 8.49547339e+00 3.41356931e+00 4.79395128e+00 3.08386734e-01 7.23895983e-02 -2.67633495e+00
1.00000000e+00 1.00000000e+00 1.52275251e+00 7.23048908e+00 5.04765858e+00 9.15478354e+00 4.24967254e+00 1.44728281e+00 7.93701962e-01 8.24011845e-02 -3.44875673e+00
1.00000000e+00 1.00000000e+00 8.79558531e+00 8.64276086e+00 7.99039501e+00 1.10941094e+00 4.67610023e+00 4.60166849e-01 4.45266508e-02 2.09980114e-03 1.17039928e-01
1.00000000e+00 1.00000000e+00 6.41003511e+00 3.24701208e+00 1.58829542e+00 7.06617927e+00 7.11727495e+00 -2.45979181e+01 1.70780101e-01 -9.27450113e-02 2.42166831e+00
1.00000000e+00 1.00000000e+00 7.37265320e+00 5.40482467e+00 5.38814074e+00 1.46652219e+00 1.51012389e+00 1.05550283e+00 8.71002416e-02 8.50288518e-03 1.48075437e-02
1.00000000e+00 1.00000000e+00 1.18526045e+00 2.99088498e+00 1.30252240e+00 5.93972799e+00 1.31205434e+00 -4.34672826e-02 5.41425657e+00 -3.34288144e-02 5.58317369e+00
1.00000000e+00 1.00000000e+00 9.72918867e+00 9.88901207e+00 1.56387883e+00 3.58869456e+00 4.52719507e+00 -6.80003888e+00 3.47531734e-02 -6.76850480e-03 3.95315748e-01
1.00000000e+00 1.00000000e+00 8.49198377e+00 9.49653406e+00 9.15793708e+00 3.76098940e+00 7.27447323e+00 7.73502538e-01 4.21656983e-02 1.02119758e-03 1.50968879e-01
1.00000000e+00 1.00000000e+00 2.91105200e+00 1.35484130e+00 2.25320834e+00 4.17662653e+00 2.74091809e+00 -9.04036005e-01 1.15867150e+00 -8.61530080e-02 2.31139370e+00
1.00000000e+00 1.00000000e+00 2.63642470e+00 7.35017655e+00 5.79178614e+00 6.59163204e+00 6.77354033e+00 -1.11733448e+00 2.49417807e-01 -1.60362320e-02 1.33521673e+00
1.00000000e+00 1.00000000e+00 2.65064059e+00 9.32723486e+00 4.69986042e+00 4.00644969e+00 3.33845324e+00 1.16054710e+00 1.94856915e-01 2.12945298e-02 -5.10612036e-01
1.00000000e+00 1.00000000e+00 3.73818019e+00 2.62517811e+00 4.12608994e+00 7.59429146e+00 8.97477498e+00 -8.92426679e+00 4.17350038e-01 -1.31197485e-01 2.97653537e+00
1.00000000e+00 1.00000000e+00 5.72280788e+00 6.11150707e+00 9.09850011e+00 4.64074647e+00 9.06120950e+00 1.90203086e-02 1.03937593e-01 7.44377444e-05 4.70820822e-01
1.00000000e+00 1.00000000e+00 4.88750517e+00 9.23939468e+00 1.19641057e+00 1.61517880e+00 3.67558484e+00 -3.34693610e+00 8.35231291e-02 -3.54116645e-02 1.05160517e+00
1.00000000e+00 1.00000000e+00 3.62106226e+00 1.30551381e+00 6.97410718e+00 8.05383858e+00 3.06994379e+00 4.50860604e+00 8.76723097e-01 1.35539482e-01 5.91862801e-01
1.00000000e+00 1.00000000e+00 6.50667605e+00 7.27678241e+00 9.67054991e+00 3.57182492e+00 4.70173575e+00 1.83523527e+00 7.48673287e-02 5.91200423e-03 1.40627904e-01
