G	c	dx1dt	d2x1dt2	Fc	m2	Fg	m1	d2	d1	W
1.000000000000000000e+00	1.000000000000000000e+00	4.044044947708267834e+00	3.500812690073312972e+00	3.660221555041661023e+00	6.845367831226997879e+00	6.214894211541912128e+00	-5.675407476993438394e+00	3.733594739844848798e-01	-6.683289323124318171e-02	1.237183097006602894e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.891946478907930995e+00	5.612661271680080333e+00	2.860819438272832915e+00	7.234385275968090667e+00	8.200694375678196479e+00	-1.251294981424360309e+01	-1.913158746280760325e-02	-2.915320967064664176e-02	3.996314680781718476e-01
1.000000000000000000e+00	1.000000000000000000e+00	6.845665836991143394e+00	8.847757012879812422e+00	9.027505063213434156e+00	3.972670543799747822e+00	8.006302661636476969e+00	2.846922226319745231e-01	-1.567709460280463513e-02	1.850340784191658889e-03	4.118589115306874326e-01
1.000000000000000000e+00	1.000000000000000000e+00	6.543506028776565842e+00	8.028556404009874470e+00	3.586460358348809940e+00	6.322058735866860957e+00	2.629787466812014252e+00	1.721679321980002841e+00	-7.667669140401650596e-03	1.660996782785640821e-02	2.802270375378244083e-01
1.000000000000000000e+00	1.000000000000000000e+00	1.884174763705523725e+00	8.550099487394598796e+00	3.056159205248085708e+00	6.679102432370832787e+00	1.427161426675199518e+00	2.241945489517705781e+00	2.704815161054590078e-01	1.615420104176821040e-02	-2.303843096369602605e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.981375525694326178e+00	7.346572047996087207e+00	8.324056186200873952e+00	8.229098783959704733e+00	2.713719154579000481e+00	4.521270074203013856e+00	2.579357639936858959e-01	7.370132271267526569e-02	-2.285811297756185301e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.739592117009637340e+00	7.731411750747779976e+00	5.135001997026148679e+00	8.507918833275285309e+00	4.664384736946150412e+00	1.698042881674860505e+00	8.626151399051230628e-01	8.921820051689907660e-02	-3.339602651510729103e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.971941373821042731e+00	7.671370094771461368e+00	8.201111303570186806e+00	1.745766198378484901e+00	5.506394970987670945e+00	3.299978206994653163e-01	8.601087246157755606e-02	1.042485325793040228e-02	1.475967719752173946e-01
1.000000000000000000e+00	1.000000000000000000e+00	5.916964566423042804e+00	2.460188404193319300e+00	2.383692263092755947e+00	7.114197849733863599e+00	6.590332825679823259e+00	-2.478772401456423324e+01	1.820811741243689996e-01	-1.003545115217761435e-01	2.247827261326217130e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.762274814739684281e+00	6.056364593874497437e+00	5.585024544689163761e+00	2.487977026678890979e+00	1.651148418286986885e+00	1.048419496749057211e+00	1.042643813855231166e-01	-2.737452629791678471e-03	-6.634926551332548383e-01
1.000000000000000000e+00	1.000000000000000000e+00	1.016010849256991921e+00	2.555991319386894833e+00	1.341953537278725905e+00	5.687181615364872656e+00	1.751668187337207305e+00	-2.913687251902772335e-01	5.371172636019809765e+00	-3.941545786972509152e-02	5.931028616893171623e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.472242843644504973e+00	9.514808710225180377e+00	1.518276358590739283e+00	3.347837084831347454e+00	4.656590377092117983e+00	-7.221025321187014789e+00	-8.316335421765803926e-03	5.375769810005719476e-03	3.801794424680816631e-01
1.000000000000000000e+00	1.000000000000000000e+00	9.071845569844160906e+00	8.793995096593491212e+00	9.083584199133092341e+00	4.304920405744740997e+00	7.138971519432276480e+00	7.903761609062942561e-01	8.231760625975359513e-02	-1.641252336508559548e-02	5.457775257275445657e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.454511391601565951e+00	1.129562482235565657e+00	2.425649166372812360e+00	4.724326223933761781e+00	2.391959375610862804e+00	-7.854639111443429966e-01	1.210251054435127482e+00	-9.855320645399670565e-02	2.041333694917916386e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.011782961877429887e+00	7.155846583297945429e+00	6.544565584791991242e+00	6.674689668455694225e+00	7.854906123200652068e+00	-8.476194647390158377e-01	2.890747990718403604e-01	-2.071467530965173318e-02	2.025933160642193531e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.899701948880608615e+00	8.805710878821461307e+00	4.362058887306151433e+00	5.811955577080111013e+00	3.390857803700558115e+00	1.295255828591771019e+00	1.682829542962849256e-01	1.134482164410745286e-02	-5.813630301739346473e-01
1.000000000000000000e+00	1.000000000000000000e+00	4.601326456275613097e+00	2.039331777633609732e+00	3.746500063502451461e+00	7.442413370026254249e+00	9.186629678137027355e+00	-8.488077027557855203e+00	3.952519488150814109e-01	-1.316224555718640554e-01	2.779688230345466859e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.128728187833975660e+00	6.288784311242517688e+00	9.808054360983073039e+00	3.953538360384329042e+00	9.237864958376086122e+00	3.210900250491866559e-01	5.132097450135935518e-02	1.449950227215496788e-02	4.098142882292115652e-01
1.000000000000000000e+00	1.000000000000000000e+00	4.125983889533614501e+00	8.790075687666242032e+00	8.838039580505787640e-01	1.072458117620798346e+00	3.233064766153896041e+00	-3.183130840764736291e+00	1.269066813901226776e-01	-4.768797438649347020e-02	1.100080166720104335e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.288025004048551914e+00	9.682128583436190317e-01	7.093427235049770019e+00	7.905111779868223998e+00	3.097625736637575677e+00	4.612608801215589693e+00	7.659590424470736902e-01	1.340468677737004788e-01	5.719838227490231519e-01
1.000000000000000000e+00	1.000000000000000000e+00	7.036864885960000926e+00	6.060521715176084179e+00	9.343779972000220368e+00	4.393994849825955562e+00	4.526211836696984570e+00	2.108237583809637883e+00	-4.960663596365061379e-02	5.827862424819339054e-03	-5.923569557814090114e-03
1.000000000000000000e+00	1.000000000000000000e+00	3.111190453062998351e+00	4.754392051704601663e+00	5.114160856254100551e+00	4.794026991514434677e+00	2.979507649153472659e+00	1.839611992874399249e+00	5.368120476913811334e-01	1.338190515389492963e-01	-1.576910954697708922e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.753087475959215880e+00	9.843517136173570492e+00	9.540855204281225355e+00	8.016757745122292889e+00	7.224100582854370067e+00	1.702503832188489552e+00	1.430850355023563503e-03	-7.584053022871829752e-03	-4.529919682459418451e-02
1.000000000000000000e+00	1.000000000000000000e+00	3.983790519272536912e+00	9.464255896104608823e+00	2.086077761380935591e+00	4.227276034571507246e+00	7.935836202693835162e+00	-1.932130276538351765e+01	1.700562463484368014e-01	-1.094724524770924190e-01	4.060280063211125778e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.995506114543227127e+00	8.998225672625412841e+00	4.734875343234574707e+00	2.095739383041523851e+00	6.401587203761181399e+00	-5.771281382296193918e-01	1.213790811134963232e-01	-1.370795435771879692e-02	4.773275049027064787e-02
1.000000000000000000e+00	1.000000000000000000e+00	8.026211296922026506e+00	5.273985557489960563e+00	2.523299891987998755e+00	4.574878333060580005e+00	8.692985751361614888e+00	-6.798485041035342569e+00	1.290313412617127842e-02	-8.721373630526375181e-03	-2.833015490519413815e-02
