G c dx1dt d2x1dt2 Fc m2 Fg d2 m1 d1 W
1.00000000e+00 1.00000000e+00 4.37086107e+00 2.66619636e+00 3.35535115e+00 7.05432695e+00 1.78398116e-01 6.14796290e+00 2.50931105e-01 4.54271968e+00 1.29065279e+02
1.00000000e+00 1.00000000e+00 9.55642876e+00 5.87710853e+00 3.22280919e+00 8.17013257e+00 6.71184285e-02 8.24889096e+00 5.79350940e-02 5.26092093e+00 5.66709162e+02
1.00000000e+00 1.00000000e+00 7.58794548e+00 8.85651252e+00 9.15629122e+00 3.25421109e+00 3.17695553e-01 7.84144837e+00 3.28309327e-01 8.69092654e+00 4.05909679e+01
1.00000000e+00 1.00000000e+00 6.38792636e+00 7.59002398e+00 3.24591580e+00 6.62386690e+00 6.45628220e-02 2.38509914e+00 2.41062158e-02 4.06003947e+00 3.51946002e+01
1.00000000e+00 1.00000000e+00 2.40416776e+00 8.25905033e+00 3.44754754e+00 6.14571385e+00 6.79215855e-02 2.34324523e+00 6.62004264e-02 8.82684716e+00 4.52269095e+00
1.00000000e+00 1.00000000e+00 2.40395068e+00 6.92905030e+00 7.83458436e+00 8.49547339e+00 1.33092831e-01 3.41356931e+00 1.88989569e-01 1.79320988e+00 8.06642963e+02
1.00000000e+00 1.00000000e+00 1.52275251e+00 7.23048908e+00 5.04765858e+00 9.15478354e+00 7.62560345e-02 4.24967254e+00 2.12814081e-01 7.99118593e+00 1.00986873e+01
1.00000000e+00 1.00000000e+00 8.79558531e+00 8.64276086e+00 7.99039501e+00 1.10941094e+00 8.33342071e-01 4.67610023e+00 4.43039424e-01 8.62792870e+00 7.25435393e+00
1.00000000e+00 1.00000000e+00 6.41003511e+00 3.24701208e+00 1.58829542e+00 7.06617927e+00 6.92249622e-02 7.11727495e+00 7.68627755e-02 2.63635888e+00 -3.49539831e+02
1.00000000e+00 1.00000000e+00 7.37265320e+00 5.40482467e+00 5.38814074e+00 1.46652219e+00 6.79780468e-01 1.51012389e+00 1.39237897e-01 4.87311879e+00 3.96490408e+00
1.00000000e+00 1.00000000e+00 1.18526045e+00 2.99088498e+00 1.30252240e+00 5.93972799e+00 7.33194053e-02 1.31205434e+00 8.11627890e-02 2.48949797e+00 5.03800010e+00
1.00000000e+00 1.00000000e+00 9.72918867e+00 9.88901207e+00 1.56387883e+00 3.58869456e+00 4.40670215e-02 4.52719507e+00 2.05053072e-02 7.35943716e+00 3.10189132e+01
1.00000000e+00 1.00000000e+00 8.49198377e+00 9.49653406e+00 9.15793708e+00 3.76098940e+00 2.56407318e-01 7.27447323e+00 2.19645753e-01 5.81812991e+00 1.06531587e+02
1.00000000e+00 1.00000000e+00 2.91105200e+00 1.35484130e+00 2.25320834e+00 4.17662653e+00 3.98187186e-01 2.74091809e+00 3.74915481e-01 6.71791012e+00 6.23196266e+00
1.00000000e+00 1.00000000e+00 2.63642470e+00 7.35017655e+00 5.79178614e+00 6.59163204e+00 1.19542350e-01 6.77354033e+00 3.07129928e-01 2.76838270e+00 -1.90354599e+02
1.00000000e+00 1.00000000e+00 2.65064059e+00 9.32723486e+00 4.69986042e+00 4.00644969e+00 1.25768637e-01 3.33845324e+00 1.58404242e-01 2.90571276e+00 2.86725675e+01
1.00000000e+00 1.00000000e+00 3.73818019e+00 2.62517811e+00 4.12608994e+00 7.59429146e+00 2.06962974e-01 8.97477498e+00 4.96885122e-01 1.37347593e+00 -8.18210007e+01
1.00000000e+00 1.00000000e+00 5.72280788e+00 6.11150707e+00 9.09850011e+00 4.64074647e+00 3.20799471e-01 9.06120950e+00 5.07937933e-01 3.89860782e+00 -3.80774811e+02
1.00000000e+00 1.00000000e+00 4.88750517e+00 9.23939468e+00 1.19641057e+00 1.61517880e+00 8.01707813e-02 3.67558484e+00 6.02913957e-02 6.03770195e+00 6.90866846e+00
1.00000000e+00 1.00000000e+00 3.62106226e+00 1.30551381e+00 6.97410718e+00 8.05383858e+00 6.63291187e-01 3.06994379e+00 5.62339587e-01 8.72141423e+00 1.24582027e+01
1.00000000e+00 1.00000000e+00 6.50667605e+00 7.27678241e+00 9.67054991e+00 3.57182492e+00 3.72067400e-01 4.70173575e+00 2.68856568e-01 7.00234703e+00 2.34918104e+01
1.00000000e+00 1.00000000e+00 2.25544475e+00 3.67614107e+00 6.04151365e+00 4.89490192e+00 3.35745035e-01 3.16478427e+00 4.71109126e-01 4.91856691e+00 1.04730096e+01
1.00000000e+00 1.00000000e+00 3.62930184e+00 9.31956576e+00 9.43140216e+00 7.16899495e+00 1.41163466e-01 7.05145459e+00 2.74269767e-01 9.57808103e+00 3.03134784e+01
1.00000000e+00 1.00000000e+00 4.29725659e+00 9.73952421e+00 1.47032091e+00 3.99210541e+00 3.78157217e-02 8.43458216e+00 7.42240554e-02 7.47320681e+00 4.44409879e+01
1.00000000e+00 1.00000000e+00 5.10462986e+00 9.49839840e+00 4.76913987e+00 1.50927091e+00 3.32676771e-01 7.05782918e+00 4.59969849e-01 9.37148683e+00 9.30675987e+00
1.00000000e+00 1.00000000e+00 8.06658365e+00 5.26792795e+00 3.34142012e+00 4.36528942e+00 1.45304215e-01 8.41915403e+00 1.51655102e-01 5.74829176e+00 1.92669524e+02
1.00000000e+00 1.00000000e+00 2.79706404e+00 8.75838386e+00 7.57738868e+00 9.50003724e+00 9.10689400e-02 4.57292946e+00 1.48888918e-01 3.33013847e+00 1.16428007e+02
1.00000000e+00 1.00000000e+00 5.62810995e+00 8.60094459e+00 9.83167381e+00 6.77560958e+00 1.68706936e-01 2.40685274e+00 7.21472671e-02 1.47544018e+00 3.37418983e+02
1.00000000e+00 1.00000000e+00 6.33173112e+00 3.87190426e+00 3.30877056e+00 7.04331234e+00 1.21329133e-01 7.64155853e+00 1.46428150e-01 7.53476366e+00 9.17574383e+01
1.00000000e+00 1.00000000e+00 1.41805371e+00 8.46023927e+00 6.88757141e+00 6.69053938e+00 1.21680879e-01 4.24427055e+00 3.64193940e-01 2.09172698e+00 -1.32423438e+03
1.00000000e+00 1.00000000e+00 6.46790367e+00 1.33306871e+00 2.78287869e+00 2.79092925e+00 7.47985042e-01 7.04143743e+00 8.14311737e-01 3.72497615e+00 6.22294279e+02
1.00000000e+00 1.00000000e+00 2.53471711e+00 6.36642891e+00 6.08797229e+00 4.76500478e+00 2.00684316e-01 3.43579548e+00 2.72026516e-01 5.79223817e+00 1.01850421e+01
1.00000000e+00 1.00000000e+00 1.58546434e+00 3.07007954e+00 5.17539238e+00 7.75845819e+00 2.17279239e-01 1.73106671e+00 2.37233250e-01 6.07974929e+00 4.08372693e+00
1.00000000e+00 1.00000000e+00 9.53996984e+00 2.08510197e+00 9.74804797e+00 1.91235608e+00 2.44467763e+00 9.93323616e+00 2.54545461e+00 6.40524877e+00 1.25967120e+02
1.00000000e+00 1.00000000e+00 9.69068830e+00 1.69257881e+00 6.47674545e+00 3.50067498e+00 1.09309054e+00 2.40581357e+00 2.71371030e-01 2.49629797e+00 6.31013265e+01
1.00000000e+00 1.00000000e+00 8.27557613e+00 7.26659898e+00 4.14555735e+00 3.48687198e+00 1.63612218e-01 9.89578895e+00 1.95644623e-01 4.41763664e+00 -5.38514715e+02
1.00000000e+00 1.00000000e+00 3.74152392e+00 4.05887467e+00 2.02686206e+00 4.88817035e+00 1.02157962e-01 9.79551939e+00 2.67455272e-01 6.55474804e+00 1.08119212e+02
1.00000000e+00 1.00000000e+00 1.87904903e+00 7.52290094e+00 2.36122146e+00 9.82331867e+00 3.19516393e-02 8.14436294e+00 1.38488003e-01 9.72836978e+00 2.65784471e+01
