G	c	dx1dt	d2x1dt2	Fc	m2	Fg	d2	m1	d1	W
1.000000000000000000e+00	1.000000000000000000e+00	4.274057688439908631e+00	2.611094311556829251e+00	3.350343768445537496e+00	7.936019777009828857e+00	1.761706751362556167e-01	5.375692795820708803e+00	1.332119127799677449e-01	4.122524333761441895e+00	1.398810694698476027e+02
1.000000000000000000e+00	1.000000000000000000e+00	1.011099864100127377e+01	5.225592582543468367e+00	3.325133408221590425e+00	7.608268426055445843e+00	6.804838797496444436e-02	8.687036249742440930e+00	3.768287595719101157e-02	5.226783137677019297e+00	5.760694037430711205e+02
1.000000000000000000e+00	1.000000000000000000e+00	8.210762335894376207e+00	8.521581114766087595e+00	9.684951509325685493e+00	2.918548524325168092e+00	3.747568996966315069e-01	7.437058510824916979e+00	3.416803840870996090e-01	8.808956479116377025e+00	4.291648081124123593e+01
1.000000000000000000e+00	1.000000000000000000e+00	5.645314033811166254e+00	6.610268590306091596e+00	3.894978992056649325e+00	6.235876078749359230e+00	8.189293442835657300e-02	1.943065506233212947e+00	5.888048300157616710e-02	4.317458571435979664e+00	4.018437493448227116e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.738190870439986657e+00	7.746739856275169700e+00	3.232337643288422768e+00	6.313615798732968187e+00	7.177996450455487176e-02	1.852065871953073151e+00	-6.061942721291027625e-03	9.656378930989857778e+00	-3.499318103446104722e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.846539086634405802e+00	7.165963601204835776e+00	7.057331946667476430e+00	8.525858370553796917e+00	1.572832273247469492e-01	4.040529431476402422e+00	1.176286643940371718e-01	2.493190811405302298e+00	8.059926999662257003e+02
1.000000000000000000e+00	1.000000000000000000e+00	7.943470291937145822e-01	7.203923409775318198e+00	4.944180326335097853e+00	9.263087948039283148e+00	1.004490761923274578e-01	4.365162439949745732e+00	1.848111320053247297e-01	8.099943299056601376e+00	1.297048096722377863e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.109213904142084317e+00	8.518374182706939024e+00	7.869319942756648700e+00	6.327052423209391652e-01	8.680555600435868602e-01	4.862670940659675090e+00	4.432167179318032835e-01	8.605163677878614692e+00	-6.010263593016696326e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.894953594703003397e+00	2.805796575560456585e+00	1.745440452103221851e+00	7.870009671766516668e+00	4.145002289178712634e-02	7.492869887156787811e+00	1.303716392678804792e-01	2.853603802169886627e+00	-3.459409243047880409e+02
1.000000000000000000e+00	1.000000000000000000e+00	6.858675097405887655e+00	4.418811495770598619e+00	5.848092059181949409e+00	1.220730527250678765e+00	6.621474488375083123e-01	1.487044882819938074e+00	1.773080723564840755e-01	4.539430923427473452e+00	-4.074199403619067184e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.057345061085313453e+00	3.092180651774095512e+00	2.453569551439929164e-01	6.582615015284745574e+00	4.346583385063831906e-02	1.863660469822066901e+00	6.165205695239427131e-02	3.027148775549682203e+00	-2.082205018234791538e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.830030776177789420e+00	1.009994479035646009e+01	1.193423746022470366e+00	5.288014818450661458e+00	7.220199520146045047e-02	3.875302625910172161e+00	3.960904692175058750e-02	7.247808860604767922e+00	2.658139288424344571e+01
1.000000000000000000e+00	1.000000000000000000e+00	8.800733298134305826e+00	8.944911808293586120e+00	8.625711609990625917e+00	3.288219806424415914e+00	2.827496645858453839e-01	6.683148749640668740e+00	1.749018498481943462e-01	6.087447224170349003e+00	1.062759162845726024e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.376078050272760755e+00	1.058080169564019180e+00	2.943908300842697390e+00	4.361972330452863034e+00	3.514654125453113287e-01	2.119546905105845980e+00	3.788590074374585392e-01	7.657831936242297743e+00	-4.897998529653913913e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.262632474041502473e+00	8.208089408694123179e+00	5.676730993687563398e+00	6.520390049818127309e+00	1.338841822946836846e-01	7.003220963864827731e+00	3.038188054720311060e-01	3.071662302505166586e+00	-1.831752288160226101e+02
1.000000000000000000e+00	1.000000000000000000e+00	1.552294679226207785e+00	9.972281630344337344e+00	4.416663985086313637e+00	5.105842121043605353e+00	1.761228948442727649e-01	3.614296320840725496e+00	2.328927337466491221e-01	3.032280678827479647e+00	3.015947688006014005e+01
1.000000000000000000e+00	1.000000000000000000e+00	4.454632182157861386e+00	1.799369606921637388e+00	4.423321376637997737e+00	7.442362952465003012e+00	1.983274194877666097e-01	8.717362006607592306e+00	5.230647943215146478e-01	1.089627837199049321e+00	-6.568810823500118090e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.020629635727721585e+00	6.064422529601675826e+00	8.771062667221166009e+00	4.775372503401944968e+00	3.323207514185196887e-01	8.934601542346262804e+00	4.670531349380061537e-01	3.855774983570475989e+00	-3.782598923214619617e+02
1.000000000000000000e+00	1.000000000000000000e+00	4.550983216678337051e+00	1.004880918652483679e+01	1.188020543737599910e+00	1.737991138666304947e+00	1.069760265959261852e-01	4.366296289999702651e+00	1.994923982958449193e-02	5.414444097340670226e+00	1.169248085866917286e+01
