G	c	dx1dt	d2x1dt2	d1	d2	m2	m1	W	Fc	Fg
1.000000000000000000e+00	1.000000000000000000e+00	4.256723838941596227e+00	2.994950062148534986e+00	3.417243199832698419e+00	7.128941689480967625e+00	5.945612080075208361e+00	2.509466955026616208e+00	4.028829627546953951e+00	2.819669089556351693e+01	7.271853855480521212e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.541700703518724680e+00	5.937060428596975470e+00	3.098064941807734396e+00	8.287595259850260021e+00	8.040386208274844293e+00	3.177243852537438240e+00	8.167774938449619881e+00	1.723768397909132375e+02	-2.513965324027743264e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.365882421722969475e+00	9.061127772255176183e+00	9.783433349891586417e+00	3.323296033999824761e+00	7.961936699727104383e+00	4.206307744123368053e+01	7.507879203780369437e+01	2.826813561435793872e+03	-1.215971638308752290e+03
1.000000000000000000e+00	1.000000000000000000e+00	5.904339526759135204e+00	7.921042526421287810e+00	2.790862770531892689e+00	6.703533663737334614e+00	2.340447833001434663e+00	1.087594079195441710e+00	1.148942073720406931e+01	4.624400782758705475e+01	3.359974076715193547e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.614958841768991515e+00	8.222412197703784287e+00	3.716896815110960706e+00	6.102722890087723506e+00	2.432457842048673324e+00	9.541946186500169791e-01	1.182646200676053461e+01	2.114782607251312641e+01	5.619599783392130377e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.396986717555205981e+00	6.928821323607067484e+00	7.803810516646141338e+00	8.427339471972501883e+00	3.007789080639637902e+00	1.657213691382351861e+00	2.769995845333530227e+01	2.466726057658685178e+01	1.078795548506237623e+02
1.000000000000000000e+00	1.000000000000000000e+00	1.535628235335769531e+00	6.792795778723885292e+00	5.264396384954900476e+00	9.632019932063203171e+00	4.224448044217919751e+00	1.745391823636173623e+00	1.448814069278954619e+01	2.011779807413275023e+01	8.109626644638321125e+01
1.000000000000000000e+00	1.000000000000000000e+00	8.528549124260562664e+00	8.987547936518316405e+00	8.020475233010506244e+00	1.238662833054799073e+00	4.956650143175322043e+00	-1.120029575354120732e+00	-6.120667637452002907e+01	-8.062159471699115443e+01	1.962396228394475202e+02
1.000000000000000000e+00	1.000000000000000000e+00	6.359834989199528721e+00	3.206485213674664880e+00	1.071401178909737295e+00	6.911003531007877676e+00	6.812538837789330337e+00	2.589796510294791076e+00	1.958760941209970241e+00	5.164725909211825439e+01	-3.246771304046049522e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.669408420625745570e+00	5.125072885471559481e+00	5.414495711861305516e+00	1.391433954643778614e+00	1.514624815840805994e+00	-2.287727668057965236e+00	4.379486909198720213e+01	-9.344637723622311398e+01	1.058134012740565311e+02
1.000000000000000000e+00	1.000000000000000000e+00	1.185482716421350391e+00	3.196644550074780433e+00	1.395163524992113047e+00	6.225624167975436940e+00	8.069563251456811637e-01	5.053756963007499659e-01	1.587720718794503494e+00	2.455424839755134592e+00	1.173412363093205713e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.737086245789555505e+00	9.282688956793842650e+00	9.587098805874537666e-01	3.389431807589735612e+00	4.171655888759469910e+00	1.666680224685491707e+00	7.046512462947124078e+00	1.666456078438001782e+02	-3.622151701341815055e+01
1.000000000000000000e+00	1.000000000000000000e+00	8.548144128093376537e+00	9.377128092010581284e+00	9.694654942277324494e+00	3.359850788043372116e+00	7.494437568928095317e+00	1.280176701026207375e+01	6.781113055568589232e+01	1.036063778451566805e+03	-3.045379625841920301e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.576467895190656776e+00	1.607495089424989976e+00	2.339127334503075861e+00	3.795403331400760472e+00	2.656685318353708691e+00	1.216590767057992295e+00	1.275353078967905951e+00	6.887082951278070908e+00	3.547202773051201685e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.805537831979848296e+00	7.228420808194019109e+00	5.977310246840620955e+00	6.123652338348605007e+00	7.269777128712940240e+00	3.122428808813160206e+00	2.157538936783809191e+01	6.694425901998195627e+01	8.267661591244403496e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.310964588553119814e+00	9.127539278653173938e+00	4.378078062849082741e+00	3.654901067914756219e+00	3.456227994677004034e+00	1.717182995041968363e+00	2.330575291192092280e+01	4.247558700947251253e+01	8.048042880094435247e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.483905697588538963e+00	2.509421412451001476e+00	4.316757405061971475e+00	7.274667926774416316e+00	9.119281327213407451e+00	3.583981819968468319e+00	4.189347111293558967e+00	3.385880493204785324e+01	1.346908416155643096e+01
1.000000000000000000e+00	1.000000000000000000e+00	5.438874154191892352e+00	5.552429593118671569e+00	9.399293308575694894e+00	5.015686969766795400e+00	8.768032417779471288e+00	8.815280457110414858e+00	3.710819929454900290e+01	3.037052192480447843e+02	-1.288299154085199660e+01
1.000000000000000000e+00	1.000000000000000000e+00	4.840086586979965411e+00	9.438410577462455819e+00	1.266416339805974900e+00	1.602679529240932599e+00	3.570702393756036042e+00	1.526161984509938341e+00	5.557692454815760463e+00	7.198699523951967194e+01	4.931326476082396937e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.525683113382248823e+00	1.271332100470759174e+00	6.971519855975433444e+00	7.955514484133121123e+00	2.870412234222662118e+00	1.384812963039194766e+00	4.022860361850705502e+00	1.202164673944180784e+01	1.292634191087938689e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.506344535708175059e+00	7.201033199050121958e+00	9.423845797925737955e+00	3.181138079473649238e+00	4.411565467543453245e+00	1.598978443434154251e+01	6.194548237641300403e+01	7.595272340142511212e+02	-2.208760229836994142e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.010468447865703112e+00	3.601408802136394804e+00	5.981822687027420038e+00	4.856162073827998249e+00	3.345593833553924590e+00	1.776903388648422899e+00	1.168512735956498538e+01	1.381348324755870038e+01	4.277518935793704458e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.901404407568087596e+00	9.323482165586868931e+00	9.290039732331758060e+00	6.698754497622830151e+00	7.286903234112701355e+00	4.161775391554614956e+00	4.755733946091653053e+01	1.459596507136092498e+02	1.392984639685943193e+02
1.000000000000000000e+00	1.000000000000000000e+00	4.522957334985918010e+00	9.921282903180628665e+00	1.628238939460558976e+00	3.892115718078946518e+00	8.543231665662148089e+00	3.177977123829164086e+00	6.009244925136044024e+00	1.356971240290272362e+02	2.672475348133885653e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.057593238167235050e+00	9.483916520579789733e+00	4.534503934676647141e+00	2.068065070256274840e+00	6.832307236911176140e+00	-4.403564057028517453e+01	4.753484460918063093e+01	-2.137500107563805614e+03	1.192767186349433132e+03
1.000000000000000000e+00	1.000000000000000000e+00	7.937130226205812988e+00	4.889178140619494961e+00	3.497310346155884098e+00	4.544960319162104412e+00	8.509227493558480404e+00	3.700316405983846479e+00	7.944794125678932950e+00	1.576591438939669558e+02	-2.545916073801632251e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.640280951809191645e+00	8.918468150937700401e+00	7.345759383986386837e+00	9.443251429675031616e+00	4.052016479590642817e+00	2.070610572790697379e+00	3.208428311736403060e+01	4.943421536357481472e+01	1.290079194307297428e+02
1.000000000000000000e+00	1.000000000000000000e+00	5.544179922921322223e+00	8.739625632076295503e+00	9.759242840830820498e+00	6.964569838626649911e+00	2.767170868099217529e+00	1.572884017865443518e+00	4.763863482326675580e+01	7.240938434411414448e+01	1.435357137646421393e+02
1.000000000000000000e+00	1.000000000000000000e+00	5.952803128716993797e+00	3.929073195059131329e+00	3.478849684519082608e+00	6.902146888694874249e+00	7.288010711144489839e+00	2.965008312464520124e+00	4.755761133468916491e+00	7.620451457920842131e+01	5.053767668436537797e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.158369146345948009e+00	8.759326012783189341e+00	6.693265398038757752e+00	6.473820918971901150e+00	3.939116464754302882e+00	2.181203290441020570e+00	3.002696653921119463e+01	2.914885503344864759e+01	1.226452406235021328e+02
1.000000000000000000e+00	1.000000000000000000e+00	6.700665536067627492e+00	1.341518775412845255e+00	2.962480480146183925e+00	3.252183923293031853e+00	7.072836979299007787e+00	3.493173151461881343e+00	1.644410150686106853e+00	2.869269841555508194e+01	-6.784551883216085599e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.616392231432020044e+00	6.675566823797496774e+00	6.240644341977053422e+00	4.455826702714094090e+00	3.491397804428013618e+00	2.015862745414429114e+00	1.996919932739879044e+01	3.120693291440529649e+01	7.587869670055175675e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.027724263805245730e+00	3.461506244031673063e+00	5.100587619922216653e+00	7.662608630179096991e+00	1.711253818710442909e+00	7.359411673859407310e-01	8.879071865719796008e+00	2.746213191944848919e+00	2.793183179751740397e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.459003010099502617e+00	2.247076833767452708e+00	1.006879606985400954e+01	1.995189732573760644e+00	9.630895706984132332e+00	-4.851240241068600412e+00	-4.180934296698383150e+02	-9.838555534125681845e+01	9.224849234613168392e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.592857235728482479e+00	1.484535248673581886e+00	6.498220351563767316e+00	3.247265617696502460e+00	2.714477943862568576e+00	2.165691291615603475e+00	7.576558542044313782e+00	3.249818269553662731e+01	1.110242829441232004e+01
1.000000000000000000e+00	1.000000000000000000e+00	8.165192379389633714e+00	7.230219913927847131e+00	4.449876693749621026e+00	3.662970423527649899e+00	9.436625076724293848e+00	5.580368487049294224e+00	1.526980912046743910e+01	3.306663192835182485e+02	-7.144350227668689968e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.655153080070339122e+00	4.403472123246043424e+00	2.522006477769043187e+00	4.805184786668141861e+00	9.391554944136439431e+00	3.778914780010436569e+00	3.683417708584868056e+00	5.517471445480969550e+01	4.844272513542085434e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.700455278415621274e+00	7.106324086540091400e+00	2.294602452156535577e+00	1.000301846274503248e+01	8.115226460731681968e+00	2.900773038083139799e+00	6.832241635472540153e+00	4.196969601254541971e+01	4.458180385756626407e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.231430837390201205e+00	1.479182104926108909e+00	3.205913203877393869e+00	1.766130538048285237e+00	6.590495828177615145e+00	6.296148083385012306e+00	2.218113447320963161e+00	6.708305568390392182e+01	-2.432354216197849794e+01
1.000000000000000000e+00	1.000000000000000000e+00	4.969248450198977096e+00	3.742214699964207636e+00	3.082678554324346454e+00	5.602533155145246191e+00	6.533242259245021444e+00	2.662968636646253717e+00	6.017878695483211082e+00	4.829027290291913488e+01	1.161354452104794355e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.960353368135464347e+00	5.614756563836769132e+00	8.370402456519478562e+00	3.077304021356614072e+00	8.474030223111205018e+00	-2.830091220385401485e+01	6.029323934417961794e+01	-3.491292723746498723e+02	2.985432420405584253e+02
1.000000000000000000e+00	1.000000000000000000e+00	5.795172414857467480e+00	8.359306557310670627e+00	5.997042084138278106e+00	9.556003285453364526e+00	4.029007979090865277e+00	1.503351227905266319e+00	2.323544381130574976e+01	6.382626115627667929e+01	7.870898063072797868e+01
