G c dx1dt d2x1dt2 d1 m2 Fc m1 W Fg d2
1.00000000e+00 1.00000000e+00 4.37086107e+00 2.66619636e+00 1.63936203e+00 3.35535115e+00 7.05432695e+00 6.14796290e+00 7.27603542e+01 1.27476803e+01 -2.37432330e+00
1.00000000e+00 1.00000000e+00 9.55642876e+00 5.87710853e+00 1.62604259e+00 3.22280919e+00 8.17013257e+00 8.24889096e+00 1.08599860e+02 2.29425945e+01 -6.87262424e-01
1.00000000e+00 1.00000000e+00 7.58794548e+00 8.85651252e+00 8.56764495e-01 9.15629122e+00 3.25421109e+00 7.84144837e+00 1.16823876e+02 3.46000309e+00 -7.50165417e+00
1.00000000e+00 1.00000000e+00 6.38792636e+00 7.59002398e+00 8.41621367e-01 3.24591580e+00 6.62386690e+00 2.38509914e+00 2.56404290e+01 4.36032026e+00 -1.20056360e+00
1.00000000e+00 1.00000000e+00 2.40416776e+00 8.25905033e+00 2.91094940e-01 3.44754754e+00 6.14571385e+00 2.34324523e+00 2.48239189e+01 3.68766252e+00 -1.47037753e+01
1.00000000e+00 1.00000000e+00 2.40395068e+00 6.92905030e+00 3.46937975e-01 7.83458436e+00 8.49547339e+00 3.41356931e+00 1.13601032e+02 1.02653238e+01 -7.59755023e+01
1.00000000e+00 1.00000000e+00 1.52275251e+00 7.23048908e+00 2.10601592e-01 5.04765858e+00 9.15478354e+00 4.24967254e+00 9.81891551e+01 1.48402216e+01 2.66935476e+01
1.00000000e+00 1.00000000e+00 8.79558531e+00 8.64276086e+00 1.01768236e+00 7.99039501e+00 1.10941094e+00 4.67610023e+00 2.07259531e+01 2.39804573e-01 -4.69763895e+00
1.00000000e+00 1.00000000e+00 6.41003511e+00 3.24701208e+00 1.97413343e+00 1.58829542e+00 7.06617927e+00 7.11727495e+00 3.99392295e+01 1.48071612e+01 -2.86016129e-01
1.00000000e+00 1.00000000e+00 7.37265320e+00 5.40482467e+00 1.36408739e+00 5.38814074e+00 1.46652219e+00 1.51012389e+00 5.96636960e+00 1.35325180e-01 -2.70183647e+00
1.00000000e+00 1.00000000e+00 1.18526045e+00 2.99088498e+00 3.96290883e-01 1.30252240e+00 5.93972799e+00 1.31205434e+00 5.07543866e+00 1.92874002e+00 1.04116991e+00
1.00000000e+00 1.00000000e+00 9.72918867e+00 9.88901207e+00 9.83838284e-01 1.56387883e+00 3.58869456e+00 4.52719507e+00 1.27039510e+01 2.42935487e+00 -1.58213048e-01
1.00000000e+00 1.00000000e+00 8.49198377e+00 9.49653406e+00 8.94219272e-01 9.15793708e+00 3.76098940e+00 7.27447323e+00 1.25276992e+02 4.28740516e+00 -6.45933620e+00
1.00000000e+00 1.00000000e+00 2.91105200e+00 1.35484130e+00 2.14862950e+00 2.25320834e+00 4.17662653e+00 2.74091809e+00 1.28971293e+01 1.99221452e+00 -2.78631069e+00
1.00000000e+00 1.00000000e+00 2.63642470e+00 7.35017655e+00 3.58688623e-01 5.79178614e+00 6.59163204e+00 6.77354033e+00 1.29297819e+02 1.22628211e+01 -2.63540891e+01
1.00000000e+00 1.00000000e+00 2.65064059e+00 9.32723486e+00 2.84182893e-01 4.69986042e+00 4.00644969e+00 3.33845324e+00 3.14311272e+01 2.23281861e+00 -1.69745697e+01
1.00000000e+00 1.00000000e+00 3.73818019e+00 2.62517811e+00 1.42397203e+00 4.12608994e+00 7.59429146e+00 8.97477498e+00 1.40611073e+02 2.15668565e+01 -4.89725355e+00
1.00000000e+00 1.00000000e+00 5.72280788e+00 6.11150707e+00 9.36398799e-01 9.09850011e+00 4.64074647e+00 9.06120950e+00 1.91299495e+02 8.13112459e+00 -1.11183154e+01
1.00000000e+00 1.00000000e+00 4.88750517e+00 9.23939468e+00 5.28985430e-01 1.19641057e+00 1.61517880e+00 3.67558484e+00 3.55138130e+00 3.99536465e-01 -2.47860726e-01
1.00000000e+00 1.00000000e+00 3.62106226e+00 1.30551381e+00 2.77366830e+00 6.97410718e+00 8.05383858e+00 3.06994379e+00 8.62168131e+01 8.29707515e+00 -1.50019441e+01
1.00000000e+00 1.00000000e+00 6.50667605e+00 7.27678241e+00 8.94169386e-01 9.67054991e+00 3.57182492e+00 4.70173575e+00 8.12025289e+01 2.49935129e+00 -1.03756665e+01
1.00000000e+00 1.00000000e+00 2.25544475e+00 3.67614107e+00 6.13535962e-01 6.04151365e+00 4.89490192e+00 3.16478427e+00 4.67954761e+01 3.15951817e+00 -7.14438010e+01
1.00000000e+00 1.00000000e+00 3.62930184e+00 9.31956576e+00 3.89428213e-01 9.43140216e+00 7.16899495e+00 7.05145459e+00 2.38387377e+02 1.51002459e+01 -2.72973812e+01
1.00000000e+00 1.00000000e+00 4.29725659e+00 9.73952421e+00 4.41218328e-01 1.47032091e+00 3.99210541e+00 8.43458216e+00 2.47541326e+01 5.60088083e+00 -4.70527236e-01
1.00000000e+00 1.00000000e+00 5.10462986e+00 9.49839840e+00 5.37420062e-01 4.76913987e+00 1.50927091e+00 7.05782918e+00 2.54008592e+01 6.69875819e-01 -3.66302847e+00
1.00000000e+00 1.00000000e+00 8.06658365e+00 5.26792795e+00 1.53126309e+00 3.34142012e+00 4.36528942e+00 8.41915403e+00 6.14020096e+01 6.68472121e+00 -9.20212186e-01
1.00000000e+00 1.00000000e+00 2.79706404e+00 8.75838386e+00 3.19358467e-01 7.57738868e+00 9.50003724e+00 4.57292946e+00 1.64592249e+02 1.71962550e+01 -3.60176952e+01
1.00000000e+00 1.00000000e+00 5.62810995e+00 8.60094459e+00 6.54359517e-01 9.83167381e+00 6.77560958e+00 2.40685274e+00 8.01669494e+01 4.60399691e+00 -1.33212349e+01
1.00000000e+00 1.00000000e+00 6.33173112e+00 3.87190426e+00 1.63530157e+00 3.30877056e+00 7.04331234e+00 7.64155853e+00 8.90421318e+01 1.57951807e+01 -1.26369370e+00
1.00000000e+00 1.00000000e+00 1.41805371e+00 8.46023927e+00 1.67613902e-01 6.88757141e+00 6.69053938e+00 4.24427055e+00 9.77913205e+01 7.91615120e+00 4.07586071e+01
1.00000000e+00 1.00000000e+00 6.46790367e+00 1.33306871e+00 4.85189068e+00 2.78287869e+00 2.79092925e+00 7.04143743e+00 2.73447799e+01 2.28532377e+00 -8.66671979e-01
1.00000000e+00 1.00000000e+00 2.53471711e+00 6.36642891e+00 3.98137975e-01 6.08797229e+00 4.76500478e+00 3.43579548e+00 4.98348684e+01 3.25044441e+00 -3.46570230e+01
1.00000000e+00 1.00000000e+00 1.58546434e+00 3.07007954e+00 5.16424516e-01 5.17539238e+00 7.75845819e+00 1.73106671e+00 3.47538175e+01 4.34163602e+00 3.23068540e+01
1.00000000e+00 1.00000000e+00 9.53996984e+00 2.08510197e+00 4.57530133e+00 9.74804797e+00 1.91235608e+00 9.93323616e+00 9.25863968e+01 1.51362064e+00 -6.30138059e+00
1.00000000e+00 1.00000000e+00 9.69068830e+00 1.69257881e+00 5.72539855e+00 6.47674545e+00 3.50067498e+00 2.40581357e+00 2.72734824e+01 1.22844102e+00 -2.72720919e+00
1.00000000e+00 1.00000000e+00 8.27557613e+00 7.26659898e+00 1.13885136e+00 4.14555735e+00 3.48687198e+00 9.89578895e+00 7.15219519e+01 5.01315563e+00 -1.36924845e+00
1.00000000e+00 1.00000000e+00 3.74152392e+00 4.05887467e+00 9.21813119e-01 2.02686206e+00 4.88817035e+00 9.79551939e+00 4.85252744e+01 9.75234130e+00 -1.17947557e+00
1.00000000e+00 1.00000000e+00 1.87904903e+00 7.52290094e+00 2.49777186e-01 2.36122146e+00 9.82331867e+00 8.14436294e+00 9.44543747e+01 3.27463080e+01 2.30480442e+01
1.00000000e+00 1.00000000e+00 7.15809724e+00 1.58820707e+00 4.50703021e+00 3.02785237e+00 1.60752292e+00 6.93480666e+00 1.68770381e+01 7.46685063e-01 -8.88689137e-01
1.00000000e+00 1.00000000e+00 4.96137244e+00 3.83761304e+00 1.29282770e+00 3.25869995e+00 5.66830895e+00 6.20026345e+00 5.72635193e+01 8.30053200e+00 -1.79293986e+00
1.00000000e+00 1.00000000e+00 2.09834411e+00 5.85542163e+00 3.58359183e-01 8.65554452e+00 2.61428214e+00 8.79491391e+00 9.95058118e+01 2.50452437e+00 -3.80899518e+02
1.00000000e+00 1.00000000e+00 5.45659219e+00 8.11650848e+00 6.72283187e-01 6.05100509e+00 9.73608891e+00 3.60495569e+00 1.06189600e+02 1.42382873e+01 -5.29635268e+00
1.00000000e+00 1.00000000e+00 1.30949669e+00 3.86877253e+00 3.38478595e-01 5.71051820e+00 2.01973154e+00 5.20913091e+00 3.00403124e+01 8.85403687e-01 2.36132236e+01
1.00000000e+00 1.00000000e+00 9.18388362e+00 6.63302239e+00 1.38456997e+00 2.03291985e+00 4.63240902e+00 6.57450972e+00 3.09571186e+01 5.87849195e+00 -2.87641290e-01
1.00000000e+00 1.00000000e+00 3.32901983e+00 8.97379973e+00 3.70971042e-01 8.74125724e+00 7.64096486e+00 4.70071428e+00 1.56984207e+02 1.14353383e+01 -2.87465906e+01
1.00000000e+00 1.00000000e+00 6.96270056e+00 6.54276869e+00 1.06418259e+00 7.50532873e+00 7.34098985e+00 4.84737809e+00 1.33536885e+02 1.08844102e+01 -5.67533328e+00
1.00000000e+00 1.00000000e+00 3.80539968e+00 3.09663527e+00 1.22888211e+00 1.60901526e+00 4.80455773e+00 3.97256201e+00 1.53551572e+01 3.82090531e+00 -7.16996386e-01
1.00000000e+00 1.00000000e+00 5.68061219e+00 1.21960703e+00 4.65773977e+00 7.37051588e+00 4.11871751e+00 6.07808635e+00 9.22564549e+01 4.29615198e+00 -7.37981910e+00
1.00000000e+00 1.00000000e+00 5.92039251e+00 8.83088987e+00 6.70418565e-01 5.89184396e+00 4.57851141e+00 8.65517075e+00 1.16740401e+02 7.55984689e+00 -4.42734051e+00
1.00000000e+00 1.00000000e+00 2.66369010e+00 1.19142470e+00 2.23571838e+00 1.73552811e+00 3.37848637e+00 2.81375540e+00 8.24916841e+00 1.33819512e+00 -2.26917490e+00
1.00000000e+00 1.00000000e+00 9.72626165e+00 8.87231505e+00 1.09624845e+00 5.12470577e+00 2.84799645e+00 9.40989735e+00 6.86694027e+01 3.18018607e+00 -1.69956769e+00
1.00000000e+00 1.00000000e+00 7.97619541e+00 5.76043421e+00 1.38465177e+00 5.36226658e+00 5.34735728e+00 7.20178888e+00 1.03251886e+02 8.58040028e+00 -2.40570304e+00
1.00000000e+00 1.00000000e+00 9.45549047e+00 9.45160929e+00 1.00041064e+00 2.49197086e+00 3.41680380e+00 8.40945891e+00 3.58014865e+01 4.09069307e+00 -4.16466146e-01
1.00000000e+00 1.00000000e+00 9.05344615e+00 8.18904912e+00 1.10555524e+00 9.51128332e+00 3.58715498e+00 6.00571623e+00 1.02452857e+02 3.21998500e+00 -6.41278805e+00
1.00000000e+00 1.00000000e+00 6.38109981e+00 9.98140699e+00 6.39298629e-01 8.64977834e+00 6.91080457e+00 8.01565031e+00 2.39575475e+02 1.59508836e+01 -8.53879946e+00
1.00000000e+00 1.00000000e+00 9.29686812e+00 4.15640634e+00 2.23675631e+00 7.02120104e+00 9.71683599e+00 1.14580358e+00 3.90855707e+01 4.50763431e+00 -3.37797417e+00
1.00000000e+00 1.00000000e+00 1.79643252e+00 7.90469460e+00 2.27261470e-01 5.16066005e+00 6.43273481e+00 8.36542382e+00 1.38854146e+02 1.44234118e+01 6.54142104e+01
1.00000000e+00 1.00000000e+00 2.76384576e+00 4.61737822e+00 5.98574695e-01 4.70588987e+00 1.69281520e+00 1.36124973e+00 5.42199512e+00 1.62534540e-01 -1.44959890e+01
1.00000000e+00 1.00000000e+00 1.40704560e+00 5.31888058e+00 2.64537919e-01 6.85876120e+00 1.68025252e+00 9.00922039e+00 5.19131587e+01 1.05980285e+00 3.96679789e+01
1.00000000e+00 1.00000000e+00 3.92797298e+00 6.64754917e+00 5.90890398e-01 5.90888682e+00 9.56280899e+00 9.92766473e+00 2.80484108e+02 3.78274288e+01 -9.05483218e+00
1.00000000e+00 1.00000000e+00 4.49809561e+00 8.86309403e+00 5.07508506e-01 1.56045795e+00 3.67561711e+00 3.64660716e+00 1.04578238e+01 2.05276043e+00 -4.87377068e-01
1.00000000e+00 1.00000000e+00 3.44214129e+00 9.85675122e+00 3.49216614e-01 5.61252384e+00 1.82860287e+00 2.89286701e+00 1.48448587e+01 4.03047306e-01 -1.09214070e+01
1.00000000e+00 1.00000000e+00 8.45863758e+00 7.91446072e+00 1.06875729e+00 8.25763256e+00 6.39140128e+00 7.88827027e+00 2.08162946e+02 1.34264968e+01 -5.27886064e+00
1.00000000e+00 1.00000000e+00 4.21077994e+00 4.75990104e+00 8.84636026e-01 5.13315890e+00 6.61283900e+00 3.27723707e+00 5.56225020e+01 5.97134984e+00 -5.95928156e+00
1.00000000e+00 1.00000000e+00 3.52841059e+00 4.79221302e+00 7.36279997e-01 1.46760920e+00 6.83654338e+00 8.79006145e+00 4.40969868e+01 1.71180313e+01 -7.04613268e-01
1.00000000e+00 1.00000000e+00 5.88426475e+00 7.63824071e+00 7.70369116e-01 8.07650379e+00 3.40661825e+00 1.92558333e+00 2.64898313e+01 9.31103616e-01 -8.39668737e+00
1.00000000e+00 1.00000000e+00 2.26831802e+00 3.14899431e+00 7.20330937e-01 2.81227404e+00 1.13599616e+00 2.13359677e+00 3.40813547e+00 1.14724145e-01 -1.47378941e+01
1.00000000e+00 1.00000000e+00 8.21977283e+00 1.99426702e+00 4.12170123e+00 3.32758751e+00 9.68513833e+00 9.81236400e+00 1.58117147e+02 3.83507679e+01 -8.90132081e-01
1.00000000e+00 1.00000000e+00 1.67095579e+00 4.19159942e+00 3.98643960e-01 2.48235718e+00 3.25803741e+00 7.06455008e+00 2.85676720e+01 3.12453505e+00 9.36363115e+00
1.00000000e+00 1.00000000e+00 9.88198243e+00 3.58515092e+00 2.75636441e+00 3.97193558e+00 7.08423659e+00 8.62198502e+00 1.21303274e+02 1.80294358e+01 -1.00078073e+00
