G	c	dx1dt	d2x1dt2	d1	m2	Fc	m1	W	Fg	d2
1.000000000000000000e+00	1.000000000000000000e+00	4.367630060707198503e+00	2.666657170490672524e+00	1.639363538152828426e+00	3.362529227269506205e+00	7.046510438920880581e+00	6.147171189268908265e+00	7.292265168316306756e+01	1.275319598040391611e+01	-2.346866637674967393e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.543491694207203224e+00	5.873057596304701811e+00	1.623944068962567933e+00	3.228111660505414982e+00	8.172540729210112431e+00	8.250783216010281862e+00	1.087468282755383342e+02	2.293981091810194783e+01	-6.712344944082616616e-01
1.000000000000000000e+00	1.000000000000000000e+00	7.585714413959994573e+00	8.866237678781697440e+00	8.574342079728912713e-01	9.146384317726019120e+00	3.256439049751909121e+00	7.836066770122211977e+00	1.168083875263400984e+02	3.467361895841626129e+00	-7.431283209215441055e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.392870362082718749e+00	7.595810005890075267e+00	8.427540369840244017e-01	3.251896550426094379e+00	6.618770731215303904e+00	2.384297388754851088e+00	2.549739839126033658e+01	4.370023515134252357e+00	-1.199032275573699069e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.407077579151609026e+00	8.254934867798072062e+00	2.902781509103504742e-01	3.437395880821720429e+00	6.151782065343351036e+00	2.342160946640210017e+00	2.463586914249676596e+01	3.682491407193407618e+00	-1.468364298047299776e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.406268156274103287e+00	6.921625653332867500e+00	3.485221803373929617e-01	7.839543450901332200e+00	8.499834268303112950e+00	3.414576053223223884e+00	1.135517499682593865e+02	1.027168427267905138e+01	-7.602610362851886805e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.521237099737947185e+00	7.228343523086719458e+00	2.083368539683022325e-01	5.045627802004317708e+00	9.160066038077991024e+00	4.251485068991349259e+00	9.817325792692631126e+01	1.483416422578672744e+01	2.666477667522934070e+01
1.000000000000000000e+00	1.000000000000000000e+00	8.788662800460762980e+00	8.645178065892459074e+00	1.015651339232931605e+00	7.994274154151257861e+00	1.109458890075406545e+00	4.679149586395445759e+00	2.083033987318645330e+01	2.577099610052320799e-01	-4.739518125176441110e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.412824042084229959e+00	3.248348382521085487e+00	1.974319033616902308e+00	1.580938104534566291e+00	7.058516506795751155e+00	7.118569377168422641e+00	4.000887861772573473e+01	1.480160498863547325e+01	-2.415825116044331144e-01
1.000000000000000000e+00	1.000000000000000000e+00	7.368137809067765609e+00	5.411796043075199236e+00	1.364121882600590308e+00	5.394607519556850583e+00	1.471815779731958429e+00	1.503529037988676320e+00	5.984620883100324917e+00	1.435524706734187528e-01	-2.790857609893740765e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.197081456363088936e+00	2.995279426441700643e+00	3.953172287758131009e-01	1.294433319944462868e+00	5.938264368110973024e+00	1.306942558566245971e+00	5.004020691229000839e+00	1.935505628400551403e+00	1.027139142731649191e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.732276431286885909e+00	9.894405933497216310e+00	9.849383317343862743e-01	1.560187854915422667e+00	3.581171158319891745e+00	4.524218816162919765e+00	1.262683988272729252e+01	2.431889299608050781e+00	-2.626200929059486766e-01
1.000000000000000000e+00	1.000000000000000000e+00	8.488841121977911186e+00	9.498352407500171068e+00	8.949406320558540573e-01	9.152425949266524086e+00	3.768308496684009690e+00	7.272935880199651315e+00	1.252973880104186719e+02	4.282028665485178465e+00	-6.488327789408332436e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.907742994135368075e+00	1.347112414785463175e+00	2.149795508434378721e+00	2.243521790349620737e+00	4.187991411088814786e+00	2.746641602818129080e+00	1.295307384972850784e+01	1.991000596971897130e+00	-2.803432785062899057e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.635921657235913873e+00	7.349087848591874028e+00	3.585213096506103536e-01	5.792308088288672607e+00	6.591408748392055372e+00	6.767205861924116661e+00	1.293292709618060883e+02	1.224555337535127286e+01	-2.630579101415878895e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.649344331596733770e+00	9.333132304328348283e+00	2.850016573456068403e-01	4.709833014749815305e+00	4.018137823408485687e+00	3.336506418852827061e+00	3.134809149851289689e+01	2.234618036457244994e+00	-1.696073709829332543e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.744224839472378719e+00	2.624891479924102988e+00	1.423366496433569051e+00	4.140815661314469764e+00	7.594785780908251738e+00	8.979965973087940867e+00	1.406632948727477981e+02	2.156965975714693684e+01	-4.926309785625064386e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.723816821909508690e+00	6.114305840075203058e+00	9.391894537976182011e-01	9.099036570400896196e+00	4.638686919356229232e+00	9.059576083019100778e+00	1.913336781487254825e+02	8.132195004159170182e+00	-1.108113937150901762e+01
1.000000000000000000e+00	1.000000000000000000e+00	4.883545352969510311e+00	9.237621433478361510e+00	5.278813720991637481e-01	1.202576494876560043e+00	1.611765891694545871e+00	3.678092700058470221e+00	3.465450784410663232e+00	3.756961438384751051e-01	-2.472388170267532381e-01
1.000000000000000000e+00	1.000000000000000000e+00	3.631293909096274586e+00	1.299784806297001660e+00	2.776528902252910491e+00	6.975388725713778548e+00	8.062700721684134209e+00	3.069183711761878097e+00	8.615386435613751814e+01	8.286927127029477091e+00	-1.500063393663912237e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.506942921925472412e+00	7.276096227761309265e+00	8.942167904848232762e-01	9.673304569158167610e+00	3.567601708280716544e+00	4.703134435025038584e+00	8.125778683443523676e+01	2.493353007864998805e+00	-1.041761028233573683e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.259605947882365573e+00	3.677860349058638789e+00	6.116669673892881631e-01	6.039624424375311662e+00	4.898882208816970341e+00	3.163539791956578640e+00	4.677665478153127765e+01	3.161856725882333574e+00	-7.147832823329437701e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.626009930211931298e+00	9.315918067095587674e+00	3.912871099033106703e-01	9.432479306804697927e+00	7.165967986234007547e+00	7.055088060877914735e+00	2.385149202255906289e+02	1.510256585362659187e+01	-2.732615688923107911e+01
1.000000000000000000e+00	1.000000000000000000e+00	4.299221883972791147e+00	9.738212911633668867e+00	4.413893982679097383e-01	1.473288680114309246e+00	3.989613596681267804e+00	8.426166318241490316e+00	2.479435268799395331e+01	5.599515955467700756e+00	-4.689068753981007198e-01
1.000000000000000000e+00	1.000000000000000000e+00	5.106313683398806980e+00	9.493172019666747730e+00	5.385765387425567319e-01	4.765945816950125646e+00	1.514848038379986495e+00	7.055850238417733067e+00	2.536180271269341091e+01	6.749692929769769423e-01	-3.660312165540779983e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.056356284167488724e+00	5.274154483794854187e+00	1.532926021303118169e+00	3.340992223480043766e+00	4.363232137873843897e+00	8.420769445919439988e+00	6.140119050966670500e+01	6.676492677044663537e+00	-8.663611666929564858e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.807971331577355567e+00	8.756745756760093258e+00	3.198176688239529608e-01	7.577066049243748935e+00	9.497845930638911582e+00	4.575836470212027329e+00	1.645973360818190372e+02	1.720114793657687002e+01	-3.600426620459529659e+01
1.000000000000000000e+00	1.000000000000000000e+00	5.635095316605735150e+00	8.609026495359083597e+00	6.535548014898627800e-01	9.836236921145649958e+00	6.781741877114550121e+00	2.414984775157951624e+00	8.010848958954431964e+01	4.607803448444496297e+00	-1.341566263473986886e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.329581376223640810e+00	3.880408922389640303e+00	1.636627334163913705e+00	3.302884301823194146e+00	7.051959651258898454e+00	7.639428639010752420e+00	8.896888846861615718e+01	1.579820797858093329e+01	-1.254533926695048596e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.412087885585436631e+00	8.459788398675630816e+00	1.676149285562938962e-01	6.887286811884725246e+00	6.694029327940999252e+00	4.252329210080458388e+00	9.784761328630182220e+01	7.914691578255234283e+00	4.070803703990186051e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.469784780843464311e+00	1.327458552638508760e+00	4.852822598879316551e+00	2.793436117933084883e+00	2.787384735384402568e+00	7.037847761549277159e+00	2.741262061098969482e+01	2.300002890895740837e+00	-9.003607077532199687e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.535186344737078823e+00	6.354824735234937627e+00	3.952115635365446300e-01	6.094399824528334619e+00	4.762240664495609010e+00	3.443032547785337627e+00	4.988332724085089609e+01	3.254398911464599031e+00	-3.468534782462724309e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.587389330244187491e+00	3.061890368498174197e+00	5.170318586437503416e-01	5.182842076566259060e+00	7.758890801325203590e+00	1.735519410851630973e+00	3.487543527410242206e+01	4.333871788319092921e+00	3.228371973758790148e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.541006716061771087e+00	2.077459112899164406e+00	4.574433642601285932e+00	9.748182874107820695e+00	1.914093394911941415e+00	9.928260598705094253e+00	9.254291467220200218e+01	1.515611582723916717e+00	-6.349339626533352821e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.693428232652424370e+00	1.700247451229346840e+00	5.727645007534548860e+00	6.478517886690251970e+00	3.495327290954023169e+00	2.407485996729521016e+00	2.740785754181153067e+01	1.234474520872316683e+00	-2.720112651330140352e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.283409395633507089e+00	7.267243330218014385e+00	1.139697988626526381e+00	4.151091348868287234e+00	3.490786055816999855e+00	9.895509871073084440e+00	7.144964495567533902e+01	5.008440105574167411e+00	-1.418450899365611750e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.744598670078639113e+00	4.061042100647052955e+00	9.221390290583858507e-01	2.035477247339595674e+00	4.888633265757599489e+00	9.798926916690737343e+00	4.844399736348609053e+01	9.761075213933889216e+00	-1.167036605255246107e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.873367970117427284e+00	7.510548392104560378e+00	2.504379664878897405e-01	2.350445388780408873e+00	9.814030896743027199e+00	8.143146791289559872e+00	9.431312232364379611e+01	3.274937119151613985e+01	2.312605970742765038e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.165471851163441208e+00	1.581542596175221860e+00	4.505673564562081346e+00	3.020588961487752133e+00	1.602494292203673121e+00	6.933133105815392661e+00	1.684125905533868561e+01	7.279027941495709308e-01	-9.350512123078830173e-01
1.000000000000000000e+00	1.000000000000000000e+00	4.970251952934555462e+00	3.842548002955914477e+00	1.295033322674023379e+00	3.265930244032480445e+00	5.665579912224551151e+00	6.207720836866738701e+00	5.722309109578311137e+01	8.302934805419711850e+00	-1.802862301997138372e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.115404014969417101e+00	5.857016999051240624e+00	3.610649853372822071e-01	8.654015633463698620e+00	2.613887733977349193e+00	8.794376182430951872e+00	9.954802295129665879e+01	2.501268780133204306e+00	-3.809875248627740234e+02
