G	c	dx1dt	d2x1dt2	d1	W	Fc	Fg	m1	d2	m2
1.000000000000000000e+00	1.000000000000000000e+00	4.019991483534561816e+00	3.113548985411200398e+00	7.424343082293830554e-01	2.994571499434243389e+00	6.795340964535893313e+00	1.869459263534756488e+01	0.000000000000000000e+00	-9.614695833268711578e-01	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.443873295719740213e+00	6.747564526778215388e+00	3.377001089365543884e-01	3.037460192489667143e+00	9.367492156416547644e+00	3.572407739446789776e+01	0.000000000000000000e+00	-5.662893040228710317e-01	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.256873416790575071e+00	9.469207918557966508e+00	2.749144556491727176e-01	8.571091300834581261e+00	3.045510106884726120e+00	6.268894078802218672e+01	0.000000000000000000e+00	-2.723509722156186585e-01	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.872380222318927423e+00	7.514243459348043608e+00	2.638009999414485107e-01	3.620842526989885179e+00	6.045781810120375965e+00	4.068248437561996411e+01	0.000000000000000000e+00	-3.457122294760363590e-01	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.584337696540402352e+00	7.374341170159596892e+00	2.356592914946062656e-01	3.090576569126882944e+00	7.005582987994792177e+00	3.867503672625120714e+01	0.000000000000000000e+00	-1.066696708883164701e-01	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.982604914833419496e+00	7.109656985783436411e+00	3.406150204518556546e-01	7.815235560799461467e+00	8.187418855359542391e+00	1.169489386507697191e+02	0.000000000000000000e+00	-3.407140374100405822e-01	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.125001131609209004e+00	7.602447422949630607e+00	3.072597394583085340e-01	5.036889666627804907e+00	9.580507682460483565e+00	8.718738240849373256e+01	0.000000000000000000e+00	8.781881409733313659e-02	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.860739104653929665e+00	8.214610991860729072e+00	1.938689429200301517e-01	8.091750787870953587e+00	1.475023607243856283e+00	2.145872401041760824e+01	0.000000000000000000e+00	-3.676540544324728987e-01	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.141113640740443635e+00	3.259554363198964744e+00	5.574077623681605864e-01	1.953629144862215838e+00	7.034477433445542438e+00	1.179177431785887364e+01	0.000000000000000000e+00	-9.187482974061105256e-01	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.887288530037072753e+00	5.358712891035098735e+00	3.280036307235964510e-01	5.254063792080585493e+00	9.398025121570371399e-01	2.653815377450531088e+00	0.000000000000000000e+00	-5.349937484428534118e-01	0.000000000000000000e+00
