G	c	dx1dt	d2x1dt2	W	d2	m1	Fg	Fc	m2	d1
1.000000000000000000e+00	1.000000000000000000e+00	4.580469866391284839e+00	2.721625477773165436e+00	3.093289846347807792e+00	7.010264325491320392e+00	1.951889922732022165e-01	6.203903265381057075e+00	4.495857268591943345e+00	1.163484629584969204e-01	3.472725545709307582e-01
1.000000000000000000e+00	1.000000000000000000e+00	9.588347898455239715e+00	5.892626849651580123e+00	3.285017546173973901e+00	8.120793251110955069e+00	6.434978198957266859e-02	8.464798481841622646e+00	5.302099642530605728e+00	2.832375617202561452e-02	3.268700563762817479e-01
1.000000000000000000e+00	1.000000000000000000e+00	7.536679337700704195e+00	9.152460123667857772e+00	9.372679070244213761e+00	3.276676882791895729e+00	3.122400642596495635e-01	7.681788638364745125e+00	8.599129805825329598e+00	1.815437153987302377e-01	2.446018674836714646e-01
1.000000000000000000e+00	1.000000000000000000e+00	6.314816861448338869e+00	7.474600770823538909e+00	3.419750645992614579e+00	6.926530035670254826e+00	6.035207067814402082e-02	2.417504781925804647e+00	3.936472994435851636e+00	1.041017158847277607e-01	4.010113223927619930e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.231498052246176478e+00	7.708060406769464024e+00	3.124479276933497918e+00	5.903540274914068853e+00	5.106520301639858039e-02	2.303629145067157324e+00	8.384457929639056672e+00	9.641092746062238095e-02	9.279700543211261143e-02
1.000000000000000000e+00	1.000000000000000000e+00	2.754450774949904091e+00	6.827836803827810108e+00	7.875130733296354713e+00	8.888172455988685883e+00	1.596400829462502613e-01	3.866310542261739425e+00	1.885718254852660092e+00	2.507855509280171868e-01	4.838551648034395747e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.526165737831344238e+00	6.778084698864883961e+00	4.860664391936308171e+00	9.268795246074098770e+00	9.716542957484700094e-02	4.481589456488816126e+00	7.463290675246962991e+00	4.611498244052823769e-02	9.799415482688554613e-02
1.000000000000000000e+00	1.000000000000000000e+00	8.452114355688072678e+00	8.758383256567093156e+00	8.269528303543550507e+00	1.117173908670420213e+00	8.110859460746425720e-01	4.842003263493610099e+00	8.636454092193822873e+00	5.552183788065805370e-01	2.181897634106375605e-01
1.000000000000000000e+00	1.000000000000000000e+00	6.306129547529747192e+00	2.781404336045111059e+00	1.543759787834284358e+00	7.394565135449347792e+00	8.397544059229095081e-02	6.649737883274744910e+00	2.142834208845774135e+00	7.340885319445729362e-02	4.865217764586868276e-01
1.000000000000000000e+00	1.000000000000000000e+00	7.407383723470233328e+00	5.129901562224316258e+00	4.968629582173926806e+00	1.146574900633618777e+00	6.459291461194265338e-01	1.557195685730791368e+00	4.886972737021141988e+00	1.191817928123649395e+00	6.113536411674188598e-01
