G	c	dx1dt	d2x1dt2	d2	m1	Fc	W	Fg	d1	m2
1.000000000000000000e+00	1.000000000000000000e+00	4.256723838941596227e+00	2.994950062148534986e+00	1.511705210684766376e+00	3.431458302759510026e+00	6.853223327148470823e+00	6.506520711776773602e+00	1.141336650219737736e+00	5.318814712588125992e+00	-1.940455281681022548e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.541700703518724680e+00	5.937060428596975470e+00	6.575480721101969461e-01	3.342621320179145705e+00	7.962912945343810556e+00	8.303814237193808623e+00	8.034217531822110958e-01	7.901098722618669967e+00	-1.283435176567571334e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.365882421722969475e+00	9.061127772255176183e+00	5.675710038738905894e-01	9.226757972587376955e+00	3.373956785265560310e+00	7.736648978004457611e+00	1.103826441612437009e-01	9.755292675760695431e+01	-4.901115522301888183e-02
1.000000000000000000e+00	1.000000000000000000e+00	5.904339526759135204e+00	7.921042526421287810e+00	4.428919225400151372e-01	3.327176025523667757e+00	6.579490803052111758e+00	3.050498983207182935e+00	4.997957732048755042e-01	5.036442580928711443e+00	-4.313463917965195127e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.614958841768991515e+00	8.222412197703784287e+00	5.341058547031199977e-01	3.403696692619420094e+00	6.234376596677796201e+00	2.311594819449448668e+00	3.622480562072725729e-01	6.805047757793117214e+00	-1.295035212370054534e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.396986717555205981e+00	6.928821323607067484e+00	5.715912060724575028e-01	7.765087655414633971e+00	8.092194202714159346e+00	3.483002601122695108e+00	3.337883615281137528e-01	1.032102355940794425e+01	-8.463179013254384930e-02
1.000000000000000000e+00	1.000000000000000000e+00	1.535628235335769531e+00	6.792795778723885292e+00	5.932764694690636498e-01	5.534440457760442911e+00	9.129714516369332955e+00	4.297453260851638035e+00	4.056441102242076546e-01	9.459045649677097600e+00	-6.272521626819341223e-02
1.000000000000000000e+00	1.000000000000000000e+00	8.528549124260562664e+00	8.987547936518316405e+00	4.683753416048794804e-01	8.122232146169142908e+00	1.388231672978541331e+00	4.640723771062702063e+00	8.324439568648886456e-02	1.477114961599518779e+02	-1.022162470385305499e-01
1.000000000000000000e+00	1.000000000000000000e+00	6.359834989199528721e+00	3.206485213674664880e+00	1.136354931196016826e+00	1.430015919807470004e+00	6.763321410555529489e+00	7.239467613716947803e+00	1.851865549421415347e+00	3.083573514636149593e+00	-3.644332540700054857e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.669408420625745570e+00	5.125072885471559481e+00	7.449511744371931643e-01	5.311550620695815184e+00	1.470995374211008455e+00	1.279990365852261780e+00	9.146483735737460929e-02	1.393379572868489369e+01	-1.491360069531260657e-01
1.000000000000000000e+00	1.000000000000000000e+00	1.185482716421350391e+00	3.196644550074780433e+00	1.354521325261479836e+00	1.594136955540824019e+00	5.437743166216865376e+00	1.474521377416795342e+00	7.408234208776947050e-01	2.104929069395066410e+00	-2.493653238698426700e-01
1.000000000000000000e+00	1.000000000000000000e+00	9.737086245789555505e+00	9.282688956793842650e+00	2.926250822566147658e-01	1.360630506110364735e+00	3.235346758198594408e+00	4.048311930606142361e+00	4.547928111014845065e-01	8.772267476452453749e+00	-5.116155298853731770e-01
1.000000000000000000e+00	1.000000000000000000e+00	8.548144128093376537e+00	9.377128092010581284e+00	5.204175182312259507e-01	8.748775058792269022e+00	3.979597980251975198e+00	6.920947314514973137e+00	8.605342925297097822e-02	8.357522147078242369e+01	2.035800276875074366e-02
1.000000000000000000e+00	1.000000000000000000e+00	2.576467895190656776e+00	1.607495089424989976e+00	2.968257252987230199e+00	1.864360072042672956e+00	4.092912930286439099e+00	3.238149414692800043e+00	6.900149562696863415e-01	5.028470039545156922e+00	-1.524676212114221219e+00
