G	c	dx1dt	d2x1dt2	dx2dt	d1	d2	Fc	Fg	m2	m1	W
1.000000000000000000e+00	1.000000000000000000e+00	4.754306154671096962e+00	2.954795102857464606e+00	1.599537611025468209e+00	5.632455322091463046e+00	5.741403792582970844e+00	4.765281264590969457e+00	5.028980326439370430e+00	6.822351147998304555e+00	-6.958299713434403344e+00	-4.594139097823646978e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.193708014449132548e+00	4.978924504546673013e+00	3.890048901718493823e+00	8.535359980195131868e+00	6.803609187410531334e+00	5.869606370712850740e+00	6.397720252922402651e+00	3.400518681995665204e+00	-9.084806273857893189e+00	-4.669209900895406662e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.545502408391375759e+00	9.162151647861989545e+00	9.653808685360397490e+00	3.800122262881023172e+00	7.293151370248018850e+00	9.179865734570178404e+00	2.083290810680180272e+01	9.679152655906824165e+00	-8.245934159024599808e+00	-2.633235452027621903e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.146693247347147171e+00	7.186625451765987549e+00	2.507212040874460257e+00	7.027412625366961763e+00	2.688531431437466868e+00	4.400969807366182707e+00	9.355798759531055442e-01	7.203537226044636199e+00	-9.804412175291096210e-01	-3.018047088562121161e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.641748283234871097e+00	7.683902744402566931e+00	3.074578064966484892e+00	4.871722255426336190e+00	2.497918722687129556e+00	8.977487716061641976e+00	2.973603071675938292e+00	2.866342694655994450e+00	-4.666211798081681295e+00	-1.664867408319436208e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.071062467390601736e+00	6.523587340739246621e+00	8.634407379664661875e+00	7.814464811788345067e+00	3.939343582393980636e+00	1.474283284118466097e+00	1.037866229221205305e+00	9.833681899070393584e+00	-1.886382685726353037e+00	-3.333925306240661257e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.907006926461922713e+00	8.080282737664202131e+00	4.409990278489807736e+00	9.415071340136073275e+00	4.437691327559587506e+00	7.424573869502955503e+00	2.830650171381620783e+00	6.291932239955387196e+00	-3.262195549505269909e+00	-3.857749480806010638e+02
1.000000000000000000e+00	1.000000000000000000e+00	9.496117376471465477e+00	8.828246442591471066e+00	8.254583225584521955e+00	2.075981971913712698e+00	5.077004987614191833e+00	7.974521282630821162e+00	3.601935093982724823e+01	5.622082234915097843e-01	2.163559186230433529e+00	6.907464903136595780e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.739627354595851827e+00	2.740522143331960869e+00	1.316620926159381977e+00	7.036105910930396057e+00	7.533820497828559226e+00	2.852495892783703191e+00	3.570628547725242186e+00	7.179918948352496777e+00	-3.414116008606965291e+00	-8.640121977436223233e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.044291166229757373e+00	5.836158305483505337e+00	5.614606836469034690e+00	2.057402001150979043e+00	1.521276608608663983e+00	5.146484225469892593e+00	5.527755195858267356e+00	2.668988065836630508e+00	-4.604280175950221654e+00	-1.185565638615682538e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.475649932941291542e+00	3.452481343700120053e+00	1.330206870356937410e+00	5.379764741748747525e+00	1.327032767898320254e+00	3.089853150697166484e+00	-1.248525355819714466e+00	7.736739850130213370e+00	-4.033286180278845556e-01	-1.430375104096921746e+02
1.000000000000000000e+00	1.000000000000000000e+00	9.953416716172428735e+00	9.676884434784422950e+00	1.407488083511695187e+00	3.700820740280154286e+00	2.942752857410152245e+00	7.667613387934624214e+00	8.265323075431581401e+00	8.738926894977566917e+00	-3.143340656620731810e+00	6.940259723474683895e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.681859350000953768e+00	1.003013728643115066e+01	9.372465319781220217e+00	3.612305559550969214e+00	6.916835300391520391e+00	6.394656944998794224e+00	1.290370741671052990e+01	1.031573522009908750e+01	-3.902626866463815514e+00	-2.260570817881615469e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.858512726646287305e+00	1.914911802053490320e+00	1.980964864944235071e+00	4.819513297843222688e+00	2.406800820746564984e+00	6.646289883334292270e+00	5.310343586634717283e+00	5.185157837291447080e+00	2.279636234325570854e+01	6.053989306565466677e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.665106857007771612e+00	7.823785782629857799e+00	4.806594921828363454e+00	6.299398366994702236e+00	6.714275506115187753e+00	3.191280781641936848e+00	2.399170734680549533e+00	5.446126645549616008e+00	-2.493886966098946445e+00	-5.589486630927596877e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.159473625552993603e+00	8.952416110459029852e+00	4.187604511070081692e+00	4.914279615844835192e+00	2.831702523545892802e+00	2.356287970363586837e+00	1.283431174737639680e+00	8.087503012966145377e+00	1.198141654888296159e-01	-3.734032911886512807e+01
1.000000000000000000e+00	1.000000000000000000e+00	5.080543349898945849e+00	1.969253178731785514e+00	3.547498921548409179e+00	7.427715140170112917e+00	9.485461213877176334e+00	1.340456885892270522e+00	6.679768355303482563e-01	2.023250643532803927e+00	-5.577209784964564321e+00	-4.414064817770032789e+01
1.000000000000000000e+00	1.000000000000000000e+00	5.807780828261956962e+00	5.169738611736012679e+00	8.212761408937538476e+00	4.061589464328135612e+00	8.581055614634555795e+00	2.893821777032751008e+00	8.001380559471106935e+00	6.005931096471323727e+00	-6.522354410256268054e+00	-2.364408083104560276e+01
1.000000000000000000e+00	1.000000000000000000e+00	5.184376964432770407e+00	8.874721676833111417e+00	1.400380414337051960e+00	1.054186742834234636e+00	4.276074156557692518e+00	6.055029862135072882e+00	1.525094383271614795e+01	7.048183449758006702e+00	-4.561554589233312917e+00	-1.430681615312354538e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.503121976649959279e+00	1.100894845333132865e+00	6.878711433759707283e+00	7.716895405485121984e+00	2.546407649611265978e+00	9.393354190615202270e+00	4.786971878006767156e+00	1.652091309809063047e+00	3.121812804966135335e+00	7.405025111815142225e-01
1.000000000000000000e+00	1.000000000000000000e+00	6.964184118651953526e+00	7.117433554151809894e+00	9.865983832932124997e+00	3.772426926809682612e+00	4.372860040638386181e+00	7.040865859254002324e+00	8.012958062982399099e+00	4.627444174536948118e+00	-6.516297948375523674e+00	-4.522023456196205871e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.552692723055931756e+00	3.649881016227745523e+00	6.329054402201029106e+00	4.564696859038746446e+00	2.794494022890143814e+00	5.314573122618929446e+00	2.953986554158154920e+00	8.761163768874320468e+00	-3.854669131516955005e+00	-6.156558643680366316e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.684526188473862707e+00	1.028365428061048625e+01	9.849097891366172419e+00	6.724839743387040158e+00	6.781158510339643897e+00	9.727955366783609392e+00	8.765883903833602275e+00	8.605859985616527652e+00	-1.486643882815056994e+00	-9.997549923406008077e+01
1.000000000000000000e+00	1.000000000000000000e+00	4.280764468673652345e+00	9.550612139736674777e+00	1.695008915663090310e+00	4.473791914349464882e+00	9.076580108871713293e+00	7.160260918554364196e+00	1.589419686060003656e+01	2.323154858206851081e+00	1.539388946306805117e+01	1.839746743513588001e+02
1.000000000000000000e+00	1.000000000000000000e+00	6.216348041077174535e+00	9.471264599301514764e+00	4.228234138783159679e+00	-2.290822825753100478e-01	6.879667887177346230e+00	9.269088474065723560e+00	4.280653214393566230e+01	2.615724264950709532e+00	5.267440167680915941e+00	5.133001698493652398e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.720564220340415673e+00	4.256773301641070262e+00	3.661413920606213956e+00	4.132578351155834717e+00	8.254843689665236184e+00	6.395487955035379812e+00	1.066925042028450399e+01	3.230076933638464709e+00	-1.032401627566311788e+02	-3.463570346446319377e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.359507852858567567e+00	9.997839085591598618e+00	7.699861527871207478e+00	8.777764039342862645e+00	4.168876701170739274e+00	3.723318786004651049e+00	9.400267703876101777e-01	8.406822328960465995e+00	-8.757985099133892559e-01	-1.740480843069792627e+01
1.000000000000000000e+00	1.000000000000000000e+00	5.907432402342102762e+00	7.868884808200058423e+00	1.104097335154216353e+01	6.305428454394764515e+00	2.265344588110779434e+00	1.136615982280607451e+00	9.243726234280498222e-01	3.234429654837676082e+00	1.814301839051811083e+00	-1.899875283449540575e+01
1.000000000000000000e+00	1.000000000000000000e+00	5.987513963800303429e+00	3.478669978880068125e+00	3.313142791351427530e+00	7.175263324739471926e+00	7.759456905491657785e+00	6.773571739568481576e+00	7.781176124630498236e+00	7.545144933923781494e+00	-1.609675096754277490e+01	-6.931581170567541506e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.648843596664253619e+00	8.847280280299163024e+00	7.098995328963575879e+00	6.579439244195595116e+00	4.127073543291904123e+00	2.205206747310238136e+00	1.043185045064991545e+00	9.832650638562855372e-01	-2.153787746737130249e+00	-9.010313336112702132e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.740897220582308336e+00	1.470029397741089872e+00	2.730519293153509608e+00	2.630928297002401273e+00	6.959574335682686907e+00	3.405746381414858082e+00	9.788576499168399891e+00	7.621276752280176758e+00	3.367072166473220562e+01	1.143780164898288199e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.036156236574535150e+00	7.280559024213487440e+00	6.114970874905274023e+00	5.408930593902114836e+00	3.989221942194011827e+00	5.694894122669621694e+00	5.432081948211538780e+00	4.817226953699782932e+00	-2.815274591831418149e+00	-6.237622577016512082e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.380787712339127449e-01	3.470634350639735910e+00	5.165114734485594106e+00	7.751086168862840964e+00	1.880122141170547323e+00	5.281826822748456607e+00	2.973888496916801127e+00	8.971320701314962065e+00	-1.883483512084497047e+00	-1.828810708566853407e+02
1.000000000000000000e+00	1.000000000000000000e+00	8.854994516304198982e+00	2.039882386325973851e+00	9.508063976333318124e+00	2.890042470456760881e+00	9.306355193895704758e+00	6.976224563085963837e+00	3.361899105793368392e+01	3.883413075597433650e+00	6.083774030701246005e+00	1.107415623655557368e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.649787179083341826e+00	2.273418927475812090e+00	6.574673959657674871e+00	3.886211127239901586e+00	2.359370037632813055e+00	2.443094195428077597e+00	1.647853571816172202e+00	8.191631657953273304e+00	-4.331124532243157077e+00	-3.241673798355582559e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.716796720930377163e+00	7.912652677247891120e+00	4.488871799963890297e+00	2.963555714562119636e+00	9.602552410801177274e+00	4.447624086244781338e+00	1.354349837750949170e+01	2.557072102827133708e+00	-1.330075523567657036e+01	-7.364556112126810206e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.140908047540519554e+00	3.691618069303443939e+00	1.795225089991864031e+00	5.935166945108757197e+00	1.007931951468957443e+01	6.097787497554064018e+00	1.402743633181870742e+01	6.990127537146380021e+00	-2.139909038100068628e+01	-1.603718890915457393e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.026186643482580152e+00	8.058649186365906658e+00	2.822595913109077870e+00	9.973867533878873815e+00	8.200433716797647321e+00	9.576191526272367582e+00	8.739730393362849625e+00	8.595321719813350470e+00	-5.190135533267611123e+00	-4.053152091380381421e+02
1.000000000000000000e+00	1.000000000000000000e+00	6.662310488862083879e+00	1.464559723551723591e+00	3.422269642788677846e+00	2.620770307215837036e+00	7.550481069822761349e+00	7.615863882499711579e+00	3.135747993658758759e+01	1.857887335567453224e+00	5.317109131726004634e+00	-1.492458826494902357e-01
