G	c	dx1dt	d2x1dt2	dx2dt	m2	m1	Fc	Fg	d2	d1	W
1.000000000000000000e+00	1.000000000000000000e+00	5.252380201078132416e+00	2.632427271683975167e+00	2.572489539789620139e+00	5.852929117502649881e+00	1.994593345719015920e+00	6.850914219928359472e+00	4.879050174453503530e+00	3.644685103738365406e-01	3.453076512392803998e+00	4.044193293129778155e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.994675304849749864e+00	5.891207168554923435e+00	3.666963541149435901e+00	7.963446044200393814e+00	2.526337191458699394e+00	8.857241714064956639e+00	1.140240025811395341e+01	9.893446810803316338e-02	5.661172443991193681e+00	2.534332009916953954e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.252349040781338019e+00	9.721590326281543071e+00	8.746355247348317263e+00	3.390671073284750037e+00	3.856923256836901071e-01	7.992590570380524007e+00	6.512944901548543442e+00	1.522300287115214146e-01	8.919317443746654916e+00	4.327392436569727607e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.000011974016973504e+00	7.852756924629576751e+00	2.797819777086399728e+00	6.978760001581680861e+00	2.106728319186140119e+00	2.709399869154095697e+00	1.001715715574371579e+01	1.364374477425202015e-01	4.398714150835440151e+00	9.830697364564222607e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.572036631583505706e+00	8.317545234840025614e+00	2.949631770553813759e+00	5.408231269664479868e+00	1.995482416673952430e+00	1.821870313546329667e+00	9.749395627434699563e+00	2.048385996247117646e-01	9.347823971043247582e+00	1.620302548894376748e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.434329674628374907e+00	7.295788489635621765e+00	8.470143094671362505e+00	7.767190817703647276e+00	1.263962881450556797e+00	3.371306725571558083e+00	1.256617464256604855e+01	6.975011612617145751e-01	1.891143066153904595e+00	5.319784317781054739e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.631035581770590159e+00	7.597267374696504483e+00	5.164732397241413864e+00	8.868995967121872326e+00	1.841575295426330694e+00	4.436319198380143547e+00	1.439979859982976684e+01	6.365037678909888363e-01	7.875587681553455788e+00	6.405469255644772986e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.318973524665199903e+00	9.169034260273203785e+00	8.179524494845653138e+00	1.111220335234256007e+00	1.330018073730245276e-01	3.813992146254843618e+00	3.239280168027416806e+00	5.624725641737435278e-02	8.183050574982688730e+00	2.210042293339998132e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.213707154948492573e+00	2.825930472969330420e+00	1.969041554931522775e+00	7.612270622971314182e+00	4.504650118997836294e+00	7.351178909100450021e+00	4.657585588144702804e+00	1.455246414409942790e-02	2.393258430235467138e+00	2.132845996268794231e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.126909958889775965e+00	5.137499511757472881e+00	5.364745209569307782e+00	1.855052091484414856e+00	1.865552250094300868e-01	9.876379542188929994e-01	2.184150420841276752e+00	8.535440520524982533e-02	5.535023503750005069e+00	2.566437618125364306e+00
