G c dx1dt d2x1dt2 dx2dt d2 d1 Fc Fg W m2 m1
1.00000000e+00 1.00000000e+00 4.37086107e+00 2.66619636e+00 3.35535115e+00 7.05432695e+00 6.14796290e+00 4.54271968e+00 1.73044817e+01 3.04848395e+01 6.83431259e+00 -1.46550860e+01
1.00000000e+00 1.00000000e+00 9.55642876e+00 5.87710853e+00 3.22280919e+00 8.17013257e+00 8.24889096e+00 5.26092093e+00 5.07602627e+01 3.39098887e+01 2.55147726e+00 -6.11133147e+00
1.00000000e+00 1.00000000e+00 7.58794548e+00 8.85651252e+00 9.15629122e+00 3.25421109e+00 7.84144837e+00 8.69092654e+00 1.58906202e+02 1.59153309e+02 8.85155107e+00 -5.67656258e+00
1.00000000e+00 1.00000000e+00 6.38792636e+00 7.59002398e+00 3.24591580e+00 6.62386690e+00 2.38509914e+00 4.06003947e+00 9.33866929e+00 2.63570925e+01 6.51804615e+00 -1.53628871e+01
1.00000000e+00 1.00000000e+00 2.40416776e+00 8.25905033e+00 3.44754754e+00 6.14571385e+00 2.34324523e+00 8.82684716e+00 8.09125303e+00 6.08619504e+01 2.41483495e+00 -5.10185166e+00
1.00000000e+00 1.00000000e+00 2.40395068e+00 6.92905030e+00 7.83458436e+00 8.49547339e+00 3.41356931e+00 1.79320988e+00 1.73211937e+00 2.80981081e+01 9.66104252e+00 -1.42541826e+01
1.00000000e+00 1.00000000e+00 1.52275251e+00 7.23048908e+00 5.04765858e+00 9.15478354e+00 4.24967254e+00 7.99118593e+00 5.64869266e+00 8.06735565e+01 5.66528917e+00 -1.19151904e+01
1.00000000e+00 1.00000000e+00 8.79558531e+00 8.64276086e+00 7.99039501e+00 1.10941094e+00 4.67610023e+00 8.62792870e+00 3.19862008e+02 1.37881117e+02 1.65608607e+00 -8.15687436e-01
1.00000000e+00 1.00000000e+00 6.41003511e+00 3.24701208e+00 1.58829542e+00 7.06617927e+00 7.11727495e+00 2.63635888e+00 1.70213510e+01 8.37463344e+00 6.64149614e+00 -2.54278847e+01
1.00000000e+00 1.00000000e+00 7.37265320e+00 5.40482467e+00 5.38814074e+00 1.46652219e+00 1.51012389e+00 4.87311879e+00 3.69959976e+01 5.25140998e+01 3.27879016e+00 -2.30206777e+00
1.00000000e+00 1.00000000e+00 1.18526045e+00 2.99088498e+00 1.30252240e+00 5.93972799e+00 1.31205434e+00 2.48949797e+00 6.51794714e-01 6.48525375e+00 8.23324107e+00 -3.95882542e+01
1.00000000e+00 1.00000000e+00 9.72918867e+00 9.88901207e+00 1.56387883e+00 3.58869456e+00 4.52719507e+00 7.35943716e+00 9.03262412e+01 2.30185360e+01 8.36039866e+00 -1.73146110e+01
1.00000000e+00 1.00000000e+00 8.49198377e+00 9.49653406e+00 9.15793708e+00 3.76098940e+00 7.27447323e+00 5.81812991e+00 9.55634919e+01 1.06564135e+02 9.81052620e+00 -6.98604639e+00
1.00000000e+00 1.00000000e+00 2.91105200e+00 1.35484130e+00 2.25320834e+00 4.17662653e+00 2.74091809e+00 6.71791012e+00 1.28337793e+01 3.02737022e+01 5.51682578e+00 -1.13068585e+01
1.00000000e+00 1.00000000e+00 2.63642470e+00 7.35017655e+00 5.79178614e+00 6.59163204e+00 6.77354033e+00 2.76838270e+00 7.50005183e+00 3.20677611e+01 5.09461192e+00 -6.85593662e+00
1.00000000e+00 1.00000000e+00 2.65064059e+00 9.32723486e+00 4.69986042e+00 4.00644969e+00 3.33845324e+00 2.90571276e+00 6.41784359e+00 2.73128888e+01 7.78128045e+00 -9.14206180e+00
1.00000000e+00 1.00000000e+00 3.73818019e+00 2.62517811e+00 4.12608994e+00 7.59429146e+00 8.97477498e+00 1.37347593e+00 6.06760907e+00 1.13341704e+01 2.19223591e+00 -3.93894800e+00
1.00000000e+00 1.00000000e+00 5.72280788e+00 6.11150707e+00 9.09850011e+00 4.64074647e+00 9.06120950e+00 3.89860782e+00 4.35629262e+01 7.09429673e+01 5.92223962e+00 -4.50730314e+00
1.00000000e+00 1.00000000e+00 4.88750517e+00 9.23939468e+00 1.19641057e+00 1.61517880e+00 3.67558484e+00 6.03770195e+00 6.71528958e+01 1.44471409e+01 5.91622840e+00 -6.40121889e+00
1.00000000e+00 1.00000000e+00 3.62106226e+00 1.30551381e+00 6.97410718e+00 8.05383858e+00 3.06994379e+00 8.72141423e+00 1.20378910e+01 1.21648155e+02 1.80525811e+00 -2.78871236e+00
1.00000000e+00 1.00000000e+00 6.50667605e+00 7.27678241e+00 9.67054991e+00 3.57182492e+00 4.70173575e+00 7.00234703e+00 5.99750845e+01 1.35433093e+02 4.76185677e+00 -3.56093063e+00
1.00000000e+00 1.00000000e+00 2.25544475e+00 3.67614107e+00 6.04151365e+00 4.89490192e+00 3.16478427e+00 4.91856691e+00 7.17250555e+00 5.94311783e+01 8.67956319e+00 -1.02353860e+01
1.00000000e+00 1.00000000e+00 3.62930184e+00 9.31956576e+00 9.43140216e+00 7.16899495e+00 7.05145459e+00 9.57808103e+00 3.41918055e+01 1.80669468e+02 8.70538260e+00 -9.34266422e+00
1.00000000e+00 1.00000000e+00 4.29725659e+00 9.73952421e+00 1.47032091e+00 3.99210541e+00 8.43458216e+00 7.47320681e+00 6.78515635e+01 2.19760245e+01 1.89313898e+00 -3.37165321e+00
1.00000000e+00 1.00000000e+00 5.10462986e+00 9.49839840e+00 4.76913987e+00 1.50927091e+00 7.05782918e+00 9.37148683e+00 2.23705519e+02 8.93878630e+01 1.81648794e+00 -8.11047620e-01
1.00000000e+00 1.00000000e+00 8.06658365e+00 5.26792795e+00 3.34142012e+00 4.36528942e+00 8.41915403e+00 5.74829176e+00 8.94301289e+01 3.84149155e+01 3.36425929e+00 -3.95808147e+00
1.00000000e+00 1.00000000e+00 2.79706404e+00 8.75838386e+00 7.57738868e+00 9.50003724e+00 4.57292946e+00 3.33013847e+00 4.48367264e+00 5.04675072e+01 8.87289456e+00 -1.42220148e+01
1.00000000e+00 1.00000000e+00 5.62810995e+00 8.60094459e+00 9.83167381e+00 6.77560958e+00 2.40685274e+00 1.47544018e+00 2.94975077e+00 2.90120931e+01 2.16012327e+00 -2.43653231e+00
1.00000000e+00 1.00000000e+00 6.33173112e+00 3.87190426e+00 3.30877056e+00 7.04331234e+00 7.64155853e+00 7.53476366e+00 5.17603369e+01 4.98616084e+01 7.47997122e+00 -1.53437259e+01
1.00000000e+00 1.00000000e+00 1.41805371e+00 8.46023927e+00 6.88757141e+00 6.69053938e+00 4.24427055e+00 2.09172698e+00 1.88165331e+00 2.88138379e+01 1.91049058e+00 -2.51676125e+00
1.00000000e+00 1.00000000e+00 6.46790367e+00 1.33306871e+00 2.78287869e+00 2.79092925e+00 7.04143743e+00 3.72497615e+00 6.07854361e+01 2.07323136e+01 6.60824068e+00 -5.75131788e+00
1.00000000e+00 1.00000000e+00 2.53471711e+00 6.36642891e+00 6.08797229e+00 4.76500478e+00 3.43579548e+00 5.79223817e+00 1.05861946e+01 7.05259710e+01 4.20460569e+00 -4.79998676e+00
1.00000000e+00 1.00000000e+00 1.58546434e+00 3.07007954e+00 5.17539238e+00 7.75845819e+00 1.73106671e+00 6.07974929e+00 2.15070344e+00 6.29301763e+01 8.10022567e+00 -1.55158627e+01
1.00000000e+00 1.00000000e+00 9.53996984e+00 2.08510197e+00 9.74804797e+00 1.91235608e+00 9.93323616e+00 6.40524877e+00 3.17398598e+02 1.24877345e+02 3.10321404e+00 -1.36984866e+00
1.00000000e+00 1.00000000e+00 9.69068830e+00 1.69257881e+00 6.47674545e+00 3.50067498e+00 2.40581357e+00 2.49629797e+00 1.66249837e+01 3.23357731e+01 6.75281646e+00 -6.39920903e+00
1.00000000e+00 1.00000000e+00 8.27557613e+00 7.26659898e+00 4.14555735e+00 3.48687198e+00 9.89578895e+00 4.41763664e+00 1.03753475e+02 3.66271321e+01 3.12114281e+00 -2.32319088e+00
1.00000000e+00 1.00000000e+00 3.74152392e+00 4.05887467e+00 2.02686206e+00 4.88817035e+00 9.79551939e+00 6.55474804e+00 4.91457159e+01 2.65711403e+01 7.42294255e+00 -1.26448435e+01
1.00000000e+00 1.00000000e+00 1.87904903e+00 7.52290094e+00 2.36122146e+00 9.82331867e+00 8.14436294e+00 9.72836978e+00 1.51557372e+01 4.59416710e+01 8.86310231e+00 -3.36617607e+01
1.00000000e+00 1.00000000e+00 7.15809724e+00 1.58820707e+00 3.02785237e+00 1.60752292e+00 6.93480666e+00 7.54868024e+00 2.33101896e+02 4.57125787e+01 2.14121619e+00 -9.81377864e-01
1.00000000e+00 1.00000000e+00 4.96137244e+00 3.83761304e+00 3.25869995e+00 5.66830895e+00 6.20026345e+00 9.30343381e+00 5.04895770e+01 6.06341986e+01 8.79936120e+00 -1.55200381e+01
1.00000000e+00 1.00000000e+00 2.09834411e+00 5.85542163e+00 8.65554452e+00 2.61428214e+00 8.79491391e+00 7.85990852e+00 5.54847124e+01 1.36063576e+02 6.34217729e+00 -3.47557729e+00
1.00000000e+00 1.00000000e+00 5.45659219e+00 8.11650848e+00 6.05100509e+00 9.73608891e+00 3.60495569e+00 6.32545272e+00 1.27799311e+01 7.65506933e+01 2.14399442e+00 -4.20236460e+00
