G	c	dx1dt	d2x1dt2	dx2dt	d2	d1	Fc	Fg	W	m2	m1
1.000000000000000000e+00	1.000000000000000000e+00	4.633015611544486489e+00	2.681357189359989679e+00	3.265870279217852445e+00	6.883502915097724717e+00	6.168726755396424011e+00	4.284406722571052484e+00	1.736137921260883132e+01	3.189330501622983860e+01	6.814079551759095743e+00	-1.368928792708802433e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.452487823713097370e+00	5.527904358124086315e+00	2.971996442030820251e+00	8.392260748119850788e+00	8.142713016237127732e+00	5.742216019987103515e+00	4.893943491281031299e+01	2.572269118683482247e+01	2.525837854213339728e+00	-6.164011993916957088e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.550733489384989561e+00	8.984575653095609127e+00	9.354434351905439371e+00	3.395833775045566938e+00	7.596082644131248784e+00	8.296162260081180406e+00	1.591696750404915122e+02	1.618862165188342885e+02	9.362632128181729740e+00	-6.121788971461150197e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.091875979834694199e+00	7.117984703681791814e+00	3.221303593810572075e+00	6.440180517566400198e+00	2.280383868036645723e+00	4.026788265284423574e+00	6.945335923104295262e+00	2.877291280629147252e+01	6.266257324826442598e+00	-1.438213731687931585e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.945996089477473934e+00	8.165537630734945651e+00	3.677260128086336177e+00	6.363783397589688917e+00	1.711017098202794129e+00	8.874430356776025874e+00	6.529999453927091579e+00	5.976942022458586479e+01	1.779936190393361706e+00	-5.411269983394284999e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.395409592964930390e+00	6.982200811454434941e+00	7.932023989901360927e+00	8.450996843870115072e+00	3.207242008029061786e+00	1.551095983898048258e+00	3.321684580205483961e+00	2.214501938759086030e+01	9.747383886685291543e+00	-1.458017624108655319e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.264049034539498795e+00	7.891732529176467281e+00	4.828721417343476929e+00	9.391684546460384198e+00	3.950230151658970623e+00	7.820775740083433902e+00	4.746470973527344484e+00	8.140472075183819811e+01	5.991949707937195946e+00	-1.214794329823086727e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.046666025211401063e+00	8.731367637052741770e+00	8.287000979568126979e+00	1.640182284228187459e+00	4.599865824935446490e+00	8.846451626193452711e+00	3.217706936980951014e+02	1.388661408673458482e+02	1.715895528567869643e+00	-7.462054342117734329e-01
1.000000000000000000e+00	1.000000000000000000e+00	6.333970994926795051e+00	3.285825513648859442e+00	1.347775052721286615e+00	7.106995820470665137e+00	6.496380130213753823e+00	3.031790623193193479e+00	1.670192096291146910e+01	7.046384877577574812e+00	6.778089970477068071e+00	-2.503500659510229198e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.456162480656893798e+00	5.387291710400706535e+00	5.560782426079446061e+00	1.390430369611932448e+00	1.562113031448890910e+00	4.293062093503801080e+00	3.414760449162358213e+01	5.307708036632327975e+01	3.483432866541011474e+00	-3.420013183040826910e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.555334045909417817e+00	2.617571943543568480e+00	1.656352898060207579e+00	6.224351410429409093e+00	1.559733405870137313e+00	2.538938436287387912e+00	3.083023618482753747e+00	9.717316558618422917e+00	8.263407659469349298e+00	-3.919721665579248793e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.327244847490439028e+00	9.912885195753197820e+00	1.457698896005978018e+00	3.966724956627352139e+00	4.495249708561997792e+00	7.328355505676974246e+00	8.758920436462209125e+01	3.024810283230959129e+01	8.511708201773684479e+00	-1.754865712572886594e+01
1.000000000000000000e+00	1.000000000000000000e+00	8.295891110047316275e+00	9.525151677548125306e+00	9.477087007477404512e+00	3.521919166899499132e+00	7.410317897446414115e+00	5.847589699076899628e+00	9.431124380917252381e+01	1.070071132275391363e+02	9.957294688655265347e+00	-7.160312061340674106e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.960001903277911683e+00	1.085415304121849500e+00	2.362983420104185051e+00	4.054025191035004916e+00	2.601277258547491478e+00	6.631018218463211156e+00	1.241822930865752106e+01	3.128059663484264874e+01	4.984106917930214209e+00	-1.058294695950899289e+01
