G	c	dx1dt	d2x1dt2	dx2dt	d1	m1	m2	Fc	Fg	W	d2
1.000000000000000000e+00	1.000000000000000000e+00	5.252380201078132416e+00	2.632427271683975167e+00	2.572489539789620139e+00	5.852929117502649881e+00	2.860469888301566854e+01	6.850914219928359472e+00	4.976949823492048175e+00	8.547166074696614047e+00	2.985187640268504765e+02	2.675645257852114867e+01
1.000000000000000000e+00	1.000000000000000000e+00	8.994675304849749864e+00	5.891207168554923435e+00	3.666963541149435901e+00	7.963446044200393814e+00	7.789621752497380669e+01	8.857241714064956639e+00	5.329865320369070680e+00	9.568426709796248986e+00	2.022985338465806535e+03	9.223791122340392690e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.252349040781338019e+00	9.721590326281543071e+00	8.746355247348317263e+00	3.390671073284750037e+00	2.531882619794879830e+01	7.992590570380524007e+00	8.477836797288057724e+00	3.092906152643809747e+01	2.456134404010465914e+03	9.478050053516352591e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.000011974016973504e+00	7.852756924629576751e+00	2.797819777086399728e+00	6.978760001581680861e+00	4.367816647234697314e+01	2.709399869154095697e+00	3.754450219014993984e+00	6.980218176797691854e+00	5.477352991199107919e+02	4.750340127855254480e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.572036631583505706e+00	8.317545234840025614e+00	2.949631770553813759e+00	5.408231269664479868e+00	1.917529785709265866e+01	1.821870313546329667e+00	8.247042017598657182e+00	9.746644793745261381e+00	5.398460444910276692e+02	4.789305438817686422e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.434329674628374907e+00	7.295788489635621765e+00	8.470143094671362505e+00	7.767190817703647276e+00	2.413551123862448478e+01	3.371306725571558083e+00	1.572232117562918141e+00	7.786015938016689120e+00	1.685514777101386244e+03	7.986088961928013532e+02
1.000000000000000000e+00	1.000000000000000000e+00	1.631035581770590159e+00	7.597267374696504483e+00	5.164732397241413864e+00	8.868995967121872326e+00	1.451733628576462820e+01	4.436319198380143547e+00	7.658512551046036343e+00	9.069637187238969389e+00	1.062525531207038739e+03	2.191969656073306680e+02
1.000000000000000000e+00	1.000000000000000000e+00	8.318973524665199903e+00	9.169034260273203785e+00	8.179524494845653138e+00	1.111220335234256007e+00	9.637169238587190989e+00	3.813992146254843618e+00	9.506583697487789308e+00	4.079176281258106940e+01	5.486392434988380273e+02	2.590848542387338682e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.213707154948492573e+00	2.825930472969330420e+00	1.969041554931522775e+00	7.612270622971314182e+00	4.644675942410137992e+01	7.351178909100450021e+00	2.061990030448611844e+00	2.363694512334229447e+00	7.265586394761252222e+02	5.331523740886346729e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.126909958889775965e+00	5.137499511757472881e+00	5.364745209569307782e+00	1.855052091484414856e+00	9.042225054736050538e+00	9.876379542188929994e-01	5.442234361936817422e+00	8.782712432620613185e+00	2.418275731493738760e+02	1.764721553419303035e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.828020824758155083e+00	2.538290297361574410e+00	1.861693680433464504e+00	5.740608791589111526e+00	9.891911541077561765e+00	8.492904208969760393e-01	2.342612104229090164e+00	5.901678450082332716e-01	-3.659178201295806332e+01	-7.694298174902360898e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.142817415764783817e+01	1.031555197377842070e+01	9.030458316716563072e-01	3.783660147696235487e+00	3.432299193511442326e+01	4.238787045467149461e+00	7.246162372559552090e+00	9.619672397820355769e+00	3.590872994792377995e+02	8.212186809119845776e-01
1.000000000000000000e+00	1.000000000000000000e+00	8.019307313345253263e+00	9.895896863649646491e+00	8.558502721029334737e+00	3.304349940874462987e+00	3.336676351818695707e+01	7.257856407828957579e+00	6.038228934048076368e+00	2.467740013801253340e+01	3.017403344240131446e+03	1.353959655176434467e+02
1.000000000000000000e+00	1.000000000000000000e+00	3.096361286816243119e+00	6.465164597075199193e-01	1.623315192884680513e+00	4.216872678695136045e+00	1.714387442161725161e+01	2.017547853600729191e+00	5.939674828114747562e+00	8.242403766080895977e+00	1.396707661652579588e+02	-8.175884797022977324e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.565196744687734398e+00	7.567605712432913911e+00	6.024616790686194712e+00	6.557839967923939639e+00	1.898698569165798133e+01	7.240149567776065886e+00	2.329501945780887429e+00	6.860556759475295863e+00	3.059691211290647971e+03	5.748858038770976009e+02
1.000000000000000000e+00	1.000000000000000000e+00	3.749816437686273041e+00	1.009062993275299291e+01	4.979486624955653085e+00	4.766651241189309829e+00	1.129099492404428773e+01	3.435092030686730524e+00	2.224801634848715182e+00	6.191523180623376810e+00	9.613778923775248586e+02	1.661227267375389260e+02
1.000000000000000000e+00	1.000000000000000000e+00	3.586281612802257879e+00	2.494258897854792156e+00	3.865146607157690983e+00	7.861471356407803590e+00	2.688325358042929025e+01	1.002330102940422840e+01	1.164859365100241018e+00	7.379111878551972481e+00	2.168791628185413174e+03	3.484790339652094531e+02
1.000000000000000000e+00	1.000000000000000000e+00	5.857407391700071742e+00	6.286175292308112006e+00	8.970155753462224268e+00	4.223491587024232885e+00	2.633090820390704678e+01	9.224661760795850540e+00	3.399806963100098667e+00	2.120476342088799626e+01	3.876199463131730681e+03	2.900213372769384819e+02
1.000000000000000000e+00	1.000000000000000000e+00	5.010293314295051204e+00	9.645775253538188210e+00	1.896594967934400522e+00	1.203461919286135995e+00	4.588334237198804288e+00	3.986499446686304626e+00	6.760310458679285261e+00	7.688665360863564224e+00	2.748859631131125525e+02	7.655511043022997342e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.566723343583837469e+00	5.708666941940705453e-01	6.590663711266993019e+00	7.873523627992289775e+00	3.071504149591729416e+01	2.604848371722424893e+00	8.401381476493492428e+00	9.347867315467182081e+00	2.637822070095159006e+02	1.496259768269851165e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.915561795791972166e+00	7.361335790008674884e+00	9.833677602530713102e+00	2.724920737064966847e+00	1.702980373189469177e+01	4.058009841294668796e+00	5.697461303360167761e+00	1.916463788016210756e+01	7.990466610184248566e+02	6.852483842662722680e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.305993767687504192e+00	4.383839119113778438e+00	5.662885240822298272e+00	4.770383253656615530e+00	1.385820407397304699e+01	3.502035384269790885e+00	4.735091047822415966e+00	7.881654403565233835e+00	3.784788742194514839e+02	8.067902550970298137e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.890094888881145074e+00	8.989554456216186651e+00	1.003656099136045476e+01	7.091226826421213936e+00	2.814761556261165865e+01	6.455945241489177810e+00	1.002106564117720566e+01	1.873891231282645720e+01	2.945078569422537839e+03	3.137475937851143613e+02
1.000000000000000000e+00	1.000000000000000000e+00	4.412864973763254817e+00	1.020263809030489277e+01	1.817315950501080080e+00	4.244653924397982614e+00	1.744080666490623699e+01	8.784194230944141424e+00	8.367601492940487162e+00	1.121915775242593227e+01	1.392210434416313774e+03	5.591067027806101919e+01
1.000000000000000000e+00	1.000000000000000000e+00	4.777435363843589577e+00	9.513508825083935250e+00	3.996704206078535826e+00	1.840637344133535303e+00	6.153212091444648202e+00	7.987364169551832482e+00	9.245582709233028496e+00	3.129434123942283463e+01	1.149140532356192807e+03	3.861580011211754737e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.921013072889146578e+00	4.892690512409336279e+00	3.197414879432005641e+00	4.418836586019414980e+00	3.516565659475027417e+01	8.934309306236238868e+00	5.464711057661976845e+00	1.244081405141278829e+01	1.258030654378211239e+03	4.015190897837074147e+01
