G	c	dx1dt	d2x1dt2	dx2dt	m2	Fc	W	Fg	d2	d1	m1
1.000000000000000000e+00	1.000000000000000000e+00	5.252380201078132416e+00	2.632427271683975167e+00	2.572489539789620139e+00	5.852929117502649881e+00	1.650463434703070575e+01	6.850914219928359472e+00	1.283348324389170347e+00	4.984221297463622413e+00	-3.595621354146561810e+00	-4.152248174808518399e+01
1.000000000000000000e+00	1.000000000000000000e+00	8.994675304849749864e+00	5.891207168554923435e+00	3.666963541149435901e+00	7.963446044200393814e+00	4.782960628339194642e+01	8.857241714064956639e+00	1.600391585659836746e+00	5.691561656649930079e+00	-2.883634069098344632e+00	-2.968299541146700449e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.252349040781338019e+00	9.721590326281543071e+00	8.746355247348317263e+00	3.390671073284750037e+00	2.946802265188588166e+01	7.992590570380524007e+00	9.182773774338524042e-01	8.762391667984221755e+00	-6.300382043207655158e-01	3.125819529046787171e-01
1.000000000000000000e+00	1.000000000000000000e+00	6.000011974016973504e+00	7.852756924629576751e+00	2.797819777086399728e+00	6.978760001581680861e+00	5.168652640645993301e+01	2.709399869154095697e+00	7.564894155574420909e-01	4.775874109240825227e+00	-3.082198735047905647e+00	-3.160509961004142099e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.572036631583505706e+00	8.317545234840025614e+00	2.949631770553813759e+00	5.408231269664479868e+00	5.530540234555559920e+01	1.821870313546329667e+00	2.113719134884907369e+00	8.665529983993357277e+00	-1.120225147908680885e+00	-3.087404127896675732e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.434329674628374907e+00	7.295788489635621765e+00	8.470143094671362505e+00	7.767190817703647276e+00	6.270298384546781989e+01	3.371306725571558083e+00	1.171552447395808105e+00	2.955935558378924632e+00	-9.376448545547106050e+00	-2.255439504559596458e+02
1.000000000000000000e+00	1.000000000000000000e+00	1.631035581770590159e+00	7.597267374696504483e+00	5.164732397241413864e+00	8.868995967121872326e+00	6.678978995530630414e+01	4.436319198380143547e+00	3.870721101611100057e+00	7.474282683136941330e+00	-2.313488825811925942e+00	-1.008432874016194170e+01
1.000000000000000000e+00	1.000000000000000000e+00	8.318973524665199903e+00	9.169034260273203785e+00	8.179524494845653138e+00	1.111220335234256007e+00	9.463571534833770116e+00	3.813992146254843618e+00	9.102683815142449397e-01	8.008634615447688176e+00	-4.721445512091257957e-01	3.430325764018645973e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.213707154948492573e+00	2.825930472969330420e+00	1.969041554931522775e+00	7.612270622971314182e+00	2.413494523108961332e+01	7.351178909100450021e+00	2.050764770554502459e+00	1.871050885765000338e+00	-5.347556266779140977e+00	-2.455877079954289570e+02
1.000000000000000000e+00	1.000000000000000000e+00	7.126909958889775965e+00	5.137499511757472881e+00	5.364745209569307782e+00	1.855052091484414856e+00	6.096958437438853906e+00	9.876379542188929994e-01	4.225889791163197629e-01	4.203329326957748968e+00	-2.723948795446722304e-01	1.456305682492762710e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.828020824758155083e+00	2.538290297361574410e+00	1.861693680433464504e+00	5.740608791589111526e+00	2.071254160325248961e+01	8.492904208969760393e-01	2.485825951877146611e+00	1.595603966449386846e+00	-4.827224371845741935e+00	-6.785193096660033518e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.142817415764783817e+01	1.031555197377842070e+01	9.030458316716563072e-01	3.783660147696235487e+00	3.487667738828998409e+01	4.238787045467149461e+00	2.899188374379443989e+00	7.476894376180667656e+00	-1.452429819718029869e+00	-6.690853888131206517e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.019307313345253263e+00	9.895896863649646491e+00	8.558502721029334737e+00	3.304349940874462987e+00	3.719280984835820192e+01	7.257856407828957579e+00	9.722718433694340634e-01	6.286551999759048215e+00	-1.551310652316831851e+00	-5.571204564557552530e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.096361286816243119e+00	6.465164597075199193e-01	1.623315192884680513e+00	4.216872678695136045e+00	1.081148655537616499e+01	2.017547853600729191e+00	2.692425236886643591e-01	6.736638519583432405e+00	-1.048780967091010430e+00	-9.432116903083215931e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.565196744687734398e+00	7.567605712432913911e+00	6.024616790686194712e+00	6.557839967923939639e+00	5.011229262054177269e+01	7.240149567776065886e+00	3.093070220670788295e+00	2.008387116431991526e+00	-4.763691528800887198e+00	-5.464705042603855389e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.749816437686273041e+00	1.009062993275299291e+01	4.979486624955653085e+00	4.766651241189309829e+00	3.806296529207061496e+01	3.435092030686730524e+00	2.239774459595319289e+00	2.648038122639092773e+00	-2.548393189672978121e+00	-1.924279132032630102e+01
