G	c	dx1dt	d2x1dt2	dx2dt	d2	W	Fg	m1	m2	d1	Fc
1.000000000000000000e+00	1.000000000000000000e+00	4.345045662699655864e+00	2.654209054682398428e+00	3.359308194072583298e+00	7.079414964411044231e+00	6.178494638128571026e+00	9.392503290811706762e+00	4.616981282281581223e+00	6.853816795229035641e+00	2.450954228299280224e+00	-2.504021827430783276e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.593603040617928457e+00	5.908427938709570171e+00	3.261274753980143881e+00	8.174067523532078994e+00	8.196905068580001341e+00	8.636219092420674315e+00	5.260937660889593026e+00	2.553362765493986775e+00	4.307444283422939835e-01	-3.829512150698683115e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.625601392003412471e+00	8.848468932944843601e+00	9.191482529656340716e+00	3.252267617976704273e+00	7.776353498999932334e+00	2.490266476043716182e+01	8.694258633418957771e+00	8.835031101951654975e+00	4.373269478580743552e-01	-2.406503314569648833e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.398287795119775190e+00	7.691460278875307033e+00	3.255277230663229382e+00	6.642557688934007665e+00	2.388014034642587102e+00	9.137290997177897722e+00	4.017930484268439351e+00	6.581833220390882033e+00	1.697118390869020166e+00	-3.176304829982882438e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.404542547298883282e+00	8.263540560326573470e+00	3.454192842949770803e+00	6.120360377167310517e+00	2.346736863317396171e+00	9.844524128735313795e+00	8.797075804107748809e+00	2.365673012028348676e+00	7.159705507869457142e-01	-3.783776452704016968e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.353971838175537012e+00	7.059268344472013013e+00	7.874365479205836849e+00	8.539946370483171734e+00	3.405547599218369914e+00	2.303988443913180006e+01	1.770807793049666623e+00	9.675996588939504761e+00	1.903112540492956128e+01	2.144340379325302592e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.399261908762952311e+00	7.250072033058011733e+00	5.000250440493375415e+00	9.096543276953100943e+00	4.233904537139117963e+00	1.480284845509288694e+01	8.070348225223421323e+00	5.744419700694392894e+00	4.235865313033868595e+00	-9.419825512692850955e-01
1.000000000000000000e+00	1.000000000000000000e+00	8.735408514359917831e+00	8.630873666205525652e+00	8.084015485259438805e+00	1.087137254395618369e+00	4.769285295350038645e+00	1.958664811306648801e+01	8.623985739033633635e+00	1.617647404199118455e+00	1.630521899479006609e-02	-3.507716133236827627e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.388910643488626917e+00	3.196974388222201924e+00	1.475257998261768844e+00	7.099260737221435136e+00	7.140480310446581491e+00	3.992755485297370566e+00	2.563822086363942265e+00	6.625346197016385830e+00	2.784935991782206521e+00	-2.827067667771122395e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.432049106659058602e+00	5.324554531377150290e+00	5.468503380012596615e+00	1.405194990132433208e+00	1.617465715321025899e+00	1.493236462832980926e+01	4.887127989874214151e+00	3.406369558110339035e+00	1.452111787242057472e-01	-3.520222996475930621e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.179678840620538960e+00	2.935729501582681866e+00	1.300027412576123087e+00	5.854575132042141306e+00	1.381174203843947623e+00	4.039452768002711913e+00	2.534829736885894302e+00	8.259046898165847139e+00	1.659929713025317710e+01	9.033745146947635973e-01
1.000000000000000000e+00	1.000000000000000000e+00	9.701097394406897223e+00	9.840078201065431074e+00	1.619237793704127126e+00	3.592109191383432432e+00	4.619971349988984066e+00	3.691211137742389514e+00	7.358043046436238299e+00	8.332862633165413868e+00	3.981780257366590581e-01	-3.089263178966584977e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.443760884915374021e+00	9.518498512653774668e+00	9.178027080924996639e+00	3.669153751088829463e+00	7.215947802878273976e+00	2.556097995212628149e+01	5.898733609803107569e+00	9.854187217589837289e+00	7.384306038177441689e-01	-1.649583353582672496e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.946600360837056787e+00	1.325569900923929900e+00	2.272315154361615352e+00	4.106317417522418189e+00	2.773227804856023937e+00	5.854058669389504033e+00	6.760565648132291550e+00	5.485922743135969171e+00	1.155799796927275080e+00	-3.179586083461501733e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.709943186898110756e+00	7.360575593065892264e+00	5.822390140783213930e+00	6.632589320115219955e+00	6.750022288750923138e+00	1.633937531178927571e+01	2.710825605222531465e+00	5.009483943528544536e+00	4.575607622577687827e+00	1.473496012647739883e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.708197017070309798e+00	9.398553312935060688e+00	4.744533578572236898e+00	3.995363895180734204e+00	3.247849432404991799e+00	1.320777808239491158e+01	2.875460161112637358e+00	7.855934023293728252e+00	4.035731074999834078e+00	2.477357416367131027e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.770986884631785774e+00	2.620293194640144652e+00	4.107933047616258548e+00	7.663879694689988753e+00	9.056261493274563534e+00	1.100367661287774013e+01	1.385887111917115444e+00	2.132231917687144485e+00	3.249582471359853564e+00	-1.678275198792972267e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.642943158818672700e+00	6.227173795348871721e+00	9.155638112074662160e+00	4.575525346491900791e+00	9.045212221129487418e+00	2.538700065205177125e+01	3.807197672552654399e+00	6.055607382084445156e+00	1.246536004406933795e+00	-8.281724542398993805e-01
1.000000000000000000e+00	1.000000000000000000e+00	4.868471473374500924e+00	9.173982483879635552e+00	1.136529881166755018e+00	1.610092805723061460e+00	3.618114003874509432e+00	1.188953197358943781e+00	6.056155087414038185e+00	5.889609797491097254e+00	3.057577028547966980e-01	-1.508412766916628289e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.726456381646557681e+00	1.297136612675341860e+00	6.973812844316114479e+00	8.075469592024985488e+00	3.047362712343723246e+00	2.043297044960949549e+01	8.624770640099782781e+00	1.921303005968998834e+00	4.449677306060383364e-01	-3.839039236939430833e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.567399477224184601e+00	7.246779592098680389e+00	9.716709256155551699e+00	3.508460552369207619e+00	4.658365836840515861e+00	2.766449091609300126e+01	7.058494435673138945e+00	4.687404081060385863e+00	3.394023242185711942e-01	-2.849678617386606660e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.172230325252923144e+00	3.728240391070931636e+00	6.096455053458181617e+00	4.950755065433147806e+00	3.126998903098987537e+00	1.739100368383820339e+01	4.968341581093262072e+00	8.735347780427858311e+00	3.833838880109577296e+00	2.501672172300602792e+00
