G	c	dx1dt	d2x1dt2	dx2dt	d1	d2	m1	Fc	Fg	m2	W
1.000000000000000000e+00	1.000000000000000000e+00	4.633015611544486489e+00	2.681357189359989679e+00	3.265870279217852445e+00	6.883502915097724717e+00	9.217620522106157566e+00	5.891497177301700638e+00	4.550220109965910531e+00	6.961354728705860140e+00	2.857572726849952005e+00	4.143934466806685535e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.452487823713097370e+00	5.527904358124086315e+00	2.971996442030820251e+00	8.392260748119850788e+00	2.408188596108313817e+01	8.726744236557518519e+00	5.020893015393417258e+00	1.813000477931540289e+00	1.238057718498765780e+01	4.254312109122428964e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.550733489384989561e+00	8.984575653095609127e+00	9.354434351905439371e+00	3.395833775045566938e+00	2.362692019819491840e+00	7.449507108699926938e+00	8.725658481652667220e+00	9.098056513035194470e+00	8.523043031253569879e+00	3.529258561899000224e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.091875979834694199e+00	7.117984703681791814e+00	3.221303593810572075e+00	6.440180517566400198e+00	1.289310450101162253e+01	2.352085719640259587e+00	3.744541858937630696e+00	6.735950653094864293e+00	3.124492511288639029e+00	2.135368960543449823e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.945996089477473934e+00	8.165537630734945651e+00	3.677260128086336177e+00	6.363783397589688917e+00	3.424836500872525669e+00	2.390488152193771310e+00	8.621037229663182089e+00	2.316289853591227743e+00	2.691056787111882898e+00	1.150054217198187789e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.395409592964930390e+00	6.982200811454434941e+00	7.932023989901360927e+00	8.450996843870115072e+00	2.325778088473354988e+00	3.173186806709712648e+00	2.002751949393435371e+00	9.124080050407838982e+00	4.232227275673372091e+00	1.691810174757251151e-01
1.000000000000000000e+00	1.000000000000000000e+00	1.264049034539498795e+00	7.891732529176467281e+00	4.828721417343476929e+00	9.391684546460384198e+00	2.354014778754407455e+00	4.080480978929633906e+00	7.872251898214870813e+00	5.731239432344680473e+00	4.886940489807402699e+00	7.401750016752937089e-01
1.000000000000000000e+00	1.000000000000000000e+00	9.046666025211401063e+00	8.731367637052741770e+00	8.287000979568126979e+00	1.640182284228187459e+00	1.117396611823349151e+00	4.893060465948545712e+00	8.879538353025052899e+00	1.744934208163089639e+00	7.930499868145433062e+00	4.420486746426039559e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.333970994926795051e+00	3.285825513648859442e+00	1.347775052721286615e+00	7.106995820470665137e+00	2.767217184478341707e+01	7.509878901444386301e+00	2.594250490505680240e+00	6.521689487896213500e+00	5.143519917219404824e+00	2.773258140017752726e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.456162480656893798e+00	5.387291710400706535e+00	5.560782426079446061e+00	1.390430369611932448e+00	2.077453025515978435e+00	9.342152660053810731e-01	4.497633605407895807e+00	3.329570427156980816e+00	2.244857880790196880e+00	2.837106042535790351e+00
