G	c	dx1dt	d2x1dt2	dx2dt	d2x2dt2	d1	d2	m1	Fc	W	m2	Fg
1.000000000000000000e+00	1.000000000000000000e+00	4.629302474423911740e+00	2.370699739312849275e+00	3.949354150846201783e+00	7.040814096632677099e+00	6.129453521159459406e+00	1.806299404108852036e+00	4.244560773150163335e+00	6.745075572639234629e+00	1.199057109231315366e+00	1.450283428163185420e+02	1.257803156467805508e+02
1.000000000000000000e+00	1.000000000000000000e+00	9.706536727141150678e+00	5.992986801803766639e+00	3.131759590892654099e+00	8.562265066812367209e+00	8.367745723827281878e+00	2.481602939432054900e+00	5.623384943225475219e+00	2.414682079963405670e+00	2.504087912687833040e+00	4.238192769829333884e+01	5.367017248238258276e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.736324742773260432e+00	9.531454682977139825e+00	8.885044532352530666e+00	2.387165469284266983e+00	7.897061018674393473e+00	7.295427599302624078e-01	8.409669395616944598e+00	8.952850838721406745e+00	8.131309921519523698e+00	7.310088948639764794e+01	2.122396871079384439e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.298100110689214937e+00	7.928795872065919070e+00	3.366929814024524070e+00	6.960220047928677545e+00	2.305301188903738030e+00	8.734464743032501755e-01	3.716749806315229332e+00	6.483001869044376697e+00	7.677665170001898964e+00	7.520984135406070692e+00	1.379820183950371515e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.680440664052745170e+00	8.697789803598476865e+00	3.584756638081188829e+00	6.394787423233350587e+00	2.841915211644484351e+00	6.831382645294592493e-01	8.781168121247066694e+00	2.211278868576548540e+00	4.156125846579678651e+00	1.175817167706618172e+01	-7.528807806424295812e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.307565464767649566e+00	7.023547571733995909e+00	7.814216957687353471e+00	7.998575157310193084e+00	3.520686452875811057e+00	6.187035563034674057e-01	1.442287036924659427e+00	9.693425062216002530e+00	4.768871594920836010e+00	1.518820322275644052e+01	1.014670511613659798e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.054635011063992600e+00	7.322974035521393255e+00	4.986848354742477341e+00	9.406311486909984865e+00	4.459899696878581565e+00	7.826426939888670997e-01	8.419640307986327343e+00	5.757661001251996424e+00	5.547458080436706851e+00	3.466798097281519375e+01	5.714497825086290561e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.737460583966752736e+00	8.355288829197055733e+00	8.252370859276940251e+00	1.395905023156521985e+00	4.968350703065066654e+00	5.549345173417568056e-01	8.564644712152107431e+00	2.159277830767097228e+00	7.006868526215651594e-01	6.402225800063281724e+01	1.397009395185241054e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.532752830851846326e+00	3.511768796202549225e+00	1.352631842063758194e+00	7.218231103676568949e+00	7.299243692956877361e+00	4.426324308097480120e+00	1.752763579987955955e+00	6.660025785146042487e+00	3.011099846017126325e+00	3.956778515684280961e+01	1.835084037721876769e+02
1.000000000000000000e+00	1.000000000000000000e+00	6.937875459762010699e+00	5.384468609548628493e+00	5.294009462549668754e+00	1.044525906966250250e+00	2.071931062110187405e+00	2.350206251420002002e-01	4.927966472083626037e+00	3.281512320016656048e+00	2.964212340659272193e+00	9.400102488818275148e+00	3.425958786874606865e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.457380777874639932e-01	3.183573884766340178e+00	1.158365920618600775e+00	6.124500762420490574e+00	1.357265882658931888e+00	1.069008229641018604e+00	2.641329654890850698e+00	8.349760770095764784e+00	3.581158243407409181e+00	7.987300177601524886e+00	1.121897449507719813e+01
