G	c	dx1dt	d2x1dt2	dx2dt	d2x2dt2	m1	m2	d2	d1	Fc	W	Fg
1.000000000000000000e+00	1.000000000000000000e+00	4.376050480105588392e+00	2.663655680038583995e+00	3.351366896968903220e+00	7.057219572076340874e+00	6.158244695692650872e+00	5.622243481917425179e+00	4.549825098561659509e+00	5.347306417078061536e+00	6.842338735214126721e+00	1.351982686206623097e+00	-1.647719395840737899e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.562532146658343279e+00	5.878994403714364658e+00	3.223575904624613297e+00	8.160559473385012197e+00	8.243633489208592735e+00	3.440447213550578365e+00	5.263142511319516714e+00	1.244949387770861371e+01	2.543607220274156866e+00	2.679464307947452273e+00	-1.984299898427674069e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.577405860840228158e+00	8.859050706963932598e+00	9.160882466994927142e+00	3.259598306187190708e+00	7.842748763041559101e+00	4.128038730359855357e+00	8.686325512904518931e+00	6.572177545774894725e+01	8.849729976913222274e+00	8.484217925598203536e+00	-1.816600732752224090e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.393222075968081342e+00	7.573086081477681475e+00	3.250322580663896233e+00	6.628941221729101052e+00	2.378160614452956789e+00	1.490408960055636944e+00	4.056303881325618477e+00	1.706508697643991468e+01	6.514259426697264210e+00	7.895690987161854579e+00	-3.448265894490273098e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.399780928618334030e+00	8.264733845810601665e+00	3.439683782784355159e+00	6.150207825175903587e+00	2.343325267972913295e+00	3.897245919891846544e+00	8.830588698273093229e+00	3.894277527613851930e+01	2.408527332221137573e+00	4.156170801915128443e+00	-2.580687381012259696e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.408588896394383561e+00	6.937041039083749361e+00	7.845139582574477188e+00	8.497491725068099910e+00	3.415672738796523777e+00	5.673565532359953423e+00	1.798925014361009600e+00	4.688275070466970007e+00	9.659519249903276261e+00	4.395540804832704040e+00	-7.484255991332584124e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.522382056433097430e+00	7.224646728729810619e+00	5.044118290683420547e+00	9.155975507423443460e+00	4.248829949825195129e+00	1.116036771395567406e+01	7.994212547278721104e+00	1.915289973793766976e+01	5.660588264393029867e+00	5.785462262805141087e+00	-2.917714783529482769e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.795741052243878144e+00	8.637351813432520231e+00	7.988931413453061126e+00	1.114999651401896497e+00	4.679988683247164438e+00	2.120192693236973902e+00	8.638335373874545198e+00	1.917960301030954611e+02	1.656154907495335893e+00	9.997802646249689396e-01	-7.938384480214685235e-01
1.000000000000000000e+00	1.000000000000000000e+00	6.409033304329875058e+00	3.244507250278414023e+00	1.583311277167616771e+00	7.076591970652854613e+00	7.117814276548012131e+00	4.440623781929809333e+00	2.645328824270795298e+00	4.021776754270629972e+00	6.641643977801026111e+00	3.171078070102508306e+00	-4.740376875377384280e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.379213617776896328e+00	5.400618901894805646e+00	5.403039971558833088e+00	1.461363024171929759e+00	1.507278324190710395e+00	8.132630135260958681e-01	4.875538392154016520e+00	4.542175915762173588e+01	3.275410252394462596e+00	2.873037809919602559e+00	-1.151917117630005016e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.178551416668409457e+00	2.992130720075585337e+00	1.303859029888169152e+00	5.945564287527935754e+00	1.308966937387141760e+00	4.423117771974474088e+00	2.484897365219928211e+00	3.875993329532695597e+00	8.231225559018513493e+00	3.262129389796973200e+00	-6.070743124950958247e+00
