G c dx1dt d2x1dt2 dx2dt d2x2dt2 m1 W d1 m2 Fc Fg d2
1.00000000e+00 1.00000000e+00 4.37086107e+00 2.66619636e+00 3.35535115e+00 7.05432695e+00 6.14796290e+00 4.54271968e+00 3.49146636e-02 -8.00866749e+00 6.83431259e+00 3.85550375e+00 -3.37839364e-02
1.00000000e+00 1.00000000e+00 9.55642876e+00 5.87710853e+00 3.22280919e+00 8.17013257e+00 8.24889096e+00 5.26092093e+00 2.60205129e-02 -2.44600081e+01 2.55147726e+00 1.43730990e+00 1.06924280e-02
1.00000000e+00 1.00000000e+00 7.58794548e+00 8.85651252e+00 9.15629122e+00 3.25421109e+00 7.84144837e+00 8.69092654e+00 1.13527955e-01 -6.49831697e+00 8.85155107e+00 -6.24140551e+00 9.91970809e-01
1.00000000e+00 1.00000000e+00 6.38792636e+00 7.59002398e+00 3.24591580e+00 6.62386690e+00 2.38509914e+00 4.06003947e+00 8.56625441e-02 -4.69384871e+00 6.51804615e+00 4.30171765e+00 -3.31408459e-03
1.00000000e+00 1.00000000e+00 2.40416776e+00 8.25905033e+00 3.44754754e+00 6.14571385e+00 2.34324523e+00 8.82684716e+00 2.04312189e-01 -1.63407599e+00 2.41483495e+00 2.65267423e+01 4.69126678e-01
1.00000000e+00 1.00000000e+00 2.40395068e+00 6.92905030e+00 7.83458436e+00 8.49547339e+00 3.41356931e+00 1.79320988e+00 2.06116879e-02 -1.04741386e+00 9.66104252e+00 -1.13800904e+01 6.81965918e-02
1.00000000e+00 1.00000000e+00 1.52275251e+00 7.23048908e+00 5.04765858e+00 9.15478354e+00 4.24967254e+00 7.99118593e+00 6.84678096e-02 -1.28202005e+00 5.66528917e+00 -7.60420561e+00 2.60645255e-01
1.00000000e+00 1.00000000e+00 8.79558531e+00 8.64276086e+00 7.99039501e+00 1.10941094e+00 4.67610023e+00 8.62792870e+00 5.54381891e-01 -5.14730980e+00 1.65608607e+00 -2.11940170e-01 3.07618294e-01
1.00000000e+00 1.00000000e+00 6.41003511e+00 3.24701208e+00 1.58829542e+00 7.06617927e+00 7.11727495e+00 2.63635888e+00 1.74737001e-02 -2.87238645e+01 6.64149614e+00 3.48651288e+00 1.03118426e-02
1.00000000e+00 1.00000000e+00 7.37265320e+00 5.40482467e+00 5.38814074e+00 1.46652219e+00 1.51012389e+00 4.87311879e+00 7.33473667e-01 -2.06631940e+00 3.27879016e+00 -1.60760978e+00 1.94210080e-01
