G	c	dx1dt	d2x1dt2	dx2dt	d2x2dt2	m1	W	d1	m2	Fc	Fg	d2
1.000000000000000000e+00	1.000000000000000000e+00	2.949269554744754274e+00	2.250963522282682483e+00	3.579351715966657466e+00	7.811997145277723043e+00	6.135985695631902992e+00	5.339632907430694964e+00	3.776506437961382745e-02	-8.126602594911148003e+00	6.323948441196926673e+00	3.869020501846981652e+00	-4.047530556339538899e-02
1.000000000000000000e+00	1.000000000000000000e+00	9.921584219382614478e+00	4.400992411125660198e+00	3.835430112276069892e+00	8.939246752125770357e+00	9.099051218836732957e+00	5.295723356680010596e+00	3.060000368739124871e-02	-2.509342333296378769e+01	2.337894726647884447e+00	1.479004406943204231e+00	3.080539446958550226e-02
1.000000000000000000e+00	1.000000000000000000e+00	8.133749106866252632e+00	8.296517884618797467e+00	9.648391671694239946e+00	3.177008918494708123e+00	8.670140540088056014e+00	9.104066743826964014e+00	1.269147641982905361e-01	-6.850456528083262775e+00	9.264744893715567642e+00	-6.243214944587277770e+00	9.690709159302403064e-01
1.000000000000000000e+00	1.000000000000000000e+00	6.791392585740104515e+00	7.899929843944668129e+00	3.589050436939168698e+00	6.251134141750118722e+00	3.071493532008065852e+00	4.084481064579708942e+00	6.580683686526184184e-02	-4.709113594028583094e+00	5.924496008925136614e+00	4.331431014339539587e+00	-1.129757841548150940e-02
1.000000000000000000e+00	1.000000000000000000e+00	1.130427145303016134e+00	8.417023702423426457e+00	3.599162068973430273e+00	5.868183176820294555e+00	2.795347955637677462e+00	8.906530724004316113e+00	2.127371304719793133e-01	-2.326341544275991602e+00	3.894707582614413077e+00	2.653901606217097253e+01	4.498871807508355580e-01
1.000000000000000000e+00	1.000000000000000000e+00	1.723076262366565636e+00	7.466041697172095759e+00	7.513595730670381556e+00	8.720195685027086085e+00	3.586436187155313871e+00	1.173897370437505527e+00	8.025396902474418726e-03	-1.067621337000053350e+00	8.869417053586211352e+00	-1.140924534430664394e+01	4.706070750471776087e-02
1.000000000000000000e+00	1.000000000000000000e+00	1.782989032717714473e+00	7.422519152081142657e+00	4.477383065166060661e+00	8.532403973062530511e+00	4.877141378091901736e+00	7.868023831830956993e+00	6.073576255566808663e-02	-1.055438054666231640e+00	6.168825019442506274e+00	-7.577492681752604931e+00	2.522431399327014767e-01
1.000000000000000000e+00	1.000000000000000000e+00	9.761965924740298561e+00	9.052218715257829729e+00	7.332762959228524835e+00	8.637893880073793662e-01	3.580780909845354909e+00	7.643288132575813520e+00	5.558393022409264805e-01	-4.555099450373840675e+00	1.391381389882268227e+00	-1.907545321185815101e-01	2.923910458207636953e-01
1.000000000000000000e+00	1.000000000000000000e+00	6.379967675465520571e+00	3.672444413719558653e+00	1.805829875817568375e+00	7.714284999175745838e+00	7.656407272939711461e+00	2.560934617868895202e+00	2.242444490872327542e-02	-2.967112633657232834e+01	6.201490703149199035e+00	3.469501830133938647e+00	5.448272899764225463e-03
1.000000000000000000e+00	1.000000000000000000e+00	7.963416606189779756e+00	5.416215326147294284e+00	5.663273631300695499e+00	1.827504450435837535e+00	8.995182201440498071e-01	5.597318062796055038e+00	7.398414708290655950e-01	-2.544124607537585625e+00	3.571304508944401324e+00	-1.600032150650868790e+00	2.055535027755865107e-01
1.000000000000000000e+00	1.000000000000000000e+00	6.254075160613299378e-01	3.006182964984958517e+00	1.906759202610530890e+00	4.666156168681741434e+00	8.148988483337687994e-01	2.916283991550873367e+00	9.510532403324202522e-02	-7.464379385217230212e-01	7.986298417485945045e+00	4.141373983019140503e+00	1.127575040955503205e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.841292761111732901e+00	8.270766594421628426e+00	1.874047584422260604e+00	2.867282672439445790e+00	4.906222116135309896e+00	7.421018513404952444e+00	1.706266733656595369e-01	-2.929144730884958037e+01	9.226168325602076337e+00	5.250453202929862506e+00	1.037514528386510870e-01
1.000000000000000000e+00	1.000000000000000000e+00	8.343329220679809310e+00	9.131266108360318157e+00	9.738191675024344462e+00	4.929675648383204489e+00	7.780347996727558169e+00	5.707284456540966389e+00	6.585631949418049857e-02	-6.664741657204624303e+00	9.048254310995693217e+00	-1.248004850226209328e+01	2.151804817174213014e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.553812117367348478e+00	1.013595809955779137e+00	2.181125039652958009e+00	4.815170652399662465e+00	2.408813086974141981e+00	6.421480845168193952e+00	1.869511483246958927e-01	-3.519788701980509860e+00	5.822692875189015460e+00	2.699204370767023686e+00	-2.318512383051650194e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.344248597838594961e+00	7.289647341455507856e+00	6.217418487146091799e+00	6.276071653839675690e+00	7.125518269257374193e+00	2.264471480485586774e+00	5.358609509145526376e-03	-5.050215586309824367e+00	4.944896937982976581e+00	-1.023041675505499271e+01	1.532573755246239289e-01
1.000000000000000000e+00	1.000000000000000000e+00	3.558291670832195219e+00	8.809672876589100809e+00	4.146883301056256244e+00	3.200705476279288142e+00	3.645079332259461236e+00	3.354849297488515347e+00	5.591886963751391965e-02	-2.258704758251993017e+00	7.942449633782765694e+00	-2.666070148600542478e+00	1.128432711849129133e-01
1.000000000000000000e+00	1.000000000000000000e+00	3.571636686167005248e+00	3.146759573082256178e+00	4.092857409860521933e+00	6.917886376827383721e+00	8.805567030708592924e+00	5.313286305600748438e-01	-1.013106117509685045e-02	-7.879512350455841307e+00	2.471892165275046072e+00	1.317373494713352855e+00	-2.313659801117455214e-02
1.000000000000000000e+00	1.000000000000000000e+00	5.143764969864151659e+00	5.621109347445037763e+00	8.087217580206244705e+00	4.916374457917647156e+00	9.145011262147303199e+00	3.043855935048565442e+00	3.468765290802292012e-02	-5.860433201586123353e+00	4.980277317043625196e+00	-5.841023095389877540e+01	6.129620818054186682e-01
1.000000000000000000e+00	1.000000000000000000e+00	4.326623629825025574e+00	9.852695128530893243e+00	1.213850516486768560e+00	2.685364339420334368e+00	4.809031540199660171e+00	6.533848961031681668e+00	3.462748814530554053e-01	-1.537589980435456916e+01	6.043523085526992134e+00	9.096067999833731932e+00	4.474785996179924119e-01
1.000000000000000000e+00	1.000000000000000000e+00	3.284185464224782969e+00	7.708082942330187759e-01	7.650391596962792029e+00	9.089556699691586417e+00	2.916575152001810611e+00	8.835446191325026177e+00	1.071779406621725383e-01	-1.475215640364444303e+00	2.397679148739650490e+00	8.788288944940801928e-01	3.360976273028688066e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.707238537658107624e+00	6.940890305842947861e+00	9.709317784380148808e+00	2.718847206431151076e+00	4.567146030359245046e+00	7.026938997583626723e+00	1.252430514389664684e-01	-2.411584370204203243e+00	5.015561087170889998e+00	-3.816463982152154433e+00	4.607854477140839178e-01
1.000000000000000000e+00	1.000000000000000000e+00	1.925304740351355459e+00	3.297950870146092228e+00	6.440080257602020630e+00	4.734789823664779185e+00	3.246492379239191095e+00	5.032164081826105750e+00	1.032875683348663809e-01	-7.727369576735203527e-01	8.478960168024448407e+00	-4.855658834400759929e+02	3.870984400043390727e-01
