G c dx1dt d2x1dt2 dx2dt d2x2dt2 m1 Fg d1 Fc d2 W m2
1.00000000e+00 1.00000000e+00 4.37086107e+00 2.66619636e+00 3.35535115e+00 7.05432695e+00 6.14796290e+00 5.46389210e+00 4.54271968e+00 6.83431259e+00 1.08954324e+01 1.34919509e+00 -4.38336351e+03
1.00000000e+00 1.00000000e+00 9.55642876e+00 5.87710853e+00 3.22280919e+00 8.17013257e+00 8.24889096e+00 1.61598758e+01 5.26092093e+00 2.55147726e+00 9.99607133e+01 2.68095275e+00 -1.91315114e+04
1.00000000e+00 1.00000000e+00 7.58794548e+00 8.85651252e+00 9.15629122e+00 3.25421109e+00 7.84144837e+00 2.31492952e+01 8.69092654e+00 8.85155107e+00 6.81876507e+01 8.48121225e+00 -1.87722983e+04
1.00000000e+00 1.00000000e+00 6.38792636e+00 7.59002398e+00 3.24591580e+00 6.62386690e+00 2.38509914e+00 6.03431989e+00 4.06003947e+00 6.51804615e+00 1.12761906e+01 7.90091521e+00 -9.65056161e+02
1.00000000e+00 1.00000000e+00 2.40416776e+00 8.25905033e+00 3.44754754e+00 6.14571385e+00 2.34324523e+00 6.45099342e+00 8.82684716e+00 2.41483495e+00 7.07401551e+01 4.15578422e+00 -3.48923997e+03
1.00000000e+00 1.00000000e+00 2.40395068e+00 6.92905030e+00 7.83458436e+00 8.49547339e+00 3.41356931e+00 7.88426448e+00 1.79320988e+00 9.66104252e+00 4.39025321e+00 4.39129565e+00 -1.66547283e+02
1.00000000e+00 1.00000000e+00 1.52275251e+00 7.23048908e+00 5.04765858e+00 9.15478354e+00 4.24967254e+00 1.02424036e+01 7.99118593e+00 5.66528917e+00 4.33423340e+01 5.80198990e+00 -2.05995607e+03
1.00000000e+00 1.00000000e+00 8.79558531e+00 8.64276086e+00 7.99039501e+00 1.10941094e+00 4.67610023e+00 1.34714720e+01 8.62792870e+00 1.65608607e+00 2.10552282e+02 1.00216904e+00 -1.05616837e+05
1.00000000e+00 1.00000000e+00 6.41003511e+00 3.24701208e+00 1.58829542e+00 7.06617927e+00 7.11727495e+00 7.70329258e+00 2.63635888e+00 6.64149614e+00 9.17352506e+00 3.17119902e+00 -1.29868434e+03
1.00000000e+00 1.00000000e+00 7.37265320e+00 5.40482467e+00 5.38814074e+00 1.46652219e+00 1.51012389e+00 2.72065162e+00 4.87311879e+00 3.27879016e+00 1.21307475e+01 2.87408628e+00 -1.98880490e+03
1.00000000e+00 1.00000000e+00 1.18526045e+00 2.99088498e+00 1.30252240e+00 5.93972799e+00 1.31205434e+00 1.30806787e+00 2.48949797e+00 8.23324107e+00 1.18656758e+00 3.25434652e+00 -3.54311359e+01
1.00000000e+00 1.00000000e+00 9.72918867e+00 9.88901207e+00 1.56387883e+00 3.58869456e+00 4.52719507e+00 1.49231622e+01 7.35943716e+00 8.36039866e+00 3.94093915e+01 8.25315258e+00 -1.14337334e+04
1.00000000e+00 1.00000000e+00 8.49198377e+00 9.49653406e+00 9.15793708e+00 3.76098940e+00 7.27447323e+00 2.30274276e+01 5.81812991e+00 9.81052620e+00 4.09692291e+01 3.51706471e+00 -2.25851145e+04
1.00000000e+00 1.00000000e+00 2.91105200e+00 1.35484130e+00 2.25320834e+00 4.17662653e+00 2.74091809e+00 1.23783634e+00 6.71791012e+00 5.51682578e+00 4.52198799e+00 2.72369190e+00 -7.16481263e+02
1.00000000e+00 1.00000000e+00 2.63642470e+00 7.35017655e+00 5.79178614e+00 6.59163204e+00 6.77354033e+00 1.65955724e+01 2.76838270e+00 5.09461192e+00 2.70538148e+01 5.53837115e+00 -7.26539204e+02
1.00000000e+00 1.00000000e+00 2.65064059e+00 9.32723486e+00 4.69986042e+00 4.00644969e+00 3.33845324e+00 1.03795125e+01 2.90571276e+00 7.78128045e+00 1.16278608e+01 8.79080533e+00 -3.17092334e+02
1.00000000e+00 1.00000000e+00 3.73818019e+00 2.62517811e+00 4.12608994e+00 7.59429146e+00 8.97477498e+00 7.85346093e+00 1.37347593e+00 2.19223591e+00 1.47610111e+01 3.17214733e+00 -2.09503518e+02
1.00000000e+00 1.00000000e+00 5.72280788e+00 6.11150707e+00 9.09850011e+00 4.64074647e+00 9.06120950e+00 1.84592153e+01 3.89860782e+00 5.92223962e+00 3.64550807e+01 1.70682619e+00 -1.12884276e+04
1.00000000e+00 1.00000000e+00 4.88750517e+00 9.23939468e+00 1.19641057e+00 1.61517880e+00 3.67558484e+00 1.13200597e+01 6.03770195e+00 5.91622840e+00 3.46574583e+01 4.20764262e+00 -5.75203721e+03
1.00000000e+00 1.00000000e+00 3.62106226e+00 1.30551381e+00 6.97410718e+00 8.05383858e+00 3.06994379e+00 1.33595133e+00 8.72141423e+00 1.80525811e+00 1.93624140e+01 7.72886642e+00 -5.71302208e+02
1.00000000e+00 1.00000000e+00 6.50667605e+00 7.27678241e+00 9.67054991e+00 3.57182492e+00 4.70173575e+00 1.14045027e+01 7.00234703e+00 4.76185677e+00 5.03112268e+01 5.95621490e+00 -7.33050143e+03
1.00000000e+00 1.00000000e+00 2.25544475e+00 3.67614107e+00 6.04151365e+00 4.89490192e+00 3.16478427e+00 3.87806447e+00 4.91856691e+00 8.67956319e+00 6.59290767e+00 8.35114033e+00 -3.04060391e+02
1.00000000e+00 1.00000000e+00 3.62930184e+00 9.31956576e+00 9.43140216e+00 7.16899495e+00 7.05145459e+00 2.19054982e+01 9.57808103e+00 8.70538260e+00 7.23044512e+01 9.63632933e+00 -9.08244654e+03
1.00000000e+00 1.00000000e+00 4.29725659e+00 9.73952421e+00 1.47032091e+00 3.99210541e+00 8.43458216e+00 2.73829390e+01 7.47320681e+00 1.89313898e+00 3.24284220e+02 8.13396229e+00 -9.69537114e+03
1.00000000e+00 1.00000000e+00 5.10462986e+00 9.49839840e+00 4.76913987e+00 1.50927091e+00 7.05782918e+00 2.23460245e+01 9.37148683e+00 1.81648794e+00 3.45857743e+02 6.43422771e+00 -1.86838488e+04
1.00000000e+00 1.00000000e+00 8.06658365e+00 5.26792795e+00 3.34142012e+00 4.36528942e+00 8.41915403e+00 1.47838323e+01 5.74829176e+00 3.36425929e+00 7.57805274e+01 5.44007429e+00 -8.69221960e+03
1.00000000e+00 1.00000000e+00 2.79706404e+00 8.75838386e+00 7.57738868e+00 9.50003724e+00 4.57292946e+00 1.33504905e+01 3.33013847e+00 8.87289456e+00 1.50319544e+01 1.36062178e+00 -3.65231348e+03
1.00000000e+00 1.00000000e+00 5.62810995e+00 8.60094459e+00 9.83167381e+00 6.77560958e+00 2.40685274e+00 6.90040234e+00 1.47544018e+00 2.16012327e+00 1.41396526e+01 9.85889781e+00 -1.02904195e+02
1.00000000e+00 1.00000000e+00 6.33173112e+00 3.87190426e+00 3.30877056e+00 7.04331234e+00 7.64155853e+00 9.86246100e+00 7.53476366e+00 7.47997122e+00 2.98041171e+01 4.45133010e+00 -9.55737169e+03
1.00000000e+00 1.00000000e+00 1.41805371e+00 8.46023927e+00 6.88757141e+00 6.69053938e+00 4.24427055e+00 1.19691814e+01 2.09172698e+00 1.91049058e+00 3.93138706e+01 2.37005393e+00 -3.76001994e+02
1.00000000e+00 1.00000000e+00 6.46790367e+00 1.33306871e+00 2.78287869e+00 2.79092925e+00 7.04143743e+00 3.12890664e+00 3.72497615e+00 6.60824068e+00 5.29116743e+00 7.00037970e+00 -4.81352012e+02
1.00000000e+00 1.00000000e+00 2.53471711e+00 6.36642891e+00 6.08797229e+00 4.76500478e+00 3.43579548e+00 7.29124922e+00 5.79223817e+00 4.20460569e+00 3.01331362e+01 3.55859460e+00 -2.09086981e+03
1.00000000e+00 1.00000000e+00 1.58546434e+00 3.07007954e+00 5.17539238e+00 7.75845819e+00 1.73106671e+00 1.77150416e+00 6.07974929e+00 8.10022567e+00 3.98888931e+00 6.27200444e+00 -1.98630020e+02
1.00000000e+00 1.00000000e+00 9.53996984e+00 2.08510197e+00 9.74804797e+00 1.91235608e+00 9.93323616e+00 6.90393677e+00 6.40524877e+00 3.10321404e+00 4.27506114e+01 6.28091117e+00 -5.16267047e+03
1.00000000e+00 1.00000000e+00 9.69068830e+00 1.69257881e+00 6.47674545e+00 3.50067498e+00 2.40581357e+00 1.35734303e+00 2.49629797e+00 6.75281646e+00 1.50529753e+00 5.01156839e+00 -1.96265820e+02
1.00000000e+00 1.00000000e+00 8.27557613e+00 7.26659898e+00 4.14555735e+00 3.48687198e+00 9.89578895e+00 2.39695766e+01 4.41763664e+00 3.12114281e+00 1.01778951e+02 8.52506754e+00 -5.44906518e+03
1.00000000e+00 1.00000000e+00 3.74152392e+00 4.05887467e+00 2.02686206e+00 4.88817035e+00 9.79551939e+00 1.32529285e+01 6.55474804e+00 7.42294255e+00 3.51085598e+01 3.38470355e+00 -7.55323499e+03
1.00000000e+00 1.00000000e+00 1.87904903e+00 7.52290094e+00 2.36122146e+00 9.82331867e+00 8.14436294e+00 2.04230785e+01 9.72836978e+00 8.86310231e+00 6.72506939e+01 5.03769332e+00 -8.65145153e+03
1.00000000e+00 1.00000000e+00 7.15809724e+00 1.58820707e+00 3.02785237e+00 1.60752292e+00 6.93480666e+00 3.67130298e+00 7.54868024e+00 2.14121619e+00 3.88286232e+01 5.83922916e+00 -3.07741174e+03
1.00000000e+00 1.00000000e+00 4.96137244e+00 3.83761304e+00 3.25869995e+00 5.66830895e+00 6.20026345e+00 7.93140396e+00 9.30343381e+00 8.79936120e+00 2.51572666e+01 6.97262249e+00 -5.86169934e+03
1.00000000e+00 1.00000000e+00 2.09834411e+00 5.85542163e+00 8.65554452e+00 2.61428214e+00 8.79491391e+00 1.71659764e+01 7.85990852e+00 6.34217729e+00 6.38217750e+01 8.05574665e+00 -3.31478719e+03
1.00000000e+00 1.00000000e+00 5.45659219e+00 8.11650848e+00 6.05100509e+00 9.73608891e+00 3.60495569e+00 9.75321783e+00 6.32545272e+00 2.14399442e+00 8.63251103e+01 4.55326555e+00 -5.61191282e+03
1.00000000e+00 1.00000000e+00 1.30949669e+00 3.86877253e+00 5.71051820e+00 2.01973154e+00 5.20913091e+00 6.71764752e+00 2.72821032e+00 4.84787670e+00 1.13413499e+01 6.81442250e+00 -1.15300052e+02
1.00000000e+00 1.00000000e+00 9.18388362e+00 6.63302239e+00 2.03291985e+00 4.63240902e+00 6.57450972e+00 1.45362901e+01 7.00017087e+00 2.44774264e+00 1.24714722e+02 2.35549858e+00 -3.33269549e+04
1.00000000e+00 1.00000000e+00 3.32901983e+00 8.97379973e+00 8.74125724e+00 7.64096486e+00 4.70071428e+00 1.40610895e+01 6.61041609e+00 7.30313100e+00 3.81821109e+01 9.39383290e+00 -2.61295160e+03
1.00000000e+00 1.00000000e+00 6.96270056e+00 6.54276869e+00 7.50532873e+00 7.34098985e+00 4.84737809e+00 1.05717579e+01 6.42222253e+00 7.82981321e+00 2.60137170e+01 4.44752926e+00 -8.19139857e+03
1.00000000e+00 1.00000000e+00 3.80539968e+00 3.09663527e+00 1.60901526e+00 4.80455773e+00 3.97256201e+00 4.10052521e+00 5.40807281e+00 1.95216868e+00 3.40789284e+01 7.56569280e+00 -7.23864649e+02
1.00000000e+00 1.00000000e+00 5.68061219e+00 1.21960703e+00 7.37051588e+00 4.11871751e+00 6.07808635e+00 2.47095896e+00 5.75790944e+00 5.55525867e+00 7.68329184e+00 1.18306974e+00 -4.72020905e+03
1.00000000e+00 1.00000000e+00 5.92039251e+00 8.83088987e+00 5.89184396e+00 4.57851141e+00 8.65517075e+00 2.54776199e+01 4.00998274e+00 8.33162550e+00 3.67868729e+01 2.84668429e+00 -1.02243640e+04
1.00000000e+00 1.00000000e+00 2.66369010e+00 1.19142470e+00 1.73552811e+00 3.37848637e+00 2.81375540e+00 1.11745923e+00 5.67381423e+00 9.42546737e+00 2.01801857e+00 5.38374290e+00 -2.13580963e+02
1.00000000e+00 1.00000000e+00 9.72626165e+00 8.87231505e+00 5.12470577e+00 2.84799645e+00 9.40989735e+00 2.78291913e+01 2.77800315e+00 5.62166080e+00 4.12562678e+01 8.90427221e+00 -2.81510644e+03
1.00000000e+00 1.00000000e+00 7.97619541e+00 5.76043421e+00 5.36226658e+00 5.34735728e+00 7.20178888e+00 1.38284770e+01 8.24656958e+00 9.55251301e+00 3.58138736e+01 5.74529635e+00 -1.56669913e+04
1.00000000e+00 1.00000000e+00 9.45549047e+00 9.45160929e+00 2.49197086e+00 3.41680380e+00 8.40945891e+00 2.64943067e+01 2.67199259e+00 5.82120073e+00 3.64834994e+01 9.36883434e+00 -2.29088245e+03
1.00000000e+00 1.00000000e+00 9.05344615e+00 8.18904912e+00 9.51128332e+00 3.58715498e+00 6.00571623e+00 1.63937018e+01 1.76469661e+00 4.54771445e+00 1.90842522e+01 5.35417207e+00 -1.03590511e+03
1.00000000e+00 1.00000000e+00 6.38109981e+00 9.98140699e+00 8.64977834e+00 6.91080457e+00 8.01565031e+00 2.66691560e+01 4.92621424e+00 8.63382816e+00 4.56499621e+01 5.41404187e+00 -9.15358115e+03
1.00000000e+00 1.00000000e+00 9.29686812e+00 4.15640634e+00 7.02120104e+00 9.71683599e+00 1.14580358e+00 1.58747508e+00 6.92476696e+00 5.43684439e+00 6.06577687e+00 2.07772110e+00 -4.08740723e+03
1.00000000e+00 1.00000000e+00 1.79643252e+00 7.90469460e+00 5.16066005e+00 6.43273481e+00 8.36542382e+00 2.20420402e+01 4.93945142e+00 5.24712260e+00 6.22487381e+01 8.22390620e+00 -1.40968875e+03
