G	c	dx1dt	d2x1dt2	dx2dt	d2x2dt2	d1	d2	m2	m1	Fg	Fc	W
1.000000000000000000e+00	1.000000000000000000e+00	5.338102072069635717e+00	3.331742766565950475e+00	2.889955549028279336e+00	6.517782727427256617e+00	6.845933343442956343e+00	3.917617799958257763e+00	5.161840893931069374e+00	6.376563304404300858e+00	2.347465291124036568e+01	1.369270115739439131e+00	-2.650030548805748367e+02
1.000000000000000000e+00	1.000000000000000000e+00	8.725192012894217086e+00	6.242438722053079481e+00	3.920077956623448934e+00	7.609680522873169650e+00	7.975846759394341845e+00	1.011134524834630621e+00	4.982987853961061475e+00	1.654481173678432615e+00	7.732798618503291088e+00	2.633858186070792140e+00	-6.143027665984096757e+02
1.000000000000000000e+00	1.000000000000000000e+00	7.737161266651150449e+00	9.012590745027113215e+00	9.126222766674196407e+00	3.867849476105488460e+00	7.798624793636090402e+00	9.014297242108691322e+00	9.054115028441946933e+00	8.209404849994228925e+00	6.487911579627921199e+00	9.200485089806363703e+00	-4.013341959983468996e+02
1.000000000000000000e+00	1.000000000000000000e+00	5.942566564424075715e+00	7.825202247417346157e+00	2.627214375107203903e+00	5.870332978282993608e+00	2.146428331779571153e+00	1.230078958395930178e+00	4.616924359375460085e+00	7.109576740114762927e+00	2.017132601235314127e+01	6.907161669947619487e+00	-1.013340211529064447e+02
1.000000000000000000e+00	1.000000000000000000e+00	1.599235796012567157e+00	7.617793803267475461e+00	2.916002922604973957e+00	6.186143482711313979e+00	1.808006261284422544e+00	3.847059630087392268e+00	9.672531248591875297e+00	1.905904661951154377e+00	3.888225011113948248e-01	5.017926266432049864e+00	-1.006632763453792734e+02
1.000000000000000000e+00	1.000000000000000000e+00	1.790096873580623305e+00	8.359724941673928100e+00	8.129990527991816762e+00	9.414704253914868204e+00	2.852369589212673695e+00	1.068060965889243086e+01	1.050758426208022289e+00	8.761249472237086167e+00	9.209478413686478859e+01	4.768631148053049884e+00	6.355685215585219794e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.496102560459960484e+00	7.524293643758776184e+00	5.627118521497850523e+00	9.807722379184202310e+00	4.417835251627511894e+00	1.365150870272483807e+01	7.224157386477540577e+00	5.622142665393188743e+00	1.204427826201542828e+01	5.883251086883171332e+00	-1.349763931430720447e+02
1.000000000000000000e+00	1.000000000000000000e+00	8.984868240611964652e+00	8.992079583018030675e+00	8.256346617413944600e+00	1.339673484332449815e+00	4.661726304384762543e+00	5.043596877911272536e+00	9.267189118242180612e+00	1.968711468852861524e+00	-2.564194808205973342e+00	2.364752690083969933e-01	-8.779539604746418036e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.983161735912373658e+00	3.231050057656962515e+00	1.856775465749737064e+00	7.057380384162310172e+00	7.532613758945637450e+00	7.359603798316614043e-01	3.185791054131972277e+00	6.662521586914805560e+00	3.536379709565895979e+01	2.278091496715280329e+00	-1.833576005002121860e+02
1.000000000000000000e+00	1.000000000000000000e+00	8.171529765448116933e+00	4.126651750108165650e+00	4.940708376220707798e+00	1.865294194103179093e+00	1.378273193839442357e+00	9.776046955287559515e-01	4.534661254582947443e+00	3.608651336882065852e+00	1.693519211795530000e+00	2.574465821817580213e+00	-3.734123924766624469e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.335553313987954072e+00	2.843270210884929927e+00	1.353810011805570257e+00	6.139694777070319631e+00	1.197854242174883010e+00	2.180796997076575039e+00	7.136248337495048055e-01	8.861542885523759239e+00	3.881868357937255354e+01	3.593576356606422717e+00	2.535543507070532598e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.489318773692732023e+00	9.931262644640744597e+00	1.381603420211358735e+00	4.358815282869956675e+00	4.944296707125699797e+00	1.808582341858854248e-01	7.403813292823392622e+00	8.671161615226708363e+00	8.228978484476948907e+00	8.249946381443626464e+00	-5.420598224559895328e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.054332040099321688e+00	9.038776564276103542e+00	9.050283549512728953e+00	3.688602326489683669e+00	7.071788163744347600e+00	6.661160788019556023e+00	4.985603264160152648e+00	9.726724868615054476e+00	1.023458312341426613e+01	3.825922168713451921e+00	-4.176231328360807993e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.578389037540429030e+00	8.922352991672996003e-01	2.191480551407103405e+00	4.718560461634419667e+00	1.956780699798315482e+00	3.439095171530870854e+00	6.263819254838904449e+00	5.220728965918469910e+00	8.209501723915170857e+00	1.942064149219474567e+00	-1.192376850498290253e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.772828815603280761e+00	7.161445399498709286e+00	5.427392619045305011e+00	6.415304406643137725e+00	7.235194759392260089e+00	1.549734289128925546e+01	2.867788145571235514e+00	5.513912638583766679e+00	2.477952497705750190e+01	5.562086505276176318e+00	-2.347448319857844012e+02
1.000000000000000000e+00	1.000000000000000000e+00	3.158862634104173228e+00	9.756448371955167786e+00	5.114904502927237750e+00	5.031470335915680714e+00	2.969618053447837358e+00	6.560412595204367037e+00	3.078880372910261176e+00	7.931045377945818764e+00	2.318054581814129023e+01	9.375885278961574087e+00	-2.375677190448080367e+01
1.000000000000000000e+00	1.000000000000000000e+00	4.454722190419268202e+00	3.323773771134759691e+00	3.568891283885501142e+00	7.506677919350346784e+00	9.011207740788412579e+00	9.837143522944653995e+00	2.241013710500121103e+00	1.723997900054016430e+00	2.329120017385623953e+01	3.947648773339136774e+00	-4.162376986774136185e+02
1.000000000000000000e+00	1.000000000000000000e+00	5.278018023732768071e+00	6.206616424520624342e+00	8.381443007632579878e+00	3.764356222377024608e+00	8.719950721049762876e+00	1.490063394044730671e+01	3.694117819700339478e+00	6.630598034174393085e+00	1.461278444237857954e+01	1.037040215173399726e+00	-5.133333616818379141e+02
1.000000000000000000e+00	1.000000000000000000e+00	5.948763251584077594e+00	8.923753058057936727e+00	7.628489947856431641e-01	1.657243506152565438e+00	3.145868220446861763e+00	-1.022668506508427999e+00	5.502084734833970536e+00	6.058839374567425828e+00	2.586022717840030793e-01	4.019669071392751647e+00	-5.790198646460698484e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.936628190099856983e+00	1.103913646305612728e+00	7.461887174317221039e+00	8.467746243218053692e+00	2.035719957411479264e+00	5.575100231482186253e+00	9.224657157907550697e+00	2.160428647877994379e+00	1.967676038418519679e+00	7.546835276951383342e+00	-2.037204460463528335e+02
1.000000000000000000e+00	1.000000000000000000e+00	6.741549681028323526e+00	7.332154725664212336e+00	9.857821449813933157e+00	4.453491218337828350e+00	4.886477515402552818e+00	7.719417086483935542e+00	7.209214743235703438e+00	4.548607329054703108e+00	2.689915507426423158e+00	5.621652465577290592e+00	-2.144260432752927841e+02
1.000000000000000000e+00	1.000000000000000000e+00	1.975798268765986077e+00	3.797434623913977347e+00	5.056869610355615663e+00	4.355647727630483246e+00	1.316136715917238798e+00	7.399757575745041116e+00	4.719346180300274085e+00	9.294647286094503968e+00	1.753580092457630712e+01	8.836010747401262577e+00	-6.484973943800525831e+01
1.000000000000000000e+00	1.000000000000000000e+00	4.179889953553638904e+00	9.561540329604435229e+00	9.761195877228981743e+00	6.224673679432022766e+00	7.758656225603088430e+00	1.806708616529785161e+01	9.595505410126063950e+00	7.842982650515560650e+00	1.126188008475906699e+01	1.117008068388234854e+01	-3.830536802766410460e+02
1.000000000000000000e+00	1.000000000000000000e+00	3.472216047367147063e+00	9.495101463702171785e+00	1.443536438824765566e+00	4.260994902404712903e+00	8.996715949668825374e+00	3.132678506376597838e+00	7.265810718281772829e+00	2.804572682068970924e+00	1.245391908299191552e+00	7.539089956184255925e+00	-1.438940200916369463e+02
1.000000000000000000e+00	1.000000000000000000e+00	4.920724772011418224e+00	9.792851300534968217e+00	4.538675703881369650e+00	1.761409730023863141e+00	6.562428068783052737e+00	5.988560504302148146e+00	9.751150370918521659e+00	7.618020147006017151e-01	4.527335953377325528e-01	6.661110591708840012e+00	-8.403729236759920695e+01
