G c dx1dt d2x1dt2 dx2dt d2x2dt2 m2 m1 Fc d2 Fg d1 W
1.00000000e+00 1.00000000e+00 4.37086107e+00 2.66619636e+00 3.35535115e+00 7.05432695e+00 6.14796290e+00 4.54271968e+00 2.83097763e+00 3.46439722e-01 6.83431259e+00 1.94215810e-01 1.25498543e+00
1.00000000e+00 1.00000000e+00 9.55642876e+00 5.87710853e+00 3.22280919e+00 8.17013257e+00 8.24889096e+00 5.26092093e+00 6.10302782e+00 1.83503729e-01 2.55147726e+00 6.88227987e-01 3.98880051e-01
1.00000000e+00 1.00000000e+00 7.58794548e+00 8.85651252e+00 9.15629122e+00 3.25421109e+00 7.84144837e+00 8.69092654e+00 -6.91095321e-01 3.81786548e-01 8.85155107e+00 -2.68948672e-02 -4.95470047e-01
1.00000000e+00 1.00000000e+00 6.38792636e+00 7.59002398e+00 3.24591580e+00 6.62386690e+00 2.38509914e+00 4.06003947e+00 -2.77364546e+00 2.11860065e-01 6.51804615e+00 -5.29613194e-02 -8.54529136e-01
1.00000000e+00 1.00000000e+00 2.40416776e+00 8.25905033e+00 3.44754754e+00 6.14571385e+00 2.34324523e+00 8.82684716e+00 -9.96159055e+00 1.22382574e+00 2.41483495e+00 -1.34021030e+00 -3.25618470e+00
1.00000000e+00 1.00000000e+00 2.40395068e+00 6.92905030e+00 7.83458436e+00 8.49547339e+00 3.41356931e+00 1.79320988e+00 3.44143011e+00 2.48647624e-01 9.66104252e+00 1.68607495e-01 3.25596558e+00
1.00000000e+00 1.00000000e+00 1.52275251e+00 7.23048908e+00 5.04765858e+00 9.15478354e+00 4.24967254e+00 7.99118593e+00 -8.56318632e+00 1.74928534e+00 5.66528917e+00 -1.40610645e+00 -6.96001327e+00
1.00000000e+00 1.00000000e+00 8.79558531e+00 8.64276086e+00 7.99039501e+00 1.10941094e+00 4.67610023e+00 8.62792870e+00 -1.09605044e+00 3.26979516e-01 1.65608607e+00 -1.17285804e-01 -3.72037097e-01
1.00000000e+00 1.00000000e+00 6.41003511e+00 3.24701208e+00 1.58829542e+00 7.06617927e+00 7.11727495e+00 2.63635888e+00 7.91573907e+00 1.37095395e-01 6.64149614e+00 4.41120891e-01 2.32135911e+00
1.00000000e+00 1.00000000e+00 7.37265320e+00 5.40482467e+00 5.38814074e+00 1.46652219e+00 1.51012389e+00 4.87311879e+00 -1.23297666e+00 2.20324066e-01 3.27879016e+00 -2.56748994e-02 -7.47800982e-01
