G	c	dx1dt	d2x1dt2	dx2dt	d2x2dt2	m2	m1	Fc	d2	Fg	d1	W
1.000000000000000000e+00	1.000000000000000000e+00	4.359198804341400724e+00	2.670183147708707683e+00	3.380940964539272731e+00	7.084670504584518191e+00	6.219227409249849181e+00	4.616981282281581223e+00	2.831675212155211785e+00	3.522581168556353504e-01	6.939663699725011625e+00	1.954021097230445869e-01	1.255036277534575584e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.586898932817316421e+00	5.915863225391715829e+00	3.226822848851464531e+00	8.118467095624289698e+00	8.240766619925544489e+00	5.260937660889593026e+00	6.103095256482067299e+00	1.876065203551535721e-01	2.467378129703412082e+00	6.877576342714006863e-01	3.977088636736516580e-01
1.000000000000000000e+00	1.000000000000000000e+00	7.580119997408214516e+00	8.891968349709687303e+00	9.154308875449986616e+00	3.189517433744827990e+00	7.785083071848438507e+00	8.694258633418957771e+00	-6.916861697313307911e-01	3.819227323724382894e-01	8.926109144494443370e+00	-2.706325861485189485e-02	-4.950405391918649700e-01
1.000000000000000000e+00	1.000000000000000000e+00	6.486612180838475794e+00	7.599455777073647056e+00	3.264980434393840447e+00	6.626763828577174387e+00	2.298566519770745220e+00	4.017930484268439351e+00	-2.771364068806901670e+00	2.201123942956965673e-01	6.425361481404013198e+00	-5.430100431229725744e-02	-8.561122969771232105e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.408536236279643639e+00	8.265745583233178095e+00	3.421686957449098454e+00	6.149183962500944567e+00	2.301185821780269869e+00	8.797075804107748809e+00	-9.963348862642936510e+00	1.228060183467291289e+00	2.342637636861281791e+00	-1.342283614933418967e+00	-3.256498329953627202e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.530637820098621926e+00	6.969130439159263446e+00	7.879946870716355356e+00	8.487501121341773924e+00	3.391229401489571860e+00	1.770807793049666623e+00	3.441964953205221889e+00	2.465222131228840818e-01	9.569812273115873680e+00	1.685688449383817289e-01	3.256143840199670514e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.541804464954970033e+00	7.182724591050465790e+00	4.988253419206065686e+00	9.139112723832143459e+00	4.294337465739364923e+00	8.070348225223421323e+00	-8.560356158734947485e+00	1.742589918228725887e+00	5.678907800006099293e+00	-1.407277132985239820e+00	-6.957795541777722192e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.784020441308214799e+00	8.737085045730905719e+00	7.967675815312704302e+00	1.202021655610217454e+00	4.615048154309911332e+00	8.623985739033633635e+00	-1.097425226976344925e+00	3.249664789022185807e-01	1.592239442073297706e+00	-1.161496154710418421e-01	-3.717399208988231840e-01
1.000000000000000000e+00	1.000000000000000000e+00	6.361354206411188983e+00	3.133124997788197419e+00	1.622038569099551575e+00	7.089241603313586992e+00	7.201907005759282221e+00	2.563822086363942265e+00	7.915161455485552722e+00	1.391003558517650840e-01	6.568149878462754998e+00	4.407766862491940274e-01	2.321489285425274662e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.294559612136035653e+00	5.485791366242122713e+00	5.325586898746898612e+00	1.573202409845798622e+00	1.437289905690196656e+00	4.887127989874214151e+00	-1.228413689581604018e+00	2.232208046040794758e-01	3.289820270534169921e+00	-2.529700384293174023e-02	-7.478597853641344440e-01
1.000000000000000000e+00	1.000000000000000000e+00	1.131600530210902678e+00	2.988371238678842801e+00	1.215666349659427325e+00	6.008421830900613436e+00	1.439049172829825807e+00	2.534829736885894302e+00	-1.747500765694735669e+00	7.067193827677127338e-01	8.257816655068420886e+00	-7.668502219890553639e-02	-4.090723385457274652e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.681581658741173158e+00	9.944787146550597257e+00	1.567361759433568258e+00	3.680899009813482614e+00	4.621183166844911483e+00	7.358043046436238299e+00	-2.541997796125215814e+00	2.468337583792078183e-01	8.362566374299369443e+00	-4.896122210634925448e-02	-1.216808302507758066e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.513352649419289264e+00	9.516775070028330674e+00	9.064264572274712606e+00	3.702824696602768029e+00	7.282162482060938302e+00	5.898733609803107569e+00	1.370884508204979202e+00	2.262472006645417644e-01	9.801701835899711668e+00	3.896781819743793535e-02	8.413301759271658575e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.882574304372880203e+00	1.374091733215347721e+00	2.181492933621320685e+00	4.208737102683922870e+00	2.651169081558188978e+00	6.760565648132291550e+00	-4.153707879699792827e+00	7.635297783279991757e-01	5.616314432236760190e+00	-2.360198572726895094e-01	-3.769364681254196547e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.646541769651306719e+00	7.381010589733135951e+00	5.833562630758079237e+00	6.568258953104088249e+00	6.770521410218030667e+00	2.710825605222531465e+00	6.597086675703330627e+00	3.435234046094190474e-01	5.102545091392575394e+00	1.109865493813078974e+00	3.868664647188713612e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.720025220027544766e+00	9.372243810175449497e+00	4.688552891680000556e+00	3.916404322463208132e+00	3.317382214550583797e+00	2.875460161112637358e+00	4.361082836115070527e-01	3.623648750329857005e-01	7.825108290062472882e+00	2.473697394672705677e-02	6.347321135336820852e-01
1.000000000000000000e+00	1.000000000000000000e+00	3.733427730699347080e+00	2.606884738974546867e+00	4.197070049890573529e+00	7.675275728011094145e+00	8.905365218824428553e+00	1.385887111917115444e+00	1.442947401335933044e+01	1.242510408675388950e-01	2.200010558570666852e+00	5.269354454411220523e+00	2.228931296403998452e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.835338264697727872e+00	6.169074557294291772e+00	9.031974460449967879e+00	4.624847790974027539e+00	9.077060642789202660e+00	3.807197672552654399e+00	5.994351375486517419e+00	2.308217992232711180e-01	5.862517570149126556e+00	5.339035546537282961e-01	2.670828654686234316e+00
