G c dx1dt d2x1dt2 m1 m2 p d1 d2 Fc W Fg
1.00000000e+00 1.00000000e+00 4.37086107e+00 2.66619636e+00 3.35535115e+00 -4.95126469e+00 7.05432695e+00 2.68990741e-01 6.14796290e+00 3.39870274e+00 4.54271968e+00 1.66911123e-01
1.00000000e+00 1.00000000e+00 9.55642876e+00 5.87710853e+00 3.22280919e+00 -5.27115631e+00 8.17013257e+00 1.42489291e-01 8.24889096e+00 5.78705842e+00 5.26092093e+00 1.29979139e-01
1.00000000e+00 1.00000000e+00 7.58794548e+00 8.85651252e+00 9.15629122e+00 -2.55894875e+00 3.25421109e+00 7.14776505e-02 7.84144837e+00 1.12676058e+01 8.69092654e+00 1.32192418e+00
1.00000000e+00 1.00000000e+00 6.38792636e+00 7.59002398e+00 3.24591580e+00 -5.21048983e+00 6.62386690e+00 1.72822565e-01 2.38509914e+00 1.10515644e+01 4.06003947e+00 3.53477083e-01
1.00000000e+00 1.00000000e+00 2.40416776e+00 8.25905033e+00 3.44754754e+00 -4.76329440e+00 6.14571385e+00 4.26045826e-01 2.34324523e+00 4.56375374e+00 8.82684716e+00 9.08802367e-01
1.00000000e+00 1.00000000e+00 2.40395068e+00 6.92905030e+00 7.83458436e+00 -2.68556726e+00 8.49547339e+00 5.88993877e-01 3.41356931e+00 1.74535727e+01 1.79320988e+00 5.10835500e-01
1.00000000e+00 1.00000000e+00 1.52275251e+00 7.23048908e+00 5.04765858e+00 -3.31248297e+00 9.15478354e+00 1.00199950e+00 4.24967254e+00 4.99871361e+00 7.99118593e+00 9.55148355e-01
1.00000000e+00 1.00000000e+00 8.79558531e+00 8.64276086e+00 7.99039501e+00 -2.66773560e+00 1.10941094e+00 2.10221170e-02 4.67610023e+00 6.25027095e+00 8.62792870e+00 1.84215830e+00
1.00000000e+00 1.00000000e+00 6.41003511e+00 3.24701208e+00 1.58829542e+00 7.71570436e+00 7.06617927e+00 1.83727004e-01 7.11727495e+00 -1.31004743e+00 2.63635888e+00 -2.54170554e-02
1.00000000e+00 1.00000000e+00 7.37265320e+00 5.40482467e+00 5.38814074e+00 -3.18058850e+00 1.46652219e+00 3.31522939e-02 1.51012389e+00 1.21291764e+01 4.87311879e+00 1.82223596e+00
